Row Labels,Count of Symbol,Average of Performance % 1 week,Average of Performance % 1 month,Average of Performance % 6 months,Average of Performance % 1 year
Advertising/Marketing services,6,-2.510954383,4.369146137,15.05881556,40.48644894
Aerospace & defense,46,-0.592858929,1.504721995,33.73123449,47.02391208
Agricultural commodities/Milling,9,-1.049291668,0.858137072,15.23933073,34.49812098
Air freight/Couriers,10,-4.760139739,-7.095220493,13.8982388,13.83221396
Airlines,13,-1.401071008,6.235284267,23.33850704,21.94913299
Alternative power generation,9,-3.44504251,-0.005777529,7.393925897,20.46844504
Aluminum,3,-8.753070392,-16.61408251,-3.098029772,25.48386035
Apparel/Footwear,22,-1.000770546,8.408605721,14.80411738,23.66194797
Apparel/Footwear retail,16,0.542713225,11.76908636,14.12146179,20.25589725
Auto parts: OEM,23,-4.769394129,7.420245769,5.438558416,-0.706870963
Automotive aftermarket,4,-7.899187954,-3.286453484,5.232311971,-8.624678161
Beverages: alcoholic,10,-4.732929788,-0.846285844,-2.2126406,-16.15286484
Beverages: non-alcoholic,12,-3.629230131,1.050616298,1.775848395,10.34714212
Biotechnology,67,-3.350244057,-0.889585895,11.7140024,49.12602864
Broadcasting,8,-2.518878911,1.427783605,22.31971557,13.36591498
Building products,18,-6.620950938,-6.526983827,7.794907517,15.12383551
Cable/Satellite TV,5,-5.475812214,-2.93246636,16.90234698,-11.49861906
Casinos/Gaming,13,-6.782578966,-1.097408174,16.18841475,22.19848811
Chemicals: agricultural,7,-6.338884888,-2.48294091,0.985881247,-4.696352881
Chemicals: major diversified,8,-6.748716614,-8.495795089,-3.409834465,13.02687037
Chemicals: specialty,27,-6.131271084,-8.0114946,-13.19768366,-13.99060355
Coal,7,-8.419787744,-14.74641275,-5.566447954,-4.644741294
Commercial printing/Forms,3,-5.850337137,-1.725197941,45.71427885,57.91667174
Computer peripherals,8,-4.00182872,5.683756565,-2.362402372,19.80707148
Computer processing hardware,11,10.81490027,88.02493859,179.7713466,163.4288225
Construction materials,10,-5.223131036,-3.196459877,29.5246929,39.67094836
Consumer sundries,2,0.168803321,9.015644106,2.983785579,1.340720929
Containers/Packaging,17,-6.033789217,-4.17505331,2.009310809,3.088505162
Contract drilling,8,-7.193454404,-10.49323098,-20.92367571,-24.36232266
Data processing services,31,-3.91975472,4.320688461,46.95749278,61.84861506
Department stores,6,2.423023189,3.781260913,-6.829417968,1.508798055
Discount stores,3,0.555824694,15.14923883,-26.28078788,-44.54474797
Drugstore chains,3,-8.144311332,-1.511389732,-6.431649699,-19.14099085
Electric utilities,77,-1.793143248,-3.891713871,9.773133889,12.38413639
Electrical products,19,-4.529540147,-6.269002202,22.23490678,54.6316385
Electronic components,11,-2.03569796,1.051169022,14.37622733,48.78875306
Electronic equipment/Instruments,19,-4.885254868,-2.864383441,5.000256893,20.14052366
Electronic production equipment,14,-3.317577913,2.590418353,0.178113578,15.30542118
Electronics distributors,5,-6.012765309,-0.965229486,2.924007706,12.28898214
Electronics/Appliance stores,2,0.300942582,4.457041563,5.406305704,42.84219348
Electronics/Appliances,6,-4.241490424,4.418181035,23.88427279,21.72855637
Engineering & construction,29,-4.982345909,-4.262516816,18.5121339,53.36114952
Environmental services,6,-4.456121952,-5.181048685,19.12134892,52.79134573
Finance/Rental/Leasing,52,-4.479202987,-2.14632391,18.29518263,20.16631566
Financial conglomerates,3,-1.774443895,0.158381502,20.14801277,36.57435661
Financial publishing/Services,4,-4.314868778,0.057273585,14.89638877,21.5605894
Food distributors,7,-3.951524732,3.346858121,27.84568193,23.91006936
Food retail,8,-5.36832715,-5.90370812,6.959234569,16.04257967
