Symbol,Description,Price,Price - Currency,Market capitalization,Market capitalization - Currency,Price Change % 1 day,Performance % 1 week,Performance % 1 month,Performance % 3 months,Performance % 6 months,Performance % Year to date,Performance % 1 year,Performance % 5 years,Performance % 10 years,Performance % All Time,Volatility 1 week,Volatility 1 month,Index,Industry
ZWS,Zurn Elkay Water Solutions Corporation,37.4426,USD,6354529718.050544,USD,2.0234332425068007,1.7461956521739175,-5.94674704848029,0.8690732758620726,19.472239948947028,0.006944444444447239,32.25927234192865,137.0091421953574,212.83299904970204,308.0787441376812,2.1162502217684485,2.0811080293718764,"Russell 2000, Russell 3000, Mini-Russell 2000",Industrial machinery
ZUO,"Zuora, Inc.",9.975,USD,1540944513.7951806,USD,0.15060240963854207,0.3521126760563395,0.6559031281533754,8.89737991266375,4.779411764705883,0.45317220543806574,16.8032786885246,-35.852090032154344,-50.125,-50.125,0.24133765504136157,0.2528379385709871,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Packaged software
ZTS,Zoetis Inc.,164.41,USD,74176042321.72714,USD,-1.1483886483886465,0.7414215686274559,-8.140574365850929,-14.36979166666667,-8.94439521488702,-0.27900770303876266,-16.830230675839744,19.649224947238192,284.1355140186916,421.93650793650795,2.295530963141074,2.143441403583301,"S&P 500, S&P 500 Health Care, Nasdaq US Large Cap Growth, Russell 3000, Russell 1000, S&P 500 ESG",Pharmaceuticals: major
ZTO,ZTO Express (Cayman) Inc.,18.575,USD,14298021238.2696,USD,2.6243093922651815,-1.9271383315734,-3.756476683937831,-27.099686028257462,-7.3566084788029995,-3.053235908141967,-2.082235108065364,-21.82239057239058,0.951086956521743,0.951086956521743,1.9629044457238778,1.9508900471816273,NASDAQ Golden Dragon China,Air freight/Couriers
ZS,"Zscaler, Inc.",185.07,USD,28396887933.189495,USD,-0.7614349294868442,-2.0275277924828017,-10.31692188408607,-5.189549180327867,-5.072835453426351,0.554197229013845,-19.876179755823017,214.69137901717394,572.9818181818182,572.9818181818182,3.439730912610907,3.1288327164777527,"NASDAQ 100, NASDAQ Composite, ISE CTA Cloud Computing, Nasdaq US Large Cap Growth, Russell 3000, NASDAQ-100 Technology Sector, Russell 1000, NASDAQ Computer",Data processing services
ZM,"Zoom Communications, Inc.",79.235,USD,24285126608.295864,USD,0.5265161126617689,-5.447494033412886,-8.725953231194564,16.146291410143654,34.29661016949152,-3.969215852623931,15.351579560343577,8.126364628820957,21.9,21.9,1.8986740195727738,2.3336663577813015,"NASDAQ Composite, ISE CTA Cloud Computing, Russell 3000, Russell 1000, NASDAQ Computer",Packaged software
ZLAB,Zai Lab Limited,24.645,USD,2714637933.8171997,USD,-2.241174137247129,-9.659090909090915,-7.76571856287425,-3.5420743639921763,30.052770448548813,-2.972440944881886,-1.4200000000000017,-48.08299978934064,1.6288659793814415,1.6288659793814415,4.893327249746804,4.277297626265983,"NASDAQ Composite, NASDAQ Golden Dragon China, NASDAQ Biotechnology",Biotechnology
ZK,ZEEKR Intelligent Technology Holding Limited,26.28,USD,6724397698,USD,-3.240058910161999,-5.671213208901645,-5.297297297297293,18.914027149321267,40.53475935828878,-5.840200644930128,1.0769230769230813,1.0769230769230813,1.0769230769230813,1.0769230769230813,4.59041375029297,6.342476852805323,NASDAQ Golden Dragon China,Motor vehicles
ZION,Zions Bancorporation N.A.,56.49,USD,8344206140.127874,USD,3.9374425022999087,0.7131395970761251,-3.204249485949276,10.764705882352946,13.34269662921348,3.3290653008962874,29.623680587425437,11.069602831301617,130.8541070698815,2320.987895060525,2.6770413544005596,2.7601831802917673,"NASDAQ Composite, NASDAQ Bank, S&P MidCap 400, KBW NASDAQ Bank, Russell 3000, Russell 1000",Major banks
ZIM,ZIM Integrated Shipping Services Ltd.,18.415,USD,2216336732.2986336,USD,0.6284153005464396,-11.253012048192776,-8.836633663366337,-13.054768649669503,0.9041095890410912,-16.06654512306291,22.76666666666666,60.13043478260869,60.13043478260869,60.13043478260869,4.277604904477334,4.711518408766262,,Marine shipping
ZI,ZoomInfo Technologies Inc.,9.945,USD,3414802145.1021457,USD,1.583248212461707,-4.74137931034482,-4.74137931034482,-2.595494613124393,-18.08072487644152,-6.619718309859155,-37.64890282131661,-75.1375,-75.1375,-75.1375,3.6670094398824005,4.305473338039285,"NASDAQ Composite, S&P MidCap 400, Nasdaq US Small Cap Growth, Russell 3000, Russell 1000, NASDAQ Computer",Packaged software
ZGN,Ermenegildo Zegna N.V.,7.6648,USD,3122623000.999843,USD,0.4560943643512414,-4.190000000000005,-11.287037037037047,-6.298288508557459,-31.86844444444445,-8.534606205250611,-30.320000000000004,-25.584466019417484,-25.584466019417484,-25.584466019417484,3.043240987417342,3.403618120572114,,Apparel/Footwear
ZG,"Zillow Group, Inc.",69.53,USD,16737049433.967258,USD,2.0848627220672467,-3.964088397790061,-10.133126534832627,12.145161290322582,35.61536961185878,-2.3729289525414177,30.23038022101517,48.12526629740095,115.17058125177537,271.5995938218161,2.7793630970441194,2.8054864608454597,"NASDAQ Composite, Russell 3000, Russell 1000, NASDAQ Real Estate and Other Financial Services",Information technology services
ZETA,Zeta Global Holdings Corp.,17.1276,USD,4066913563.782947,USD,-0.24694234129295664,-10.044117647058814,-20.151048951048946,-46.35891011587848,-17.017441860465112,-5.788778877887782,83.37901498929338,90.09544950055495,90.09544950055495,90.09544950055495,4.447533999375563,5.832614274816629,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Packaged software
ZD,"Ziff Davis, Inc.",52.51,USD,2244346460.865953,USD,2.15953307392996,-4.631311296767171,-10.254657323534438,12.272824460124001,4.978008796481397,-4.855952165247327,-20.18543851649188,-39.54747804765271,1.0204100282043265,500.3498973197024,2.0136318599815444,2.99108624454939,"NASDAQ Composite, Russell 2000, Russell 3000, NASDAQ Computer, Mini-Russell 2000",Internet software/Services
ZBRA,Zebra Technologies Corporation,393.445,USD,20293904456.293236,USD,3.079724383662133,-0.4994689191239752,-3.4016695310581926,4.583997873471559,20.940919709824172,1.7968952134540732,53.22857031584688,59.03836048344719,385.7345679012346,9601.286814564368,2.768403853606988,2.2583185813864106,"S&P 500, NASDAQ Composite, S&P 500 Information Technology, Russell 3000, Russell 1000, NASDAQ Industrials",Computer processing hardware
ZBH,"Zimmer Biomet Holdings, Inc.",104.44,USD,20791258395.264763,USD,-0.9953550099535474,0.22070818539487957,-1.8789928598271326,-0.38153376573827325,-5.475608652366728,-1.9066403681788309,-15.5631013016412,-27.376921578910284,-6.263429363565935,264.93711840633597,2.642386940052405,2.038467243333598,"S&P 500, S&P 500 Health Care, Russell 3000, Russell 1000, S&P 500 ESG",Medical specialties
Z,"Zillow Group, Inc.",72.31,USD,16737811381.445293,USD,2.0895100945926925,-4.516640253565771,-9.996265405203538,13.393977415307402,37.71428571428571,-3.225806451612899,32.199670872188705,53.568394222599835,161.48282097649187,161.51898734177217,2.732005304084473,2.9211960128400514,"NASDAQ Composite, Russell 3000, Russell 1000, NASDAQ Real Estate and Other Financial Services, KBW NASDAQ Financial Technology Index",Information technology services
YY,JOYY Inc.,40.05,USD,2132687840,USD,1.0853104492680459,3.9180072651790296,0.27541311967951787,18.1067531701563,17.794117647058815,-4.301075268817215,24.147551146931182,-39.90096038415367,-39.99100988912197,281.4285714285714,3.3485218802545145,4.223942870368493,"NASDAQ Composite, NASDAQ Computer",Data processing services
YUMC,"Yum China Holdings, Inc.",43.67,USD,16584303950.526781,USD,1.2520287502898195,-3.6407766990291233,-11.777777777777773,-1.7547806524184502,41.69370538611292,-8.601925491837587,14.921052631578954,-10.07001647446458,45.56666666666668,45.56666666666668,2.232065531495106,1.9763963777128501,NASDAQ Golden Dragon China,Restaurants
YUM,"Yum! Brands, Inc.",124.86,USD,34844910684.91991,USD,0.913278913763837,-4.005535480894897,-9.789755075500324,-5.609313577260359,-1.3977730395640813,-7.112036899270934,-3.568118628359585,23.79535990481856,143.43868786274285,2070.560208273648,1.6515335651285263,1.828806067749556,"S&P 500, S&P 500 Consumer Discretionary, Nasdaq US Large Cap Growth, Russell 3000, Russell 1000, S&P 500 ESG",Restaurants
YPF,YPF Sociedad Anonima,45.545,USD,20223709773.936184,USD,2.325320152774666,0.09890109890110264,2.833596748701744,77.28688205527442,127.725,6.215018656716415,180.27692307692308,332.5261158594492,95.64003436426117,114.32941176470588,3.8585521171372013,3.918516802761404,,Integrated oil
YOU,"Clear Secure, Inc.",26.585,USD,3706071306.0481133,USD,0.3207547169811353,-1.5734912995186994,-1.5370370370370339,-25.532212885154067,29.17881438289603,-2.296949650863653,19.161810847153752,-31.037613488975346,-31.037613488975346,-31.037613488975346,3.500698968901225,3.6279141632546565,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Packaged software
YMM,Full Truck Alliance Co. Ltd.,11.1429,USD,11147697840,USD,4.530018761726069,5.02262016965127,0.20593525179856045,23.947719688542815,40.162264150943386,5.121698113207542,63.146412884333806,-50.476,-50.476,-50.476,3.377844334154979,3.0595534313323687,NASDAQ Golden Dragon China,Packaged software
YETI,"YETI Holdings, Inc.",37.195,USD,3155082889.838945,USD,-1.3918345705196145,-2.9104672409292665,-15.867450802985749,-10.931513409961681,-7.128589263420716,-4.652653165854903,-20.267952840300104,15.369106699751855,122.05970149253731,122.05970149253731,3.83562163357548,3.2772764757815778,"S&P MidCap 400, Russell 3000, Russell 1000",Miscellaneous manufacturing
YELP,Yelp Inc.,38.875,USD,2558662610.863942,USD,0.5561303673047165,-2.8125,-2.8125,10.754985754985752,3.3359914938862376,-0.9301732925586187,-11.888032638259288,6.0998908296943215,-22.528895974491828,76.62434194654338,1.7884854509862893,2.192364323583851,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Internet software/Services
XYL,Xylem Inc.,115.44,USD,28045536267.82705,USD,-0.1729505361466645,-1.2404825049191572,-4.539816422723897,-15.638702133878986,-16.58356817689139,-1.3501965475986997,2.9519307946133972,42.14998152936831,239.13043478260872,391.2340425531915,1.7124780510522943,1.6525128442193004,"S&P 500, S&P 500 Industrials, Nasdaq US Large Cap Growth, Russell 3000, Russell 1000, S&P 500 ESG",Industrial machinery
XRX,Xerox Holdings Corporation,8.8728,USD,1103546502.3393388,USD,1.172177879133412,4.140845070422538,1.98620689655173,-15.092822966507173,-25.375946173254842,3.533255542590426,-45.19579987646696,-75.81025081788441,-74.75406280817462,-79.46783729552301,4.937378971715536,4.720910062624155,"NASDAQ Composite, Russell 2000, Russell 3000, NASDAQ Computer, Mini-Russell 2000",Computer peripherals
XRAY,DENTSPLY SIRONA Inc.,17.95,USD,3568093006.18971,USD,-3.804930332261527,-3.959336543606217,-10.294852573713154,-26.704777460187827,-33.88581952117863,-5.922431865828088,-51.0899182561308,-69.399931810433,-64.42021803766104,2592.486537567312,4.909968837816083,3.305005715928029,"NASDAQ Composite, S&P MidCap 400, Russell 3000, Russell 1000",Medical specialties
XPRO,Expro Group Holdings N.V.,14.015,USD,1646693773.481085,USD,0.03568879371877788,7.973805855161788,23.26297273526826,-17.169030732860524,-40.86497890295358,10.354330708661427,-14.542682926829258,-43.16707218167072,-84.89111686071583,-91.42813455657493,3.949395672361028,4.119465663033044,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Oil & gas production
XPO,"XPO, Inc.",135.8,USD,15807376939.966097,USD,0.09582074150514033,-1.9494584837545044,-14.218937527635646,15.280135823429553,19.300711587454987,2.0362160943722354,58.737580362361214,381.8114919988249,1010.741045856756,12995.631864237448,2.736677344220012,3.5197353527603727,"S&P MidCap 400, Russell 3000, Russell 1000",Trucking
