,index,BQR58,BQR6,BQR7,CPE887,NAC,CPE888
0,ADP,2025-04-01,,,,,
1,ADTN,,2025-07-01,2023-11-01,,,
2,AGL,,2024-12-01,2025-08-01,,,2023-05-01
3,ALNT,2024-10-01,,,,,
4,AMCX,2025-07-01,,,,,
5,AMPK,2024-12-01,,,,,
6,APO,2024-11-01,,,,,
7,APPN,2025-04-01,,,,,
8,APPS,2024-04-01,2024-09-01,2024-12-01,2024-09-01,,
9,ARCT,,2023-04-01,,,,
10,ASTE,2025-07-01,,,,,
11,ASTH,2025-02-01,,,,,
12,AUDAQ,,,,,2023-03-01,
13,AYR,,2021-03-01,,,,
14,BA,,2024-08-01,,,,
15,BALY,2024-04-01,,2024-09-01,,,
16,BAND,2024-04-01,,,,,
17,BKD,,2024-07-01,,,,
18,BLUE,,2022-01-01,2024-11-01,,,
19,BRID,,2025-07-01,,,,
20,BRK-A,,2023-11-01,,,,
21,BRY,,2021-09-01,,,,
22,BVS,,2024-01-01,,,,
23,CAKE,,2021-06-01,,,,
24,CAR,2025-04-01,,,,,
25,CATO,2024-05-01,2024-10-01,,2021-07-01,,
26,CDEV,,2021-04-01,,,,
27,CLGX,,2022-07-01,2024-06-01,2025-07-01,,
28,CLR,2024-12-01,2021-03-01,,,,
29,CMCO,2025-04-01,,,,,
30,CMP,,2024-03-01,2024-12-01,2025-05-01,,
31,CNDT,,2024-12-01,,,,
32,CODI,,,2025-05-01,,,
33,COR,2025-06-01,,,,,
34,COTY,,2021-09-01,,,,
35,CPE,,2021-09-01,,2021-10-01,,
36,CRBG,,2022-06-01,,,,
37,CRK,2024-08-01,,,,,
38,CRNC,,2023-03-01,2024-11-01,2022-01-01,,
39,CRS,,2021-06-01,,2022-06-01,,
40,CRVW,,,,,,2024-10-01
41,CUDA,,2023-05-01,,,,
42,CVE,,2021-01-01,,,,
43,CZR,,2022-01-01,,,,
44,DAL,,2022-11-01,,,,
45,DKNG,2024-10-01,,,,,
46,DNUT,2025-03-01,2025-07-01,,,,
47,DTI,2025-02-01,,,,,
48,EBS,,2022-11-01,,,2024-03-01,
49,EE,2025-05-01,,,,2024-08-01,
50,EFXT,2024-07-01,,,,,
51,EHAB,2025-06-01,2023-10-01,,,,
52,EMBC,2024-06-01,,,,,
53,EQM,,2024-02-01,,,,
54,ESIIT,,,,2023-01-01,,
55,ESLT,,2023-01-01,2023-05-01,,,
56,EVC,2024-04-01,,,,,
57,EVHC,,,,,2023-04-01,
58,EXAS,2024-12-01,,,,,
59,EXTR,2024-08-01,,,,,
60,FLWS,,,2025-05-01,2025-06-01,,
61,FLY,,,2025-08-01,,,2025-08-01
62,FMC,2024-07-01,,,,,
63,FNKO,,2025-06-01,2023-04-01,,,
64,FOGO,,2022-06-01,,,,
65,FOXF,2024-12-01,,,,,
66,FTRE,,2025-03-01,2025-04-01,,,
67,FUN,,2021-12-01,,,,
68,GDOT,2024-05-01,,,,,
69,GPOR,,2021-07-01,,,,
70,GRPN,,,2022-06-01,,2023-03-01,
71,GT,,,2024-12-01,,,
72,GTN,,2024-08-01,,,,
73,HAIN,,2023-09-01,,2023-07-01,,2025-06-01
74,HBI,2025-03-01,2023-09-01,,,,
75,HBIO,2024-04-01,2023-01-01,2024-08-01,2023-01-01,,
76,HE,2025-07-01,2024-04-01,,,,
77,HI,2025-05-01,,,,,
78,HLIT,,,,2022-03-01,,
79,HLLY,,2023-02-01,,,,
80,HLT,,,,2021-02-01,,
81,HNGR,2024-10-01,,,,,
82,HPK,,2023-06-01,,,,
83,HRYS,2024-08-01,,,,,
84,HXL,,2022-03-01,,,,
85,IART,,2025-07-01,,,,
86,IFF,2024-06-01,2024-03-01,,,,
87,IGT,,2023-12-01,,,,
88,IHG,,2021-04-01,,,,
89,IMGN,,,,2023-07-01,,
90,IOVA,,2024-03-01,,,,
91,IRWD,2024-09-01,2025-03-01,2025-04-01,,,
92,JEF,2025-04-01,,,,,
93,LFST,2024-12-01,,,,,
94,LGF.A,2025-05-01,,,,,
95,LOGM,,2022-12-01,,,,
96,LPRO,2024-12-01,2025-07-01,,,,
97,LUMN,,2023-06-01,2024-01-01,,,
98,LUV,,2022-09-01,,,,
99,LYLT,,,,2023-11-01,2022-12-01,
100,LYV,,2022-06-01,,,,
101,MAGN,,2022-05-01,2022-10-01,,,
102,MAR,,2021-03-01,,,,
103,MATV,,2025-01-01,,2025-04-01,,
104,MCS,,2023-04-01,,,,
105,MEI,,2024-07-01,2025-07-01,,,
106,MG,,2022-01-01,,2021-08-01,,
107,MGI,,2021-06-01,,,,
108,MMI,,2025-03-01,2024-05-01,,,
109,MODV,2024-04-01,,2024-09-01,,2025-01-01,
110,MODVQ,,2024-06-01,,,,
111,MPC,,2021-09-01,,,,
112,MPW,,2024-12-01,2024-05-01,,,
113,MRCY,,2024-09-01,,,,
114,MSG,,,,2023-01-01,,
115,MSGS,,,,2023-01-01,,
116,MTRX,,2021-03-01,,,,
117,MXL,2024-09-01,2024-12-01,,,,
118,MYGN,,,,2022-10-01,,
119,NAII,,2024-09-01,,,,
120,NBR,,2022-11-01,,,,2022-11-01
121,NCLH,2025-01-01,,,,,
122,NE,,2022-08-01,,,,
123,NEOG,2025-03-01,,,,,
124,NFE,,2024-03-01,2024-10-01,,2025-07-01,2024-10-01
125,NONE,,2024-01-01,,,,
126,NTNX,,2022-01-01,,,,
127,NWL,,2024-03-01,,2024-02-01,,
128,OMCC,,2022-10-01,,,,
129,OMCL,2024-04-01,,,,,
130,ONEW,,,2024-12-01,2025-02-01,,
131,OSCR,2024-12-01,2021-02-01,2025-08-01,2022-06-01,,
132,PACK,2024-12-01,,,,,
133,PAY,,2025-03-01,,,,2025-04-01
134,PENN,2024-04-01,,2024-09-01,,,
135,PII,2025-07-01,,,,,
136,PLUG,,2022-11-01,,,,
137,PRDO,2025-02-01,,,,,
138,PSXP,,2021-11-01,,,,
139,QEP,,2021-03-01,,,,
140,QTWO,2024-06-01,,,,,
141,QUMU,,2022-01-01,,,,
142,RCL,,2023-08-01,,,,
143,RDUS,2024-05-01,,2024-06-01,,,
144,RELY,2025-05-01,,,,,
145,RGS,,,,,2022-09-01,
146,RIG,,,,2022-11-01,,
147,RP,,2021-04-01,,,,
148,SALT,2024-12-01,,,,,
149,SBGI,,,,,2021-07-01,
150,SCHL,,2021-06-01,,2021-09-01,,
151,SCHN,,2024-07-01,2024-06-01,2022-01-01,,
152,SGH,2024-04-01,,,,,
153,SHYF,2024-04-01,,,,,
154,SLAB,,2025-03-01,,,,
155,SMG,2024-12-01,2024-12-01,,2023-07-01,,
156,SMSI,,2022-07-01,,,,
157,SMTC,,2025-01-01,2024-04-01,2023-08-01,,
158,SNAP,,2024-12-01,2023-09-01,2025-05-01,,
159,SPB,,2022-12-01,,,,
160,SPHR,,,2024-08-01,,2024-09-01,
161,SSP,,2025-03-01,,,,
162,SWX,2025-03-01,2022-10-01,,,,
163,TBI,2024-09-01,2025-04-01,,,,
164,TDS,2024-12-01,2023-09-01,,,,2023-11-01
165,TELA,2024-04-01,,,,,
166,TEN,,2022-09-01,,,,2023-01-01
167,TG,2024-11-01,,,,,
168,TRIP,,2022-06-01,,,,
169,TRTN,,2021-04-01,,,,
170,TTAN,,2022-02-01,,,,
171,TTEC,2024-06-01,2024-08-01,2025-01-01,2023-01-01,,
172,TTTN,,2021-10-01,,,,
173,TTWO,2024-07-01,,,,,
174,TUP,,2022-11-01,,,2023-05-01,
175,VCSA,,2022-01-01,,,,
176,VFC,2024-05-01,2024-08-01,,,,
177,VLO,,2021-09-01,,,,
178,WDC,2024-11-01,2023-12-01,2024-09-01,,,
179,WEST,,,2024-09-01,2024-03-01,,
180,WFRD,,2021-12-01,,,,
181,WH,,2021-03-01,,,,
182,WLFC,2024-11-01,2023-11-01,2022-03-01,,,
183,WRLD,2025-07-01,,,,,
184,WWW,,2023-04-01,,,,
185,XRX,,2022-03-01,,,,
186,ZIP,2024-12-01,2025-06-01,,,,
187,ZUMZ,,2023-12-01,,,,
