"Symbol: MDLA",,,,,,"Study: VOL (LikeMain)",
"Date Time","Open","High","Low","Close","Change","Volume","Open Interest"
2019-07-19,34,39.56,32.05,37.05,0,18257400,
2019-07-22,37.51,38.6,35.55,36,-1.0499999999999972,3594700,
2019-07-23,36.73,37.3,35.8,36.73,0.7299999999999969,1251100,
2019-07-24,36.95,40.54,36.1,40.54,3.8100000000000023,1285700,
2019-07-25,41.25,44.72,41,41.5,0.9600000000000009,4098800,
2019-07-26,41.815,44.499,41.55,43,1.5,697200,
2019-07-29,43.34,43.8,41.0369,42.28,-0.7199999999999989,824100,
2019-07-30,42.68,42.754,38.53,41.08,-1.2000000000000028,809300,
2019-07-31,40.96,41.35,39.75,39.85,-1.2299999999999969,920700,
2019-08-01,40,40.23,37.9,37.96,-1.8900000000000006,618800,
2019-08-02,37.51,40.63,36.74,39.87,1.9099999999999966,564900,
2019-08-05,38.4,38.8,37.41,38.32,-1.5499999999999972,438600,
2019-08-06,38.5,38.89,37.3872,37.62,-0.7000000000000028,781100,
2019-08-07,37.5,38.7,36.64,38.18,0.5600000000000023,285500,
2019-08-08,38.07,39.2999,36.53,37,-1.1799999999999997,439700,
2019-08-09,37.08,37.5925,34.22,37.43,0.4299999999999997,942900,
2019-08-12,37.24,39.85,37.24,39.33,1.8999999999999986,376900,
2019-08-13,40.3,43.05,40.2,41.45,2.1200000000000045,551300,
2019-08-14,40.79,42.85,40.12,41.29,-0.1600000000000037,548300,
2019-08-15,41.7,42.8,39.36,40.09,-1.1999999999999957,606500,
2019-08-16,40.11,40.7366,39.16,39.65,-0.44000000000000483,303300,
2019-08-19,39.68,40.8,37.5,37.68,-1.9699999999999989,431400,
2019-08-20,37.59,38.15,35.82,36.72,-0.9600000000000009,950900,
2019-08-21,37.02,38.45,36.5,37.41,0.6899999999999977,657200,
2019-08-22,37.46,38.17,36.8,37.23,-0.17999999999999972,706500,
2019-08-23,37.03,38.99,37.03,37.76,0.5300000000000011,377600,
2019-08-26,38.11,38.32,36.93,37.61,-0.14999999999999858,318200,
2019-08-27,37.62,38.8,37.62,38.35,0.740000000000002,323500,
2019-08-28,38.41,38.45,35.4,35.45,-2.8999999999999986,862800,
2019-08-29,35.78,36.6,34.83,35.89,0.4399999999999977,580100,
2019-08-30,35.99,36.46,35.29,35.62,-0.2700000000000031,208600,
2019-09-03,35.75,36.6,34.17,34.2,-1.4199999999999946,694700,
2019-09-04,34.67,36.98,34.6109,36.9,2.6999999999999957,754100,
2019-09-05,37.22,37.6426,35.42,36.48,-0.4200000000000017,913200,
2019-09-06,33.59,36.3,33,34.17,-2.309999999999995,2070400,
2019-09-09,33.84,33.85,26.18,28.48,-5.690000000000001,4051600,
2019-09-10,27.99,29.4,27.31,28.99,0.509999999999998,1368500,
2019-09-11,28.67,29.2,27.75,28.4,-0.5899999999999999,1399500,
2019-09-12,28.55,28.71,26.26,26.26,-2.139999999999997,1011100,
2019-09-13,28,32.23,27.75,30.08,3.8199999999999967,3054500,
2019-09-16,30,31.22,29.6434,30.42,0.3400000000000034,830500,
2019-09-17,30.3,32.08,30.16,31.3,0.879999999999999,1072100,
2019-09-18,30.93,31.37,29.895,31.25,-0.05000000000000071,852400,
2019-09-19,31.25,31.25,30,30.04,-1.2100000000000009,733600,
2019-09-20,30.02,31.1262,29.87,30.12,0.08000000000000185,2348300,
2019-09-23,30,30.69,29.5,30.31,0.18999999999999773,477300,
2019-09-24,30.43,30.72,29.5,30.19,-0.11999999999999744,1621300,
2019-09-25,30.2,30.97,29.7,30.66,0.46999999999999886,628000,
2019-09-26,30.15,30.94,28.58,29.5,-1.1600000000000001,2012100,
2019-09-27,29.64,30.1,26.5229,27.51,-1.9899999999999984,1394200,
2019-09-30,27.44,27.555,26.1,27.43,-0.08000000000000185,1356600,
2019-10-01,27.04,27.505,26.155,26.41,-1.0199999999999996,1220100,
2019-10-02,26.18,28.35,25.68,27.71,1.3000000000000007,1175900,
