"Symbol: NICK",,,,,,"Study: VOL (LikeMain)",
"Date Time","Open","High","Low","Close","Change","Volume","Open Interest"
2019-06-12,8.8,8.8,8.8,8.8,0,600,
2019-06-13,9.2,9.22,8.81,9.14,0.33999999999999986,700,
2019-06-14,9.04,9.27,8.84,9.2,0.05999999999999872,3600,
2019-06-17,9.01,9.04,9.01,9.04,-0.16000000000000014,1200,
2019-06-18,9.05,9.1,8.97,8.975,-0.0649999999999995,33200,
2019-06-20,9.43,9.43,8.9,9.0342,0.059200000000000585,62900,
2019-06-21,9.0702,9.23,9.0702,9.23,0.1958000000000002,1300,
2019-06-24,9.1138,9.1138,8.92,8.92,-0.3100000000000005,2400,
2019-06-25,8.96,9.04,8.9,9,0.08000000000000007,74900,
2019-06-26,8.95,9.23,8.949,9.03,0.02999999999999936,8700,
2019-06-27,9.12,9.25,9.12,9.15,0.120000000000001,7800,
2019-06-28,9.3,9.7,9.25,9.4,0.25,30500,
2019-07-01,9.4,9.4,9.155,9.3763,-0.023699999999999832,8100,
2019-07-02,9.01,9.2721,8.9801,9.035,-0.3413000000000004,8600,
2019-07-03,9.04,9.17,9.04,9.05,0.015000000000000568,11800,
2019-07-05,9.21,9.21,9.1,9.1,0.049999999999998934,1400,
2019-07-08,9.1,9.13,9.0949,9.13,0.030000000000001137,2400,
2019-07-09,9,9.11,8.95,8.95,-0.1800000000000015,5400,
2019-07-10,8.7104,9.11,8.7104,8.9,-0.049999999999998934,2800,
2019-07-11,8.8,8.9,8.8,8.8424,-0.05760000000000076,2800,
2019-07-12,8.8,8.8,8.65,8.65,-0.19239999999999924,8500,
2019-07-15,8.9011,8.9011,8.65,8.65,0,9200,
2019-07-16,8.75,8.91,8.59,8.63,-0.019999999999999574,1400,
2019-07-17,8.75,8.9,8.55,8.775,0.14499999999999957,1300,
2019-07-19,8.59,8.85,8.56,8.6264,-0.14860000000000007,1400,
2019-07-22,8.55,8.68,8.3965,8.3965,-0.22990000000000066,2800,
2019-07-23,8.41,8.9292,8.41,8.62,0.2234999999999996,2600,
2019-07-24,8.51,8.6502,8.46,8.5,-0.11999999999999922,1300,
2019-07-25,8.4,8.665,8.4,8.48,-0.019999999999999574,3400,
2019-07-26,8.48,8.7564,8.48,8.61,0.129999999999999,5200,
2019-07-29,8.61,8.94,8.61,8.65,0.040000000000000924,1900,
2019-07-30,8.65,8.88,8.65,8.7,0.049999999999998934,1300,
2019-07-31,8.64,8.79,8.38,8.38,-0.3199999999999985,11900,
2019-08-01,8.66,8.89,8.35,8.35,-0.030000000000001137,7400,
2019-08-02,8.32,8.524,8.32,8.524,0.1739999999999995,1700,
2019-08-07,8.5,8.515,8.5,8.515,-0.008999999999998565,600,
2019-08-08,8.52,8.72,8.35,8.35,-0.16500000000000092,1900,
2019-08-09,8.4742,8.4742,8.22,8.22,-0.129999999999999,3600,
2019-08-12,8.17,8.4,8.15,8.15,-0.07000000000000028,22000,
2019-08-13,8.12,8.4502,8.12,8.3601,0.21009999999999884,55400,
2019-08-14,8.12,8.29,8.11,8.15,-0.21009999999999884,36700,
2019-08-15,8.07,8.44,8.07,8.18,0.02999999999999936,12500,
2019-08-16,8.15,8.75,8.15,8.69,0.5099999999999998,42800,
2019-08-19,8.55,9,8.55,8.75,0.0600000000000005,50200,
2019-08-20,9,9.9,8.77,9.8,1.0500000000000007,40100,
2019-08-21,9.7,9.7,9.41,9.41,-0.39000000000000057,7600,
2019-08-22,9.49,9.6,9.35,9.57,0.16000000000000014,27600,
2019-08-23,9.1,9.52,9,9.42,-0.15000000000000036,31000,
2019-08-26,9.44,9.5,9.17,9.28,-0.14000000000000057,4900,
2019-08-27,9.2,9.58,8.82,9.07,-0.20999999999999908,22700,
2019-08-28,9.1,9.305,8.62,8.93,-0.14000000000000057,33500,
2019-08-29,9.06,9.28,9,9,0.07000000000000028,1900,
2019-08-30,9.159,9.44,9.159,9.25,0.25,700,
2019-09-03,9.58,9.58,9.58,9.58,0.33000000000000007,200,
2019-09-04,9.51,9.5387,9.49,9.5387,-0.04129999999999967,1300,
2019-09-05,9.36,9.4937,9.27,9.27,-0.2687000000000008,400,
2019-09-06,9.26,9.26,9.05,9.165,-0.10500000000000043,1900,
2019-09-09,9.2,9.24,9.01,9.15,-0.014999999999998792,18400,
2019-09-10,9.1455,9.48,9.1455,9.48,0.33000000000000007,400,
2019-09-11,9.2644,9.2644,9.2644,9.2644,-0.21560000000000024,200,
2019-09-12,9.2,9.26,9.04,9.09,-0.17440000000000033,800,
2019-09-13,9.1733,9.215,9.08,9.215,0.125,1400,
2019-09-16,9.03,9.03,9,9,-0.21499999999999986,1000,
2019-09-17,9,9.235,9,9.23,0.23000000000000043,2800,
2019-09-18,9.12,9.24,9.01,9.12,-0.11000000000000121,3300,
2019-09-19,9,9.24,9,9.24,0.120000000000001,8400,
2019-09-20,9.24,9.4,9.02,9.4,0.16000000000000014,5800,
2019-09-23,9.31,9.31,9.11,9.11,-0.2900000000000009,4300,
2019-09-24,9.19,9.19,8.81,8.98,-0.129999999999999,5300,
2019-09-25,8.82,9.24,8.82,8.93,-0.05000000000000071,1600,
2019-09-26,9,9.21,9,9,0.07000000000000028,2100,
2019-09-27,8.96,8.99,8.96,8.96,-0.03999999999999915,1100,
2019-09-30,9,9.0741,8.9952,9.01,0.049999999999998934,1700,
2019-10-01,8.9,9.02,8.9,9,-0.009999999999999787,1600,
2019-10-02,8.99,9.09,8.81,8.81,-0.1899999999999995,3700,
2019-10-03,8.91,9,8.91,9,0.1899999999999995,20300,
2019-10-04,8.94,8.94,8.94,8.94,-0.0600000000000005,100,
