ticker,CAR Date,Price Date,Price,-120D,-25D,75D,150D,Gain,Gain Date,Pain,Pain Date,up_10,up_20,up_30,down_10,down_20,down_30,cum_ret_exit_20,ret_date_20,cum_ret_exit_30,ret_date_30,Action,cum_ret_exit_20_down_10,ret_date_20_down_10,cum_ret_exit_30_down_10,ret_date_30_down_10,Action_down_20,cum_ret_exit_20_down_20,ret_date_20_down_20,cum_ret_exit_30_down_20,ret_date_30_down_20,Action_down_30,cum_ret_exit_20_down_30,ret_date_20_down_30,cum_ret_exit_30_down_30,ret_date_30_down_30,Action_move_10,cum_ret_exit_20_move_10,ret_date_20_move_10,cum_ret_exit_30_move_10,ret_date_30_move_10,Action_move_20,cum_ret_exit_20_move_20,ret_date_20_move_20,cum_ret_exit_30_move_20,ret_date_30_move_20,Action_move_30,cum_ret_exit_20_move_30,ret_date_20_move_30,cum_ret_exit_30_move_30,ret_date_30_move_30
ADTN,2025-07-01,2025-08-01,8.760000228881836,-0.2115211071481028,0.0,,,0.21118714377380288,28.0,-0.07648402497581519,2.0,23.0,28.0,,,,,0.16593397933063003,28.0,0.16593397933063003,28.0,,,,,,,,,,,,,,,,23.0,0.053386739587740595,999.0,0.053386739587740595,999.0,28.0,-0.021049327614643027,999.0,-0.021049327614643027,999.0,,,,,
AGL,2024-12-01,2025-01-01,1.909999966621399,-0.6894309045523217,0.010582000570312555,1.0523560967532566,-0.548167544103225,1.9738219516233717,68.0,-0.548167544103225,150.0,3.0,5.0,6.0,144.0,146.0,146.0,1.0654544830322266,68.0,1.0654544830322266,68.0,144.0,-0.3363865669847298,999.0,-0.3363865669847298,999.0,146.0,-0.00409091063028526,999.0,-0.00409091063028526,999.0,146.0,-0.00409091063028526,999.0,-0.00409091063028526,999.0,7.0,1.0654544830322266,68.0,1.0654544830322266,68.0,7.0,1.0654544830322266,68.0,1.0654544830322266,68.0,7.0,1.0654544830322266,68.0,1.0654544830322266,68.0
AKA,2024-05-01,2024-06-01,17.045000076293945,0.7392856882195435,0.350633932714876,0.4667057722557484,0.04957461481796721,0.7893810421520129,70.0,-0.2519800561495683,15.0,49.0,49.0,51.0,11.0,14.0,,-0.22327233422966342,14.0,0.8015357029069661,70.0,11.0,1.1210013739409357,70.0,1.1210013739409357,70.0,14.0,1.3193917022644661,70.0,1.3193917022644661,70.0,,,,,,11.0,1.1210013739409357,70.0,1.1210013739409357,70.0,14.0,1.3193917022644661,70.0,1.3193917022644661,70.0,51.0,0.008614790856254835,999.0,0.008614790856254835,999.0
APPS,2024-09-01,2024-10-01,2.809999942779541,0.37073171128835236,-0.24258762428933922,-0.23131667978110304,0.4697509603347838,1.3202847379694918,92.0,-0.5693949954496835,35.0,6.0,8.0,20.0,27.0,27.0,27.0,-0.3952702909512098,27.0,-0.3952702909512098,27.0,27.0,2.6424581675280825,92.0,2.6424581675280825,92.0,27.0,2.6424581675280825,92.0,2.6424581675280825,92.0,27.0,2.6424581675280825,92.0,2.6424581675280825,92.0,7.0,1.2027026678716468,92.0,1.2027026678716468,92.0,8.0,0.8681948318366817,92.0,0.8681948318366817,92.0,20.0,0.7621621342973177,92.0,0.7621621342973177,92.0
BA,2024-08-01,2024-09-01,167.3800048828125,-0.13044833442660653,-0.10439292937317302,0.031305951018723244,-0.03919224141011668,0.11273745110952116,111.0,-0.18395272820358,147.0,107.0,,,22.0,,,0.14425259637049526,111.0,0.14425259637049526,111.0,22.0,0.23737705762260752,111.0,0.23737705762260752,111.0,,,,,,,,,,,22.0,0.23737705762260752,111.0,0.23737705762260752,111.0,,,,,,,,,,
CATO,2024-10-01,2024-11-01,6.329999923706055,0.35250915174318664,0.1988635742754672,-0.5086887942211855,-0.48815165109199476,0.0015798150082726448,3.0,-0.6413902040622006,110.0,,,,14.0,14.0,15.0,-0.3847457532600508,15.0,-0.3847457532600508,15.0,14.0,-0.36868672522988344,999.0,-0.36868672522988344,999.0,14.0,-0.36868672522988344,999.0,-0.36868672522988344,999.0,15.0,-0.14108332044072638,999.0,-0.14108332044072638,999.0,14.0,-0.36868672522988344,999.0,-0.36868672522988344,999.0,14.0,-0.36868672522988344,999.0,-0.36868672522988344,999.0,15.0,-0.14108332044072638,999.0,-0.14108332044072638,999.0
EDR,2025-01-01,2025-02-01,,,,,,,,,,,,,,,,,999.0,,999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTRE,2025-03-01,2025-04-01,7.050000190734863,-0.6178861843249237,-0.5207341827020854,-0.3390071317251454,,0.6496453616731968,108.0,-0.4241134988740556,37.0,92.0,100.0,103.0,4.0,7.0,10.0,-0.22072938329122338,37.0,1.2322456870033598,108.0,7.0,1.2322456870033598,108.0,1.2322456870033598,108.0,7.0,1.2322456870033598,108.0,1.2322456870033598,108.0,10.0,1.3930040730330053,108.0,1.3930040730330053,108.0,7.0,1.2322456870033598,108.0,1.2322456870033598,108.0,7.0,1.2322456870033598,108.0,1.2322456870033598,108.0,10.0,1.3930040730330053,108.0,1.3930040730330053,108.0
GTN,2024-08-01,2024-09-01,4.656419277191162,-0.11856883340124069,-0.2229937296642167,-0.3251835929127652,-0.223759497866868,0.20268966830134594,46.0,-0.38709331557233906,82.0,28.0,46.0,,6.0,71.0,74.0,0.3192902932727757,46.0,0.3192902932727757,46.0,7.0,0.3192902932727757,46.0,0.3192902932727757,46.0,71.0,0.38495614824186997,136.0,0.38495614824186997,136.0,74.0,0.6080647550223721,136.0,0.6080647550223721,136.0,7.0,0.3192902932727757,46.0,0.3192902932727757,46.0,46.0,-0.3210111433941629,999.0,-0.3210111433941629,999.0,74.0,0.6080647550223721,136.0,0.6080647550223721,136.0
HE,2024-05-01,2024-06-01,10.84499979019165,-0.1851991398732079,0.03285712287539533,0.01060398802951834,-0.16274780088809992,0.6145689781126686,32.0,-0.2863070612395665,23.0,29.0,32.0,32.0,8.0,19.0,,-0.20394086429768288,22.0,0.7251232400949887,32.0,8.0,0.13459746068407663,999.0,0.13459746068407663,999.0,19.0,0.36797060727394937,999.0,0.36797060727394937,999.0,,,,,,8.0,0.13459746068407663,999.0,0.13459746068407663,999.0,19.0,0.36797060727394937,999.0,0.36797060727394937,999.0,32.0,-0.35331552186262644,999.0,-0.35331552186262644,999.0
