,index,BQR58,BQR6,BQR7,CPE887,NAC,CPE888
0,ADP,2025-04-01,,,,,
1,ADTN,,2025-07-01,,,,
2,AGL,,2024-12-01,2025-08-01,,,2023-05-01
3,AKA,,2024-05-01,,,,
4,ALNT,2024-10-01,,,,,
5,AMCX,2025-07-01,,,,,
6,AMPK,2024-12-01,,,,,
7,APO,2024-11-01,,,,,
8,APPN,2025-04-01,,,,,
9,APPS,2024-04-01,2024-09-01,2024-12-01,2024-09-01,,
10,ASTE,2025-07-01,,,,,
11,ASTH,2025-02-01,,,,,
12,BA,,2024-08-01,,,,
13,BALY,2024-04-01,,2024-09-01,,,
14,BAND,2024-04-01,,,,,
15,CAR,2025-04-01,,,,,
16,CATO,2024-05-01,2024-10-01,,2024-11-01,,
17,CLR,2024-12-01,,,,,
18,CMCO,2025-04-01,,,,,
19,CMP,,,2024-12-01,,,
20,CODI,,,2025-05-01,,,2025-06-01
21,COR,2025-06-01,,,,,
22,CRK,2024-08-01,,,,,
23,CRNC,,,2024-11-01,,,
24,CRWV,,,,,,2024-10-01
25,DKNG,2024-10-01,,,,,
26,DNUT,2025-03-01,,,,,
27,DTI,2025-02-01,,,2024-07-01,,
28,EBS,,,,,2024-03-01,
29,EDR,,2025-01-01,,,,
30,EE,2025-05-01,,,,,
31,EFXT,2024-07-01,,,,,
32,EHAB,2025-06-01,,,,,
33,EMBC,2024-06-01,,,,,
34,EVC,2024-04-01,,,,,
35,EXAS,2024-12-01,,,,,
36,EXTR,2024-08-01,,,,,
37,FLWS,,,2025-05-01,2025-06-01,,
38,FLY,,,2025-08-01,,,2025-08-01
39,FMC,2024-07-01,,,,,
40,FOXF,2024-12-01,,,,,
41,FTRE,,2025-03-01,2025-04-01,,,
42,GDOT,2024-05-01,,,,,
43,GORV,,,,,2025-05-01,
44,GT,,,2024-12-01,2025-05-01,,
45,GTN,,2024-08-01,,,,
46,HAIN,,,,,,2025-06-01
47,HBI,2025-03-01,,,,,
48,HBIO,2024-04-01,,2024-08-01,,,
49,HE,2025-07-01,2024-05-01,,,,
50,HI,2025-05-01,,,,,
51,HNGR,2024-10-01,,,,,
52,HRYS,2024-08-01,,,,,
53,IART,,2025-07-01,,,,
54,IFF,2024-06-01,,,,,
55,IRWD,2024-09-01,2025-03-01,2025-04-01,,,
56,JEF,2025-04-01,,,,,
57,LFST,2024-12-01,,,,,
58,LGF.A,2025-05-01,,,,,
59,LPRO,2024-12-01,,,,,
60,LTH,,2024-06-01,,,,
61,MATV,,2025-01-01,,2025-04-01,,
62,MEI,,2024-07-01,2025-07-01,2024-07-01,,
63,MMI,,2025-03-01,2024-05-01,,,
64,MODV,2024-04-01,2024-06-01,2024-09-01,2024-09-01,2025-01-01,
65,MPW,,,2024-05-01,,,
66,MRCY,,2024-09-01,,,,
67,MXL,2024-09-01,2024-12-01,,,,
68,NCLH,2025-01-01,,,,,
69,NEOG,2025-03-01,,,,,
70,NFE,,,2024-10-01,,2025-07-01,2024-10-01
71,OMCL,2024-04-01,,,,,
72,ONEW,,,2024-12-01,2025-02-01,,
73,OSCR,2024-12-01,,2025-08-01,,,
74,PACK,2024-12-01,,,,,
75,PENN,2024-04-01,,2024-09-01,,,
76,PII,2025-07-01,,,,,
77,PRDO,2025-02-01,,,,,
78,QTWO,2024-06-01,,,,,
79,RDUS,2024-05-01,,2024-06-01,,,
80,RELY,2025-05-01,,,,,
81,SALT,2024-12-01,,,,,
82,SBGI,,2025-02-01,,2025-06-01,,
83,SGH,2024-04-01,,,,,
84,SHYF,2024-04-01,,,,,
85,SLAB,,2025-03-01,,,,
86,SMG,2024-12-01,,,,,
87,SMTC,,2025-01-01,2024-04-01,2025-01-01,,
88,SNAP,,2024-12-01,,2025-04-01,,
89,SPHR,,2024-05-01,2024-08-01,,2024-09-01,
90,SSP,,2025-03-01,,2025-04-01,,
91,SWX,2025-03-01,,,,,
92,TBI,2024-09-01,2025-04-01,,,,
93,TDS,2024-12-01,,,,,
94,TELA,2024-04-01,,,,,
95,TG,2024-11-01,,,,,
96,TTEC,2024-06-01,2024-08-01,2025-01-01,2024-08-01,,
97,TTWO,2024-07-01,,,,,
98,VFC,2024-05-01,2024-08-01,,,,
99,WDC,2024-11-01,,2024-09-01,,,
100,WLFC,2024-11-01,,,,,
101,WRLD,2025-07-01,,,,,
102,ZIP,2024-12-01,2025-06-01,,,,
