Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1
Header,Statement Date,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Header,Filing Date,2025-11-06,2025-09-11,2025-05-08,2025-02-06,2024-11-07,2024-09-12,2024-05-09,2024-02-08,2023-11-09,2023-10-27,2023-05-10,2023-02-08,2022-11-04,2022-10-27,2022-05-06,2022-02-04,2021-11-05
Revenue & Margin,Segment-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-1 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,338817000,342282000,341537000,344841000,344273000,341095000,218357000,218722000,218188000,216126000,377456000,411131000,440657000,469193000,449062000,422816000,408942000
Revenue & Margin,Rev-CoGS / Sale (%),42.50937821892054,43.50535523340404,41.99457159839198,41.51304514254395,40.7885602414363,39.25416672774447,59.57354240990671,56.97049222300454,54.778906264322515,53.5571842351221,32.243228349794414,31.257433761988274,30.06419959288063,29.18116851700686,29.035411591272474,28.074859986377053,26.889143203681698
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),0.2609078056886166,0.5510076486639671,-1.4595783180153248,-2.0838589378873165,-3.3165540138204275,-5.608115041264164,-5.3462907074195005,-7.171203628350144,-7.880360056465068,-7.5354191536418575,-5.765705141791361,-4.357005431358861,-4.342606607860536,-3.7368417687390902,-3.258792772490213,-4.973558238098843,-6.528798704950824
Revenue & Margin,Op. Income / Rev (%),-0.5350971173229206,-0.42654886906118344,-2.787399315447521,-1.863177522394379,-0.8690777377255842,-0.6602266230815462,0.7267914470339856,-2.1717065498669545,-5.707004968192568,-5.157639525091844,-4.020866008223475,-2.9941794707769542,-3.0933356329299206,-3.1176935717284784,-3.6651954518529735,-5.419851661242715,-6.971159724361891
