Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4,2021-Q3
Header,Statement Date,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Header,Filing Date,2025-10-30,2025-08-05,2025-05-07,2025-03-06,2024-10-31,2024-08-06,2024-05-07,2024-03-08,2023-11-07,2023-08-04,2023-05-09,2023-03-08,2022-11-07,2022-08-04,2022-05-05,2022-03-08,2021-11-04
Revenue & Margin,Segment-1,-,-,-,Service Revenue,-,-,-,Cement,-,-,-,Cement,-,-,-,Service,-
Revenue & Margin,Segment-1 %,-,-,-,3805.6%,-,-,-,3687.5%,-,-,-,3866.1%,-,-,-,3557.6%,-
Revenue & Margin,Segment-2,-,-,-,Cement,-,-,-,Tools,-,-,-,Tools,-,-,-,Cement,-
Revenue & Margin,Segment-2 %,-,-,-,1805.0%,-,-,-,2383.7%,-,-,-,2326.0%,-,-,-,1633.9%,-
Revenue & Margin,Segment-3,-,-,-,Tool Revenue,-,-,-,Coiled Tubing,-,-,-,Coiled Tubing,-,-,-,Product,-
Revenue & Margin,Segment-3 %,-,-,-,1194.4%,-,-,-,2010.6%,-,-,-,1998.8%,-,-,-,1442.4%,-
Revenue & Margin,Others,-,-,-,"Tools, Wireline, Coiled Tubing",-,-,-,Wireline,-,-,-,Wireline,-,-,-,"Tools, Wireline, Coiled Tubing",-
Revenue & Margin,Others %,-,-,-,3195.0%,-,-,-,1918.2%,-,-,-,1809.2%,-,-,-,3366.1%,-
Revenue & Margin,Revenue Total,571171000,577300000,562450000,554104000,556751000,559211000,588238000,609526000,632122000,658937000,639855000,593382000,531806000,457242000,399728000,349419000,306297000
Revenue & Margin,Rev-CoGS / Sale (%),11.503385150856749,12.063398579594665,11.268023824339942,10.936214140305792,10.588216276216837,10.018937395723619,11.683876254169231,12.816352378733638,14.61331831513537,17.321534532132816,17.16123184158911,16.18552635570341,13.219106215424423,8.48872150852284,4.040997878557419,-1.0285645600267874,-8.029788081502593
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),2.0354674869697513,2.7635544777412093,1.9701306782825139,1.6783852850728382,1.769193050394162,1.114606114686585,2.921266562173814,3.137684036447994,4.980051319207368,8.017306662093644,7.857405193364121,7.480678551085136,3.8995423143025842,-1.8342584451996973,-7.695232758275628,-13.99322875974117,-22.548702729703525
Revenue & Margin,Op. Income / Rev (%),2.034417013468821,2.6395288411571105,1.804604853764779,1.6134155321022767,1.3699122228788094,0.7802063979428159,2.5686881840343534,2.8830599515032995,5.012639965070035,7.93110722269352,7.71549804252526,7.342319113151394,3.595672105993539,-1.9068676980679815,-7.913881439378779,-14.313760842999379,-22.572862287257138
Revenue & Margin,Net Profit / Rev (%),-7.168081012516392,-6.311796293088516,-7.127389101253446,-7.4141316431572415,-7.641477069641546,-8.165611906775796,-5.807003287784876,-5.284926319796038,-2.202739344620184,2.0675724689917243,2.3728813559322033,2.425587564166085,-1.7560915070533238,-8.677243122897721,-15.81775607413041,-18.48067792535609,-27.490311690940494
EBITDA,Net Income,-40942000,-36438000,-40088000,-41082000,-42544000,-45663000,-34159000,-32213000,-13924000,13624000,15183000,14393000,-9339000,-39676000,-63228000,-64575000,-84202000
EBITDA,D & A,45302000,45117000,49260000,50033000,51184000,52342000,53093000,53181000,52368000,50602000,49430000,48917000,49124000,50940000,52160000,53683000,61669000
EBITDA,Net Int Inc,-53426000,-52509000,-50727000,-50472000,-50282000,-49995000,-50062000,-49849000,-45377000,-40972000,-36385000,-32181000,-32155000,-32129000,-31994000,-32501000,-33103000
EBITDA,Tax Provision,-454000,-434000,159000,198000,537000,679000,-145000,585000,881000,1155000,1318000,546000,-109000,-557000,60000,-25000,53000
EBITDA,EBITDA,57332000,60754000,60058000,59621000,59459000,57353000,68851000,71402000,84702000,106353000,102316000,96037000,71831000,42836000,20986000,21584000,10623000
EBITDA,Stock-Based Comp,2477000,2847000,3115000,2946000,2803000,2546000,2261000,2169000,2088000,2029000,2002000,2440000,3158000,3790000,4323000,5406000,6218000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,0.6319,0.7711,1.13,1.12,1.13,1.65,2.22,2.68,4.12,3.83,5.56,14.53,2.64,2.65,3.74,1.0,1.83
Capital Structure,O/S Shares,41297925,40886710,40164000,40105000,39210000,35477154,33850317,33850317,33659386,33293740,32304361,31287694,31100712,30832566,29995782,30278210,30284903
Capital Structure,Market Capitalization,26096158,31527742,45385319,44917600,44307299,58537304,75147703,90718849,138676670,127515024,179612247,454610193,82105879,81706299,112184224,30278210,55421372
Capital Structure,Cash,14389000,17755000,17275000,27880000,15652000,26027000,10237000,30840000,12159000,41122000,21374000,17445000,21490000,22408000,19941000,21509000,29969000
Capital Structure,Debt,375907000,362881000,359105000,358791000,356125000,358609000,360225000,366318000,363237000,386838000,382078000,377802000,378240000,389130000,382228000,372068000,361972000
Capital Structure,Enterprise Value,387614158,376653742,387215319,375828600,384780299,391119304,425135703,426196849,489754670,473231024,540316247,814967193,438855879,448428299,474471224,380837210,387424372
Capital Structure,netCommonStockIssuance,0,0,0,0,1469000,6780000,0,0,0,-2000,279750000,-1000,-348000,-431000,0,0,-1000
Capital Structure,netDebtIssuance,12081000,592000,-1333000,571000,-2743000,-1092000,-6064000,2839000,-15354000,-1399000,-268425000,6716000,-10936000,6298000,3746000,15402000,-557000
Liquidity & Cash Flow,DSO,56.26394503572485,55.395688983197644,55.41192550448929,55.58980353868588,56.55441121794123,57.32841449828419,56.19873673581101,55.311758645242364,55.800009729134565,56.169398591974655,56.98028459572872,58.72932192078627,58.56303332418213,59.07655300694162,60.765458011447784,61.269711292173575,63.1058172296823
Liquidity & Cash Flow,DIO,38.44881564968633,38.10798066808757,39.76930729572627,41.17090774985512,41.49483679221215,41.56413707510573,40.89966680076765,41.819561089710895,42.45122955527394,41.10227120460941,39.76487035136441,38.51401707081674,37.57671622904144,39.277617654650264,41.02663755458515,42.717385761997434,44.531297220845474
Liquidity & Cash Flow,DPO,29.56331966280687,28.2481390030296,27.865575276562748,26.762643210011632,26.04175915677148,24.390747221692262,23.294606060722717,22.54312372625878,23.687894628604457,26.02220956719818,26.393824238559525,26.73485191217276,26.135321100917434,25.67870099515329,26.37691781268331,26.462817941548895,25.32531384862735
Liquidity & Cash Flow,CCC,65.14944102260432,65.25553064825561,67.3156575236528,69.99806807852936,72.0074888533819,74.50180435169764,73.80379747585594,74.58819600869447,74.56334465580406,71.24946022938589,70.3513307085336,70.50848707943025,70.00442845230613,72.6754696664386,75.41517775334964,77.52427911262212,82.31180060190043
Liquidity & Cash Flow,OCF,9855000,13949000,16755000,13195000,22531000,18471000,32707000,45509000,29626000,54656000,27096000,16672000,-5481000,-22436000,-41632000,-40416000,-36245000
Liquidity & Cash Flow,CapEx,-16559000,-16489000,-13256000,-14763000,-20046000,-20420000,-23748000,-24603000,-35275000,-36917000,-34018000,-28551000,-19942000,-16237000,-13861000,-15413000,-7196000
Liquidity & Cash Flow,FCF,-6704000,-2540000,3499000,-1568000,2485000,-1949000,8959000,20906000,-5649000,17739000,-6922000,-11879000,-25423000,-38672999,-55492999,-55828999,-43440999
BQR,Total Debt / Adj Ebitda,6.556669922556338,5.972956513151398,5.979303340104566,6.017862833565355,5.989421281891723,6.252663330601712,5.2319501532294375,5.130360494103806,4.288411135510378,3.6373021917576374,3.7342937565972085,3.933921301165176,5.265693085158219,9.08418152955458,18.213475650433622,17.238139362490735,34.07436693965923
BQR,Adj Ebitda / Interest Expense,1.0731104705574066,1.1570207012131253,1.1839454333983874,1.1812688223173244,1.182510639990454,1.1471747174717473,1.375314609883744,1.4323657445485365,1.8666284681666925,2.5957483159230694,2.812037927717466,2.9842764364065753,2.233898305084746,1.3332503345886892,0.655935487903982,0.6641026429956002,0.320907470621998
BQR,Net Income before extraordinary,-40942000,-36438000,-40088000,-41082000,-42544000,-45663000,-34159000,-32213000,-13924000,13624000,15183000,14393000,-9339000,-39676000,-63228000,-64575000,-84202000
BQR,(NCO-CAPEX) / Total Debt (%),-1.783419835225202,-0.6999539794037164,0.9743668286434329,-0.43702322522025355,0.6977886977886978,-0.5434888694929575,2.4870567006731905,5.707063261974569,-1.5551829797074637,4.585640500674701,-1.8116719622694843,-3.1442395752272354,-6.721393824027073,-9.938323696451057,-14.518297717592642,-15.005052571035401,-12.001204236791796
BQR,Score: Operating Leverage,75,65,65,65,65,75,58,58,55,48,48,52,65,75,75,75,75
BQR,Score: ICR,75,75,75,75,75,75,75,75,65,58,58,58,65,75,75,75,75
BQR,Score: Net Income,75,75,75,75,75,75,75,75,65,55,52,55,65,75,75,75,75
BQR,Score: FCF/Debt,75,75,75,75,75,75,75,65,75,75,75,75,75,75,75,75,75
BQR,BQR,75.0,71.5,71.5,71.5,71.5,75.0,69.05,66.55,64.0,58.0,57.25,59.4,67.5,75.0,75.0,75.0,75.0
