Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4,2021-Q3
Header,Statement Date,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Header,Filing Date,2025-10-28,2025-07-30,2025-04-29,2025-02-18,2024-10-29,2024-07-30,2024-04-30,2024-02-16,2023-10-30,2023-07-31,2023-04-28,2023-02-21,2022-10-28,2022-07-29,2022-04-29,2022-02-18,2021-10-29
Revenue & Margin,Segment-1,-,-,-,Hospital Operations,-,-,-,Hospital Operations,-,-,-,Hospital Operations,-,-,-,Hospital Operations,-
Revenue & Margin,Segment-1 %,-,-,-,5545.3%,-,-,-,6092.4%,-,-,-,6265.5%,-,-,-,8546.5%,-
Revenue & Margin,Segment-2,-,-,-,Ambulatory Care,-,-,-,Ambulatory Care,-,-,-,Conifer Segment,-,-,-,Ambulatory Care,-
Revenue & Margin,Segment-2 %,-,-,-,4454.7%,-,-,-,3907.6%,-,-,-,2383.3%,-,-,-,1453.5%,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,Ambulatory Care,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,1351.2%,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,20855000000,20688000000,20520000000,20665000000,20972000000,20916000000,20895000000,20548000000,20159000000,19894000000,19450000000,19174000000,19040000000,19133000000,19449000000,19485000000,19544000000
Revenue & Margin,Rev-CoGS / Sale (%),55.933828818029255,51.2422660479505,40.38499025341131,39.72417130413743,39.54796872019836,39.07534901510805,38.535534816941855,37.984232042047886,37.18438414603899,36.935759525485075,36.71979434447301,36.758109940544486,37.043067226890756,37.4065750274395,37.384955524705646,37.3158840133436,37.38743348342202
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),32.54854950851115,37.80452436194896,36.851851851851855,36.18195015727075,36.052832347892426,35.58519793459553,35.0514477147643,34.460774771267275,33.6226995386676,33.326631145068866,33.04884318766067,33.02910190883488,34.82668067226891,35.227094548685514,35.22546146331431,35.12445470875032,35.100286532951294
Revenue & Margin,Op. Income / Rev (%),16.667465835531047,17.76875483372003,17.612085769980506,28.821679167674812,27.989700553118446,25.57372346528973,24.84804977267289,12.215300759197975,11.463862294756684,11.757313762943602,11.76349614395887,12.167518514655262,13.382352941176471,15.502012230178225,15.419815928839528,14.734411085450347,15.554645927138763
Revenue & Margin,Net Profit / Rev (%),6.4924478542315995,7.173240525908739,7.090643274853801,15.485119767723205,14.905588403585735,13.171734557276727,12.534099066762384,2.973525403932256,2.3265042908874447,2.5082939579772794,2.1285347043701797,2.1435276937519556,2.930672268907563,4.578476976950818,4.920561468455962,4.690787785476007,5.520875972165371
EBITDA,Net Income,1354000000,1484000000,1455000000,3200000000,3126000000,2755000000,2619000000,611000000,469000000,499000000,414000000,411000000,558000000,876000000,957000000,914000000,1079000000
EBITDA,D & A,825000000,816000000,816000000,818000000,841000000,856000000,861000000,870000000,867000000,852000000,855000000,841000000,829000000,829000000,834000000,855000000,887000000
EBITDA,Net Int Inc,-819000000,-815000000,-812000000,-826000000,-850000000,-875000000,-898000000,-901000000,-893000000,-888000000,-884000000,-890000000,-892000000,-897000000,-910000000,-923000000,-944000000
EBITDA,Tax Provision,479000000,587000000,577000000,1184000000,1164000000,1002000000,972000000,306000000,290000000,323000000,329000000,344000000,405000000,490000000,465000000,411000000,433000000
EBITDA,EBITDA,3477000000,3702000000,3660000000,6028000000,5981000000,5488000000,5350000000,2688000000,2519000000,2562000000,2482000000,2486000000,2684000000,3092000000,3166000000,3103000000,3343000000
EBITDA,Stock-Based Comp,94000000,72000000,71000000,67000000,70000000,69000000,69000000,66000000,57000000,55000000,54000000,56000000,60000000,60000000,58000000,56000000,49000000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,203.04,176.0,134.5,126.23,166.2,133.3,104.39,75.57,65.89,81.38,59.42,48.79,51.58,52.56,85.96,81.69,66.44
Capital Structure,O/S Shares,87951000,91135000,94242000,95102000,95665000,97267000,99581000,100956000,101544000,101766000,102289000,104519000,107923000,107790000,107483000,107150000,107050000
Capital Structure,Market Capitalization,17857571040,16039760000,12675549000,12004725460,15899522999,12965691100,10395260590,7629244919,6690734160,8281717080,6078012380,5099482010,5566668340,5665442400,9239238680,8753083500,7112402000
Capital Structure,Cash,2975000000,2625000000,2999000000,3019000000,4094000000,2880000000,2481000000,1228000000,1054000000,934000000,766000000,858000000,1208000000,1351000000,1405000000,2364000000,2292000000
Capital Structure,Debt,13187000000,13175000000,13170000000,13173000000,12871000000,12871000000,12879000000,15002000000,15042000000,15048000000,15083000000,15079000000,15093000000,15072000000,14851000000,15646000000,14134000000
Capital Structure,Enterprise Value,28069571040,26589760000,22846549000,22158725460,24676522999,22956691100,20793260590,21403244919,20678734160,22395717080,20395012380,19320482010,19451668340,19386442400,22685238680,22035083500,18954402000
Capital Structure,netCommonStockIssuance,-93000000,-747000000,-348000000,672000000,-124000000,-270000000,-278000000,-110000000,0,-40000000,-50000000,-250000000,0,0,0,-11000000,2000000
Capital Structure,netDebtIssuance,-22000000,-16000000,-31000000,-24000000,-25000000,-32000000,-2139000000,-62000000,-35000000,-42000000,-33000000,-62000000,-35000000,146000000,-877000000,1405000000,-1167000000
Liquidity & Cash Flow,DSO,59.878026852073845,57.16357308584686,55.98178606237817,57.61577546576337,58.295226969292386,59.8211895199847,59.94245034697296,59.804543021218606,61.221104717495905,60.26151100834423,61.61838046272494,62.75757536247001,62.45161502100841,63.36898290910992,61.37757725332922,60.52893251218886,60.556308841588205
Liquidity & Cash Flow,DIO,13.642818280739935,12.520075344502825,10.651925120575493,10.834838631984585,11.11295156964821,11.46443145256219,11.531476290586312,11.707898454053206,11.738628287135752,11.709907540251873,11.81030630484238,11.867165594590135,11.844915324935348,11.718645624582498,11.35192560354738,11.14663500900606,11.00637411130179
Liquidity & Cash Flow,DPO,52.99251904243743,47.45687518588282,38.460312270089105,37.83036287732819,37.988444549613504,37.34354155222475,36.882251031690416,36.14768892725418,37.06783542604438,37.68990116371752,37.21024943126422,37.18177882236516,36.06000250271127,35.026406980627925,34.45290688126129,34.26917881120026,33.51127727384163
Liquidity & Cash Flow,CCC,20.528326090376346,22.22677324446687,28.173398912864556,30.620251220419767,31.4197339893271,33.942079420322145,34.59167560586886,35.364752548017634,35.891897578587276,34.28151738487858,36.21843733630311,37.44296213469498,38.23652784323248,40.061221553064485,38.276595975615315,37.40638870999466,38.05140567904837
Liquidity & Cash Flow,OCF,2478000000,2465000000,2276000000,2047000000,3202000000,2660000000,2511000000,2374000000,1971000000,1783000000,1304000000,1083000000,1019000000,1136000000,1262000000,1568000000,1657000000
Liquidity & Cash Flow,CapEx,-976000000,-912000000,-864000000,-931000000,-809000000,-769000000,-756000000,-751000000,-833000000,-822000000,-842000000,-762000000,-776000000,-722000000,-692000000,-658000000,-520000000
Liquidity & Cash Flow,FCF,1502000000,1563000000,1422000000,1116000000,2393000000,1881000000,1745000000,1623000000,1138000000,961000000,462000000,321000000,243000000,414000000,570000000,910000000,1137000000
BQR,Total Debt / Adj Ebitda,3.7926373310324992,3.5588870880605077,3.598360655737705,2.1853019243530194,2.1519812740344424,2.345298833819242,2.4072897196261684,5.581101190476191,5.97141722905915,5.873536299765808,6.076954069298952,6.065567176186645,5.623323397913562,4.874514877102199,4.6907770056854075,5.042217209152433,4.227938976966796
BQR,Adj Ebitda / Interest Expense,4.245421245421245,4.542331288343559,4.5073891625615765,7.297820823244552,7.036470588235294,6.272,5.957683741648107,2.983351831298557,2.8208286674132137,2.885135135135135,2.8076923076923075,2.7932584269662923,3.008968609865471,3.447045707915273,3.479120879120879,3.361863488624052,3.5413135593220337
BQR,Net Income before extraordinary,1354000000,1484000000,1455000000,3200000000,3126000000,2755000000,2619000000,611000000,469000000,499000000,414000000,411000000,558000000,876000000,957000000,914000000,1079000000
BQR,(NCO-CAPEX) / Total Debt (%),11.390005308258132,11.86337760910816,10.797266514806378,8.471874288317013,18.592183979488773,14.61424908709502,13.549188601599504,10.818557525663245,7.565483313389177,6.386230728335992,3.06305111715176,2.1287883811923867,1.6100178890876566,2.7468152866242037,3.838125378762373,5.816183049980825,8.044431866421395
BQR,Score: Operating Leverage,52,48,48,42,42,42,42,65,65,65,65,65,65,58,55,58,52
BQR,Score: ICR,55,52,52,48,48,48,48,58,58,58,58,58,58,58,58,58,58
BQR,Score: Net Income,25,25,25,25,25,25,25,35,35,35,35,35,35,35,35,35,25
BQR,Score: FCF/Debt,58,58,58,58,48,55,55,58,58,65,75,75,75,75,75,65,58
BQR,BQR,47.2,45.349999999999994,45.349999999999994,42.65,40.15,41.9,41.9,54.7,54.7,56.45,58.95,58.95,58.95,56.5,55.45,54.0,47.65
