Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4,2021-Q3
Header,Statement Date,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Header,Filing Date,2025-11-06,2025-08-06,2025-05-07,2025-03-06,2024-11-06,2024-08-07,2024-05-08,2024-03-06,2023-11-02,2023-08-02,2023-05-03,2023-03-08,2022-11-02,2022-08-03,2022-05-04,2022-03-09,2021-11-04
Revenue & Margin,Segment-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-1 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,1864200000,1892000000,1898100000,1887100000,1864100000,1776300000,1719000000,1666500000,1608800000,1671500000,1793600000,1930200000,2083800000,2124000000,2037300000,1939400000,1858300000
Revenue & Margin,Rev-CoGS / Sale (%),16.253620856131317,18.879492600422836,20.78921026289447,19.03979651316835,17.6224451477925,14.732871699600292,11.96044211751018,9.894989498949895,9.112381899552462,11.737959916242897,15.198483496877788,20.262149000103616,22.665322967655246,24.072504708097927,24.532469444853483,23.007115602763744,22.299951568638
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),3.5403926617315737,6.342494714587738,8.513776934829567,7.084945153939907,5.353790032723566,2.2912796261892696,-0.5700988947062245,-3.0243024302430244,-5.0285927399303825,-2.3093030212384087,1.3269402319357717,6.828307947362967,9.45868125539879,10.805084745762713,10.656260737250282,8.549035784263175,7.576817521390518
Revenue & Margin,Op. Income / Rev (%),2.961055680720953,5.988372093023256,7.4706285232601015,6.51263843993429,4.752963896786653,1.3736418397793164,-1.0587550901687026,-3.3603360336033603,-4.351069119840875,-0.8315883936583908,3.233719892952721,8.26857320484924,11.099913619349266,12.137476459510358,11.603592990723016,9.647313602144992,8.36786310068342
Revenue & Margin,Net Profit / Rev (%),-2.2154275292350607,3.567653276955603,5.0682261208577,4.567855439563351,5.048012445684245,0.10696391375330744,-1.50087260034904,-2.946294629462946,-3.9594728990551964,-1.3341310200418786,1.7729705619982157,5.413946741270335,7.486323063633746,8.050847457627118,7.401953565994209,5.821388058162318,4.9238551364150025
EBITDA,Net Income,-41300000,67500000,96200000,86200000,94100000,1900000,-25800000,-49100000,-63700000,-22300000,31800000,104500000,156000000,171000000,150800000,112900000,91500000
EBITDA,D & A,62900000,64000000,67300000,64400000,62400000,57700000,51100000,53100000,53800000,54600000,55900000,56200000,57200000,57500000,57800000,57900000,59600000
EBITDA,Net Int Inc,-48900000,-45500000,-40700000,-37400000,-28700000,-20800000,-15900000,-10200000,-8700000,-8700000,-9600000,-11800000,-15300000,-17300000,-18700000,-19200000,-19400000
EBITDA,Tax Provision,47700000,62500000,67500000,63400000,30600000,-800000,-13400000,-23800000,-24600000,-14700000,4200000,29400000,47500000,58400000,52800000,40500000,28100000
EBITDA,EBITDA,118200000,239500000,271700000,251400000,215800000,79600000,27800000,-9600000,-25800000,26300000,101500000,201900000,276000000,304200000,280100000,230500000,198600000
EBITDA,Stock-Based Comp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,5.74,6.2,7.48,9.75,12.45,12.42,11.98,9.94,7.75,8.73,9.21,9.4,9.34,18.4,15.52,15.01,12.41
Capital Structure,O/S Shares,115000000,115000000,115000000,115000000,115000000,115000000,115000000,115000000,115000000,115100000,115300000,115400000,115500000,115500000,115500000,115500000,115500000
Capital Structure,Market Capitalization,660100000,713000000,860200000,1121250000,1431750000,1428300000,1377700000,1143100000,891250000,1004823000,1061913000,1084760000,1078770000,2125199999,1792560000,1733655000,1433355000
Capital Structure,Cash,27700000,18900000,20500000,106700000,94800000,133800000,120700000,194700000,155300000,169400000,177800000,327800000,338500000,371200000,350000000,406000000,373500000
Capital Structure,Debt,647100000,610600000,578100000,528000000,576100000,445500000,448400000,463400000,443900000,454300000,455300000,446400000,412200000,436200000,466300000,470700000,483000000
Capital Structure,Enterprise Value,1279500000,1304700000,1417800000,1542550000,1913050000,1740000000,1705400000,1411800000,1179850000,1289723000,1339413000,1203360000,1152470000,2190199999,1908860000,1798355000,1542855000
Capital Structure,netCommonStockIssuance,0,0,0,0,0,0,0,0,0,-1500000,-1400000,-1200000,0,0,-1100000,-200000,0
Capital Structure,netDebtIssuance,33300000,-7500000,32900000,-15000000,104900000,0,1100000,-600000,-100000,-200000,-200000,-800000,-200000,-100000,-200000,-900000,-100000
Liquidity & Cash Flow,DSO,65.0233344061796,65.62090380549682,66.53976344765819,66.6036511048699,68.44851402821737,68.40539323312504,67.36256544502618,66.92761776177618,66.07230544505222,66.74379300029914,67.09947870205174,67.75910527406486,68.19446443996544,68.04225517890772,68.40726697099102,68.18577910694029,68.40680998762309
Liquidity & Cash Flow,DIO,157.75869523443504,153.9026257492833,142.76513136015964,127.11570558973688,120.99716723104976,119.61425458867028,125.34665323113519,134.65087240277037,141.0312371768568,140.6386836575612,130.07174556213016,119.73783379897343,104.36984176233324,99.30729521919761,103.83211382113822,107.45035829091884,116.59827550384375
Liquidity & Cash Flow,DPO,45.917243146297714,46.36222960646338,43.86190555370801,39.503043592093206,38.48829447772858,36.774726000264096,37.09329985463195,37.427327517314865,35.84598550129941,38.7006879956619,37.729865220249835,36.56877395880709,33.023270245113245,30.407236311775282,28.903252032520328,29.730193544066434,28.68507168086433
Liquidity & Cash Flow,CCC,176.86478649431692,173.16129994831672,165.44298925410982,154.21631310251357,150.95738678153856,151.24492182153125,155.61591882152942,164.1511626472317,171.2575571206096,168.68178866219841,159.44135904393204,150.92816511423118,139.54103595718541,136.94231408633007,143.3361287596089,145.9059438537927,156.32001381060252
Liquidity & Cash Flow,OCF,-40300000,-4100000,12500000,71600000,86700000,76100000,72000000,5500000,-36300000,-44200000,-9500000,81700000,139600000,177700000,131200000,206500000,172400000
Liquidity & Cash Flow,CapEx,-33000000,-32600000,-24800000,-29500000,-22500000,-21600000,-35700000,-47400000,-60900000,-66600000,-65400000,-63200000,-67100000,-67900000,-62000000,-58600000,-60400000
Liquidity & Cash Flow,FCF,-62100000,-25500000,-12300000,42100000,64200000,54500000,36300000,-41900000,-97200000,-110800000,-74900000,18500001,72500001,109800001,69200001,147900000,112000000
BQR,Total Debt / Adj Ebitda,5.474619289340102,2.5494780793319416,2.1277143908722858,2.100238663484487,2.6696014828544947,5.596733668341709,16.1294964028777,999.0,999.0,17.273764258555133,4.485714285714286,2.210995542347697,1.4934782608695651,1.4339250493096647,1.664762584791146,2.0420824295010847,2.43202416918429
BQR,Adj Ebitda / Interest Expense,2.4171779141104293,5.263736263736264,6.675675675675675,6.721925133689839,7.519163763066202,3.826923076923077,1.748427672955975,-999.0,-999.0,3.0229885057471266,10.572916666666666,17.110169491525422,18.03921568627451,17.583815028901736,14.97860962566845,12.005208333333334,10.237113402061855
BQR,Net Income before extraordinary,-41300000,67500000,96200000,86200000,94100000,1900000,-25800000,-49100000,-63700000,-22300000,31800000,104500000,156000000,171000000,150800000,112900000,91500000
BQR,(NCO-CAPEX) / Total Debt (%),-9.596662030598052,-4.176220111365869,-2.127659574468085,7.973484848484849,11.143898628710293,12.2334455667789,8.095450490633363,-9.041864479930945,-21.89682360892093,-24.389170151882016,-16.450691851526464,4.144265456989247,17.588549490538572,25.171939706556625,14.840231825005361,31.421287444231996,23.18840579710145
BQR,Score: Operating Leverage,65,45,42,42,45,65,75,75,75,75,55,42,35,35,35,42,42
BQR,Score: ICR,65,48,48,48,48,58,65,75,75,58,42,25,25,25,35,35,42
BQR,Score: Net Income,75,45,42,42,42,58,75,75,75,75,48,42,42,42,42,42,42
BQR,Score: FCF/Debt,75,75,75,58,58,55,58,75,75,75,75,75,48,42,55,35,42
BQR,BQR,70.0,52.949999999999996,51.15,46.9,47.949999999999996,59.7,69.25,75.0,75.0,72.45,56.3,47.7,38.5,37.0,41.75,39.2,42.0
