Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4,2021-Q3
Header,Statement Date,2025-10-31,2025-08-31,2025-05-31,2025-01-31,2024-11-30,2024-08-31,2024-05-31,2024-01-31,2023-10-31,2023-07-31,2023-04-30,2023-01-31,2022-10-31,2022-07-31,2022-04-30,2022-01-31,2021-10-31
Header,Filing Date,2025-12-09,2025-09-09,2025-06-05,2025-03-27,2024-12-05,2024-09-05,2024-06-05,2024-04-03,2023-12-05,2023-08-31,2023-06-01,2023-04-10,2022-12-01,2022-09-01,2022-06-02,2022-03-24,2021-12-02
Revenue & Margin,Segment-1,-,-,-,U Se Commerce,-,-,-,-,-,-,-,U Se Commerce,-,-,-,U Se Commerce,-
Revenue & Margin,Segment-1 %,-,-,-,6183.4%,-,-,-,-,-,-,-,6144.6%,-,-,-,6276.0%,-
Revenue & Margin,Segment-2,-,-,-,Business Outfitters Revenue,-,-,-,-,-,-,-,Business Outfitters Revenue,-,-,-,Business Outfitters Revenue,-
Revenue & Margin,Segment-2 %,-,-,-,1674.0%,-,-,-,-,-,-,-,1709.5%,-,-,-,1553.1%,-
Revenue & Margin,Segment-3,-,-,-,Licensing and Retail,-,-,-,-,-,-,-,International,-,-,-,International,-
Revenue & Margin,Segment-3 %,-,-,-,773.4%,-,-,-,-,-,-,-,1071.3%,-,-,-,1350.3%,-
Revenue & Margin,Others,-,-,-,"Europe eCommerce, Third Party",-,-,-,-,-,-,-,"Third Party, Retail",-,-,-,"Third Party, Retail",-
Revenue & Margin,Others %,-,-,-,1369.2%,-,-,-,-,-,-,-,1074.6%,-,-,-,820.6%,-
Revenue & Margin,Revenue Total,1314437000,1315578000,1338672000,1362935000,1436125000,1442232000,1448422000,1472509000,1487259000,1533507000,1561322000,1555429000,1581201000,1586061000,1618992000,1636624000,1619623000
Revenue & Margin,Rev-CoGS / Sale (%),48.83862824920479,48.543225867261384,48.33827853275485,47.936622069284304,44.38227870136652,43.60137620022299,42.566669106103056,41.79954078379147,40.49536765284325,39.00132180681275,37.957897217870496,37.53838973042164,38.63253311881285,39.674577459505024,41.562774862383506,42.2491665770513,43.53858891853228
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),27.424212799852715,16.439086089916373,6.665262289791674,6.716461166526651,4.250883453738359,4.027784711474991,3.966109324492448,4.433928756971944,4.996372521531219,4.7343116138367805,3.999879589219905,3.63308129139935,3.8955831674783914,4.753978567028633,6.853647207645251,7.313408577657422,8.572920982228581
Revenue & Margin,Op. Income / Rev (%),4.320024466748882,3.637260580520501,3.462685407627858,3.7387696405184396,1.5375402558969449,-6.13729275179028,-5.882401675754718,-5.26414439572186,-4.911720150962273,2.021771012457067,1.9693567374314844,1.5896579014535541,1.8515040149860769,2.900834204989594,4.43584650202101,4.875035438805737,6.092467197613272
Revenue & Margin,Net Profit / Rev (%),0.8942231540956318,0.45584526345074183,0.3296550611352146,0.45732188255492745,-1.4557228653494647,-9.201501561468612,-9.3532133590901,-8.874920289111984,-8.429063128883401,-1.150956598176598,-0.7564743211201789,-0.8055655385105973,-0.13420178712257327,0.6279077538631869,1.7516454682913813,2.0388922562543383,2.851651279340933
EBITDA,Net Income,11754000,5997000,4413000,6233000,-20906000,-132707000,-135474000,-130684000,-125362000,-17650000,-11811000,-12530000,-2122000,9959000,28359000,33369000,46186000
EBITDA,D & A,31285000,32022000,33058000,33772000,35876000,37318000,38169000,38465000,37952000,38118000,38458000,38741000,38911000,38938000,38846000,39166000,39035000
EBITDA,Net Int Inc,-37334000,-38183000,-39368000,-40439000,-43356000,-44767000,-46344000,-48291000,-47945000,-47093000,-43882000,-39768000,-36021000,-33530000,-33554000,-34445000,-34753000
EBITDA,Tax Provision,6462000,3491000,2474000,4263000,-7048000,-6769000,-2182000,-1133000,5122000,1954000,-933000,-2148000,-4359000,3185000,10525000,12600000,18310000
EBITDA,EBITDA,86835000,79693000,79313000,84707000,51278000,-57391000,-53143000,-45061000,-34343000,69515000,69596000,63831000,68451000,85612000,111284000,119580000,138284000
EBITDA,Stock-Based Comp,4541000,4465000,4567000,4873000,4319000,4592000,3970000,3827000,3835000,2243000,3352000,3753000,5650000,7490000,9127000,10156000,10501000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,15.74,11.53,8.58,12.45,16.09,15.89,14.19,9.47,6.3,9.34,7.17,9.03,10.52,12.75,14.02,18.33,26.28
Capital Structure,O/S Shares,30512000,30743000,30867000,30884000,31136000,31376000,31439000,31495000,31887000,32116999,32443000,32844000,33064000,33360999,33162999,32984000,32981000
Capital Structure,Market Capitalization,480258880,354466790,264838860,384505800,500978240,498564640,446119410,298257650,200888100,299972770,232616310,296581320,347833280,425352737,464945245,604596720,866740680
Capital Structure,Cash,36344000,21255000,18139000,16180000,30401000,25648000,27350000,25314000,36821000,26610000,7332000,39557000,28829000,25596000,22027000,34301000,37926000
Capital Structure,Debt,32903000,35595000,298616000,262429000,39312000,294772000,319216000,278146000,376629000,343031000,372404000,373765000,399977000,416751000,416422000,292189000,360696000
Capital Structure,Enterprise Value,476817880,368806790,545315860,630754800,509889240,767688640,737985410,551089650,540696100,616393770,597688310,630789320,718981280,816507737,859340245,862484720,1189510680
Capital Structure,netCommonStockIssuance,0,-2096000,-2777000,-2738000,-4012000,-3831000,-1014000,-2114000,-2999000,-3008000,-3781000,-3229000,-2877000,-2357000,0,-13000,-14000
Capital Structure,netDebtIssuance,36750000,-8250000,36750000,-63250000,36750000,-23250000,36750000,-91550000,36562000,-33482000,-3438000,-63437000,21562000,6563000,121562000,-73437000,41562000
Liquidity & Cash Flow,DSO,11.080412184075769,10.988747911564346,10.007922030191116,9.738774226210348,8.445418226129341,8.149237605322861,7.9679368305645735,8.091362259925067,8.602143271615772,9.413017840805422,10.17002658644405,10.993208304589924,11.087572041758133,10.746891985869395,9.924430602498344,9.216248661879577,8.631611337947165
Liquidity & Cash Flow,DIO,159.6987623497362,157.05717818345116,155.08347720657449,154.52407376090417,141.45749242557028,148.5901614705698,154.51172469006838,159.29042732439757,167.01780984600921,171.9333982953094,182.33524306863896,187.50700687358088,183.85829804512426,178.34863132029957,170.25056706838853,166.30801109648695,171.67856756212944
Liquidity & Cash Flow,DPO,67.6880788241802,65.56319927203326,63.65403329472615,63.73727434152116,58.97319997746451,61.19849083905931,61.20544413416888,59.60343818661924,61.80564877715857,65.05200744265404,70.32379730291935,72.07516422279542,69.74254851119656,66.50553852537317,64.93364559969727,62.549372384051864,63.47242559012841
Liquidity & Cash Flow,CCC,103.09109570963176,102.48272682298223,101.43736594203945,100.52557364559337,90.92971067423511,95.54090823683336,101.27421738646407,107.77835139770339,113.81430434046642,116.29440869346077,122.18147235216365,126.42505095537538,125.20332157568583,122.58998478079579,115.24135207118961,112.97488737431466,116.8377533099482
Liquidity & Cash Flow,OCF,50174000,48703000,56495000,53143000,81686000,80647000,115505000,130565000,126295000,135985000,75288000,-36367000,-49072000,-77481000,-13139000,70569000,111343000
Liquidity & Cash Flow,CapEx,-39574000,-43463000,-39320000,-37770000,-28523000,-23524000,-29268000,-34916000,-39797000,-39805000,-37225000,-31806000,-27043000,-28140000,-27261000,-25238000,-23250000
Liquidity & Cash Flow,FCF,10600000,5240000,17175000,15373000,53163000,57123000,86237000,95649000,86498000,96180000,38063000,-68173000,-76115000,-105621000,-40400000,45331000,88093000
BQR,Total Debt / Adj Ebitda,0.3789140323602234,0.4466515252280627,3.765032214138918,3.098079261454189,0.7666445649206287,999.0,999.0,999.0,999.0,4.9346328130619295,5.3509397091786886,5.8555404113988505,5.843260142291566,4.867904032145026,3.7419754861435606,2.44346044489045,2.608371178155101
BQR,Adj Ebitda / Interest Expense,2.3258959661434617,2.087133017311369,2.0146565738671,2.09468582309157,1.1827198081003782,-999.0,-999.0,-999.0,-999.0,1.476121716603317,1.5859805842942436,1.605084490042245,1.90030815357708,2.553295556218312,3.316564344042439,3.4716214254608797,3.9790521681581446
BQR,Net Income before extraordinary,11754000,5997000,4413000,6233000,-20906000,-132707000,-135474000,-130684000,-125362000,-17650000,-11811000,-12530000,-2122000,9959000,28359000,33369000,46186000
BQR,(NCO-CAPEX) / Total Debt (%),32.21590736407015,14.721168703469589,5.751533742331288,5.857965392544269,135.2335164835165,19.378706254325376,27.015249862162296,34.388055194034784,22.966367433203498,28.038282254373513,10.220889141899658,-18.2395355370353,-19.029844216042424,-25.34391039253655,-9.701696836382323,15.514273295709284,24.423059862044493
BQR,Score: Operating Leverage,15,15,52,45,25,75,75,75,75,58,65,65,65,58,48,42,45
BQR,Score: ICR,65,65,65,65,75,75,75,75,75,75,65,65,65,58,58,58,58
BQR,Score: Net Income,55,55,58,55,75,75,75,75,75,65,65,65,65,55,48,48,48
BQR,Score: FCF/Debt,35,55,65,65,15,48,42,35,45,42,58,75,75,75,75,52,42
BQR,BQR,37.5,42.5,58.7,55.5,42.5,68.25,66.75,65.0,67.5,58.3,63.25,67.5,67.5,61.5,56.25,48.4,46.949999999999996
