Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4,2021-Q3
Header,Statement Date,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Header,Filing Date,2025-11-13,2025-08-12,2025-05-13,2025-03-05,2024-11-13,2024-08-13,2024-05-14,2024-03-05,2023-11-13,2023-08-14,2023-05-11,2023-03-09,2022-11-08,2022-08-09,2022-05-06,2022-03-02,2021-11-10
Revenue & Margin,Segment-1,-,-,-,Heavy Fabrications,-,-,-,Heavy Fabrications,-,-,-,Heavy Fabrications,-,-,-,Heavy Fabrications,-
Revenue & Margin,Segment-1 %,-,-,-,5728.1%,-,-,-,6539.7%,-,-,-,6630.2%,-,-,-,7003.8%,-
Revenue & Margin,Segment-2,-,-,-,Gearing,-,-,-,Gearing,-,-,-,Gearing,-,-,-,Gearing,-
Revenue & Margin,Segment-2 %,-,-,-,2466.2%,-,-,-,2226.6%,-,-,-,2408.5%,-,-,-,1962.9%,-
Revenue & Margin,Segment-3,-,-,-,Industrial Solutions,-,-,-,Industrial Solutions,-,-,-,Industrial Solutions,-,-,-,Industrial Solutions,-
Revenue & Margin,Segment-3 %,-,-,-,1805.7%,-,-,-,1233.7%,-,-,-,961.4%,-,-,-,1033.3%,-
Revenue & Margin,Others,-,-,-,-,-,-,-,Corporate Segment,-,-,-,Corporate Segment,-,-,-,Corporate Segment,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,0.0%,-,-,-,0.0%,-,-,-,0.0%,-
Revenue & Margin,Revenue Total,153877000,145141000,142358000,143136000,156169000,177829000,192220000,203477000,196939000,184619000,183788000,176759000,162710000,158256000,154735000,145619000,159930000
Revenue & Margin,Rev-CoGS / Sale (%),10.687107234999383,11.910487043633431,13.26093370235603,14.803403755868544,15.64459015553663,16.533861181247154,16.735511393195296,15.976252844301813,14.233849059861175,11.706812408257004,8.528304350664897,6.059097415124548,5.599532911314609,4.699347892023051,4.679613532814166,3.7845336116852883,4.519477271306196
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),0.5107975850841906,1.081706754121854,5.01201196982256,9.377794545048067,10.236346522037024,11.345168673276012,11.935282488814899,8.725801933388048,6.79804406440573,4.072711909391774,0.8596861601410319,-0.995706017798245,-2.227890111240858,-3.223890405419068,-6.21901961417908,-8.145228301251898,-6.067654598887013
Revenue & Margin,Op. Income / Rev (%),0.1884622133262281,0.6262875410807422,1.6374211494963404,2.9517375083836352,4.3459322912998095,6.172221066305271,6.209030798043909,5.47432879391774,3.4340582616952458,0.47449070789030384,-1.7694299954295167,-3.737857761132389,-5.211726384364821,-6.291704579921141,-6.692732736614211,-8.648596680378247,-6.525980116300882
Revenue & Margin,Net Profit / Rev (%),3.372823748838358,-1.5150784409643037,-0.5113867854282864,0.8048289738430584,2.0087213211328754,4.193354289795253,4.364790344397045,3.759147225484944,1.8924641640304867,-1.3210991284754008,-3.567697564585283,-5.504670200668707,-6.741441829020957,-7.141593367708017,1.0682780237179694,1.955102012786793,3.107609579190896
EBITDA,Net Income,5190000,-2199000,-728000,1152000,3137000,7457000,8390000,7649000,3727000,-2439000,-6557000,-9730000,-10969000,-11302000,1653000,2847000,4970000
EBITDA,D & A,6516000,6715000,6790000,6684000,6597000,6530000,6374000,6383000,6251000,6132000,6146000,6060000,6159000,6267000,6302000,6336000,6276000
EBITDA,Net Int Inc,-3288000,-3119000,-3062000,-3078000,-3346000,-3220000,-3245000,-3201000,-3034000,-3336000,-3361000,-3218000,-2668000,-1703000,-1245000,-1129000,-1146000
EBITDA,Tax Provision,37000,51000,71000,74000,295000,282000,257000,241000,78000,64000,51000,35000,-40000,-30000,0,25000,46000
EBITDA,EBITDA,15031000,7686000,9195000,10988000,13375000,17489000,18266000,17474000,13090000,7093000,3001000,-417000,-2182000,-3362000,9200000,10337000,12438000
EBITDA,Stock-Based Comp,1841000,2356000,2322000,2359000,2239000,2294000,2212000,2180000,2140000,2052000,2194000,2188000,2682000,2693000,2731000,2734000,2120000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,2.1,1.81,1.45,1.88,2.27,3.26,2.49,2.77,3.2,3.82,3.84,1.79,3.02,1.64,2.17,1.88,2.59
Capital Structure,O/S Shares,23102000,22773000,22361000,21896000,22029000,21783219,21594664,21449000,21336957,21091496,20869000,20723000,20505884,20244176,19707815,19516000,19417675
Capital Structure,Market Capitalization,48514200,41219130,32423450,41164480,50005830,71013293,53770713,59413730,68278262,80569514,80136960,37094170,61927769,33200448,42765958,36690080,50291778
Capital Structure,Cash,1195000,1037000,1204000,7721000,1384000,938000,1073000,1099000,1740000,2095000,1729000,12732000,1509000,49000,773000,852000,2335000
Capital Structure,Debt,26816000,43179000,34271000,35534000,39746000,40395000,30916000,35417000,48807000,46415000,48711000,33123000,51855000,46252000,43785000,31548000,34534000
Capital Structure,Enterprise Value,74135200,83361130,65490450,68977480,88367830,110470293,83613713,93731730,115345262,124889514,127118960,57485170,112273769,79403448,85777958,67386080,82490778
Capital Structure,netCommonStockIssuance,0,0,0,0,0,0,0,-618000,0,0,0,-3000,228000,-133000,-411000,65000,-32000
Capital Structure,netDebtIssuance,-16149000,13553000,2632000,-8096000,-1250000,9910000,-4139000,3980000,6129000,-5157000,16046000,-15347000,4769000,2873000,6829000,793000,-960000
Liquidity & Cash Flow,DSO,37.369465547157795,39.699826375731185,38.62411139521488,39.902749832327295,44.92120715378852,59.72924129360228,65.09976849443346,66.32405013834487,64.4628412858804,51.84058114278595,45.49044959409755,44.366665912343926,46.213293589822385,46.19929102214134,45.777442078392085,47.482033594517205,44.462764959669855
Liquidity & Cash Flow,DIO,123.93366355725013,129.37967329923194,124.62926182377711,117.11939408103521,106.65285758746595,94.36816583236202,93.07498859738459,93.08600535769642,97.9268029152137,98.11085174778843,87.73382942527094,83.6174864046155,83.92856561566157,80.01459530960953,79.97599054876808,84.97944442858366,73.99519161504105
Liquidity & Cash Flow,DPO,50.9207826415973,54.543453861435694,53.46416423712341,49.14601220202219,48.71326013192952,48.10348689928382,51.71884274387539,53.484330492662416,57.12315801002918,57.04538483246016,54.05610181186576,55.360315328607825,54.029738149336914,50.38930771321916,45.95165735555345,47.65244489964884,44.74896366779741
Liquidity & Cash Flow,CCC,110.38234646281063,114.53604581352744,109.7892089818686,107.8761317113403,102.86080460932493,105.99392022668049,106.45591434794264,105.92572500337889,105.2664861910649,92.90604805811422,79.16817720750272,72.62383698835161,76.11212105614706,75.82457861853172,79.80177527160672,84.80903312345204,73.7089929069135
Liquidity & Cash Flow,OCF,-1450000,-3265000,-88000,13806000,14661000,7074000,24895000,-6946000,4321000,7460000,-3336000,16643000,-12274000,-11103000,-10394000,-12826000,-3018000
Liquidity & Cash Flow,CapEx,-2925000,-3200000,-2790000,-3618000,-4369000,-4962000,-7084000,-6405000,-5656000,-5378000,-3671000,-3098000,-3095000,-2639000,-1587000,-1707000,-1319000
Liquidity & Cash Flow,FCF,-4375000,-6465000,-2878000,10188000,10292000,2112000,17811000,-13351000,-1335000,2082000,-7007000,13545000,-15369000,-13742000,-11981000,-14533000,-4337000
BQR,Total Debt / Adj Ebitda,1.7840463043044374,5.617876658860266,3.7271343121261555,3.2338915180196577,2.971663551401869,2.309737549316713,1.6925435234862587,2.026839876387776,3.7285714285714286,6.54377555336247,16.23158947017661,999.0,999.0,999.0,4.759239130434783,3.0519493083099545,2.776491397330761
BQR,Adj Ebitda / Interest Expense,4.5714720194647205,2.4642513626162232,3.0029392553886347,3.5698505523066926,3.9973102211595934,5.431366459627329,5.628967642526964,5.458919087785067,4.3144363876071194,2.126199040767386,0.8928890211246653,-999.0,-999.0,-999.0,7.389558232931727,9.155890168290522,10.853403141361257
BQR,Net Income before extraordinary,5190000,-2199000,-728000,1152000,3137000,7457000,8390000,7649000,3727000,-2439000,-6557000,-9730000,-10969000,-11302000,1653000,2847000,4970000
BQR,(NCO-CAPEX) / Total Debt (%),-16.314886634844868,-14.972556103661502,-8.397770709929679,28.671131873698428,25.89442962813868,5.228369847753435,57.61094578858843,-37.69658638506932,-2.7352633843506053,4.485618873209092,-14.384841206298372,40.8930350511729,-29.638414810529362,-29.711147626048604,-27.363252255338587,-46.06631165208571,-12.558637864133898
BQR,Score: Operating Leverage,42,65,48,45,45,42,35,42,48,75,75,75,75,75,58,45,45
BQR,Score: ICR,52,65,58,58,58,48,48,48,55,65,75,75,75,75,48,45,42
BQR,Score: Net Income,55,65,65,58,58,55,55,55,58,65,65,65,65,65,58,58,58
BQR,Score: FCF/Debt,75,75,75,42,42,75,15,75,75,75,75,25,75,75,75,75,75
BQR,BQR,55.0,67.5,60.5,49.449999999999996,49.449999999999996,54.4,36.95,54.4,58.3,71.0,72.5,60.0,72.5,72.5,60.75,55.75,55.3
