Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4,2021-Q3
Header,Statement Date,2025-11-30,2025-08-31,2025-05-31,2025-01-31,2024-11-30,2024-08-31,2024-05-31,2024-01-31,2023-10-31,2023-07-31,2023-04-30,2023-01-31,2022-10-31,2022-07-31,2022-04-30,2022-01-31,2021-10-31
Header,Filing Date,2025-12-11,2025-08-27,2025-05-29,2025-03-20,2024-11-22,2024-08-29,2024-05-30,2024-06-03,2023-11-17,2023-08-24,2023-05-25,2023-05-30,2022-11-17,2022-08-25,2022-05-26,2022-03-17,2021-11-19
Revenue & Margin,Segment-1,-,-,-,-,-,-,-,-,-,-,-,Wholesale Segment,-,-,-,Wholesale Segment,-
Revenue & Margin,Segment-1 %,-,-,-,-,-,-,-,-,-,-,-,10000.0%,-,-,-,10000.0%,-
Revenue & Margin,Segment-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,442120000,447744000,457059000,467015000,484954000,496639000,511862000,521815000,528551000,539034000,543625000,545838000,535411000,527226000,521182000,505021000,471676000
Revenue & Margin,Rev-CoGS / Sale (%),44.37754455803854,44.91562142652945,45.747923134650016,46.50707150733916,47.181382151709236,47.716752006990994,48.29192243221806,48.37384896946236,48.52965938953857,49.10784848451118,49.60165555300069,49.94119134248623,50.5092349615529,50.561618736557,50.43497281180087,49.468041923009146,47.16669917485732
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),1.3516692300732833,2.001813536306461,2.383280933096165,4.049762855582798,5.644659081067482,7.045962963037539,10.045090278239057,10.711267403198452,11.061562649583484,12.290319349057759,12.724396412968497,13.52196072827469,13.799679125008637,14.500043624555694,15.42973471839012,15.21956512699472,13.416624971378658
Revenue & Margin,Op. Income / Rev (%),-2.317696552972044,-1.578357275586049,-1.016498964028714,0.7991178013554168,2.7901615410946192,4.294064702933116,7.358819369283127,8.038097793279226,8.373080364997891,9.584367590912631,9.95355254081398,10.733221212154522,10.94131424270327,11.732539745763676,12.614979028439203,12.272756974462448,10.094005206964104
Revenue & Margin,Net Profit / Rev (%),-1.7280376368406767,-1.1892956689536878,-0.5857011895619603,0.6541545774760982,1.980600221876714,3.106884477457469,4.821612075129625,5.337907112674032,5.853739752644494,6.93703922201568,15.213060473672108,16.3277382666652,16.942498379749388,17.809250681870772,11.781680871557345,11.229830046671326,8.846750735674489
EBITDA,Net Income,-7640000,-5325000,-2677000,3055000,9605000,15430000,24680000,27854000,30940000,37393000,82702000,89123000,90712000,93895000,61404000,56713000,41728000
EBITDA,D & A,14920000,14727000,14236000,13878000,13727000,13551000,13634000,13833000,13971000,14347000,14871000,15381000,15943000,16316000,16713000,17226000,18134000
EBITDA,Net Int Inc,895000,1447000,1798000,2084000,2402000,2414000,2368000,2137000,1507000,836000,231000,-251000,-444000,-2526000,-3351000,-4350000,-5300000
EBITDA,Tax Provision,-1571000,-295000,-171000,2761000,4869000,6794000,9665000,10537000,10592000,10932000,-28361000,-30788000,-32575000,-34564000,992000,917000,583000
EBITDA,EBITDA,4814000,7660000,9590000,17610000,25799000,33361000,45611000,50087000,53996000,61836000,68981000,73967000,74524000,78173000,82460000,79206000,65745000
EBITDA,Stock-Based Comp,1877000,1997000,2530000,3061000,3615000,3908000,3414000,2939000,2404000,1917000,1906000,1885000,1797000,1744000,1658000,1603000,1670000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,0.9992,1.26,1.17,2.72,2.69,3.37,3.24,4.27,4.03,5.19,4.39,7.13,6.75,4.14,4.95,4.44,7.11
Capital Structure,O/S Shares,53920000,53816000,53601000,53712000,57135000,58233000,58036000,59361000,60169000,61977000,62690000,62517000,62016000,62688000,66940000,64227000,63699000
Capital Structure,Market Capitalization,53876864,67808160,62713169,146096640,153693150,196245210,188036640,253471469,242481070,321660630,275209100,445746210,418608000,259528319,331353000,285167880,452899890
Capital Structure,Cash,14594000,14015000,8082000,11901000,7108000,21475000,16328000,27590000,10723000,19246000,29933000,52074000,23485000,22176000,7540000,15506000,6937000
Capital Structure,Debt,213285000,219134000,187337000,184615000,181124000,176634000,169227000,154537000,160340000,149634000,143916000,144241000,147708000,151570000,155445000,155605000,149402000
Capital Structure,Enterprise Value,252567864,272927160,241968169,318810640,327709150,351404210,340935640,380418469,392098070,452048630,389192100,537913210,542831000,388922319,479258000,425266880,595364890
Capital Structure,netCommonStockIssuance,0,-123000,0,-3309000,-10210000,0,-211000,-9691000,-4036000,-10814000,0,0,0,-7881000,-4847000,0,0
Capital Structure,netDebtIssuance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17500000
Liquidity & Cash Flow,DSO,0.9892365194969692,1.0218506557318467,0.9403326485202129,0.8300161665042879,1.2303924702136697,1.5900432708667662,1.540258897906076,1.5642157661240095,1.1644689916394066,0.8135804049466268,0.901715336859048,0.8957190595011707,0.9796306015378841,1.096607526942905,1.2073709375995334,1.8782263509834243,2.8440417786785845
Liquidity & Cash Flow,DIO,120.54916171244072,121.7142703649493,120.96023515510316,122.1713383636218,121.10701025977372,123.23541645003638,123.97566440224578,124.85925766445304,127.67828720772513,128.93204617863418,132.15859485068145,131.38343580734886,131.60876899678843,125.20531206359436,118.08200167231847,116.4974411924905,120.49517058450574
