Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4,2021-Q3
Header,Statement Date,2025-10-31,2025-07-31,2025-04-30,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-07-31,2023-04-30,2022-12-31,2022-10-31,2022-07-31,2022-04-30,2021-12-31,2021-10-31
Header,Filing Date,2025-11-13,2025-08-14,2025-05-15,2025-03-12,2024-11-07,2024-08-08,2024-05-09,2024-03-13,2023-11-09,2023-08-10,2023-05-11,2023-03-09,2022-11-10,2022-08-11,2022-05-12,2022-03-10,2021-11-12
Revenue & Margin,Segment-1,-,-,-,Watches,-,-,-,Watches,-,-,-,Watches,-,-,-,-,-
Revenue & Margin,Segment-1 %,-,-,-,4394.2%,-,-,-,4369.4%,-,-,-,4378.6%,-,-,-,-,-
Revenue & Margin,Segment-2,-,-,-,Traditional Watches,-,-,-,Traditional Watches,-,-,-,Traditional Watches,-,-,-,-,-
Revenue & Margin,Segment-2 %,-,-,-,4272.4%,-,-,-,4046.7%,-,-,-,3872.1%,-,-,-,-,-
Revenue & Margin,Segment-3,-,-,-,Jewelry,-,-,-,Leathers,-,-,-,Leathers,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,560.3%,-,-,-,631.6%,-,-,-,596.5%,-,-,-,-,-
Revenue & Margin,Others,-,-,-,"Leathers, Smartwatches, Products Other",-,-,-,"Jewelry, Smartwatches, Products Other",-,-,-,"Jewelry, Smartwatches, Products Other",-,-,-,-,-
Revenue & Margin,Others %,-,-,-,773.0%,-,-,-,952.3%,-,-,-,1152.7%,-,-,-,-,-
Revenue & Margin,Revenue Total,1066179000,1083797000,1123400000,1144991000,1223955000,1280257000,1342232000,1412384000,1490270000,1582420000,1631622000,1682439000,1787520000,1843076000,1882847000,1870036000,1793933000
Revenue & Margin,Rev-CoGS / Sale (%),55.7391394878346,55.73783651366446,54.6739362649101,52.792205353579206,49.96735991110784,49.182468832429734,48.604786653872054,48.50798366449917,48.39874653586263,49.32799130445773,49.78769592466883,49.373498831161186,50.22069683136412,50.87185769876012,51.41665785908255,51.676705689088344,51.48375106539653
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),2.872031807041782,17.277866611551794,13.77256542638419,11.052226611388212,9.59414357553995,10.584749780708092,23.233166844479943,35.1777561909509,32.82888335670717,22.24523198645113,23.521624493908515,23.900777383310775,26.812119584675976,27.594141532959032,28.63063222874721,28.734580510749524,28.900298952079034
Revenue & Margin,Op. Income / Rev (%),-3.3968966749485783,-3.5981829623075168,-7.253694053765355,-9.078411882713489,-9.124273359723192,-10.436342078192112,-10.052062534643786,-10.126424541767678,-7.901386996987123,-3.0886237534914875,-1.5014507036556262,-0.08749202794276642,2.4895945220193343,3.788557823985555,5.051339806155253,4.953701479543709,3.551637714451989
Revenue & Margin,Net Profit / Rev (%),-6.3120733010123065,-5.486267262227152,-8.541125155777106,-8.966970046052763,-10.07773978618495,-11.902141523147305,-10.439476930962755,-11.122187733647507,-9.278251591993397,-4.509548665967316,-3.916654715369124,-2.6245825257260442,-0.8443541890440387,0.5685061277993962,1.5062296617834587,1.3600807684985743,0.10201049871985186
EBITDA,Net Income,-67298000,-59460000,-95951000,-102671000,-123347000,-152378000,-140122000,-157088000,-138271000,-71360000,-63905000,-44157000,-15093000,10478000,28360000,25434000,1830000
EBITDA,D & A,9903000,10427000,11388000,16000000,16853000,17638000,18506000,19099000,20233000,21254000,22216000,23333000,23783000,25121000,26858000,29606000,33421000
EBITDA,Net Int Inc,-17859000,-18610000,-18371000,-19016000,-19816000,-20654000,-21917000,-21809000,-21909000,-21276000,-20253000,-19246000,-18246000,-19541000,-21750000,-25084000,-28684000
EBITDA,Tax Provision,3510000,1719000,-2303000,-11788000,2812000,2208000,-7198000,522000,5462000,9115000,18316000,21400000,23154000,22918000,28996000,26426000,34383000
EBITDA,EBITDA,-36026000,-28704000,-68495000,-79443000,-83866000,-111878000,-106897000,-115658000,-90667000,-19715000,-3120000,19822000,50090000,78058000,105964000,106550000,98318000
EBITDA,Stock-Based Comp,1805000,1777000,1791000,2897000,3284000,4262000,5248000,5599000,6732000,4901000,7101000,7980000,8099000,11256000,9974000,9497000,9130000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,2.59,1.63,1.02,1.67,1.24,1.44,1.02,1.46,2.06,2.57,3.2,4.31,3.42,5.1,9.64,10.29,11.99
Capital Structure,O/S Shares,52363000,53600000,53259000,53200000,53200000,52927000,52491000,52500000,52466000,52349000,51840000,51800000,53172727,51551351,51999000,52100000,52141000
Capital Structure,Market Capitalization,135620170,87368000,54324180,88844000,65968000,76214880,53540820,76650000,108079960,134536930,165888000,223257999,181850726,262911890,501270360,536108999,625170590
Capital Structure,Cash,83546000,109862000,78291000,123598000,106308000,105531000,112967000,117274000,116238000,132214000,127111000,198832000,162612000,167067000,162619000,250961000,181782000
Capital Structure,Debt,339687000,324392000,322210000,315829000,336780000,324140000,372736000,388672000,442280000,423576000,421483000,416364000,494103000,464901000,454537000,375149000,380296000
Capital Structure,Enterprise Value,391761170,301898000,298243180,281075000,296440000,294823880,313309820,348048000,434121960,425898930,460260000,440789999,513341726,560745890,793188360,660296999,823684590
Capital Structure,netCommonStockIssuance,-30000,-129000,-3000,-3000,0,-108000,-425000,-1000,-13000,-1161000,-1671000,-3000,-13000,-2431000,-10000000,-15000,-56000
Capital Structure,netDebtIssuance,-3317000,-1022000,14162000,-10520000,15670000,-44665000,-4278000,-49382000,12468000,8001000,18133000,-78879000,44061000,64618000,42067000,-4857000,-41106000
Liquidity & Cash Flow,DSO,48.90350025652353,49.053535855884455,48.2093877959765,48.08012246384469,51.17307723731673,50.367728901306535,50.056046570190546,49.80423790555543,48.1186739038899,46.52820436973117,45.8978626230524,46.25574606791093,46.49491544150555,46.90096203303608,46.449151869482755,45.51823467569608,43.374158901140675
Liquidity & Cash Flow,DIO,137.80915713074802,146.89056402591555,142.68384482897446,141.5121594745849,134.92632806261503,141.07209746462854,149.15534947806964,155.57901349576838,161.75415768311493,169.47033338155552,178.56130572762504,177.0357773903447,166.4722456353287,158.1096674761919,147.93472943427165,143.35419702920225,143.43623218961588
Liquidity & Cash Flow,DPO,102.98081691036235,106.09311420185445,101.68242689903435,99.95354747698997,86.6648282022349,81.43725359094368,77.77049814233094,70.91004482547628,72.28051145776712,74.55585344530857,80.64249031155595,85.96629332206255,86.26209942516141,89.03211070726883,88.60402432358568,89.96404633143108,87.99085050939335
Liquidity & Cash Flow,CCC,83.7318404769092,89.85098567994557,89.21080572591659,89.63873446143964,99.43457709769686,110.00257277499138,121.44089790592925,134.47320657584754,137.59232012923772,141.4426843059781,143.81667803912148,137.32523013619306,126.70506165167285,115.97851880195915,105.77985698016873,98.90838537346725,98.8195405813632
Liquidity & Cash Flow,OCF,-42589000,-43239000,-14298000,46680000,64674000,62575000,27025000,-59459000,-4035000,-28125000,-81673000,-110856000,-127758000,-105979000,-27167000,50029000,-31617000
Liquidity & Cash Flow,CapEx,-1677000,-2636000,-3577000,-6752000,-6221000,-8571000,-8785000,-9826000,-12874000,-13450000,-13427000,-13238000,-12247000,-11378000,-10687000,-10293000,-8187000
Liquidity & Cash Flow,FCF,-46048000,-47657000,-19657000,39928000,58453000,54004000,18173000,-69352000,-16976000,-41642000,-95100000,-124094000,-140005000,-117357000,-37854000,39736000,-39804000
