Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4,2021-Q3
Header,Statement Date,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Header,Filing Date,2025-11-04,2025-08-05,2025-05-06,2025-02-25,2024-11-05,2024-08-06,2024-05-07,2024-02-27,2023-10-31,2023-08-01,2023-05-02,2023-02-27,2022-11-01,2022-08-02,2022-05-03,2022-02-28,2021-11-02
Revenue & Margin,Segment-1,-,-,-,Other revenue,-,-,-,Other revenue,-,-,-,Lift truck business,-,-,-,Lift truck business,-
Revenue & Margin,Segment-1 %,-,-,-,10000.0%,-,-,-,10000.0%,-,-,-,8465.2%,-,-,-,8326.3%,-
Revenue & Margin,Segment-2,-,-,-,-,-,-,-,-,-,-,-,Bolzoni,-,-,-,Bolzoni,-
Revenue & Margin,Segment-2 %,-,-,-,-,-,-,-,-,-,-,-,896.3%,-,-,-,999.5%,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,JAPIC,-,-,-,JAPIC,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,629.9%,-,-,-,672.2%,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,Nuvera,-,-,-,Nuvera,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,8.6%,-,-,-,2.0%,-
Revenue & Margin,Revenue Total,3913600000,3950600000,4162100000,4308200000,4267900000,4253000000,4175500000,4118300000,4076300000,3915200000,3720000000,3548300000,3392800000,3300900000,3171100000,3075700000,2965600000
Revenue & Margin,Rev-CoGS / Sale (%),18.144419460343418,18.89333265833038,20.122053770932943,20.785943085279236,21.03142060498137,21.356689395720668,20.282600886121422,19.075832260884347,17.726860142776538,15.475582345729464,13.631720430107528,12.228391060507848,10.336595142655035,9.963949225968676,10.917347292737537,11.8151965406249,14.216347450768815
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),2.238348323793949,2.9539816736698223,4.927800869753249,6.2067684879996285,6.12010590688629,6.741123912532331,5.984911986588433,5.067624990894301,4.410862792238059,2.459644462607274,0.5860215053763441,-1.1019361384324888,-2.956260315963216,-3.9292314217334665,-3.4089117340985777,-2.818870501024157,-1.065551659023469
Revenue & Margin,Op. Income / Rev (%),1.2545993458708093,1.9794461600769502,4.3800004805266575,5.682187456478344,6.12010590688629,6.741123912532331,5.984911986588433,5.067624990894301,4.410862792238059,2.459644462607274,0.5860215053763441,-1.1019361384324888,-4.889766564489507,-5.916568208670363,-5.477594525558954,-4.951718308027441,-1.065551659023469
Revenue & Margin,Net Profit / Rev (%),0.06899018806214227,0.5619399584873184,2.388217486365056,3.3030035745787103,3.6833102931183954,4.133552786268516,3.611543527721231,3.057086661972173,2.6568211368152492,0.8990600735594606,-0.6048387096774194,-2.0883239861342053,-5.452723414289083,-6.81329334423945,-6.420485005203242,-5.624735832493416,-1.9085513892635555
EBITDA,Net Income,2700000,22200000,99400000,142300000,157200000,175800000,150800000,125900000,108300000,35200000,-22500000,-74100000,-185000000,-224900000,-203600000,-173000000,-56600000
EBITDA,D & A,46500000,46600000,47500000,48200000,47800000,47700000,46300000,46100000,44800000,44500000,44200000,43800000,45300000,45700000,48300000,49300000,48500000
EBITDA,Net Int Inc,-34000000,-31700000,-32600000,-33800000,-35200000,-36400000,-36000000,-37300000,-37700000,-35800000,-33500000,-28400000,-23700000,-20100000,-17800000,-15500000,-13700000
EBITDA,Tax Provision,18700000,31900000,57800000,74800000,77500000,83400000,69300000,52900000,42100000,30100000,15000000,9200000,11800000,28100000,28800000,28300000,21700000
EBITDA,EBITDA,101900000,132400000,237300000,299100000,317700000,343300000,302400000,262200000,232900000,145600000,70200000,7300000,-104200000,-131000000,-108700000,-79900000,27300000
EBITDA,Stock-Based Comp,10000000,12400000,17899999,23599999,37199999,35899999,33600000,29300000,16700000,14600000,9600000,6400000,4200000,2900000,2200000,4000000,3900000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,36.86,39.78,41.54,50.93,63.77,67.06,63.49,62.19,44.58,55.84,49.89,25.31,21.51,32.22,33.21,41.1,50.26
Capital Structure,O/S Shares,17717000,17705000,17556000,17471000,17500000,17493000,17339000,17238000,17175000,17164000,17049000,16936000,16920000,16907000,16849000,16825000,16820000
Capital Structure,Market Capitalization,653048620,704304900,729276240,889798030,1115975000,1173080580,1100853110,1072031220,765661500,958437760,850574610,428650160,363949200,544743540,559555290,691507500,845373200
Capital Structure,Cash,71100000,66900000,77200000,96600000,75600000,66500000,62200000,78800000,78200000,65700000,64600000,59000000,68600000,75600000,65100000,65500000,61400000
Capital Structure,Debt,467800000,473200000,484000000,541800000,468500000,501900000,474800000,494000000,510600000,542300000,560600000,552900000,545000000,580600000,479000000,518500000,428000000
Capital Structure,Enterprise Value,1049748620,1110604900,1136076240,1334998030,1508875000,1608480580,1513453110,1487231220,1198061500,1435037760,1346574610,922550160,840349200,1049743540,973455290,1144507500,1211973200
Capital Structure,netCommonStockIssuance,-100000,100000,-4500000,-4900000,0,0,-9100000,0,0,0,-100000,0,0,0,0,0,0
Capital Structure,netDebtIssuance,7500000,-16500000,36600000,-3100000,-44700000,-12200000,-15700000,-6200000,-3700000,-19000000,1400000,-3600000,2600000,90100000,-45500000,-1400000,4400000
Liquidity & Cash Flow,DSO,47.2664554374489,47.32961448893839,46.38466759568487,45.11666705352583,45.737247826800065,45.243093110745356,46.157136869835945,47.139444673773156,48.209405588401246,48.98348104822231,50.30524193548387,51.60795310430347,52.1928053525112,54.07991002453876,54.5439673930182,54.663369314302436,55.298927704343136
Liquidity & Cash Flow,DIO,86.70387857031372,89.95993539729105,87.0890483065632,86.69110967855363,89.44411476723141,89.04016055251593,90.27680556390074,90.51621058001021,89.50863971136357,89.7058667996253,91.54821189579506,93.61446024916516,95.2844252325696,96.88711305518169,98.30799320329923,94.29805884304834,90.79446737421384
Liquidity & Cash Flow,DPO,52.667785234899334,54.248213282566624,53.422667388558025,54.768182084566476,57.506750140937015,58.282469279756036,60.48883164093012,61.56164671287545,62.871269046128155,63.52729429184419,64.37116779233715,65.55151072437708,65.04573321061109,66.37117261103634,68.12497787532303,67.20532389484939,67.88512185534591
Liquidity & Cash Flow,CCC,81.3025487728633,83.04133660366283,80.05104851369005,77.03959464751297,77.67461245309445,76.00078438350525,75.94511079280656,76.09400854090794,74.84677625363665,75.16205355600343,77.48228603894178,79.67090262909154,82.43149737446971,84.59585046868409,84.72698272099441,81.7561042625014,78.20827322321105
Liquidity & Cash Flow,OCF,110300000,143300000,111900000,170700000,135600000,125800000,164100000,150700000,111400000,85200000,-9500000,40600000,-27400000,-152600000,-147300000,-253500000,-101000000
Liquidity & Cash Flow,CapEx,-56800000,-52500000,-50900000,-47800000,-46400000,-44500000,-39600000,-35400000,-28000000,-24100000,-22400000,-28800000,-34500000,-41500000,-46300000,-44300000,-44000000
Liquidity & Cash Flow,FCF,53500000,90800000,61000000,122900000,89200000,81300000,124500000,115300000,83400000,61100000,-31900000,11800000,-61900000,-194100000,-193600000,-297800000,-145000000
BQR,Total Debt / Adj Ebitda,4.590775269872424,3.5740181268882174,2.039612305099031,1.811434302908726,1.474661630468996,1.4619866006408389,1.57010582010582,1.8840579710144927,2.192357234864749,3.724587912087912,7.985754985754986,75.73972602739725,999.0,999.0,999.0,999.0,15.677655677655677
BQR,Adj Ebitda / Interest Expense,2.9970588235294118,4.176656151419558,7.279141104294479,8.849112426035504,9.025568181818182,9.43131868131868,8.4,7.029490616621984,6.177718832891247,4.067039106145251,2.0955223880597016,0.25704225352112675,-999.0,-999.0,-999.0,-999.0,1.9927007299270072
BQR,Net Income before extraordinary,2700000,22200000,99400000,142300000,157200000,175800000,150800000,125900000,108300000,35200000,-22500000,-74100000,-185000000,-224900000,-203600000,-173000000,-56600000
BQR,(NCO-CAPEX) / Total Debt (%),11.436511329628047,19.18850380388842,12.603305785123966,22.683647102251754,19.03948772678762,16.198445905558877,26.22156697556866,23.34008097165992,16.333725029377202,11.266826479808223,-5.690331787370674,2.134201483089166,-11.357798165137615,-33.43093351705133,-40.41753653444676,-57.434908389585345,-33.87850467289719
BQR,Score: Operating Leverage,55,48,42,42,35,35,35,42,42,48,75,75,75,75,75,75,75
BQR,Score: ICR,58,55,48,45,45,45,45,48,48,55,65,75,75,75,75,75,65
BQR,Score: Net Income,58,52,42,42,42,42,42,42,42,48,75,75,75,75,75,75,75
BQR,Score: FCF/Debt,58,48,55,45,48,52,42,42,52,58,75,75,75,75,75,75,75
BQR,BQR,56.95,50.05,46.15,43.2,41.5,42.5,40.0,42.9,45.4,51.55,73.5,75.0,75.0,75.0,75.0,75.0,73.5
