Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4,2021-Q3
Header,Statement Date,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Header,Filing Date,2025-10-31,2025-08-01,2025-04-30,2025-03-06,2024-11-08,2024-08-06,2024-05-08,2024-03-15,2023-11-14,2023-08-14,2023-05-10,2023-04-14,2022-11-14,2022-08-10,2022-05-10,2022-03-16,2021-11-12
Revenue & Margin,Segment-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ToysConsumerProductsMember,-
Revenue & Margin,Segment-1 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8267.7%,-
Revenue & Margin,Segment-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HalloweenMember,-
Revenue & Margin,Segment-2 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1732.3%,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,574298000,684694000,714219000,691042000,687697000,675835000,694149000,711557000,716047000,729301000,782790000,796187000,852265000,766224000,658154000,621116000,561419000
Revenue & Margin,Rev-CoGS / Sale (%),31.53589251573225,32.46676617583913,32.3274793865747,30.8000092613763,30.685170940108797,30.95060184808422,30.667911356207384,31.38933353195879,30.47118415411279,27.850503427254313,27.185579785127555,26.537233087201876,27.310754284172177,28.1605640126125,28.37937625540527,29.456172437998703,31.161040150048358
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),1.4769335780378827,6.886287889188456,8.061392934100045,5.773310450016063,5.69393206601163,4.938779435809036,6.090335072153097,8.334117997574333,8.28227755999257,6.995739756287185,7.539314503251192,7.934944931278707,9.838371867904936,8.755142099438284,6.831835710183332,6.920285421724766,6.906606295832525
Revenue & Margin,Op. Income / Rev (%),1.41128821622224,6.838821429718969,8.015888684003086,5.742632141027607,5.680117842596376,4.938779435809036,6.076937372235644,8.30671330617224,8.20476868138544,6.868494627046995,7.320481866145453,7.6577487449556445,9.338996673569842,8.169282089832738,5.639105741209504,5.655143322664365,5.936029952673493
Revenue & Margin,Net Profit / Rev (%),1.0583355679455615,5.616815687007627,6.4466221145054945,4.908529438152819,4.677205222648928,4.146722202904555,4.208606509553425,5.396756689906782,12.183278471943881,9.570671094650905,11.485072624841912,11.481347974784818,5.898634814288982,7.2972133475328365,2.168033621310514,-0.9672911340232743,-2.5253865651144687
EBITDA,Net Income,6078000,38458000,46043000,33920000,32165000,28025000,29214000,38401000,87238000,69799000,89904000,91413000,50272000,55913000,14269000,-6008000,-14178000
EBITDA,D & A,10537000,9857000,10091000,10046000,10091000,8649000,8908000,8585000,8183000,9794000,9957000,10578000,10012000,10047000,10270000,10251000,10809000
EBITDA,Net Int Inc,581000,138000,-280000,-254000,-358000,-940000,-1988000,-5107000,-7385000,-10628000,-11743000,-11056000,-11023000,-9382000,-11417000,-14091000,-16797000
EBITDA,Tax Provision,2616000,8210000,11097000,5532000,5335000,2291000,1488000,6833000,-43144000,-43953000,-44097000,-42297000,13263000,1989000,555000,226000,740000
EBITDA,EBITDA,18650000,56387000,67511000,49752000,47949000,39905000,41598000,58926000,59662000,46268000,67507000,70750000,84570000,77331000,36511000,18560000,14168000
EBITDA,Stock-Based Comp,10387000,10181000,9538000,9561000,9363000,9202000,8513000,8027000,7616000,7002000,6301000,5082000,4149000,3353000,2581000,2093000,2177000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,18.73,20.78,24.67,28.15,25.52,17.92,23.49,35.55,18.59,19.97,17.3,17.49,19.33,12.66,14.03,10.16,11.88
Capital Structure,O/S Shares,11185000,11146000,11146000,11008000,10942000,10801000,10354000,10084000,10021000,9871000,9871000,9732000,10248648,9588000,9588000,9468313,8823000
Capital Structure,Market Capitalization,209495050,231613880,274971820,309875200,279239840,193553920,243215459,358486200,186290390,197123870,170768300,170212679,198106365,121384080,134519640,96198060,104817240
Capital Structure,Cash,25887000,38195000,59188000,69936000,22070000,17700000,35290000,72554000,96447000,32430999,38103000,85297000,76418000,62283000,39225000,44521000,25897000
Capital Structure,Debt,56617000,56286000,56916000,56524000,21941000,27636000,24198000,24046000,25698000,15446000,57557000,87760000,101255000,110573000,113822000,114035000,116164000
Capital Structure,Enterprise Value,240225050,249704880,272699820,296463200,279110840,203489920,232123459,309978200,115541390,180138871,190222300,172675679,222943365,169674080,209116640,165712060,195084240
Capital Structure,netCommonStockIssuance,-404000,-9000,-3819000,-457000,-1330000,-5131000,-20000000,-577000,-1279000,0,-1214000,-137000,-639000,0,-644000,0,0
Capital Structure,netDebtIssuance,0,0,0,0,-5000000,5000000,0,0,0,-30499000,-38719000,-619000,-18118000,-10619000,-248000,-247000,-248000
Liquidity & Cash Flow,DSO,92.8331763300586,89.69925616406745,88.79441564842156,89.39183508382993,88.0123822700986,78.18523752099254,73.26893253465754,71.31780026055537,68.09683233083861,66.3114955279096,65.61760817077376,67.0785553519462,67.20517826028289,75.26793568199378,79.30986136983138,80.26428839379439,81.46216773924644
Liquidity & Cash Flow,DIO,57.84549312288269,47.61124393377106,41.68184004717274,40.827133883032445,40.93228943768933,42.85167734539065,44.15462642436231,46.82570708146594,51.044457366443105,55.29189480165797,60.42584528688524,62.21058350045563,59.2268847709058,63.44503416289551,61.8761005061798,56.43430524079159,53.282822304159396
Liquidity & Cash Flow,DPO,55.29705255501185,59.177044675992,58.3274651894151,58.167459917482404,57.47584575267057,55.94200274289633,54.278494518646575,52.64121146078279,50.16707290618428,44.976158666025576,49.49827100409836,50.25028594582673,50.77583312483354,57.11979358744012,55.91858322690687,56.545723127905624,58.05480949608642
Liquidity & Cash Flow,CCC,95.38161689792943,78.13345542184652,72.14879050617921,72.05150904937997,71.46882595511735,65.09491212348686,63.14506444037328,65.50229588123852,68.97421679109743,76.62723166354198,76.54518245356064,79.0388529065751,75.65622990635515,81.59317625744919,85.26737864910433,80.15287050668033,76.69018054731941
Liquidity & Cash Flow,OCF,29375000,50682000,50110000,38947000,-36447000,17933000,57657000,66404000,98508000,70355000,84719000,86099000,96324000,49201000,-1654000,-5879000,679000
Liquidity & Cash Flow,CapEx,-11752000,-11089000,-11088000,-11246000,-10537000,-8615000,-7644000,-8906000,-8013000,-10031000,-12062000,-10389000,-9935000,-9772000,-8566000,-8221000,-8472000
Liquidity & Cash Flow,FCF,17623000,39593000,39022000,27701000,-46984000,9318000,50013000,57498000,90495000,60324000,72657000,75710000,86389000,39429000,-10220000,-14100000,-7793000
BQR,Total Debt / Adj Ebitda,3.035764075067024,0.99820880699452,0.8430626120187821,1.136115131050008,0.4575903564203633,0.692544793885478,0.581710659166306,0.4080711400739911,0.4307264255304884,0.33383764156652546,0.8526078777015716,1.2404240282685512,1.1972921839895945,1.4298664183833132,3.11747144696119,6.144127155172414,8.199040090344438
BQR,Adj Ebitda / Interest Expense,-999.0,-999.0,241.1107142857143,195.8740157480315,133.93575418994413,42.452127659574465,20.924547283702214,11.53828079107108,8.078808395396074,4.3534060971019946,5.748701353998126,6.399240231548481,7.672140070761136,8.242485610743978,3.197950424805115,1.3171527925626287,0.8434839554682384
BQR,Net Income before extraordinary,6078000,38458000,46043000,33920000,32165000,28025000,29214000,38401000,87238000,69799000,89904000,91413000,50272000,55913000,14269000,-6008000,-14178000
BQR,(NCO-CAPEX) / Total Debt (%),31.126693395976474,70.34253633230288,68.56068592311476,49.007501238412004,-214.13791531835378,33.71689101172384,206.68237044383832,239.1166930050736,352.1480270838197,390.5477146186715,126.23486283162778,86.2693710118505,85.31825588859809,35.65879554683331,-8.978932016657588,-12.364624895865305,-6.708618849213181
BQR,Score: Operating Leverage,45,25,25,35,15,25,25,15,15,15,25,35,35,35,45,65,75
BQR,Score: ICR,75,75,15,15,15,15,25,42,45,55,48,48,48,45,58,75,75
BQR,Score: Net Income,55,48,48,48,48,48,48,48,42,45,42,42,45,45,55,65,65
BQR,Score: FCF/Debt,35,15,15,25,75,35,15,15,15,15,15,15,15,35,75,75,75
BQR,BQR,49.5,35.75,26.75,32.75,38.25,31.75,28.25,27.3,26.25,28.5,30.2,33.7,34.45,39.0,56.949999999999996,69.0,72.5
