Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1
Header,Statement Date,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-07-31,2022-04-30,2021-12-31
Header,Filing Date,2026-02-10,2025-11-18,2025-08-07,2025-05-08,2025-02-06,2024-11-19,2024-08-01,2024-05-02,2024-02-06,2023-11-16,2023-08-01,2023-05-02,2023-01-31,2022-11-18,2022-08-03,2022-05-04,2022-02-08
Revenue & Margin,Segment-1,-,-,-,-,-,Medical Segment,-,-,-,Medical Segment,-,-,-,Medical,-,-,-
Revenue & Margin,Segment-1 %,-,-,-,-,-,7172.6%,-,-,-,7536.4%,-,-,-,7850.8%,-,-,-
Revenue & Margin,Segment-2,-,-,-,-,-,Industrial Segment,-,-,-,Industrial Segment,-,-,-,Industrial,-,-,-
Revenue & Margin,Segment-2 %,-,-,-,-,-,2827.4%,-,-,-,2463.6%,-,-,-,2149.2%,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,854400000,844600000,821400000,827500000,820800000,811000000,832700000,855800000,877800000,893400000,897400000,879700000,866200000,859400000,854300000,851000000,839800000
Revenue & Margin,Rev-CoGS / Sale (%),34.15262172284644,34.394979872128815,34.06379352325298,33.740181268882175,32.68762183235868,31.676942046855732,32.16044193587126,32.390745501285345,32.365003417634995,32.493843743004255,31.958992645420103,32.27236557917472,32.555991687831906,32.98813125436351,33.31382418354208,33.52526439482961,33.23410335794237
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),18.679775280898877,18.612360880890364,17.798879961042125,17.268882175226587,15.728557504873294,14.68557336621455,15.900084063888556,16.978265949988312,17.49829118250171,18.121781956570405,17.89614441720526,18.142548596112313,19.22188870930501,19.222713521061205,19.27894182371532,19.553466509988247,18.444867825672777
Revenue & Margin,Op. Income / Rev (%),-2.762172284644195,-3.2914989344068197,-4.4436328220112005,6.4652567975830815,4.76364522417154,3.958076448828607,5.464152756094632,7.057723767235336,7.7808156755525175,8.629952988582941,8.624916425228438,8.662043878594975,10.066959131840221,10.262974168024202,10.546646377150884,10.904817861339602,9.764229578471065
Revenue & Margin,Net Profit / Rev (%),-7.92368913857678,-8.32346672981293,-16.13099586072559,-5.075528700906345,-5.787037037037037,-5.881627620221948,4.107121412273328,4.8960037391914,5.0808840282524494,5.395119767181553,3.2761310452418098,3.2397408207343417,3.6942969291156778,3.52571561554573,3.031721877560576,3.4900117508813158,3.000714455822815
