Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4,2021-Q3
Header,Statement Date,2025-11-30,2025-08-31,2025-05-31,2025-01-31,2024-10-31,2024-07-31,2024-05-31,2024-01-31,2023-10-31,2023-07-31,2023-04-30,2023-01-31,2022-10-31,2022-07-31,2022-04-30,2022-01-31,2021-10-31
Header,Filing Date,2025-11-25,2025-08-29,2025-05-30,2025-02-01,2024-10-31,2024-07-31,2024-05-31,2024-03-19,2023-11-21,2023-08-25,2023-04-30,2023-01-31,2022-10-31,2022-08-26,2022-05-27,2022-03-15,2021-11-24
Revenue & Margin,Segment-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-1 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,15279000000,15166000000,15161000000,15086000000,15235000000,15173000000,15001000000,14889000000,14834000000,15106000000,15415000000,15616000000,15898000000,15802000000,16156000000,16670000000,16569000000
Revenue & Margin,Rev-CoGS / Sale (%),41.01053733883108,41.085322431755245,41.40887804234549,41.276680365902166,41.266819822776505,40.91478283793581,39.717352176521565,38.787023977433,37.2589995955238,36.27697603601218,35.53032760298411,34.31736680327869,34.33136243552648,35.50183521073282,37.77543946521416,39.814037192561486,40.93186070372382
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),41.01053733883108,41.085322431755245,41.40887804234549,41.276680365902166,41.266819822776505,40.91478283793581,39.717352176521565,38.787023977433,37.2589995955238,36.27697603601218,35.53032760298411,34.31736680327869,34.33136243552648,35.50183521073282,37.77543946521416,39.814037192561486,40.93186070372382
Revenue & Margin,Op. Income / Rev (%),7.493945938870344,7.688250032968483,7.697381439219049,7.371072517565954,7.003610108303249,6.340209582811573,5.166322245183654,3.7611659614480484,2.130241337467979,1.6682113067655238,0.7654881608822576,-0.4418545081967213,-0.19499308089067807,-0.40501202379445644,2.308739787076009,4.8590281943611275,5.649103747963063
Revenue & Margin,Net Profit / Rev (%),5.569736239282676,5.861796122906501,5.79777059560715,5.594591011533873,5.402034788316377,5.055031964674092,4.519698686754216,3.371616629726644,0.29661588243225023,0.7149477028995102,-0.3762568926370418,-1.2935450819672132,0.34595546609636435,-2.398430578407796,-0.4456548650656103,1.5356928614277146,3.053895829561229
EBITDA,Net Income,851000000,889000000,879000000,844000000,823000000,767000000,678000000,502000000,44000000,108000000,-58000000,-202000000,55000000,-379000000,-72000000,256000000,506000000
EBITDA,D & A,497000000,496000000,497000000,500000000,499000000,502000000,509000000,522000000,532000000,545000000,547000000,540000000,534000000,522000000,514000000,504000000,498000000
EBITDA,Net Int Inc,23000000,26000000,25000000,25000000,16000000,10000000,9000000,-4000000,-21000000,-39000000,-61000000,-70000000,-73000000,-98000000,-128000000,-162000000,-203000000
EBITDA,Tax Provision,317000000,303000000,313000000,293000000,260000000,205000000,106000000,54000000,251000000,105000000,115000000,63000000,-159000000,-108000000,-8000000,67000000,-98000000
EBITDA,EBITDA,1642000000,1662000000,1664000000,1612000000,1566000000,1464000000,1284000000,1082000000,848000000,797000000,665000000,471000000,503000000,133000000,562000000,989000000,1109000000
EBITDA,Stock-Based Comp,149000000,139000000,136000000,126000000,101000000,94000000,84000000,80000000,73000000,75000000,59000000,37000000,70000000,73000000,104000000,139000000,119000000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
