Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years),LTM (-17Q)
Header,Fiscal Period,2025.0-Q3,2025.0-Q2,2025.0-Q1,2024.0-Q4,2024.0-Q3,2024.0-Q2,2024.0-Q1,2023.0-Q4,2023.0-Q3,2023.0-Q2,2023.0-Q1,2022.0-Q4,2022.0-Q3,2022.0-Q2,2022.0-Q1,2021.0-Q4,2021.0-Q3,2021.0-Q2
Header,Statement Date,2025-11-30,2025-08-31,2025-05-31,2025-01-31,2024-11-30,2024-08-31,2024-05-31,2024-01-31,2023-10-31,2023-07-31,2023-04-30,2023-01-31,2022-10-31,2022-07-31,2022-04-30,2022-01-31,2021-10-31,2021-07-31
Header,Filing Date,2025-12-16,2025-09-05,2025-06-11,2025-04-17,2024-12-06,2024-09-11,2024-06-13,2024-05-06,2023-12-04,2023-08-30,2023-06-07,2023-03-28,2022-11-30,2022-08-26,2022-06-01,2022-03-25,2021-12-08,2021-08-31
Revenue & Margin,Segment-1,-,-,-,-,-,-,-,-,-,-,-,The Childrens Place US Member,-,-,-,The Childrens Place US Member,-,-
Revenue & Margin,Segment-1 %,-,-,-,-,-,-,-,-,-,-,-,8978.3%,-,-,-,9000.3%,-,-
Revenue & Margin,Segment-2,-,-,-,-,-,-,-,-,-,-,-,The Children's Place International,-,-,-,The Children's Place International,-,-
Revenue & Margin,Segment-2 %,-,-,-,-,-,-,-,-,-,-,-,1021.7%,-,-,-,999.7%,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,1288160000.0,1338867000.0,1360516000.0,1386269000.0,1432740000.0,1522801000.0,1548745000.0,1602507000.0,1603600000.0,1632486000.0,1667772000.0,1708482000.0,1760158000.0,1809263000.0,1842233000.0,1915364000.0,1880458000.0,1322233000.0
Revenue & Margin,Rev-CoGS / Sale (%),28.614768351757547,29.33144210739379,29.495867670795494,30.286257501249757,27.899618842218405,27.644715231996823,25.471656082828353,24.836022557155758,23.59185582439511,24.04106375184841,25.116322854682778,27.07426821002504,32.64576242587313,35.42746405580615,37.58607076303594,38.46673530462095,36.39262349916882,34.29962797782237
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),-0.515308657309651,1.393043521126445,1.3972639792549297,1.2513444360365844,-1.5048787637673269,-0.2665482883186969,-2.332017213937737,-2.4183357701401618,-4.302007982040409,-3.5473504826381363,-2.684239812156578,0.1641223027225338,7.058286812888388,10.062881958012737,12.689111583605332,14.640350398148863,12.967266538258231,9.694206769911204
Revenue & Margin,Op. Income / Rev (%),-0.5153862874177121,1.3929688311086912,1.3971904777305082,1.2512722999648698,-1.5048787637673269,-0.2665482883186969,-2.332017213937737,-2.4183357701401618,-4.302070341731104,-3.5474117389061837,-2.68429977239095,0.16406377123083532,7.058286812888388,10.062881958012737,12.68911152932338,14.640350345939465,12.967266485079698,9.694206694281569
Revenue & Margin,Net Profit / Rev (%),-4.013321326543286,-2.0388881046437026,-3.972536890415107,-4.170835530477851,-12.470162067088236,-10.52422476738589,-10.557193082140701,-9.643826828837565,-4.753803941132452,-4.401814165634498,-2.986139592222438,-0.06655030606117009,5.021765091542918,6.875948936113765,8.782656699776847,9.772085097140804,8.292235189512343,5.8283222397262815
