Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4,2021-Q3,2021-Q2,2021-Q1,2020-Q4,2020-Q3,2020-Q2,2020-Q1,2019-Q4,2019-Q3
Header,Statement Date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30
Header,Filing Date,2023-11-03,2023-08-08,2023-05-09,2023-02-28,2022-11-08,2022-08-09,2022-05-09,2022-03-01,2021-11-03,2021-08-09,2021-05-05,2021-03-03,2020-11-05,2020-08-05,2020-05-06,2020-02-27,2019-11-05
Revenue & Margin,Segment-1,-,-,-,Packaging,-,-,-,Packaging,-,-,-,Packaging,-,-,-,Packaging,-
Revenue & Margin,Segment-1 %,-,-,-,5529.9%,-,-,-,5583.2%,-,-,-,5314.6%,-,-,-,4576.3%,-
Revenue & Margin,Segment-2,-,-,-,Print Solutions,-,-,-,Print,-,-,-,Print,-,-,-,Print,-
Revenue & Margin,Segment-2 %,-,-,-,3365.6%,-,-,-,2203.6%,-,-,-,2336.6%,-,-,-,2794.7%,-
Revenue & Margin,Segment-3,-,-,-,Facility Solutions,-,-,-,Facility Solutions,-,-,-,Facility Solutions,-,-,-,Facility Solutions,-
Revenue & Margin,Segment-3 %,-,-,-,1104.4%,-,-,-,1327.4%,-,-,-,1477.9%,-,-,-,1569.3%,-
Revenue & Margin,Others,-,-,-,-,-,-,-,Publishing,-,-,-,Publishing,-,-,-,Publishing,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,885.8%,-,-,-,870.9%,-,-,-,1059.7%,-
Revenue & Margin,Revenue Total,6091900000,6435000000,6798400000,7146300000,7347700000,7311400000,7149300000,6850500000,6628000000,6451400000,6197600000,6345600000,6538500000,6871800000,7425200000,7659400000,8055000000
Revenue & Margin,Rev-CoGS / Sale (%),24.31917792478537,23.84770784770785,23.295187102847727,22.673271483145125,22.24369530601413,21.668900620948108,21.178297175947293,20.91234216480549,20.47978273989137,20.468425458040116,20.635407254421068,20.571734745335352,20.34105681731284,20.00785820309089,19.538867639928892,18.97276549076951,18.579764121663565
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),6.845155041940938,6.979020979020979,6.935455401270888,6.5642360382295735,6.2318820855505805,5.511940257679788,4.614437777125033,4.096051383110722,3.563669281834641,3.323309669219084,3.0705434361688395,2.4851865859808373,2.2497514720501646,2.0489536948106757,1.8558422668749666,1.5758414497219104,1.4376163873370578
Revenue & Margin,Op. Income / Rev (%),6.262414025180978,6.672882672882673,6.603024240997882,6.173824216727537,5.714713447745553,4.688568536805537,3.6744856139761937,3.065469673746442,2.3491249245624624,1.9654648603403915,1.216599974183555,0.7532778618255169,0.5123499273533685,0.35944003026863414,0.5885363357215967,0.27286732642243516,0.42582247051520794
Revenue & Margin,Net Profit / Rev (%),4.461662207193158,4.7816627816627815,4.826135561308543,4.728320949302437,4.3986553615417066,3.6449927510463107,2.822653966122558,2.1107948324939785,1.8059746529873264,1.5624515609015097,0.9019620498257389,0.5389561270801815,0.08564655502026458,-0.1513431706394249,-0.04309648224963637,-0.38514766169673864,-0.29298572315332094
EBITDA,Net Income,271800000,307700000,328100000,337900000,323200000,266500000,201800000,144600000,119700000,100800000,55900000,34200000,5600000,-10400000,-3200000,-29500000,-23600000
EBITDA,D & A,40100000,41500000,43000000,45600000,47700000,50200000,53400000,55200000,56700000,58400000,58400000,57700000,57100000,55400000,54500000,53500000,51500000
EBITDA,Net Int Inc,-11000000,-19200000,-18900000,-17700000,-16100000,-15100000,-15600000,-17200000,-16700000,-18400000,-21100000,-23000000,-27300000,-30700000,-33700000,-38100000,-42300000
EBITDA,Tax Provision,94100000,104600000,108700000,94000000,88700000,70400000,49600000,52900000,41300000,27100000,17500000,8800000,300000,8000000,7900000,700000,6800000
EBITDA,EBITDA,417000000,473000000,498700000,495200000,475700000,402200000,320400000,269900000,234400000,204700000,152900000,123700000,90300000,83700000,92900000,62800000,77000000
EBITDA,Stock-Based Comp,11700000,9000000,8500000,9500000,9400000,8600000,9000000,7400000,8500000,12300000,9500000,17700000,17100000,15700000,19300000,14600000,15300000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,168.9,125.61,135.14,121.71,97.77,108.55,133.59,122.57,89.56,61.42,42.54,20.79,12.66,16.96,7.86,19.67,18.08
Capital Structure,O/S Shares,13755656,13550000,13530000,13480000,13850000,14610000,14770000,14590000,14860000,15580000,15880000,15880000,15890000,15910000,16160000,16100000,16100000
Capital Structure,Market Capitalization,2323330298,1702015500,1828444199,1640650800,1354114500,1585915500,1973124300,1788296300,1330861600,956923600,675535200,330145200,201167400,269833600,127017600,316687000,291088000
Capital Structure,Cash,40200000,43900000,33000000,40600000,33800000,32100000,33800000,49300000,43400000,34700000,109000000,120600000,112500000,112400000,74600000,38000000,59300000
Capital Structure,Debt,0,185800000,245500000,278200000,403700000,413500000,526500000,515700000,549100000,535700000,615600000,993100000,1015000000,666300000,754400000,755000000,736100000
Capital Structure,Enterprise Value,2283130298,1843915500,2040944199,1878250800,1724014500,1967315500,2465824300,2254696300,1836561600,1457923600,1182135200,1202645200,1103667400,823733600,806817600,1033687000,967888000
Capital Structure,netCommonStockIssuance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capital Structure,netDebtIssuance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liquidity & Cash Flow,DSO,47.73477896879463,48.10229215229215,48.455757972464106,48.0695954549907,48.26214325571267,48.450587438794216,48.456579665142044,49.35798481862638,49.55420187085093,49.27420792386148,49.56646524461082,49.350869106152295,48.01353521449874,47.39109476410838,46.91659820610892,47.21902172493929,47.96997206703911
Liquidity & Cash Flow,DIO,36.370163109491585,34.09492082278998,30.93404222678198,28.147801302931597,28.192900775383755,28.658723437690977,30.13491091709256,32.78862658963805,33.37430747922438,34.31500808824963,36.22766178055177,35.566172969326615,35.94988960353269,36.0242363877822,35.11377711569362,36.39296187683284,36.32107297511588
Liquidity & Cash Flow,DPO,34.636365608190175,34.612582646314586,34.54400540778952,33.71758505247919,34.353110286524426,34.612893087251834,35.00410366978989,36.42488325735063,35.88469529085872,35.65595217213354,35.68780877061012,34.49076921550732,33.463881155803016,33.298472775564406,33.1053118304767,33.524398988108665,34.0197876006343
Liquidity & Cash Flow,CCC,49.46857647009604,47.58463032876754,44.84579479145656,42.499811705443115,42.10193374457201,42.49641778923336,43.58738691244471,45.72172815091379,47.04381405921658,47.93326383997757,50.10631825455248,50.4262728599716,50.49954366222841,50.11685837632618,48.92506349132585,50.08758461366346,50.27125744152069
Liquidity & Cash Flow,OCF,382800000,355400000,329200000,252400000,222000000,166900000,135600000,154700000,100100000,112800000,217600000,289200000,291200000,325300000,322000000,281000000,278000000
Liquidity & Cash Flow,CapEx,-14500000,-16300000,-15400000,-21900000,-24400000,-22900000,-23500000,-20400000,-17900000,-18000000,-21000000,-23600000,-31700000,-33900000,-35500000,-34100000,-33900000
Liquidity & Cash Flow,FCF,368300000,339100000,313800000,230500000,197600000,144000000,112100000,134300000,82200000,94800000,196600000,265600000,259500000,291400000,286500000,246900000,244100000
BQR,Total Debt / Adj Ebitda,0.0,0.39281183932346725,0.492279927812312,0.5617932148626817,0.8486441034265293,1.0280954748881153,1.6432584269662922,1.910707669507225,2.342576791808874,2.617000488519785,4.026160889470242,8.028294260307195,11.24031007751938,7.960573476702509,8.120559741657697,12.022292993630574,9.55974025974026
BQR,Adj Ebitda / Interest Expense,37.90909090909091,24.635416666666668,26.386243386243386,27.9774011299435,29.546583850931675,26.635761589403973,20.53846153846154,15.69186046511628,14.035928143712574,11.125,7.246445497630332,5.378260869565217,3.3076923076923075,2.726384364820847,2.7566765578635013,1.6482939632545932,1.8203309692671394
BQR,Net Income before extraordinary,271800000,307700000,328100000,337900000,323200000,266500000,201800000,144600000,119700000,100800000,55900000,34200000,5600000,-10400000,-3200000,-29500000,-23600000
BQR,(NCO-CAPEX) / Total Debt (%),999.0,182.508073196986,127.82077393075356,82.85406182602445,48.94723804805549,34.82466747279323,21.291547958214625,26.042272639131276,14.969950828628665,17.69647190591749,31.93632228719948,26.744537307421208,25.56650246305419,43.734053729551256,37.97720042417816,32.70198675496689,33.161255264230405
BQR,Score: Operating Leverage,15,15,15,25,25,35,35,42,42,45,52,75,75,75,75,75,75
BQR,Score: ICR,15,25,25,25,25,25,25,25,35,42,48,48,58,58,58,65,65
BQR,Score: Net Income,35,35,35,35,35,35,35,42,42,42,45,48,55,65,65,75,75
BQR,Score: FCF/Debt,15,15,15,15,25,35,45,42,55,48,35,42,42,25,35,35,35
BQR,BQR,20.0,21.5,21.5,25.0,27.5,33.5,36.0,39.45,44.2,44.55,45.4,55.95,59.2,57.45,59.95,63.5,63.5
