Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4,2021-Q3,2021-Q2,2021-Q1,2020-Q4
Header,Statement Date,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-02-28,2022-11-30,2022-08-31,2022-05-31,2022-02-28,2021-11-30,2021-08-31,2021-05-31,2021-02-28
Header,Filing Date,2025-10-27,2025-07-29,2025-06-30,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2024-02-23,2023-06-14,2023-01-26,2022-09-30,2022-06-29,2022-04-21,2022-01-06,2021-09-30,2021-06-30,2021-04-22
Revenue & Margin,Segment-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-1 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,1074337000,1128578000,1244431000,1394964000,1476271000,1569739000,1631914000,1777754999,1929333999,2137096999,2366207999,2632622000,2756446000,2813453000,2841758000,2814178000,2493915000
Revenue & Margin,Rev-CoGS / Sale (%),22.856515227531027,21.475254701048577,20.52311458007716,19.538138618631017,17.920693422820065,18.35298734375587,19.331962346055,20.362367154282996,22.151115370460023,22.30376067268063,22.213981197854956,21.977139141130024,21.986173500224567,21.911117761697103,22.08302044016415,22.38888229529191,22.068474667340308
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),-0.12742742733425358,-3.386828380492975,-5.091965725701144,-6.705190958332976,-7.669459062733062,-4.534002149401907,-0.9371204610046853,3.1110023052169744,7.045591850371989,7.5142119929578355,7.823192174070577,7.949299215762841,7.991159630916042,7.853943179431113,8.068808111035493,8.537484125026918,7.9094516052070745
Revenue & Margin,Op. Income / Rev (%),-9.007322655740237,-11.330187191315089,-12.615484506573688,-13.689887337594374,-14.40392719222961,-10.94035377855809,-7.29664675957189,-2.81298604296598,1.3998613000133007,2.2823016467115447,3.04136407409719,3.682032589562801,4.02953658442792,4.063085468283991,4.374967889595103,4.85441930112452,3.8780391472844906
Revenue & Margin,Net Profit / Rev (%),-13.497161505188782,-17.855566916952128,-18.062793356963947,-18.552091666881726,-22.9313588087824,-18.7443262860896,-17.688064444572447,-11.699531156823934,-1.9605210927504109,0.4080769382054614,3.0953745415007363,3.919438491359565,3.9390214791075175,3.2015818284506623,2.9434596471620735,2.888410043714363,2.0282166793976537
EBITDA,Net Income,-145005000,-201514000,-224779000,-258795000,-338529000,-294237000,-288654000,-207989000,-37825000,8721000,73243000,103184000,108577000,90075000,83646000,81285000,50582000
EBITDA,D & A,19126000,19631000,19946000,19062000,17365000,18367000,102897000,169928000,236405000,309903000,297330000,296451000,293626000,293070000,310424000,246694000,185382000
EBITDA,Net Int Inc,3022000,3390000,4810000,6765000,9768000,10213000,8880000,6278000,2965000,834000,-281000,-526000,-556000,-623000,-748000,-982000,-838000
EBITDA,Tax Provision,763000,719000,549000,684000,67023000,66250000,63480000,65680000,1384000,521000,1379000,-46876000,-48775000,-47721000,-45173000,1393000,1363000
EBITDA,EBITDA,-128138000,-184554000,-209094000,-245814000,-263909000,-219833000,-131157000,21341000,196999000,318311000,372233000,353285000,353984000,336047000,349645000,330354000,238165000
EBITDA,Stock-Based Comp,10873000,13700000,15573000,14479000,11608000,5259000,2502000,12167000,19290000,27476000,33856000,34266000,35061000,35405000,33930000,23855000,15937000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,9.79,6.88,5.8,4.93,10.08,12.96,34.9,27.69,19.85,25.39,26.11,32.31,53.98,92.18,73.48,85.43,67.17
Capital Structure,O/S Shares,60333000,57503000,53661000,49048000,45771000,45742000,45587000,45360000,45420000,45708000,43072000,43052000,43016000,43014000,43009000,42885000,42765000
Capital Structure,Market Capitalization,590660070,395620640,311233800,241806640,461371680,592816320,1590986300,1256018400,901587000,1160526120,1124609920,1391010120,2322003680,3965030520,3160301320,3663665550,2872525050
Capital Structure,Cash,167366000,147531000,114576000,114576000,140371000,186174000,256494000,302605000,371457000,427734000,442787000,493478000,503366000,512416000,537653000,536008000,1352984000
Capital Structure,Debt,24772000,25367000,32030000,32030000,2162000,3148000,37196000,3754000,46012000,48290000,50504000,52550000,54646000,56389000,57952000,56914000,3060191000
Capital Structure,Enterprise Value,448066070,273456640,228687800,159260640,323162680,409790320,1371688300,957167400,576142000,781082120,732326920,950082120,1873283680,3509003520,2680600320,3184571550,4579732050
