Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4,2021-Q3
Header,Statement Date,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Header,Filing Date,2025-10-23,2025-07-24,2025-04-24,2025-02-20,2024-10-24,2024-07-26,2024-04-25,2024-02-23,2023-10-26,2023-07-28,2023-04-28,2023-02-24,2022-10-25,2022-07-28,2022-04-25,2022-03-01,2021-10-26
Revenue & Margin,Segment-1,-,-,-,Packaging,-,-,-,Packaging,-,-,-,Packaging,-,-,-,Packaging,-
Revenue & Margin,Segment-1 %,-,-,-,4169.6%,-,-,-,4260.4%,-,-,-,4624.7%,-,-,-,4268.9%,-
Revenue & Margin,Segment-2,-,-,-,Aero Hs Products,-,-,-,Aero Hs Products,-,-,-,Ge Products,-,-,-,Ge Products,-
Revenue & Margin,Segment-2 %,-,-,-,2920.0%,-,-,-,2913.2%,-,-,-,2578.3%,-,-,-,2693.0%,-
Revenue & Margin,Segment-3,-,-,-,Ge Products,-,-,-,Ge Products,-,-,-,Aero Hs Products,-,-,-,Aero Hs Products,-
Revenue & Margin,Segment-3 %,-,-,-,2044.0%,-,-,-,1932.3%,-,-,-,1972.3%,-,-,-,2035.5%,-
Revenue & Margin,Others,-,-,-,"Automotive Extrusions, Other Products",-,-,-,"Automotive Extrusions, Other Products",-,-,-,"Automotive Extrusions, Other Products",-,-,-,"Automotive Extrusions, Other Products",-
Revenue & Margin,Others %,-,-,-,866.4%,-,-,-,894.1%,-,-,-,824.7%,-,-,-,1002.7%,-
Revenue & Margin,Revenue Total,3209400000,3113600000,3063900000,3024000000,2980300000,2976200000,3016900000,3087000000,3141300000,3146600000,3286700000,3427900000,3458300000,3460000000,3246800000,2622000000,2087600000
Revenue & Margin,Rev-CoGS / Sale (%),10.497289212936996,10.601875642343268,11.847645158131794,11.415343915343916,11.649833909337987,11.749882400376318,11.329510424608042,10.758017492711371,8.942157705408588,8.151655755418547,5.765661605866066,5.714869161877535,6.867536072636844,7.407514450867052,9.095109030429962,10.446224256292906,12.08085840199272
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),6.655449616750794,6.805626927029805,7.963706387284181,7.420634920634921,7.435493071167332,7.47261608762852,7.090059332427326,6.708778749595076,5.134816795594181,4.519163541600458,2.4310098274865366,2.502990168908078,4.438596998525287,4.895953757225434,6.313909079709252,6.941266209000762,6.82123012071278
Revenue & Margin,Op. Income / Rev (%),4.6831183398766125,3.818730729701953,3.8219263030777766,3.3068783068783065,3.3419454417340537,3.4036691082588533,3.347807351917531,3.103336572724328,2.4575812561678285,1.9417784275090573,0.70587519396355,0.8547507220163949,1.2376022901425556,1.722543352601156,2.2391277565603054,2.456140350877193,3.175895765472313
Revenue & Margin,Net Profit / Rev (%),2.8478843397519786,2.0522867420349438,1.9452331995169554,1.8584656084656086,1.902493037613663,1.6833546132652377,1.6407570685140376,1.5289925494007126,0.42020819405978416,0.3273374435899065,-0.6632792770864393,-0.8635024358936958,-0.04337391203770639,-0.18208092485549132,-0.45891339164716033,-0.7055682684973302,-0.6849971258861851
EBITDA,Net Income,91400000,63900000,59600000,56200000,56700000,50100000,49500000,47200000,13200000,10300000,-21800000,-29600000,-1500000,-6300000,-14900000,-18500000,-14300000
EBITDA,D & A,88300000,118200000,117600000,116400000,116400000,114600000,112300000,110200000,108000000,105700000,106100000,106900000,108200000,107300000,106000000,92000000,77300000
EBITDA,Net Int Inc,-45700000,-43100000,-40500000,-40100000,-41300000,-42300000,-44300000,-45200000,-45300000,-46200000,-46300000,-47000000,-48200000,-48900000,-49300000,-49300000,-49100000
EBITDA,Tax Provision,27200000,22300000,21300000,19600000,15700000,12400000,9700000,9100000,-600000,400000,-6700000,-8300000,2200000,9500000,-1900000,-5500000,-7600000
EBITDA,EBITDA,252600000,247500000,239000000,232300000,230100000,219400000,215800000,211700000,165900000,162600000,123900000,116000000,157100000,159400000,138500000,117300000,104500000
EBITDA,Stock-Based Comp,11600000,15200000,14600000,14400000,16000000,16300000,16700000,16100000,15000000,14400000,13700000,14300000,13500000,13700000,13800000,12900000,13100000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,77.16,79.9,60.62,70.27,72.52,87.27,88.67,71.19,75.26,71.64,74.63,75.96,61.35,79.09,94.16,93.94,108.96
Capital Structure,O/S Shares,16192000,16138000,16116000,16069000,16087000,16072000,16027000,16015791,15995000,15974000,15940000,15940756,15926000,15862068,15866000,15851000,15852000
Capital Structure,Market Capitalization,1249374720,1289426200,976951920,1129168630,1166629240,1402603440,1421114090,1140164161,1203783700,1144377360,1189602200,1210859825,977060100,1254530958,1493942560,1489042940,1727233920
Capital Structure,Cash,17200000,13100000,21300000,18400000,45700000,70400000,101600000,82400000,44600000,19800000,31500000,57400000,129300000,235200000,261000000,303200000,295700000
Capital Structure,Debt,1073400000,1106300000,1073900000,1075500000,1075500000,1076700000,1077700000,1079100000,1080800000,1098500000,1122300000,1089700000,1084200000,1076300000,1077300000,1094300000,1093100000
Capital Structure,Enterprise Value,2305574720,2382626200,2029551920,2186268630,2196429240,2408903440,2397214090,2136864161,2239983700,2223077360,2280402200,2243159825,1931960100,2095630958,2310242560,2280142940,2524633920
Capital Structure,netCommonStockIssuance,0,0,0,0,0,0,0,0,-100000,-400000,-1300000,0,-900000,0,-1900000,-100000,-100000
Capital Structure,netDebtIssuance,0,32799999,-700000,-500000,-1100000,-500000,-400000,-400000,194500000,-25000000,38800000,-1100000,0,-500000,-500000,-500000,-500000
Liquidity & Cash Flow,DSO,52.17291394030037,52.544361831963,52.21433467149711,51.62987764550264,51.80518739724189,51.2204320946173,50.46894162882428,50.65010528020732,50.738985451882975,50.876819424140336,50.076862810722,50.601570932640975,50.67392215828586,51.35845375722543,54.17441788838241,60.958619374523266,63.95717570415789
Liquidity & Cash Flow,DIO,75.42062663185379,70.34462008262979,67.47209263578807,64.58488875615947,64.78053435114504,65.45402627070246,66.00454188628463,66.29197067044176,65.38456159977625,66.27551814816097,60.98064380730983,55.43889232673268,52.20923373075012,48.94180947029997,50.483525326105365,61.66107704101188,66.3270268061458
Liquidity & Cash Flow,DPO,40.25483028720627,37.693281839410815,37.629771557628935,37.398601985963865,37.55559036876686,36.5312678469446,34.31212851856005,33.59976768666739,34.03212837365403,36.65344624753469,39.58232435748418,42.46287128712871,43.922278626428216,44.253558385616635,45.725478570218534,50.356351944125045,51.23304184373979
Liquidity & Cash Flow,CCC,87.3387102849479,85.19570007518197,82.05665574965624,78.81616441569824,79.03013137962007,80.14319051837516,82.16135499654885,83.34230826398168,82.09141867800518,80.49889132476662,71.47518226054764,63.57759197224494,58.96087726260776,56.04670484190877,58.93246464426924,72.26334447141011,79.0511606665639
Liquidity & Cash Flow,OCF,175400000,150400000,160800000,167100000,198000000,253700000,295500000,211900000,133100000,-22300000,-84800000,-63100000,-12500000,81500000,92200000,79400000,89500000
Liquidity & Cash Flow,CapEx,-99600000,-150700000,-150800000,-180800000,-148000000,-134300000,-132100000,-143200000,-180100000,-179600000,-155300000,-142500000,-110500000,-85500000,-77200000,-58000000,-44600000
Liquidity & Cash Flow,FCF,13000000,-38500000,-28200000,-13700000,50000000,119400000,163400000,68700000,-47000000,-201900000,-240100000,-205600000,-123000000,-4000000,15000000,21400000,44900000
BQR,Total Debt / Adj Ebitda,4.249406175771972,4.46989898989899,4.493305439330544,4.6297890658631085,4.674054758800522,4.9074749316317225,4.993975903614458,5.097307510628248,6.514767932489452,6.755842558425584,9.058111380145279,9.39396551724138,6.9013367281986,6.75219573400251,7.778339350180506,9.329070758738277,10.460287081339713
BQR,Adj Ebitda / Interest Expense,5.527352297592998,5.74245939675174,5.901234567901234,5.793017456359102,5.571428571428571,5.1867612293144205,4.871331828442438,4.683628318584071,3.662251655629139,3.5194805194805197,2.676025917926566,2.4680851063829787,3.259336099585062,3.259713701431493,2.8093306288032456,2.3793103448275863,2.1283095723014256
BQR,Net Income before extraordinary,91400000,63900000,59600000,56200000,56700000,50100000,49500000,47200000,13200000,10300000,-21800000,-29600000,-1500000,-6300000,-14900000,-18500000,-14300000
BQR,(NCO-CAPEX) / Total Debt (%),1.2111049003167504,-3.480068697460002,-2.6259428252165007,-1.2738261273826128,4.6490004649000465,11.089439955419337,15.161918901364016,6.366416458159577,-4.348630643967431,-18.37960855712335,-21.393566782500223,-18.867578232541067,-11.344770337576094,-0.371643593793552,1.392369813422445,1.9555880471534315,4.107583935596011
BQR,Score: Operating Leverage,52,55,55,55,55,58,58,58,75,75,75,75,75,75,75,75,75
BQR,Score: ICR,48,48,48,48,48,48,52,52,58,58,58,65,58,58,58,65,65
BQR,Score: Net Income,42,45,45,45,45,45,48,48,55,55,75,75,65,65,65,65,65
BQR,Score: FCF/Debt,75,75,75,75,75,58,52,65,75,75,75,75,75,75,75,75,75
BQR,BQR,54.65,56.45,56.45,56.45,56.45,53.25,53.099999999999994,56.349999999999994,67.45,67.45,72.45,73.5,69.95,69.95,69.95,71.0,71.0
