Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4,2021-Q3
Header,Statement Date,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-10-31
Header,Filing Date,2025-11-06,2025-08-07,2025-05-09,2025-03-13,2024-10-31,2024-08-08,2024-05-08,2024-03-08,2023-11-07,2023-08-10,2023-05-11,2023-03-09,2022-11-10,2022-08-12,2022-05-13,2021-12-31,2021-12-10
Revenue & Margin,Segment-1,-,-,-,-,-,-,-,Rocky Mountains,-,-,-,Rocky Mountains,-,-,-,-,-
Revenue & Margin,Segment-1 %,-,-,-,-,-,-,-,10000.0%,-,-,-,10000.0%,-,-,-,-,-
Revenue & Margin,Segment-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,645200000,667400000,688600000,709300000,738000000,769700000,823500000,888400000,917500000,918500000,868900000,781600000,652700000,570100000,497600000,436100000,428500000
Revenue & Margin,Rev-CoGS / Sale (%),17.699938003719776,18.669463590050945,19.750217833284925,16.15677428450585,13.373983739837398,13.836559698583864,17.741347905282332,22.062134173795588,25.122615803814714,24.9210669569951,23.213258142478995,20.50921187308086,16.316837750880957,12.629363269601823,10.289389067524116,8.254987388213712,5.950991831971995
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),6.416615003099814,6.922385376086305,8.176009294220158,4.920344001127872,2.2764227642276422,3.533844354943484,7.7838494231936854,12.314272850067537,15.727520435967302,15.601524224278714,13.822073886523189,11.502047082906858,6.879117511873756,2.3855463953692335,-0.7033762057877814,-4.265076817243751,-7.934655775962661
Revenue & Margin,Op. Income / Rev (%),-5.331680099194049,-4.540005993407252,-2.9189660180075516,-2.1852530664034964,-1.151761517615176,0.883461088735871,3.02367941712204,6.404772624943719,8.403269754768393,8.829613500272183,7.239037863965934,4.158137154554759,0.3830243603493182,-4.964041396246273,-9.364951768488746,-14.675533134602157,-18.34305717619603
Revenue & Margin,Net Profit / Rev (%),-11.887786732796032,-10.578363799820197,-8.524542550101657,-7.472155646411956,-6.4498644986449865,-4.131479797323633,-1.5057680631451122,2.1611886537595675,3.5531335149863756,3.9303211758301577,1.979514328461273,-1.5481064483111566,-4.519687452121955,-10.419224697421505,-15.454180064308682,-21.508828250401287,-25.92765460910152
EBITDA,Net Income,-76700000,-70600000,-58700000,-53000000,-47600000,-31800000,-12400000,19200000,32600000,36100000,17200000,-12100000,-29500000,-59400000,-76900000,-93800000,-111100000
EBITDA,D & A,96700000,97400000,96800000,94000000,88700000,83700000,78200000,72800000,67900000,63200000,59600000,56800000,52200000,51700000,52200000,53900000,61500000
EBITDA,Net Int Inc,-41800000,-39800000,-38000000,-36900000,-35600000,-35000000,-34300000,-34700000,-35300000,-35800000,-36000000,-35000000,-31500000,-30700000,-30000000,-29500000,-32000000
EBITDA,Tax Provision,600000,600000,600000,600000,3400000,3500000,3000000,3000000,200000,200000,700000,600000,500000,400000,300000,300000,400000
EBITDA,EBITDA,62400000,67200000,76700000,78500000,80100000,90400000,103100000,129700000,136000000,135300000,113500000,80300000,54700000,23400000,5600000,-10100000,-17200000
EBITDA,Stock-Based Comp,3000000,3400000,3800000,3900000,3600000,3400000,3200000,3000000,3100000,3000000,3000000,3000000,2200000,2400000,2600000,2700000,3300000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,1.92,1.87,3.5,4.98,5.47,4.9,7.6,11.26,11.85,9.73,11.65,17.31,8.23,4.33,5.17,3.1,4.5
Capital Structure,O/S Shares,19200000,19200000,16300000,16300000,16200000,16200000,16100000,16000000,16000000,16000000,14200000,12300000,11500000,11194029,10050505,9700000,8600000
Capital Structure,Market Capitalization,36864000,35904000,57050000,81174000,88614000,79380000,122360000,180160000,189600000,155680000,165430000,212912999,94645000,48470145,51961110,30070000,38700000
Capital Structure,Cash,8300000,17300000,14600000,91600000,82700000,86900000,84900000,112500000,90400000,82100000,39600000,57400000,41400000,31500000,19400000,28000000,40800000
Capital Structure,Debt,311700000,305700000,316700000,344900000,349900000,354300000,359900000,365400000,353000000,351300000,353500000,350900000,362200000,363200000,337200000,336900000,284700000
Capital Structure,Enterprise Value,340264000,324304000,359150000,334474000,355814000,346780000,397360000,433060000,452200000,424880000,479330000,506412999,415445000,380170145,369761110,338970000,282600000
Capital Structure,netCommonStockIssuance,-700000,100000,500000,200000,100000,-200000,-500000,700000,-300000,0,-800000,14900000,1600000,5300000,2700000,1000000,4800000
Capital Structure,netDebtIssuance,-16100000,-11900000,-11500000,-4600000,-3200000,-5500000,-4700000,-4600000,-3800000,-3300000,-3100000,-4200000,-2100000,19500000,-1500000,1200000,-900000
Liquidity & Cash Flow,DSO,58.86275573465592,58.84626910398561,58.63799738600058,59.21665726772875,60.635501355013545,61.80151357671821,62.60625379477838,65.4999155785682,66.13760217983652,64.78402286336419,64.43894579353206,61.572735414534286,66.58859353454879,69.85002631117348,71.92172427652733,74.36425131850493,67.97432905484247
Liquidity & Cash Flow,DIO,21.910310734463277,21.43399963154016,21.10342019543974,19.839625021019003,18.81237290786798,18.230737334137515,17.67345733687629,16.48667677642981,15.580240174672488,14.52907482598608,14.333033573141487,14.965998712377274,16.472445990479677,17.47691226661313,18.80600358422939,20.22963009247688,19.721774193548388
Liquidity & Cash Flow,DPO,46.999764595103585,47.20523212969786,48.085414404632644,47.18240289221457,45.8176912247771,44.166541013269,45.490293770298194,47.035131426920856,46.91339155749636,47.54368474477959,47.62177757793765,47.93819410912603,52.508009886488466,53.823027504517164,51.40989023297492,51.63459135216196,43.858870967741936
Liquidity & Cash Flow,CCC,33.773301874015615,33.075036605827904,31.656003176807673,31.873879396533184,33.63018303810443,35.865709897586726,34.78941736135647,34.951460928077154,34.80445079701264,31.769412944570668,31.1502017887359,28.600540017785534,30.553029638539996,33.50391107326944,39.3178376277818,42.959290058819846,43.83723228064892
Liquidity & Cash Flow,OCF,21000000,24800000,27400000,54200000,66300000,74600000,112900000,115100000,88800000,81700000,13300000,15700000,-8500000,-32800000,-50500000,-55600000,-72300000
Liquidity & Cash Flow,CapEx,-55000000,-64000000,-66600000,-65100000,-62600000,-59400000,-60300000,-57100000,-53800000,-48500000,-40100000,-35600000,-29600000,-18900000,-14600000,-11000000,-8600000
Liquidity & Cash Flow,FCF,-34000000,-39200000,-39200000,-10900000,3700000,15200000,52600000,58000000,35000000,33200000,-26800000,-19900000,-38100000,-51700000,-65100000,-66600000,-80900000
BQR,Total Debt / Adj Ebitda,4.9951923076923075,4.549107142857143,4.129074315514994,4.393630573248408,4.368289637952559,3.9192477876106193,3.49078564500485,2.8172706245181187,2.5955882352941178,2.5964523281596454,3.1145374449339207,4.36986301369863,6.621572212065813,15.521367521367521,60.214285714285715,999.0,999.0
BQR,Adj Ebitda / Interest Expense,1.492822966507177,1.6884422110552764,2.018421052631579,2.127371273712737,2.25,2.5828571428571427,3.0058309037900877,3.7377521613832854,3.8526912181303117,3.7793296089385473,3.1527777777777777,2.2942857142857145,1.7365079365079366,0.762214983713355,0.18666666666666668,-999.0,-999.0
BQR,Net Income before extraordinary,-76700000,-70600000,-58700000,-53000000,-47600000,-31800000,-12400000,19200000,32600000,36100000,17200000,-12100000,-29500000,-59400000,-76900000,-93800000,-111100000
BQR,(NCO-CAPEX) / Total Debt (%),-10.907924286172602,-12.823029113509977,-12.377644458478056,-3.160336329370832,1.0574449842812232,4.290149590742309,14.615170880800223,15.873015873015873,9.91501416430595,9.450612012524907,-7.581329561527581,-5.67113137646053,-10.519050248481502,-14.234581497797357,-19.306049822064058,-19.768477292965272,-28.41587636108184
BQR,Score: Operating Leverage,58,55,52,55,55,52,48,45,45,45,45,55,75,75,75,75,75
BQR,Score: ICR,75,65,65,65,65,58,58,58,58,58,58,65,65,75,75,75,75
BQR,Score: Net Income,75,75,75,75,75,75,65,52,48,48,52,65,75,75,75,75,75
BQR,Score: FCF/Debt,75,75,75,75,75,75,55,52,58,58,75,75,75,75,75,75,75
BQR,BQR,69.05,66.5,65.45,66.5,66.5,64.4,55.5,50.449999999999996,50.949999999999996,50.949999999999996,56.199999999999996,64.0,73.5,75.0,75.0,75.0,75.0
