Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years),LTM (-17Q)
Header,Fiscal Period,2025.0-Q4,2025.0-Q3,2025.0-Q2,2025.0-Q1,2024.0-Q4,2024.0-Q3,2024.0-Q2,2024.0-Q1,2023.0-Q4,2023.0-Q3,2023.0-Q2,2023.0-Q1,2022.0-Q4,2022.0-Q3,2022.0-Q2,2022.0-Q1,2021.0-Q4,2021.0-Q3
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Header,Filing Date,2026-01-14,2026-01-14,2025-12-15,2025-11-18,2025-09-19,2025-02-21,2025-01-14,2024-05-15,2024-04-24,2023-11-09,2023-08-09,2023-05-08,2023-03-16,2022-11-04,2022-07-29,2022-04-29,2022-02-28,2021-11-09
Revenue & Margin,Segment-1,-,-,-,-,Subscription Services,-,-,-,Subscription Services,-,-,-,Capital Markets Segment,-,-,-,CapitalMarketsMember,-
Revenue & Margin,Segment-1 %,-,-,-,-,3390.4%,-,-,-,3957.5%,-,-,-,3254.6%,-,-,-,6188.2%,-
Revenue & Margin,Segment-2,-,-,-,-,Corporate Finance Consulting And Investment Banking Fees,-,-,-,Product,-,-,-,Communications Segment,-,-,-,WealthManagementMember,-
Revenue & Margin,Segment-2 %,-,-,-,-,2940.2%,-,-,-,3832.6%,-,-,-,2341.2%,-,-,-,2194.6%,-
Revenue & Margin,Segment-3,-,-,-,-,Sale Of Goods,-,-,-,Wealth And Asset Management Fees,-,-,-,Wealth Management Segment,-,-,-,FinancialConsultingMember,-
Revenue & Margin,Segment-3 %,-,-,-,-,2630.8%,-,-,-,2209.9%,-,-,-,2327.3%,-,-,-,541.8%,-
Revenue & Margin,Others,-,-,-,-,"Wealth And Asset Management Fees, Advertising Licensing And Other, Interest Income - Securities lending, Interest Income Loans, Commissions Fees And Reimbursed Expenses, Other Segments, Trading (Loss) Income, Fair Value Adjustment On Loans",-,-,-,-,-,-,-,"Financial Consulting Segment, Consumer Segment, Other Segments",-,-,-,"PrincipalInvestmentsCommunicationsMember, AuctionAndLiquidationMember, BrandsMember",-
Revenue & Margin,Others %,-,-,-,-,1038.6%,-,-,-,-,-,-,-,2077.0%,-,-,-,1075.4%,-
Revenue & Margin,Revenue Total,960236000.0,962846000.0,933115000.0,979080000.0,1094712000.0,1170019000.0,1287306000.0,1413910000.0,1536209000.0,1685307000.0,1633296000.0,1375846000.0,1190596000.0,1120688000.0,1190093000.0,1387242000.0,1740561000.0,1318451000.0
Revenue & Margin,Rev-CoGS / Sale (%),49.612595237004236,67.3324706131614,63.29691409954828,59.76477918045512,59.106778769210536,57.36958117774156,58.38945829507514,61.38771208917117,64.42476251603786,66.63913459090837,69.74883915713991,71.19038031872753,75.84428303135572,86.08658252787573,88.95674539720846,91.07545763464485,92.30282650248971,92.18036923632353
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),29.966799828375525,1.273204645395006,-6.708605048681031,-10.594844139396168,-4.87616834382011,-4.486850213543541,-1.0352627891115245,6.515124725053221,11.727766208894753,18.43515751136143,22.37279709250497,16.530047694291365,15.82274759868167,16.774338620561654,16.923299271569533,26.9157075694075,40.23938258986614,43.981080828942446
