Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4,2021-Q3
Header,Statement Date,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Header,Filing Date,2025-11-06,2025-07-31,2025-05-12,2025-03-12,2024-11-07,2024-08-01,2024-05-02,2024-02-22,2023-11-02,2023-08-03,2023-05-09,2023-03-01,2022-11-03,2022-08-09,2022-05-04,2022-02-24,2021-11-03
Revenue & Margin,Segment-1,-,-,-,Product,-,-,-,Product,-,-,-,Subscription And Support,-,-,-,Subscription And Support,-
Revenue & Margin,Segment-1 %,-,-,-,4923.6%,-,-,-,4912.7%,-,-,-,9703.8%,-,-,-,9742.1%,-
Revenue & Margin,Segment-2,-,-,-,Subscription And Support,-,-,-,Subscription And Support,-,-,-,Professional Services,-,-,-,Professional Services,-
Revenue & Margin,Segment-2 %,-,-,-,4815.8%,-,-,-,4808.9%,-,-,-,296.2%,-,-,-,257.9%,-
Revenue & Margin,Segment-3,-,-,-,Professional Services,-,-,-,Professional Services,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,152.8%,-,-,-,174.6%,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,Perpetual License,-,-,-,Perpetual License,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,107.8%,-,-,-,103.8%,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,235591000,251757000,267713000,274794000,278945000,286374000,291532000,297852000,304485000,309913000,315643000,317303000,314222000,310726000,306763000,302016000,304533000
Revenue & Margin,Rev-CoGS / Sale (%),73.24855363744796,71.77754739689462,66.5795086529231,66.34861023166445,65.47097097994228,65.23776599830991,68.48579229724353,67.64802653666922,67.36817905643956,67.04010480360617,66.88600729304942,67.30538318263616,67.46504064005703,67.39185005438875,67.47293513233343,67.07028766687858,66.75401352234405
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),34.05860155948232,31.576083286661344,25.157911644186125,24.221052861416187,22.584380433418776,22.038662727761597,25.82220819669882,25.477418315136376,27.052235742319,28.21372449687493,26.92028652623375,26.373529402495404,25.77063350115523,24.243545760573625,24.96324524144046,23.364656177156178,23.795450739328743
Revenue & Margin,Op. Income / Rev (%),-1.9996519391657575,-5.310676565100474,-4.372593038066885,-37.22606752694746,-39.32854146874832,-39.847542025463206,-40.520080128425015,-55.03370801606167,-55.354450958175285,-52.07300113257591,-51.60323530064028,-12.67810263376016,-9.058245444303708,-10.829798600696433,-10.407382898198284,-11.48184202161475,-10.27737552252137
Revenue & Margin,Net Profit / Rev (%),-18.434065817454826,-17.493058782873963,-15.85653292892015,-41.02418538978289,-44.92426822491889,-46.181217568634025,-46.6360468147579,-60.390395229845694,-61.26344483307881,-59.49443876184607,-58.809160982502384,-21.5607794442536,-16.933251013614576,-18.572633123716713,-19.67610174629926,-19.274475524475523,-18.52344409308679
EBITDA,Net Income,-43429000,-44040000,-42450000,-112732000,-125314000,-132251000,-135959000,-179874000,-186538000,-184381000,-185627000,-68413000,-53208000,-57710000,-60359000,-58212000,-56410000
EBITDA,D & A,38947000,45203000,50845000,54986000,58916000,62800000,67287000,71985000,69288000,64737000,60384000,56146000,54841000,55452000,54722000,52928000,51493000
EBITDA,Net Int Inc,-10783000,-4242000,-6424000,-8939000,-12999000,-17861000,-18181000,-18684000,-19637000,-24466000,-26844000,-29145000,-30796000,-31413000,-31601000,-31626000,-31635000
EBITDA,Tax Provision,-328000,461000,1842000,2640000,1826000,-175000,-1618000,-2493000,-3213000,-2798000,-3037000,-1741000,-3794000,-6086000,-4076000,-8344000,-6627000
EBITDA,EBITDA,5973000,5866000,16661000,-46167000,-51573000,-51765000,-52109000,-91698000,-100826000,-97976000,-101436000,15137000,28635000,23069000,21888000,17998000,20091000
EBITDA,Stock-Based Comp,11264000,12364000,14423000,15270000,16760000,18697000,19934000,22874000,25771000,27938000,36445000,41602000,44475000,48995000,47668000,53873000,53850000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,2.37,1.95,2.86,4.34,2.49,2.39,2.89,4.23,4.62,3.6,4.3,7.13,8.13,14.52,17.61,17.94,33.44
Capital Structure,O/S Shares,28784856,28371000,28221000,27605000,27292000,27348672,28917897,30995441,32579544,32473872,32259110,31906980,31655206,31380505,31163273,30677368,30428675
Capital Structure,Market Capitalization,68220108,55323450,80712060,119805700,67957080,65363326,83572722,131110715,150517493,116905939,138714173,227496767,257356824,455644932,548785237,550351981,1017534891
Capital Structure,Cash,23381000,41011000,33705000,56426000,59739000,232375000,231614000,236559000,239591000,262556000,257720000,248653000,241720000,138284000,130443000,189158000,179584000
Capital Structure,Debt,364367000,258672000,259419000,291956000,299411000,477763000,479196000,480622000,482821000,518713000,521289000,523135000,524871000,526934000,528884000,528649000,530321000
Capital Structure,Enterprise Value,409206108,272984450,306426060,355335700,307629080,310751326,331154722,375173715,393747493,373062939,402283173,501978767,540507824,844294932,947226237,889842981,1368271891
Capital Structure,netCommonStockIssuance,-1140000,-186000,-494000,0,-190000,-3040000,-7918000,-10842000,-3214000,1000,0,1000,8000,0,182000,46000,50000
Capital Structure,netDebtIssuance,-24874000,-1349000,-34226000,-7350000,-178350000,-1350000,-1350000,-1350000,-36350000,-1350000,-1350000,-1353000,-1350000,-1347000,-1353000,-1352000,-1365000
Liquidity & Cash Flow,DSO,50.012797602624886,50.74772498877886,51.51574167111795,52.266670669665274,52.27104357489828,53.409357169296094,52.29944740200046,53.95095131138955,55.07306189139038,53.5349154440117,53.22018071048622,55.06438246723164,56.299224751926985,56.5679167498053,58.56767276366446,57.84278813043017,55.486872522846454
Liquidity & Cash Flow,DIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liquidity & Cash Flow,DPO,23.384405147245495,29.756551539717393,28.143686222351377,29.900578012803877,27.521751092745827,31.460396785534908,40.360003918409994,48.09325090026048,52.88898086735977,56.89200368096959,62.11638458889038,65.82532460647188,71.63739093434542,68.70002319338347,64.59041550996683,59.69652750545484,45.15047656674404
Liquidity & Cash Flow,CCC,26.62839245537939,20.99117344906147,23.372055448766574,22.366092656861397,24.749292482152452,21.948960383761186,11.939443483590466,5.857700411129073,2.184081024030611,-3.3570882369578854,-8.896203878404158,-10.760942139240242,-15.338166182418433,-12.132106443578174,-6.02274274630237,-1.8537393750246665,10.336395956102415
Liquidity & Cash Flow,OCF,27823000,25242000,27423000,24239000,23687000,37687000,39239000,49943000,46995000,30566000,37582000,29979000,37230000,40690000,37457000,41738000,50114000
Liquidity & Cash Flow,CapEx,-1585000,-1483000,-1123000,-882000,-748000,-1173000,-1188000,-1220000,-1182000,-1073000,-905000,-866000,-868000,-905000,-1009000,-1115000,-1246000
Liquidity & Cash Flow,FCF,26238000,23759000,26300000,23357000,22939000,36514000,38051000,48723000,45813000,29493000,36677000,29113000,36362000,39785000,36448000,40623000,48868000
BQR,Total Debt / Adj Ebitda,61.00234388079692,44.09682918513467,15.570433947542165,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,34.56001849772082,18.329701414353064,22.841648966145044,24.163194444444443,29.372652516946328,26.39594843462247
BQR,Adj Ebitda / Interest Expense,0.5539274784382825,1.3828382838283828,2.5935554171855544,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.5193686738720192,0.9298285491622289,0.7343774870276637,0.692636308977564,0.5690887244672105,0.6350877192982456
BQR,Net Income before extraordinary,-43429000,-44040000,-42450000,-112732000,-125314000,-132251000,-135959000,-179874000,-186538000,-184381000,-185627000,-68413000,-53208000,-57710000,-60359000,-58212000,-56410000
BQR,(NCO-CAPEX) / Total Debt (%),7.200981428065659,9.18499103111276,10.138039233826358,8.000178109030127,7.661375166577046,7.642701506814048,7.940592158532208,10.137488504479611,9.488609650367321,5.685803131982426,7.035828494366848,5.565102698156307,6.927797496908764,7.550281439421256,6.891492274298334,7.684304708795439,9.214796321473221
BQR,Score: Operating Leverage,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
BQR,Score: ICR,75,75,58,75,75,75,75,75,75,75,75,75,75,75,75,75,75
BQR,Score: Net Income,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
BQR,Score: FCF/Debt,58,58,58,58,58,58,58,58,58,65,58,65,65,58,65,58,58
BQR,BQR,70.75,70.75,68.2,70.75,70.75,70.75,70.75,70.75,70.75,72.5,70.75,72.5,72.5,70.75,72.5,70.75,70.75
