Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4,2021-Q3
Header,Statement Date,2025-11-30,2025-08-31,2025-05-31,2025-02-28,2024-11-30,2024-08-31,2024-05-31,2024-02-29,2023-10-31,2023-07-31,2023-04-30,2023-01-31,2022-10-31,2022-07-31,2022-04-30,2022-01-31,2021-10-31
Header,Filing Date,2025-12-05,2025-08-29,2025-06-06,2025-03-31,2024-12-06,2024-09-10,2024-06-05,2024-04-03,2023-12-07,2023-09-01,2023-06-07,2023-03-28,2022-12-08,2022-09-02,2022-06-09,2022-03-24,2021-12-01
Revenue & Margin,Segment-1,-,-,-,-,-,-,-,Consumables,-,-,-,Consumables,-,-,-,Supplies And Companion Animals,-
Revenue & Margin,Segment-1 %,-,-,-,-,-,-,-,4898.0%,-,-,-,4737.6%,-,-,-,4482.6%,-
Revenue & Margin,Segment-2,-,-,-,-,-,-,-,Supplies And Companion Animals,-,-,-,Supplies And Companion Animals,-,-,-,Consumables,-
Revenue & Margin,Segment-2 %,-,-,-,-,-,-,-,3532.8%,-,-,-,3928.0%,-,-,-,4363.2%,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,Services And Other,-,-,-,Services And Other,-,-,-,Services And Other,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,1569.2%,-,-,-,1334.4%,-,-,-,1154.2%,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,5998469000,6045495000,6080721000,6116462000,6238808000,6221537000,6228516000,6255284000,6158767000,6165821000,6115884000,6035967000,5972365000,5914409000,5868146000,5807149000,5630505000
Revenue & Margin,Rev-CoGS / Sale (%),37.73044421834972,36.71960691390862,36.431337665385406,36.36056269130749,36.727865322991185,37.22125256186695,37.37668812282091,37.62954647622714,38.55911418632983,39.28823104011615,39.63310945727551,40.21074005209107,40.77671073352014,41.126104062130295,41.53439604263425,41.78659786411542,41.921088783332934
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),1.8922495056655289,1.5564647890702084,0.8805205994486509,0.33354251199467927,-0.06991718610349926,-0.3657938544767957,-0.019089619421383843,0.6907759903467213,1.9582491105768411,2.8750266996074,3.3231009613655194,3.7369157253510497,3.8662071055603606,4.1390103389873785,4.571477942096192,4.581783591225229,4.442603283364458
Revenue & Margin,Op. Income / Rev (%),1.8922495056655289,1.5564647725289658,0.8805205830032328,0.3335424956453584,-0.06991720213220218,-0.3657938544767957,-0.019089619421383843,0.6907759903467213,1.9582491105768411,2.8750266996074,3.3231009613655194,3.7369157253510497,3.8662071055603606,4.1390103389873785,4.571477942096192,4.581783591225229,4.442603283364458
Revenue & Margin,Net Profit / Rev (%),-0.03660934148363524,-0.4664465027264103,-1.1017443490665004,-1.6646224565770213,-1.7720372224950665,-21.45800949186672,-21.269930108552344,-20.4660571766206,-19.888769943724125,0.5863614918435031,1.0499872136227568,1.5043322801466608,1.457764219032159,2.0271678877805033,3.0938221373496844,2.8312860579261874,2.295779863440313
EBITDA,Net Income,-2196000,-28199000,-66994000,-101816000,-110554000,-1335018000,-1324801000,-1280210000,-1224903000,36154000,64216000,90801000,87063000,119895000,181550000,164417000,129264000
EBITDA,D & A,198779000,199071000,199505000,199727000,201603000,202168000,201114000,200782000,198822000,196177000,196116000,193828000,190393000,185156000,177791000,172431000,171512000
EBITDA,Net Int Inc,-128369000,-131807000,-135552000,-139816000,-146315000,-147282000,-147878000,-147504000,-140309000,-132068000,-117022000,-100611000,-87358000,-78932000,-76442000,-77336000,-108118000
EBITDA,Tax Provision,-7402000,2888000,-2509000,-7481000,-20420000,-42465000,-31082000,-27613000,-2630000,24433000,24339000,35347000,30488000,40422000,60795000,53474000,53985000
EBITDA,EBITDA,317550000,305567000,265554000,230246000,216944000,-1028033000,-1006891000,-959537000,-888402000,388832000,401693000,420587000,395302000,424405000,496578000,467658000,462879000
EBITDA,Stock-Based Comp,34879000,39073000,42198000,50212000,58133000,64959000,77164000,81859000,84323000,81915000,70691000,60784000,53666000,51272000,49883000,49265000,41942000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
