Category,Metric,HY,BBBY,OIS,MIK,LE,UFI,SALM,KALU,USX,FOSL,GAP,CULP,GT,GPRO,NINE,RILY,UPLD,UNFI,TCS,TITN,UFS,KLXE,WOOF,ALTG,DBI,WNC
Header,Fiscal Period,2025-Q3,2025-Q3,2025-Q3,2020.0-Q4,2025.0-Q3,2026-Q2,2025-Q3,2025-Q3,2023-Q1,2025.0-Q3,2025-Q3,2025-Q2,2025-Q4,2025-Q3,2025-Q3,2025.0-Q4,2025-Q3,2026-Q1,2024-Q2,2026-Q3,2025-Q3,2025-Q3,2025-Q3,2025-Q3,2025-Q3,2025-Q4
Header,Statement Date,2025-09-30,2025-09-30,2025-09-30,2021-01-31,2025-10-31,2025-12-31,2025-09-30,2025-09-30,2023-03-31,2025-10-31,2025-11-30,2025-11-30,2025-12-31,2025-09-30,2025-09-30,2025-12-31,2025-09-30,2025-11-30,2024-09-30,2025-10-31,2025-09-30,2025-09-30,2025-11-30,2025-09-30,2025-11-30,2025-12-31
Header,Filing Date,2025-11-04,2025-10-27,2025-10-31,2021-03-09,2025-12-09,2026-02-04,2025-09-30,2025-10-23,2023-05-10,2025-11-13,2025-11-25,2025-12-12,2026-02-10,2025-11-06,2025-10-30,2026-01-14,2025-11-06,2025-12-02,2024-10-30,2025-12-04,2025-10-30,2025-11-06,2025-12-05,2025-11-06,2025-12-09,2026-02-04
Revenue & Margin,Segment-1,Other revenue,-,Product,General Crafts Product,U Se Commerce,Third Party Manufacturer,Broadcast,Packaging,Cargo and Freight,Watches,-,Mattress Fabrics,-,Subscription and Service Revenue,Service Revenue,Subscription Services,Product,Conventional Segment,TCS,Sales of Equipment,Communication Paper,Rocky Mountains,Consumables,Parts Sales,U.S. Retail Segment,New Trailers
Revenue & Margin,Segment-1 %,10000.0%,-,5812.5%,4711.6%,6183.4%,4963.4%,7690.7%,4169.6%,8773.7%,4394.2%,-,5341.8%,-,10000.0%,3805.6%,3390.4%,4923.6%,8623.1%,9253.8%,7488.9%,3542.6%,10000.0%,4898.0%,3917.0%,8419.8%,6841.8%
Revenue & Margin,Segment-2,Bolzoni,-,Service,Home Decor And Seasonal Product,Business Outfitters Revenue,All Other Products And Services,Digital Media,Aero Hs Products,Fuel Surcharge,Traditional Watches,-,Upholstery Fabrics,-,-,Cement,Corporate Finance Consulting And Investment Banking Fees,Subscription And Support,Retail Segment,Elfa,Sales of Parts,Market Pulp Product,-,Supplies And Companion Animals,Service,Brand Portfolio,Equipment and Other
Revenue & Margin,Segment-2 %,896.3%,-,4187.5%,2301.7%,1674.0%,3469.8%,1560.5%,2920.0%,1226.3%,4272.4%,-,4658.2%,-,-,1805.0%,2940.2%,4815.8%,1376.9%,746.2%,1565.0%,2505.4%,-,3532.8%,3376.8%,988.5%,2477.2%
Revenue & Margin,Segment-3,JAPIC,-,-,Custom And Ready Made Framing,Licensing and Retail,R E P R E V E Fiber,Publishing,Ge Products,-,Jewelry,-,-,-,-,Tool Revenue,Sale Of Goods,Professional Services,Other Segments,-,Service Sales,Specialty And Packaging Paper,-,Services And Other,Rental Revenue,Canada Retail Segment,"Components, Parts and Services"
Revenue & Margin,Segment-3 %,629.9%,-,-,1610.5%,773.4%,1530.2%,748.8%,2044.0%,-,560.3%,-,-,-,-,1194.4%,2630.8%,152.8%,70.3%,-,657.9%,1676.5%,-,1569.2%,2706.2%,854.3%,660.4%
