Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2026-Q2,2025-Q4,2025-Q2,2024-Q4,2024-Q2,2023-Q4,2023-Q2,2022-Q4,2022-Q2,2021-Q4,2021-Q2,2020-Q4,2020-Q2,2019-Q4,2019-Q2,2018-Q4,2018-Q2
Header,Statement Date,2025-09-30,2025-03-31,2024-09-30,2024-03-31,2023-09-30,2023-03-31,2022-09-30,2022-03-31,2021-09-30,2021-03-31,2020-09-30,2020-03-31,2019-09-30,2019-03-31,2018-09-30,2018-03-31,2017-09-30
Header,Filing Date,2025-12-05,2025-07-25,2024-11-27,2024-07-16,2023-11-30,2023-06-23,2022-11-30,2022-06-24,2021-09-30,2021-06-17,2020-11-25,2020-07-08,2019-11-21,2019-06-24,2018-11-16,2018-07-03,2017-11-17
Revenue & Margin,Segment-1,-,Timepieces,-,Timepieces,-,Jewelry And Other,-,Timepieces,-,Timepieces,-,Jewelry And Other,-,Jewelry And Other,-,Jewelry And Other,-
Revenue & Margin,Segment-1 %,-,6123.5%,-,5400.0%,-,5265.3%,-,5008.2%,-,5296.2%,-,5322.6%,-,6557.0%,-,7034.0%,-
Revenue & Margin,Segment-2,-,Jewelry And Other,-,Jewelry And Other,-,Timepieces,-,Jewelry And Other,-,Jewelry And Other,-,Timepieces,-,Timepieces,-,Timepieces,-
Revenue & Margin,Segment-2 %,-,3876.5%,-,4600.0%,-,4734.7%,-,4991.8%,-,4703.8%,-,4677.4%,-,3443.0%,-,2966.0%,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,369338000,363082000,348303000,348225000,347494000,344292000,347425000,324410000,311760000,312488000,308766000,320469000,317929000,297657000,297729233,301248447,421115652
Revenue & Margin,Rev-CoGS / Sale (%),37.068484694236716,38.52105034124523,39.88021923440223,40.638954698829785,41.83180141239849,41.877243734969156,41.33179822983378,40.86495484109614,39.48133179368745,38.66612477919152,38.710220684919975,38.398097787929565,38.009429778346735,38.38982452957599,38.476873716999094,39.109039456724574,39.1322056583164
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),2.943915871099102,4.03214700811387,3.2155910227589195,2.7898628760140713,2.9436479478782367,3.3817224913736017,3.6620853421601782,3.395394716562375,1.4466256094431613,-0.048961880136197226,-1.1601018246827695,-3.095151169067835,-4.71048567447449,-6.5814007397776635,-5.700828174974676,-3.846088540997524,2.719810566433185
Revenue & Margin,Op. Income / Rev (%),-1.3545497620066171,-1.1909155507571292,-0.6296242065098492,-0.7457821810610956,-0.29295469849839134,0.04676263171958687,0.47924012376771963,-0.07767947967078696,-2.1590325891711575,-3.346048488261949,-4.280264018706722,-5.811170503231202,-7.187453802578562,-8.974423581504887,-7.9449867121378706,-6.082056582353103,0.6581161224565455
Revenue & Margin,Net Profit / Rev (%),-5.023109996805094,-4.806076864179441,-3.7748741756459174,-3.4641395649364637,-2.479755046130293,-1.784822185819014,-1.0707346909404907,-1.402854412625998,-4.04381575570952,-5.781021991244463,-7.448358951438953,-9.527286570619935,-11.769608937844612,-13.539073497347617,-12.230974981217246,-10.407251659624324,-2.515479999304324
EBITDA,Net Income,-18552254,-17450000,-13148000,-12063000,-8617000,-6145000,-3720000,-4551000,-12607000,-18065000,-22998000,-30532000,-37419000,-40300000,-36415188,-31351684,-10593080
EBITDA,D & A,15232000,14720000,13724000,12526000,11374000,11482000,11058000,11267000,12264000,12600000,11945000,11001000,9146000,7134000,6693233,6787879,8765033
EBITDA,Net Int Inc,-12443913,-8712000,-4034000,0,-4803500,-4803500,-9125000,-11362000,-9324500,-11741500,-10751000,-8514000,-4532000,-2115000,1216000,1216000,0
EBITDA,Tax Provision,0,0,0,0,0,0,0,0,0,0,5854000,5854000,7290000,7290000,-3841000,-3841000,-5227000
EBITDA,EBITDA,9123659,5982000,4610000,463000,7560500,10140500,16463000,18078000,8981500,6276500,5552000,-5163000,-16451000,-23761000,-34778955,-29620805,-7055047
EBITDA,Stock-Based Comp,-997000,-970000,-38000,230000,3027000,3000000,5868000,5600000,3295000,3295000,219000,219000,534000,534000,565538,565538,400128
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,1.53,1.65,2.96,4.52,6.11,10.96,7.25,6.49,3.56,4.2,0.90017,0.68886,1.2,1.48,1.63,1.34,2.29
Capital Structure,O/S Shares,19595000,19488004,19226089,19163010,18525000,18757052,18145454,18363939,19800000,18039013,17668750,17971006,17872000,17961000,17863793,17961000,17961000
Capital Structure,Market Capitalization,30002570,32240983,56878984,86635788,113151242,205595848,131470128,119177080,70524503,75684021,15904849,12379535,21535429,26609526,29131491,24087885,41189343
Capital Structure,Cash,2172000,1509000,1789000,1783000,1991000,1262000,1576000,2013000,2680000,1807000,2408000,565000,1588000,1179000,1224000,1006008,3071552
Capital Structure,Debt,166973000,145422000,145789000,156622000,153206000,151950000,148323000,140377000,148320000,152420000,158445000,152775000,151091000,64125000,61432000,45209681,75596657
Capital Structure,Enterprise Value,194803570,176153983,200878984,241474788,264366242,356283848,278217128,257541080,216164503,226297021,171941849,164589535,171038429,89555526,89339491,68291558,113714448
Capital Structure,netCommonStockIssuance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capital Structure,netDebtIssuance,14598000,0,815000,0,2730000,0,480000,0,-1604000,0,9979000,0,-945000,0,9993000,0,7904000
Liquidity & Cash Flow,DSO,6.878499504518896,7.813056003877913,9.393979523575737,10.73591068992749,10.648730625564758,10.510558624655816,9.347067712455926,8.366669492309114,8.115501507569926,7.5227928752464095,6.499027580756948,5.611065344853949,5.605952901433968,5.812268193759931,10.269525435716956,12.958368894097568,10.898427520927196
