Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years)
Header,Fiscal Period,2021-Q3,2021-Q2,2021-Q1,2020-Q4,2020-Q3,2020-Q2,2020-Q1,2019-Q4,2019-Q3
Header,Statement Date,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30
Header,Filing Date,2021-11-15,2021-08-16,2021-05-13,2021-02-26,2020-11-16,2020-08-11,2020-05-12,2020-03-19,2019-09-30
Revenue & Margin,Segment-1,-,-,-,North America,-,-,-,-,-
Revenue & Margin,Segment-1 %,-,-,-,9759.1%,-,-,-,-,-
Revenue & Margin,Segment-2,-,-,-,European Union,-,-,-,-,-
Revenue & Margin,Segment-2 %,-,-,-,240.9%,-,-,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,586264000,553194000,511634000,497000000,473643000,477834000,462865000,439258000,410523000
Revenue & Margin,Rev-CoGS / Sale (%),47.49634976734031,51.170475457072925,52.303795291165166,51.083501006036215,50.45635636967083,49.217092128228636,48.56772493059531,49.039744296062906,47.88964321122081
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),-11.31606238827559,-10.707997556011092,-12.087937861830918,-15.35271629778672,-18.60198503936509,-20.02641084560747,-22.459248376956566,-20.048581926794732,-22.33297525351807
Revenue & Margin,Op. Income / Rev (%),-15.15733526192978,-14.374161686496961,-13.422094700508566,-16.645472837022133,-19.506463729011088,-21.03303657755622,-22.606375509057717,-20.20361609805627,-22.49886120875079
Revenue & Margin,Net Profit / Rev (%),-16.243194192377494,-15.511737292884595,-14.906945199107174,-18.019114688128774,-21.14841769011682,-22.46282181678156,-23.777343285839283,-21.181173706568803,-23.204789987406308
EBITDA,Net Income,-95228000,-85810000,-76269000,-89555000,-100168000,-107335000,-110057000,-93040000,-95261000
EBITDA,D & A,17187000,16211000,15673000,15979000,13996000,12963000,10770000,7753000,5836000
EBITDA,Net Int Inc,-8450000,-8365000,-8736000,-8376000,-6435000,-5121000,-3254000,-1355000,-1355000
EBITDA,Tax Provision,58000,62000,55000,52000,73000,146000,103000,87000,55000
