Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years),LTM (-17Q)
Header,Fiscal Period,2020.0-Q4,0.0-0,2020.0-Q3,2020.0-Q2,2020.0-Q1,2019.0-Q4,2019.0-Q3,2019.0-Q2,2019.0-Q1,2018.0-Q4,2018.0-Q3,2018.0-Q2,2018.0-Q1,2017.0-Q3,2017.0-Q2,2017.0-Q1,2016.0-Q4,2016.0-Q3
Header,Statement Date,2021-01-31,2020-10-31,2020-08-31,2020-05-31,2020-02-29,2019-11-30,2019-08-31,2019-05-31,2019-02-28,2018-11-30,2018-08-31,2018-05-31,2018-02-28,2017-10-31,2017-07-31,2017-04-30,2017-01-31,2016-10-31
Header,Filing Date,2021-03-09,0,2020-12-04,2020-06-05,2020-03-17,2019-12-06,2019-09-04,2019-06-07,2019-03-19,2018-12-07,2018-08-31,2018-06-14,2018-03-22,2017-12-01,2017-08-25,2017-06-06,2017-03-07,2016-12-07
Revenue & Margin,Segment-1,-,-,-,-,General Crafts Product,-,-,-,General Crafts Product,-,-,-,General Crafts Product,-,-,-,General Crafts Product,-
Revenue & Margin,Segment-1 %,-,-,-,-,4711.6%,-,-,-,4941.1%,-,-,-,4980.9%,-,-,-,5061.1%,-
Revenue & Margin,Segment-2,-,-,-,-,Home Decor And Seasonal Product,-,-,-,Home Decor And Seasonal Product,-,-,-,Home Decor And Seasonal Product,-,-,-,Home Decor And Seasonal Product,-
Revenue & Margin,Segment-2 %,-,-,-,-,2301.7%,-,-,-,2333.2%,-,-,-,2195.2%,-,-,-,2095.3%,-
Revenue & Margin,Segment-3,-,-,-,-,Custom And Ready Made Framing,-,-,-,Custom And Ready Made Framing,-,-,-,Framing Product,-,-,-,Framing Product,-
Revenue & Margin,Segment-3 %,-,-,-,-,1610.5%,-,-,-,1519.5%,-,-,-,1661.7%,-,-,-,1737.7%,-
Revenue & Margin,Others,-,-,-,-,Papercrafting,-,-,-,Papercrafting,-,-,-,Papercrafting,-,-,-,Papercrafting,-
Revenue & Margin,Others %,-,-,-,-,1376.2%,-,-,-,1206.2%,-,-,-,1162.2%,-,-,-,1105.9%,-
Revenue & Margin,Revenue Total,7219170000.0,3670665000.0,4892686000.0,4778205000.0,5072037000.0,5138539000.0,5190576000.0,5210187000.0,5271967000.0,5373458000.0,5339600000.0,5358900000.0,5362000000.0,5222300000.0,5209300000.0,5197100000.0,5197380000.0,5128980000.0
Revenue & Margin,Rev-CoGS / Sale (%),35.54301948838994,34.21265628980035,34.693949294927165,35.08514180534322,36.91333481991555,37.77499791283086,38.11528816840366,38.094928262651614,38.38751266842148,38.77305824294151,39.11528953479662,39.517438280244086,39.70160387914957,39.44813587882734,39.21064250475112,39.07563833676473,39.016793076511625,39.18227405838978
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),7.730140722548437,7.288951729455018,7.0194776447947,7.540760599430121,10.128494725097628,9.963804886953277,11.044458264362182,11.048087141593959,10.656288250666213,11.963711263770929,12.35298524234025,12.597734609714681,13.716896680343154,13.744901671677232,13.500854241452787,13.507533047276365,13.622729144299628,13.515845255781853
Revenue & Margin,Op. Income / Rev (%),7.288026185835768,7.288951729455018,7.0194776447947,7.540760599430121,10.128494725097628,9.963804886953277,11.044458264362182,11.046167824686522,10.6543914254395,11.96185026476433,12.351112442879616,12.597734609714681,13.716896680343154,13.744901671677232,13.500854241452787,13.507533047276365,13.622729144299628,13.515845255781853
Revenue & Margin,Net Profit / Rev (%),3.0983201669998075,3.0073569775503897,2.8429169580880522,3.58710017674001,5.374467891302843,5.3000668088731056,6.307777788052809,6.340712914910732,6.061722313512205,6.349151700822822,6.3150797812570225,6.443486536416056,7.284595300261097,7.332018459299543,7.286967538824794,7.304073425564257,7.276069865970931,7.146937597728983
EBITDA,Net Income,223673000.0,110390000.0,139095000.0,171399000.0,272595000.0,272346000.0,327410000.0,330363000.0,319572000.0,341169000.0,337200000.0,345300000.0,390600000.0,382900000.0,379600000.0,379600000.0,378165000.0,366565000.0
EBITDA,D & A,194393000.0,95564000.0,126859000.0,126853000.0,125499000.0,128363000.0,127901000.0,126260000.0,124271000.0,122633000.0,120600000.0,119800000.0,118900000.0,115300000.0,114700000.0,114900000.0,115770000.0,116070000.0
EBITDA,Net Int Inc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EBITDA,Tax Provision,-334826000.0,47713000.0,56037000.0,38828000.0,85776000.0,82567000.0,97062000.0,100046000.0,96571000.0,151019000.0,169800000.0,181100000.0,206700000.0,209200000.0,198800000.0,198400000.0,203595000.0,196895000.0
EBITDA,EBITDA,83240000.0,253667000.0,321991000.0,337080000.0,483870000.0,483276000.0,552373000.0,556669000.0,540414000.0,614821000.0,627600000.0,646200000.0,716200000.0,707400000.0,693100000.0,692900000.0,697530000.0,679530000.0
EBITDA,Stock-Based Comp,38198000.0,17434000.0,24092000.0,24194000.0,22910000.0,24966000.0,26754000.0,27364000.0,27082000.0,26812000.0,26041000.0,26291000.0,24264000.0,22854000.0,20473000.0,18319000.0,16506000.0,17465000.0
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,15.5,8.11,0.0,2.82,4.93,8.69,6.76,11.27,13.61,16.47,20.24,18.68,26.13,19.99,19.88,23.36,19.56,23.15
Capital Structure,O/S Shares,147402000.0,147296000.0,0.0,146865000.0,146782000.0,150925000.0,157273000.0,157861000.0,157959000.0,166570000.0,159800000.0,182700000.0,181900000.0,182000000.0,180200000.0,188600000.0,203500000.0,205300000.0
Capital Structure,Market Capitalization,2284731000.0,1194570560.0,0.0,414159300.0,723635260.0,1311538250.0,1063165480.0,1779093470.0,2149821990.0,2743407900.0,3234351999.0,3412836000.0,4753047000.0,3638179999.0,3582376000.0,4405696000.0,3980459999.0,4752695000.0
Capital Structure,Cash,1194389000.0,851996000.0,0.0,926830000.0,409964000.0,118387000.0,130981000.0,246727000.0,245887000.0,102670000.0,123200000.0,422500000.0,425900000.0,176800000.0,134100000.0,197900000.0,298800000.0,150000000.0
Capital Structure,Debt,340938000.0,2500402000.0,0.0,2986119000.0,2669360000.0,2674656000.0,2680291000.0,2700502000.0,2705900000.0,2930563000.0,2835300000.0,2721300000.0,2726700000.0,2847200000.0,2824600000.0,2742700000.0,2754300000.0,2759700000.0
Capital Structure,Enterprise Value,1431280000.0,2842976560.0,0.0,2473448300.0,2983031260.0,3867807250.0,3612475480.0,4232868470.0,4609834990.0,5571300900.0,5946451999.0,5711636000.0,7053847000.0,6308579999.0,6272876000.0,6950496000.0,6435959999.0,7362395000.0
Capital Structure,netCommonStockIssuance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capital Structure,netDebtIssuance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
