Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-02-26,2025-10-30,2025-08-05,2025-05-06,2025-02-21,2024-11-07,2024-08-06,2024-05-08,2024-02-23,2023-11-07,2023-08-08,2023-05-09,2023-02-24,2022-11-01,2022-08-02,2022-05-10,2022-02-25
Revenue & Margin,Segment-1,OEM Segment,-,-,-,Travel Trailer And Fifth Wheels,-,-,-,Travel Trailer And Fifth Wheels,-,-,-,Travel Trailer And Fifth Wheels,-,-,-,Travel Trailer And Fifth Wheels
Revenue & Margin,Segment-1 %,4362.4%,-,-,-,4048.4%,-,-,-,3590.3%,-,-,-,5026.9%,-,-,-,5132.5%
Revenue & Margin,Segment-2,Travel Trailer And Fifth Wheels,-,-,-,OEMs Adjacent Industries,-,-,-,OEMs Adjacent Industries,-,-,-,OEMs Adjacent Industries,-,-,-,OEMs Adjacent Industries
Revenue & Margin,Segment-2 %,2336.3%,-,-,-,2974.5%,-,-,-,3370.1%,-,-,-,2610.2%,-,-,-,2434.8%
Revenue & Margin,Segment-3,OEMs Adjacent Industries,-,-,-,Aftermarket Segment,-,-,-,Aftermarket Segment,-,-,-,Aftermarket Segment,-,-,-,Aftermarket Segment
Revenue & Margin,Segment-3 %,1703.4%,-,-,-,2354.2%,-,-,-,2327.9%,-,-,-,1711.6%,-,-,-,1853.7%
Revenue & Margin,Others,"Aftermarket Segment, Motorhomes",-,-,-,Motorhomes,-,-,-,Motorhomes,-,-,-,Motorhomes,-,-,-,Motorhomes
Revenue & Margin,Others %,1597.9%,-,-,-,623.0%,-,-,-,711.7%,-,-,-,651.2%,-,-,-,579.1%
Revenue & Margin,Revenue Total,4122017000,3992455000,3871475000,3818769000,3741208000,3775614000,3819432000,3779527000,3784808000,3841610000,4014374000,4535885000,5207143000,5526207000,5559437000,5117007000,4472697000
Revenue & Margin,Rev-CoGS / Sale (%),23.781925207974638,23.63931465727228,23.534544327420427,23.765721362041013,23.51419648413026,23.078630389653178,22.577964472204243,21.537747977458555,20.50804162324747,19.836630995858506,20.031815670388458,21.938761674954282,24.452737326399525,25.667659571927004,25.4877427336617,24.73127357457201,23.320046048279146
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),8.035920278834368,8.032626541814498,7.726977443997443,7.906945929434328,7.43722348503478,5.422270390988062,5.142806574380693,4.259686463411956,3.261142969471635,4.185432670156523,5.051173607640942,8.077541648432444,11.830787055396788,13.570121423247446,13.515073558707474,12.244560150103371,10.246278699406645
Revenue & Margin,Op. Income / Rev (%),6.790898727491905,6.529666583593303,6.177051382225121,6.335628051866976,5.833329769422068,5.422270390988062,5.142806574380693,4.259686463411956,3.261142969471635,2.5450266945369258,3.481364715893437,6.688220711063001,10.62056486637682,12.486647713341176,12.43807601381219,11.074442540336568,8.907600939656767
Revenue & Margin,Net Profit / Rev (%),4.56693895245944,4.4862872593429355,3.932144725201635,4.078801310055675,3.8187398294882295,3.468124654691926,3.1737179769138444,2.4733518241832906,1.6961230265841756,1.2870385072925155,2.1160958097078146,4.542707762652713,7.585234359801526,8.94704089079544,8.929699176373434,8.00858783269204,6.43323256639115
EBITDA,Net Income,188250000,179113000,152232000,155760000,142867000,130943000,121218000,93481000,64195000,49443000,84948000,206052000,394974000,494432000,496441000,409800000,287739000
EBITDA,D & A,121231000,120043000,120830000,122546000,125693000,128950000,130947000,131958000,131768000,132064000,131042000,129899000,129212000,128075000,124769000,119616000,112320000
EBITDA,Net Int Inc,-35710000,-31103000,-27296000,-25569000,-28899000,-33255000,-37064000,-39351000,-40424000,-39188000,-35773000,-31715000,-27573000,-24875000,-22632000,-19913000,-16366000
EBITDA,Tax Provision,66819000,61335000,51562000,52561000,46471000,40526000,38144000,28164000,18809000,9139000,19034000,65603000,130481000,170731000,172414000,136967000,94305000
EBITDA,EBITDA,412010000,391594000,351920000,356436000,343930000,333674000,327373000,292954000,255196000,229834000,270797000,433269000,682240000,818113000,816256000,686296000,510730000
EBITDA,Stock-Based Comp,16868000,21560000,20301000,19259000,18653000,18163000,18450000,17861000,18229000,17158000,19074000,21873000,23695000,27430000,27003000,26242000,27161000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,121.34,93.15,91.19,87.43,103.39,120.54,101.59,119.95,125.71,117.42,126.36,109.87,92.45,101.46,111.88,103.81,155.87
Capital Structure,O/S Shares,24219000,24389000,25157000,25426000,25481000,25480000,25473000,25374000,25342000,25340000,25329000,25228000,25327000,25447000,25438000,25329000,25289000
Capital Structure,Market Capitalization,2938733460,2271835350,2294066830,2222995180,2634480590,3071359200,2587802070,3043611300,3185742820,2975422800,3200572440,2771800360,2341481150,2581852620,2846003440,2629403490,3941796430
Capital Structure,Cash,222615000,199721000,191931000,231243000,165756000,161184000,130418000,22625000,66157000,31242000,22094000,23465000,47499000,23403000,54988000,55449000,62896000
Capital Structure,Debt,1235406000,1199537000,1203135000,1175587000,995853000,1069516000,1082836000,1110900000,1106372000,1189384000,1196451000,1376558000,1376899000,1302326000,1370954000,1529742000,1476990000
Capital Structure,Enterprise Value,3951524460,3271651350,3305270830,3167339180,3464577590,3979691200,3540220070,4131886300,4225957820,4133564800,4374929440,4124893360,3670881150,3860775620,4161969440,4103696490,5355890430
Capital Structure,netCommonStockIssuance,0,-62233000,-38083000,-28255000,-39000,-9000,-71000,-9040000,-37000,-6000,0,0,-24054000,0,0,-10569000,0
Capital Structure,netDebtIssuance,-1230000,-1010000,-3131000,132630000,-61284000,-11350000,-25841000,9316000,-56009000,-32192000,-137868000,-41361000,43621000,-53986000,-154160000,-13842000,218217000
Liquidity & Cash Flow,DSO,29.89627226185627,29.863896086493146,29.743661653504155,28.887378039886677,29.17571777618352,29.275925054838766,29.410258842152448,28.909807034054793,28.77059549652188,28.334623699438513,27.04924011813548,26.304344411289083,26.845233557058062,27.03765349361687,27.841503779969088,30.266247925789433,31.376723317050093
Liquidity & Cash Flow,DIO,86.49763847660614,86.96814319771336,88.4581949342998,89.24835017111437,91.33865127400277,90.99305191625801,92.03499979033386,96.14771082602542,100.07826184646905,105.51516464668374,109.40749424806134,107.57337779543873,102.08614249537476,99.23486565302395,92.03192660548244,86.30938229097916,80.93041712273688
Liquidity & Cash Flow,DPO,25.3225762814151,25.659324028935934,25.589594239312294,25.223107325439482,24.805615023346203,24.31511844349702,24.043600245106493,23.360384262091205,22.296185075672618,20.59232207870984,19.814405748262892,20.671193015187665,22.57278009046599,24.697212945063235,26.611938142100033,27.899759535620614,28.446545534224654
Liquidity & Cash Flow,CCC,91.07133445704731,91.17271525527056,92.61226234849165,92.91262088556155,95.70875402684008,95.95385852759975,97.40165838737981,101.69713359798901,106.55267226731831,113.25746626741243,116.64232861793394,113.20652919154014,106.35859596196684,101.57530620157758,93.2614922433515,88.67587068114797,83.86059490556232
Liquidity & Cash Flow,OCF,330976000,358700000,339939000,420656000,370284000,401654000,438946000,444899000,527229000,506270000,528108000,542264000,602514000,361641000,212539000,18506000,-111573000
Liquidity & Cash Flow,CapEx,-52644000,-49014000,-42779000,-42763000,-42333000,-43539000,-49455000,-36735000,-28127000,-42871000,-26893000,-26893000,-68930000,-42037000,-42037000,-42037000,-20957000
Liquidity & Cash Flow,FCF,278332000,309686000,297160000,377893000,327951000,358115000,389491000,391241000,465020000,429317000,434222000,436501000,471873000,233231000,85173000,-101108000,-210107000
BQR,Total Debt / Adj Ebitda,2.998485473653552,3.063215983901694,3.4187741532166402,3.2981713407175484,2.895510714389556,3.205272211799541,3.30765212769532,3.792062917727698,4.335381432310851,5.1749697607838705,4.418257957067471,3.1771439913771813,2.018203271575985,1.5918656713681363,1.6795637643092363,2.2289828295662515,2.8919194094727154
BQR,Adj Ebitda / Interest Expense,11.53766451974237,12.59023245346108,12.892731535756155,13.940161914818725,11.901103844423682,10.033799428657344,8.832640837470322,7.444639272191304,6.31298238670097,5.864907624783097,7.569871131859223,13.661327447580009,24.743045733144744,32.888964824120606,36.066454577589255,34.46472153869332,31.206770133202983
BQR,Net Income before extraordinary,188250000,179113000,152232000,155760000,142867000,130943000,121218000,93481000,64195000,49443000,84948000,206052000,394974000,494432000,496441000,409800000,287739000
BQR,(NCO-CAPEX) / Total Debt (%),22.52959755740218,25.81712777513324,24.698807698221728,32.14504753795338,32.93166762564354,33.48383754894738,35.96952816492987,35.21838149248357,42.03107092370378,36.09574367908093,36.29250174056438,31.709597416164083,34.27070540395483,17.90880317217041,6.212681096521108,-6.60948055292984,-14.22535020548548
BQR,Score: Operating Leverage,45,45,48,48,45,45,48,52,55,58,55,45,42,35,35,42,45
BQR,Score: ICR,42,35,35,35,42,42,45,48,48,48,48,35,25,15,15,15,15
BQR,Score: Net Income,42,42,42,42,42,42,42,42,45,48,42,35,35,35,35,35,35
BQR,Score: FCF/Debt,45,42,42,35,35,35,35,35,25,35,35,35,35,48,65,75,75
BQR,BQR,43.8,42.0,43.05,41.3,41.3,41.3,42.8,44.65,43.95,48.25,45.7,38.5,35.95,35.25,39.5,44.45,45.5
