Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4,2021-Q3
Header,Statement Date,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Header,Filing Date,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-27,2023-11-13,2023-08-09,2023-05-10,2023-03-13,2022-11-04,2022-08-05,2022-05-10,2022-03-04,2021-11-05
Revenue & Margin,Segment-1,-,-,-,-,-,-,-,-,-,-,-,Broadcast,-,-,-,Broadcast,-
Revenue & Margin,Segment-1 %,-,-,-,-,-,-,-,-,-,-,-,7690.7%,-,-,-,7413.2%,-
Revenue & Margin,Segment-2,-,-,-,-,-,-,-,-,-,-,-,Digital Media,-,-,-,Digital Media,-
Revenue & Margin,Segment-2 %,-,-,-,-,-,-,-,-,-,-,-,1560.5%,-,-,-,1632.7%,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,Publishing,-,-,-,Publishing,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,748.8%,-,-,-,954.1%,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,216775000,224193000,230655000,237560000,243828000,248610000,253773000,258653000,261573000,264938000,267846000,266966000,267282000,266403000,261503000,258247000,253595000
Revenue & Margin,Rev-CoGS / Sale (%),-0.21174074501210932,1.4567800957210975,3.137586005072511,5.0926077622495365,6.147775891201994,7.996862153573871,8.975344106741064,10.267810541536344,12.11554709392789,13.440503061093539,15.267355121973075,17.279728504753415,18.829924948182068,20.479499104739812,21.003965537680255,21.494925400875907,21.355310633096078
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),-8.615845461884444,-6.828937567185416,-4.939845223385576,-2.569456137396868,-1.3435700575815739,2.47053618116729,3.4203796306147622,4.715197581315508,6.848566174643407,6.41357600646189,8.269677351911172,10.32865608354622,11.66520753361618,13.49984797468497,14.118767279916483,14.725050048984112,14.632386285218557
Revenue & Margin,Op. Income / Rev (%),-8.61584592319225,-6.828937567185416,-4.939845223385576,-2.569456137396868,-1.3435700575815739,-14.8984353002695,-16.21567306214609,-15.769003259192818,-15.519568151147098,-0.47935743456959745,3.792851115939756,5.790999602945694,12.824657103733136,17.65820955469721,17.343969285247205,17.90843649684217,12.692679272067666
Revenue & Margin,Net Profit / Rev (%),-0.6149233075769808,-2.524164447596491,6.168520084108301,6.810489981478364,-3.8043210787932478,-13.655524717428905,-17.07746686999799,-16.74521463118541,-17.491101910365366,-9.941948682333225,-3.7816506500003735,-1.2121393735531867,5.915475041342103,18.689729470013475,16.4166376676367,16.075307748008687,11.0420158126146
EBITDA,Net Income,-1333000,-5659000,14228000,16179000,-9276000,-33949000,-43338000,-43312000,-45752000,-26340000,-10129000,-3236000,15811000,49790000,42930000,41514000,28002000
EBITDA,D & A,10922000,10944000,11429000,11965000,12549000,13063000,13469000,13635000,13402000,13059000,12728000,12611000,12657000,12838000,12934000,12828000,13043000
EBITDA,Net Int Inc,-4355000,-7894000,-11407000,-14867000,-15118000,-14915000,-14642000,-14223000,-13686000,-13199000,-12913000,-12889000,-13662000,-14563000,-15258000,-15789000,-15892000
EBITDA,Tax Provision,-16574000,-13777000,-9370000,-7826000,-8395000,-15637000,-15810000,-17384000,-10777000,-1936000,-2457000,-392000,-2472000,-1694000,-1100000,-759000,-427000
EBITDA,EBITDA,-2630000,-598000,27694000,35185000,9996000,-21608000,-31037000,-32838000,-29441000,-2018000,13055000,21872000,39658000,75497000,70022000,69372000,56510000
EBITDA,Stock-Based Comp,0,0,0,0,0,129000,265000,340000,396000,321000,253000,284000,307000,331000,347000,319000,312000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,0.83348,0.8502,0.53,0.63,0.2555,0.23745,0.38,0.39,0.59,0.9578,1.09,1.05,1.74,2.12,3.39,3.06,3.71
Capital Structure,O/S Shares,31863215,31774490,29563787,27216787,27216787,27216787,27216787,27216787,27216787,27216787,27126315,27217008,27011425,27214787,27177375,27093713,26870664
Capital Structure,Market Capitalization,26557352.0,27014671.0,15668807.0,17146575.0,6953889.08,6462626.07,10342379.0,10614546.0,16057904.0,26068238.0,29567683.0,28577858.0,46999879.0,57695348.0,92131301.0,82906761.0,99690163.0
Capital Structure,Cash,0,5761000,0,0,0,0,0,284000,0,2000,3000,0,838000,2540000,-53651000,1785000,23781000
Capital Structure,Debt,55947000,52714000,158700000,150301000,217049000,216855000,220358000,220517000,224917000,194720000,194581000,210118000,206919000,207109000,221951000,221563000,260481000
Capital Structure,Enterprise Value,82504352,73967671,174368807,167447575,224002889,223317626,230700379,230847546,240974904,220786238,224145683,238695858,253080879,262264348,367733301,302684761,336390163
Capital Structure,netCommonStockIssuance,0,0,0,40000000,0,0,0,0,0,0,0,0,0,0,0,0,0
Capital Structure,netDebtIssuance,3082000,-77063000,3112000,-110759000,1846000,-4480000,-1893000,-4964000,-207000,2189000,14033000,6769000,-26000,-14099000,-1316000,-39271000,-4711000
Liquidity & Cash Flow,DSO,49.00286010840733,49.18658811827309,49.46461706878238,50.28698500905035,50.32357300535624,49.79825292124211,49.34244840369149,48.52722083254399,47.81421438757058,47.92331602110683,47.67419524652225,47.71889023321322,45.883098188430196,43.75874614775359,42.38836648145528,40.62288719714072,40.769691831463554
Liquidity & Cash Flow,DIO,0.0,0.0,0.0,0.0,0.0,0.5517391760555067,1.0630216540546156,1.7295019280897908,2.3467257114519624,2.3818291624696397,2.495219274475332,2.4250967917223267,2.235899019603324,2.0529042460289366,1.747901508880466,1.428587283031711,1.2394579294922257
Liquidity & Cash Flow,DPO,40.16807912205272,38.51196322767249,39.00602793866206,40.59710727306597,32.65792831610135,27.556639079434614,18.833773095638023,10.202056270061828,10.747622693381823,7.919800810189727,7.410471551378479,6.205917313831593,4.685882426147599,4.742010668177206,4.745439957013607,3.8302702516067613,3.593924708808207
Liquidity & Cash Flow,CCC,8.834780986354616,10.674624890600604,10.458589130120323,9.689877735984375,17.66564468925489,22.793353017863,31.571696962108085,40.05466649057195,39.41331740564072,42.385344373386744,42.758942969619106,43.93806971110396,43.43311478188592,41.06963972560532,39.39082803332214,38.22120422856567,38.41522505214757
Liquidity & Cash Flow,OCF,-4633000,-721000,-12286000,-10493000,-12173000,-8139000,-4485000,-4023000,-3750000,-3512000,2859000,7742000,17757000,20094000,17607000,22491000,14452000
Liquidity & Cash Flow,CapEx,-6852000,-6231000,-7403000,-5958000,-11398000,-12066000,-12333000,-14629000,-11661000,-12518000,-12535000,-13382000,-13123000,-13106000,-12534000,-10914000,-8152000
Liquidity & Cash Flow,FCF,-11485000,-6952000,-19689000,-16451000,-23571000,-20205000,-16818000,-18652000,-15411000,-16030000,-9676000,-5640000,4634000,6988000,5073000,11577000,6300000
BQR,Total Debt / Adj Ebitda,999.0,999.0,5.730483137141619,4.271735114395339,21.71358543417367,999.0,999.0,999.0,999.0,999.0,14.904710838759096,9.606711777615216,5.217585354783398,2.743274567201346,3.169732369826626,3.1938390128582137,4.609467350911343
BQR,Adj Ebitda / Interest Expense,-999.0,-999.0,2.427807486631016,2.3666509719513016,0.6611985712395819,-999.0,-999.0,-999.0,-999.0,-999.0,1.010996670022458,1.6969508883544107,2.9027960767091203,5.184165350545904,4.589199108664308,4.393691810754323,3.5558771709035994
BQR,Net Income before extraordinary,-1333000,-5659000,14228000,16179000,-9276000,-33949000,-43338000,-43312000,-45752000,-26340000,-10129000,-3236000,15811000,49790000,42930000,41514000,28002000
BQR,(NCO-CAPEX) / Total Debt (%),-20.528357195202602,-13.18814736123231,-12.406427221172022,-10.945369624952596,-10.859759777746039,-9.317285743930276,-7.6321259042104215,-8.45830480189736,-6.851860908690761,-8.232333607230895,-4.972736289771355,-2.684206017571079,2.239523678347566,3.3740687270953944,2.285639623160067,5.225150408687371,2.418602508436316
BQR,Score: Operating Leverage,75,75,65,55,75,75,75,75,75,75,75,75,58,45,45,45,55
BQR,Score: ICR,75,75,65,65,75,75,75,75,75,75,75,65,58,48,52,55,58
BQR,Score: Net Income,65,65,55,52,65,75,75,75,75,75,65,65,52,48,48,48,48
BQR,Score: FCF/Debt,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
BQR,BQR,72.5,72.5,65.0,60.75,72.5,75.0,75.0,75.0,75.0,75.0,72.5,71.0,60.75,53.699999999999996,54.3,54.75,58.7
