Category,Metric,THC,GT,NPTN,FTSI,CLF,OIS,LXU,DK,SALM,FOSL,FET,NINE,PHLT,PFMT,TEN,BNED,EBS,FARM,UNFI
Header,Fiscal Period,2025-Q4,2025-Q4,2022-Q2,2021.0-Q3,2025-Q4,2025-Q3,2025-Q3,2025-Q3,2025-Q3,2025-Q3,2025-Q3,2025-Q3,2025-Q2,2025-Q2,2025.0-Q3,2026-Q2,2025-Q3,2026-Q2,2026-Q1
Header,Statement Date,2025-12-31,2025-12-31,2022-06-30,2021-09-30,2025-12-31,2025-09-30,2025-09-30,2025-09-30,2025-09-30,2025-10-31,2025-09-30,2025-09-30,2025-06-30,2025-06-30,2025-09-30,2025-11-30,2025-09-30,2025-12-31,2025-11-30
Header,Filing Date,2026-02-17,2026-02-10,2022-07-26,2021-11-05,2026-02-09,2025-10-31,2025-10-30,2025-11-07,2025-09-30,2025-11-13,2025-10-31,2025-10-30,2025-06-30,2025-08-07,2025-11-21,2026-01-20,2025-10-30,2026-02-13,2025-12-02
Revenue & Margin,Segment-1,Ambulatory Care,-,High Speed,-,Steelmaking,Product,Chemical,Refining,Broadcast,Watches,Drilling And Downhole,Service Revenue,-,Health Care,Clean Air Division,Course Materials Product,Product,-,Conventional Segment
Revenue & Margin,Segment-1 %,5022.3%,-,9346.3%,-,9647.0%,5812.5%,10000.0%,9260.7%,7690.7%,4394.2%,4447.3%,3805.6%,-,4902.8%,6767.3%,6980.8%,8707.4%,-,8623.1%
Revenue & Margin,Segment-2,Hospital Operations,-,Network Products and Solution,-,Other businesses,Service,-,Logistics,Digital Media,Traditional Watches,Completions,Cement,-,Eligibility-based,Ride Performance Division,General Merchandise Product,Contract Development And Manufacturing,-,Retail Segment
Revenue & Margin,Segment-2 %,4977.7%,-,653.7%,-,353.0%,4187.5%,-,739.3%,1560.5%,4272.4%,3584.4%,1805.0%,-,2563.9%,2419.1%,2428.0%,1005.2%,-,1376.9%
Revenue & Margin,Segment-3,Ambulatory Care,-,-,-,-,-,-,Retail Segment,Publishing,Jewelry,Production and Infrastructure,Tool Revenue,-,Claims-based,Powertrain,Service and Other,Contracts and Grants,-,Other Segments
Revenue & Margin,Segment-3 %,1351.2%,-,-,-,-,-,-,482.1%,748.8%,560.3%,1968.3%,1194.4%,-,2338.9%,628.1%,591.3%,287.5%,-,70.3%
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,"Leathers, Smartwatches, Products Other",-,"Tools, Wireline, Coiled Tubing",-,Customer Care And Outsourced Services,Motorparts,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,773.0%,-,3195.0%,-,194.4%,185.5%,-,-,-,-
Revenue & Margin,Revenue Total,21310000000,18280000000,348628000,308600000.0,18610000000,655345000,585065000,10667200000,216775000,1066179000,790274000,571171000,137357000,137357000,764848000.0,1677191000,788900000,337719000,31753000000
Revenue & Margin,Rev-CoGS / Sale (%),55.908024401689346,18.440919037199123,30.04176371375793,5.670771224886584,-4.497581945190757,16.534649688332102,11.819028654935776,3.083283335833208,-0.21174074501210932,55.7391394878346,27.889187800686848,11.503385150856749,49.67639071907511,35.01969320820926,32.65420057318578,20.1628198577264,57.802002788693116,40.70158919101383,13.33732245772053
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),34.97888315344909,3.0743982494529543,15.83349587525959,-16.26701231367466,-7.420741536808167,2.5148585859356523,4.945604334561117,0.7068396580170991,-8.615845461884444,2.872031807041782,1.865428952489896,2.0354674869697513,-26.663366264551495,-37.555421274489106,39.163337029056756,2.931627942196208,32.91925465838509,-1.452390893020529,10.134475482631562
Revenue & Margin,Op. Income / Rev (%),16.46175504458001,3.0743982494529543,-0.3522379154858474,-6.257615035644848,-8.242880171950565,2.5148585859356523,4.075615529898387,-2.5029998500074995,-8.61584592319225,-3.3968966749485783,-11.314936338535748,2.034417013468821,-0.034945434160617954,-0.034945434160617954,26.80597975022488,4.111398165146367,15.020915198377487,-1.7988327574107468,0.1196737316159103
Revenue & Margin,Net Profit / Rev (%),6.602534021586109,-9.414660831509847,-1.8911275055359869,-6.647116007777059,-7.909725953788286,3.6536480784930077,-0.11417534803825216,-4.826946152692366,-0.6149233075769808,-6.3120733010123065,-14.58127181205506,-7.168081012516392,-0.6443064423363936,-0.6443064423363936,15.930485534380686,-0.5573604914407482,9.620991253644315,-5.511682789538048,-0.3180801814001826
EBITDA,Net Income,1407000000,-1721000000,-6593000,-20513000.0,-1472000000,23944000,-668000,-514900000,-1333000,-67298000,-115232000,-40942000,-885000,-885000,121844000.0,-9348000,75900000,-18614000,-101000000
EBITDA,D & A,868000000,1056000000,20670000,-14100000.0,1235000000,48231000,81795000,393000000,10922000,9903000,38075000,45302000,6605000,6605000,0.0,33136000,98300000,10839000,318000000
EBITDA,Net Int Inc,-821000000,-418000000,-1005000,-200000.0,-594000000,-6707000,-31536000,-332000000,-4355000,-17859000,-20475000,-53426000,-820000,-74000,-85755000.0,-10882000,-59400000,-6291000,-142000000
EBITDA,Tax Provision,433000000,1567000000,3978000,200000.0,-579000000,5693000,-718000,-62200000,-16574000,3510000,16360000,-454000,17000,17000,0.0,6262000,30000000,64000,-40000000
EBITDA,EBITDA,3529000000,1320000000,19060000,-34213000.0,-222000000,84575000,111945000,147900000,-2630000,-36026000,-40322000,57332000,6557000,5811000,207599000.0,40932000,263600000,-1420000,319000000
EBITDA,Stock-Based Comp,104000000,-17000000,0,-6100000.0,0,8071000,7105000,29800000,0,1805000,11446000,2477000,7399000,7399000,0.0,9311000,15200000,1963000,22000000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,198.72,8.76,15.73,24.6,13.28,6.06,7.88,32.27,0.83348,2.59,26.71,0.6319,4.0,2.5,22.22,9.13,8.82,1.46,37.65
Capital Structure,O/S Shares,87914691,288000000,56095000,14062000.0,492156862,57946000,71837000,60190054,31863215,52363000,12110000,41297925,78584000,78584000,29816603.0,34053847,53200000,21669663,60700000
Capital Structure,Market Capitalization,17470407395,2522880000,882374350,345925200.0,6535843127,351152760,566075560,1942333042,26557352.0,135620170,323458100,26096158,314336000,196460000,662524918.0,310911623,469224000,31637707,2285355000
