Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-02-11,2025-10-09,2025-07-10,2025-04-09,2025-02-11,2024-10-10,2024-07-11,2024-04-10,2024-02-12,2023-10-12,2023-07-13,2023-04-13,2023-02-10,2022-10-13,2022-07-13,2022-04-13,2022-02-11
Revenue & Margin,Segment-1,Airline,-,-,-,Airline,-,-,-,Airline,-,-,-,Airline,-,-,-,Airline
Revenue & Margin,Segment-1 %,9198.8%,-,-,-,9247.0%,-,-,-,9417.9%,-,-,-,8635.5%,-,-,-,8766.1%
Revenue & Margin,Segment-2,Refinery,-,-,-,Refinery,-,-,-,Refinery,-,-,-,Refinery,-,-,-,Refinery
Revenue & Margin,Segment-2 %,1098.6%,-,-,-,1260.0%,-,-,-,1304.4%,-,-,-,2027.2%,-,-,-,1989.9%
Revenue & Margin,Segment-3,Intersegment Eliminations,-,-,-,Exchanged Products,-,-,-,Exchanged Products,-,-,-,Exchanged Products,-,-,-,Exchanged Products
Revenue & Margin,Segment-3 %,-297.3%,-,-,-,-507.0%,-,-,-,-722.3%,-,-,-,-662.7%,-,-,-,-756.0%
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,63364000000,62920000000,61924000000,61934000000,61642000000,60306000000,60117000000,59037000000,58048000000,57260000000,55747000000,53993000000,50582000000,46617000000,41796000000,35098000000,29900000000
Revenue & Margin,Rev-CoGS / Sale (%),24.52970140773941,26.079148124602668,26.873264001033526,26.999709368036946,26.85993316245417,25.869731038370976,26.019262438245423,25.72623947693819,24.35226019845645,24.30841774362557,23.50081618741816,21.684292408275148,20.95014036613815,19.267649140871356,17.53277825629247,12.815545045301727,7.143812709030101
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),19.05024935294489,19.879211697393515,20.694722563141916,20.744663674233863,20.576879400408814,20.14393261035386,20.84768035663789,21.37473110083507,20.22808710033076,20.464547677261614,19.812725348449245,18.243105587761377,17.792890751650788,17.064590170967673,15.735955593836731,11.673029802267935,6.591973244147158
Revenue & Margin,Op. Income / Rev (%),9.188182564232056,9.65034965034965,9.34209676377495,9.60700100106565,9.725511826352163,9.285974861539483,10.291598050468254,10.85929163067229,9.509371554575525,9.898707649318897,9.220227097422283,7.719519196932937,7.239729548060575,5.266319153956712,7.665805340223946,7.125762151689555,6.3076923076923075
Revenue & Margin,Net Profit / Rev (%),7.9003850766997035,7.3585505403687215,7.242749176409792,5.909516582168115,5.6081892216346,7.712333764467881,7.463778964352845,8.484509714246997,7.939980705622933,5.939573873559204,5.3599296823147435,3.5115663141518345,2.6076469890474874,0.1759014951627089,1.433151497750981,1.470169240412559,0.9331103678929765
EBITDA,Net Income,5006000000,4630000000,4485000000,3660000000,3457000000,4651000000,4487000000,5009000000,4609000000,3401000000,2988000000,1896000000,1319000000,82000000,599000000,516000000,279000000
EBITDA,D & A,2443000000,2458000000,2487000000,2505000000,2513000000,2488000000,2439000000,2392000000,2341000000,2285000000,2229000000,2166000000,2108000000,2058000000,2021000000,2012000000,1998000000
EBITDA,Net Int Inc,-679000000,-702000000,-704000000,-720000000,-746000000,-773000000,-796000000,-811000000,-833000000,-864000000,-916000000,-982000000,-1029000000,-1056000000,-1122000000,-1191000000,-1278000000
EBITDA,Tax Provision,1178000000,1243000000,1172000000,1196000000,1201000000,1080000000,1204000000,1226000000,998000000,1051000000,905000000,713000000,596000000,318000000,371000000,197000000,119000000
EBITDA,EBITDA,9306000000,9033000000,8848000000,8081000000,7917000000,8992000000,8926000000,9438000000,8781000000,7601000000,7038000000,5757000000,5052000000,3514000000,4113000000,3916000000,3674000000
EBITDA,Stock-Based Comp,0,0,0,0,0,180000000,180000000,180000000,180000000,150000000,150000000,150000000,150000000,0,0,0,0
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,69.4,56.75,49.18,43.6,60.5,50.79,46.92,48.22,40.23,37.0,47.54,34.92,32.86,28.06,28.97,39.57,39.08
Capital Structure,O/S Shares,649000000,648000000,647000000,644000000,652000000,641000000,641000000,640000000,639000000,639000000,639000000,639000000,638000000,638000000,638000000,635135135,636000000
Capital Structure,Market Capitalization,45040600000,36774000000,31819460000,28078400000,39446000000,32556390000,30075720000,30860800000,25706969999,23643000000,30378060000,22313880000,20964680000,17902280000,18482860000,25132297291,24854880000
Capital Structure,Cash,4310000000,3791000000,3331000000,3711000000,3069000000,3969000000,4110000000,3877000000,2741000000,2835000000,2668000000,3215000000,3266000000,7023000000,9221000000,7705000000,7933000000
Capital Structure,Debt,21083000000,21721000000,21280000000,22280000000,22771000000,24388000000,24811000000,26309000000,27281000000,26799000000,27550000000,29560000000,30610000000,30836000000,32571000000,33500000000,34679000000
Capital Structure,Enterprise Value,61813600000,54704000000,49768460000,46647400000,59148000000,52975390000,50776720000,53292800000,50246969999,47607000000,55260060000,48658880000,48308680000,41715280000,41832860000,50927297291,51600880000
Capital Structure,netCommonStockIssuance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capital Structure,netDebtIssuance,-895000000,-242000000,-943000000,-531000000,-1542000000,-262000000,-1437000000,-712000000,517000000,-724000000,-1820000000,-1166000000,-285000000,-1795000000,-952000000,-1443000000,-1149000000
Liquidity & Cash Flow,DSO,19.972638248847925,20.65597186904005,20.896845326529295,20.977451803532794,21.218933519353687,21.546778098365007,21.10451286657684,20.424098446736792,19.948361700661522,20.296192804750262,20.65552854862145,21.277526716426202,22.378637657664783,22.770904391101958,23.401970284237724,25.6970482648584,26.49607023411371
Liquidity & Cash Flow,DIO,11.744709437276512,11.73609468727828,11.901472991475641,11.841448983654422,11.805989929908614,11.673647772011453,11.815823496346262,11.88462108599968,11.715874931681544,12.101820447151656,12.22629320452094,12.969433605297386,13.516912592222084,13.570512820512821,13.596959498665429,13.141789215686273,12.959182754646305
Liquidity & Cash Flow,DPO,38.392128980991615,38.34340263593558,38.42285566008568,38.105770719515164,37.67068139472984,37.57448997852541,39.358038223721195,40.415203311364,40.79983831298962,42.72692139083085,42.64866575997749,43.528526664301765,46.16015380767788,46.94277268500066,48.76479633283045,50.68549836601307,51.33387660279499
Liquidity & Cash Flow,CCC,-6.674781294867177,-5.951336079617249,-5.6245373420807425,-5.286869932327946,-4.645757945467537,-4.354064108148954,-6.437701860798093,-8.106483778627528,-9.135601680646555,-10.328908138928938,-9.7668440068351,-9.281566342578174,-10.264603557791013,-10.60135547338588,-11.765866549927296,-11.846660885468403,-11.878623614034971
Liquidity & Cash Flow,OCF,8342000000,7976000000,7403000000,7995000000,8025000000,6676000000,6478000000,6638000000,6465000000,7109000000,6902000000,6828000000,6364000000,5730000000,5012000000,4343000000,3263000000
Liquidity & Cash Flow,CapEx,-4501000000,-4903000000,-5071000000,-5171000000,-5140000000,-5432000000,-5373000000,-5516000000,-5323000000,-5921000000,-6094000000,-5600000000,-6366000000,-5384000000,-4772000000,-4575000000,-3247000000
Liquidity & Cash Flow,FCF,3841000000,3073000000,2332000000,2824000000,2885000000,1244000000,1105000000,1122000000,1142000000,1188000000,808000000,1228000000,-2000000,346000000,240000000,-232000000,16000000
BQR,Total Debt / Adj Ebitda,2.2655276165914464,2.4046274770286726,2.4050632911392404,2.757084519242668,2.876215738284704,2.712188612099644,2.779632534169841,2.7875609239245605,3.1068215465208975,3.5257202999605317,3.9144643364592215,5.134618725030398,6.058986539984165,8.775184974388162,7.919037199124727,8.55464759959142,9.439031028851389
BQR,Adj Ebitda / Interest Expense,13.705449189985272,12.867521367521368,12.568181818181818,11.223611111111111,10.61260053619303,11.632600258732213,11.21356783919598,11.637484586929716,10.541416566626651,8.797453703703704,7.683406113537118,5.862525458248473,4.909620991253644,3.327651515151515,3.665775401069519,3.2879932829554996,2.8748043818466353
BQR,Net Income before extraordinary,5006000000,4630000000,4485000000,3660000000,3457000000,4651000000,4487000000,5009000000,4609000000,3401000000,2988000000,1896000000,1319000000,82000000,599000000,516000000,279000000
BQR,(NCO-CAPEX) / Total Debt (%),18.218469857230943,14.147599097647438,10.958646616541353,12.67504488330341,12.669623644108734,5.100869279973757,4.453669743259038,4.26470029267551,4.186063560719915,4.433001231389231,2.9328493647912888,4.154262516914749,-0.006533812479581836,1.1220651186924373,0.736851800681588,-0.6925373134328359,0.04613743187519825
BQR,Score: Operating Leverage,42,42,42,45,45,45,45,45,45,48,52,58,65,75,75,75,75
BQR,Score: ICR,35,35,35,42,42,42,42,42,42,45,48,48,52,58,58,58,58
BQR,Score: Net Income,15,15,15,25,25,15,15,15,15,25,25,25,25,42,35,35,35
BQR,Score: FCF/Debt,48,55,58,55,55,75,75,75,75,75,75,75,75,75,75,75,75
BQR,BQR,35.7,37.45,38.2,42.05,42.05,44.55,44.55,44.55,44.55,48.55,50.4,52.5,55.55,64.2,62.45,62.45,62.45
