Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-02-11,2025-11-04,2025-08-05,2025-05-06,2025-02-28,2024-11-05,2024-08-06,2024-05-06,2024-02-28,2023-11-08,2023-08-09,2023-05-10,2023-02-27,2022-11-07,2022-08-08,2022-05-09,2022-02-28
Revenue & Margin,Segment-1,-,-,-,-,Nourish,-,-,-,Nourish,-,-,-,Nourish,-,-,-,Nourish
Revenue & Margin,Segment-1 %,-,-,-,-,5157.2%,-,-,-,5279.2%,-,-,-,5489.5%,-,-,-,5374.1%
Revenue & Margin,Segment-2,-,-,-,-,Scent,-,-,-,Scent,-,-,-,Health & Biosciences,-,-,-,Health & Biosciences
Revenue & Margin,Segment-2 %,-,-,-,-,2143.4%,-,-,-,2084.7%,-,-,-,1880.2%,-,-,-,1998.1%
Revenue & Margin,Segment-3,-,-,-,-,Health & Biosciences,-,-,-,Health & Biosciences,-,-,-,Scent,-,-,-,Scent
Revenue & Margin,Segment-3 %,-,-,-,-,1855.2%,-,-,-,1812.9%,-,-,-,1849.7%,-,-,-,1933.8%
Revenue & Margin,Others,-,-,-,-,Pharma Solutions,-,-,-,Pharma Solutions,-,-,-,Pharma Solutions,-,-,-,Pharma Solutions
Revenue & Margin,Others %,-,-,-,-,844.2%,-,-,-,823.2%,-,-,-,780.5%,-,-,-,694.1%
Revenue & Margin,Revenue Total,10890000000,11072000000,11303000000,11428000000,11484000000,11416000000,11311000000,11351000000,11479000000,11620000000,11863000000,12241000000,12440000000,12627000000,12635000000,12417000000,11656000000
Revenue & Margin,Rev-CoGS / Sale (%),34.93112947658402,36.380057803468205,36.24701406706185,36.18305915295765,35.910832462556606,35.07358093903294,34.2675271859252,32.95744868293543,32.067253245056186,31.755593803786574,31.754193711540086,32.43199085042072,33.368167202572344,33.760988358279874,34.444004748713894,33.228638157364905,32.04358270418668
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),18.56749311294766,19.382225433526013,18.941873838803858,18.97969898494925,18.538836642284917,18.237561317449195,17.726107329148615,16.897189674918508,16.499695095391584,16.411359724612737,16.985585433701424,18.029572747324565,19.155948553054664,19.680050685039994,20.189948555599525,19.078682451477814,17.038435140700066
Revenue & Margin,Op. Income / Rev (%),-2.8833792470156103,-3.1791907514450863,-2.910731664159958,-2.9401470073503675,6.67014977359805,-16.617028731604766,-17.64653876757139,-17.989604440137434,-18.381392107326423,4.569707401032702,-13.521031779482422,-12.547994444898292,-10.659163987138264,-9.962778173754652,8.112386228729719,7.425304018684062,5.018874399450927
Revenue & Margin,Net Profit / Rev (%),-3.1955922865013773,-3.7210982658959537,-3.4769530213217728,-7.3066153307665385,2.115987460815047,-20.304835318850735,-20.793917425514984,-21.980442251783984,-22.336440456485757,0.1549053356282272,-18.570344769451236,-17.34335430111919,-15.032154340836012,-13.914627385760673,5.001978630787495,4.453571716195539,2.2820864790665754
EBITDA,Net Income,-348000000,-412000000,-393000000,-835000000,243000000,-2318000000,-2352000000,-2495000000,-2564000000,18000000,-2203000000,-2123000000,-1870000000,-1757000000,632000000,553000000,266000000
EBITDA,D & A,1048000000,1054000000,969000000,973000000,1015000000,1059000000,1103000000,1144000000,1142000000,1137000000,1138000000,1152000000,1179000000,1192000000,1196000000,1217000000,1156000000
EBITDA,Net Int Inc,-229000000,-249000000,-275000000,-293000000,-305000000,-279000000,-295000000,-317000000,-334000000,-395000000,-388000000,-364000000,-336000000,-305000000,-296000000,-296000000,-289000000
EBITDA,Tax Provision,-36000000,-109000000,-89000000,0,31000000,68000000,65000000,77000000,45000000,96000000,224000000,222000000,239000000,242000000,135000000,128000000,75000000
EBITDA,EBITDA,893000000,782000000,762000000,431000000,1594000000,-912000000,-889000000,-957000000,-1043000000,1646000000,-453000000,-385000000,-116000000,-18000000,2259000000,2194000000,1786000000
EBITDA,Stock-Based Comp,84000000,87000000,85000000,78000000,77000000,74000000,76000000,71000000,65000000,50000000,44000000,40000000,37000000,47000000,52000000,52000000,54000000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,67.39,61.54,73.55,77.61,84.55,104.93,93.14,86.37,80.97,68.17,79.59,91.96,104.84,90.83,119.12,131.33,150.65
Capital Structure,O/S Shares,256000000,256000000,256000000,256000000,256000000,256000000,255000000,255000000,255000000,255000000,255000000,255000000,255000000,255000000,255000000,255000000,255000000
Capital Structure,Market Capitalization,17251840000,15754240000,18828800000,19868160000,21644800000,26862080000,23750700000,22024350000,20647350000,17383350000,20295450000,23449800000,26734200000,23161650000,30375600000,33489150000,38415750000
Capital Structure,Cash,590000000,621000000,816000000,613000000,469000000,567000000,671000000,732000000,703000000,629000000,638000000,590000000,483000000,538000000,569000000,657000000,711000000
Capital Structure,Debt,5994000000,7238000000,6850000000,9911000000,9621000000,9792000000,10086000000,11040000000,10823000000,11038000000,11339000000,11944000000,11745000000,11421000000,12862000000,12442000000,12199000000
Capital Structure,Enterprise Value,22655840000,22371240000,24862800000,29166160000,30796800000,36087080000,33165700000,32332350000,30767350000,27792350000,30996450000,34803800000,37996200000,34044650000,42668600000,45274150000,49903750000
Capital Structure,netCommonStockIssuance,-38000000,-1000000,-22000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capital Structure,netDebtIssuance,-56000000,-130000000,-2689000000,276000000,-56000000,-314000000,-910000000,250000000,-299000000,-214000000,-721000000,293000000,81000000,-1238000000,505000000,308000000,-79000000
Liquidity & Cash Flow,DSO,64.39451331496787,65.29748464595376,63.397881093515,61.76222873643682,63.47929728317659,64.83258146461107,67.68521792944921,70.11562857897982,70.01742312048088,69.70180722891567,69.14323948411025,68.55118045911281,69.13434485530546,68.51518571315435,67.91571032845272,67.89552629459612,74.2306537405628
Liquidity & Cash Flow,DIO,121.65378916172735,122.52164963089153,119.919164585068,115.88612368024133,117.27360733695652,121.1537034538586,125.33221250840619,130.25607752956634,133.30597589125418,138.69309583858762,140.53807435770753,138.07202877523878,134.40357702979853,124.65596604495458,117.93205964022697,111.99614039319744,114.85450069435676
Liquidity & Cash Flow,DPO,50.95628704487722,67.88046564452016,65.43002359145156,63.69858083093377,63.37907608695652,64.10398677819752,62.690652320107596,60.70942838370565,57.50224416517055,57.00535939470365,60.51398838932806,63.08396808124773,67.70267824828085,68.33931133428982,66.85938065918145,64.73676275479436,64.39685645751798
Liquidity & Cash Flow,CCC,135.09201543181797,119.93866863232513,117.88702208713143,113.94977158574437,117.37382853317658,121.88229814027214,130.3267781177478,139.66227772484052,145.82115484656453,151.38954367279965,149.1673254524897,143.53924115310383,135.83524363682312,124.8318404238191,118.98838930949825,115.1549039329992,124.68829797740158
Liquidity & Cash Flow,OCF,850000000,900000000,1102000000,1098000000,1070000000,1346000000,1400000000,1411000000,1439000000,1003000000,823000000,528000000,397000000,500000000,688000000,1075000000,1437000000
Liquidity & Cash Flow,CapEx,-487000000,-459000000,-542000000,-529000000,-468000000,-421000000,-413000000,-446000000,-503000000,-550000000,-558000000,-547000000,-506000000,-497000000,-470000000,-438000000,-397000000
Liquidity & Cash Flow,FCF,256000000,332000000,560000000,569000000,602000000,925000000,987000000,965000000,936000000,453000000,265000000,-19000000,-109000000,3000000,218000000,637000000,1040000000
BQR,Total Debt / Adj Ebitda,6.712206047032475,9.255754475703325,8.989501312335959,22.995359628770302,6.0357590966122965,999.0,999.0,999.0,999.0,6.70595382746051,999.0,999.0,999.0,999.0,5.6936697653829125,5.670920692798542,6.830347144456887
BQR,Adj Ebitda / Interest Expense,3.8995633187772927,3.140562248995984,2.770909090909091,1.47098976109215,5.226229508196721,-999.0,-999.0,-999.0,-999.0,4.167088607594937,-999.0,-999.0,-999.0,-999.0,7.631756756756757,7.412162162162162,6.179930795847751
BQR,Net Income before extraordinary,-348000000,-412000000,-393000000,-835000000,243000000,-2318000000,-2352000000,-2495000000,-2564000000,18000000,-2203000000,-2123000000,-1870000000,-1757000000,632000000,553000000,266000000
BQR,(NCO-CAPEX) / Total Debt (%),4.270937604270937,4.586902459242885,8.175182481751825,5.741095752194531,6.257145826837127,9.446486928104575,9.785841760856632,8.740942028985508,8.648249099140719,4.10400434861388,2.3370667607372786,-0.15907568653717347,-0.9280544912728821,0.026267402153926978,1.694915254237288,5.119755666291593,8.52528895811132
BQR,Score: Operating Leverage,75,75,75,75,65,75,75,75,75,75,75,75,75,75,65,65,75
BQR,Score: ICR,58,58,58,75,48,75,75,75,75,55,75,75,75,75,48,48,48
BQR,Score: Net Income,75,75,75,75,35,75,75,75,75,52,75,75,75,75,35,35,35
BQR,Score: FCF/Debt,75,75,58,65,65,58,58,58,58,75,75,75,75,75,75,75,58
BQR,BQR,72.45,72.45,68.2,72.5,54.95,70.75,70.75,70.75,70.75,66.25,75.0,75.0,75.0,75.0,57.45,57.45,56.7
