Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-02-10,2025-11-04,2025-08-05,2025-05-06,2025-02-11,2024-11-04,2024-07-31,2024-05-01,2024-02-13,2023-11-02,2023-08-01,2023-05-02,2023-02-14,2022-11-03,2022-08-02,2022-05-04,2022-02-15
Revenue & Margin,Segment-1,Reimbursements,-,-,-,Reimbursements,-,-,-,United States & Canada,-,-,-,United States & Canada,-,-,-,United States & Canada
Revenue & Margin,Segment-1 %,6083.7%,-,-,-,6125.4%,-,-,-,7462.6%,-,-,-,7583.4%,-,-,-,7473.5%
Revenue & Margin,Segment-2,Fee Service,-,-,-,Fee Service,-,-,-,International,-,-,-,International,-,-,-,International
Revenue & Margin,Segment-2 %,1696.3%,-,-,-,1684.6%,-,-,-,1878.7%,-,-,-,1678.1%,-,-,-,1626.6%
Revenue & Margin,Segment-3,Franchise,-,-,-,Franchise,-,-,-,Unallocated Corporate and Other,-,-,-,Unallocated Corporate and Other,-,-,-,Unallocated Corporate and Other
Revenue & Margin,Segment-3 %,1037.2%,-,-,-,1014.3%,-,-,-,658.7%,-,-,-,738.5%,-,-,-,899.9%
Revenue & Margin,Others,"Management Service, Base, Owned, Leased and Other",-,-,-,"Management Service, Base, Owned, Leased and Other",-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,1182.9%,-,-,-,1175.6%,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,26186000000,25925000000,25691000000,25386000000,25100000000,24766000000,24439000000,24075000000,23713000000,23541000000,22926000000,22189000000,20773000000,19296000000,17929000000,15740000000,13857000000
Revenue & Margin,Rev-CoGS / Sale (%),21.33582830520125,21.67791706846673,21.29150286092406,20.310407311116364,20.322709163346612,20.467576516191553,21.244731781169442,21.250259605399794,21.60840045544638,22.496920266768615,22.354531972433044,22.231736445986748,21.941943869445915,21.667703150912107,21.08316135869262,20.813214739517154,20.213610449592263
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),17.65065302069808,17.770491803278688,17.185006422482584,16.142755849680928,16.04382470119522,15.96543648550432,16.833749335079176,16.805815160955348,17.344916290642264,18.601588717556602,18.45502922446131,18.24327369417279,17.652722283733695,17.16936152570481,16.264153048134308,15.603557814485388,14.274373962618172
Revenue & Margin,Op. Income / Rev (%),15.813793630184067,15.876567020250723,15.102565100618895,15.12250846923501,15.00796812749004,15.073084066865864,15.908997913171572,15.738317757009346,16.29485935984481,17.594834543987087,17.451801448137484,17.37347334264726,16.665864343137727,16.07068822553897,14.992470299514752,14.129606099110548,12.628996175218301
Revenue & Margin,Net Profit / Rev (%),9.93278851294585,10.07135969141755,9.602584562687323,9.753407389899944,9.46215139442231,11.176613098602923,12.01358484389705,12.004153686396677,13.001307299793364,12.352916188777026,12.152141673209456,12.33944747397359,11.351273287440428,11.157752902155888,9.721679959841598,9.447268106734434,7.931009598037093
EBITDA,Net Income,2601000000,2611000000,2467000000,2476000000,2375000000,2768000000,2936000000,2890000000,3083000000,2908000000,2786000000,2738000000,2358000000,2153000000,1743000000,1487000000,1099000000
EBITDA,D & A,599000000,701000000,629000000,512000000,492000000,286000000,284000000,328000000,277000000,274000000,277000000,275000000,282000000,285000000,298000000,298000000,295000000
EBITDA,Net Int Inc,-767000000,-738000000,-712000000,-685000000,-655000000,-629000000,-600000000,-577000000,-535000000,-498000000,-452000000,-400000000,-377000000,-361000000,-367000000,-380000000,-392000000
EBITDA,Tax Provision,793000000,799000000,735000000,712000000,776000000,366000000,401000000,371000000,295000000,780000000,782000000,744000000,756000000,618000000,437000000,196000000,81000000
EBITDA,EBITDA,4760000000,4849000000,4543000000,4385000000,4298000000,4049000000,4221000000,4166000000,4190000000,4460000000,4297000000,4157000000,3773000000,3417000000,2845000000,2361000000,1867000000
EBITDA,Stock-Based Comp,236000000,235000000,237000000,236000000,237000000,231000000,222000000,221000000,205000000,195000000,189000000,185000000,192000000,188000000,182000000,173000000,182000000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,310.24,260.44,273.21,238.2,278.94,248.6,239.51,251.33,225.51,196.56,183.69,166.04,148.89,140.14,136.01,175.75,165.24
Capital Structure,O/S Shares,268500000,271642000,274460000,277700000,278900000,281500000,285800000,290400000,294300000,298600000,303600000,309600000,316500000,324500000,328200000,328300000,327600000
Capital Structure,Market Capitalization,83299440000,70746442480,74985216600,66148140000,77796366000,69980900000,68451958000,72986232000,66367593000,58692816000,55768284000,51405984000,47123684999,45475429999,44638482000,57698725000,54132624000
Capital Structure,Cash,358000000,678000000,671000000,523000000,396000000,394000000,349000000,429000000,338000000,717000000,563000000,554000000,507000000,1045000000,546000000,1042000000,1393000000
Capital Structure,Debt,17083000000,16886000000,16536000000,15851000000,15241000000,14462000000,13968000000,13509000000,12760000000,12734000000,12296000000,11681000000,11098000000,10425000000,9836000000,10535000000,11236000000
Capital Structure,Enterprise Value,100024440000,86954442480,90850216600,81476140000,92641366000,84048900000,82070958000,86066232000,78789593000,70709816000,67501284000,62532984000,57714684999,54855429999,53928482000,67191725000,63975624000
Capital Structure,netCommonStockIssuance,-1000000000,-753000000,-749000000,-706000000,-586000000,-980000000,-1012000000,-1111000000,-965000000,-913000000,-911000000,-1135000000,-1331000000,-935000000,-300000000,0,0
Capital Structure,netDebtIssuance,205000000,334000000,579000000,606000000,809000000,488000000,475000000,781000000,94000000,497000000,617000000,572000000,642000000,681000000,-675000000,-651000000,304000000
Liquidity & Cash Flow,DSO,41.43989154510044,41.45583413693346,41.19054338095053,41.19657488379421,41.11339641434263,41.36204877654849,41.10525185154876,40.65789200415369,40.18186226964112,39.9289006414341,39.70644682892786,39.86147415386002,41.04119530159342,41.39731032338309,42.84357744436388,46.77866899618806,51.45612325900267
Liquidity & Cash Flow,DIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liquidity & Cash Flow,DPO,14.011541822418563,13.98522531396208,14.259927797833933,14.47009391992091,14.55054002700135,14.657815911052445,14.474268717202682,13.94331188353816,13.872316961643984,14.17388325568649,14.783720015729452,15.795303082985628,16.893771199506627,18.002480979159774,19.005848469856527,20.499037227214377,21.44242945007236
Liquidity & Cash Flow,CCC,27.428349722681872,27.470608822971382,26.930615583116598,26.726480963873303,26.56285638734128,26.704232865496046,26.630983134346074,26.71458012061553,26.30954530799714,25.755017385747607,24.92272681319841,24.066171070874397,24.14742410208679,23.394829344223314,23.837728974507353,26.279631768973683,30.013693808930313
Liquidity & Cash Flow,OCF,3212000000,2701000000,2488000000,2617000000,2749000000,3182000000,3183000000,3062000000,3170000000,2860000000,2853000000,2852000000,2363000000,2354000000,2099000000,1548000000,1177000000
Liquidity & Cash Flow,CapEx,-663000000,-833000000,-516000000,-776000000,-750000000,-542000000,-492000000,-466000000,-452000000,-458000000,-407000000,-378000000,-332000000,-261000000,-232000000,-202000000,-183000000
Liquidity & Cash Flow,FCF,2898000000,2217000000,1972000000,1841000000,1999000000,2640000000,2691000000,2596000000,2718000000,2402000000,2446000000,2474000000,2031000000,2093000000,1867000000,1346000000,994000000
BQR,Total Debt / Adj Ebitda,3.5888655462184875,3.4823674984532893,3.6398855381906228,3.614823261117446,3.546067938576082,3.5717461101506545,3.3091684434968016,3.242678828612578,3.045346062052506,2.8551569506726455,2.8615313009076098,2.8099591051238875,2.941425921017758,3.050921861281826,3.4572934973637963,4.462092333756883,6.018211033743975
BQR,Adj Ebitda / Interest Expense,6.2059973924380705,6.570460704607046,6.38061797752809,6.401459854014599,6.561832061068702,6.4372019077901435,7.035,7.220103986135182,7.831775700934579,8.95582329317269,9.506637168141593,10.3925,10.007957559681698,9.465373961218837,7.752043596730245,6.213157894736842,4.762755102040816
BQR,Net Income before extraordinary,2601000000,2611000000,2467000000,2476000000,2375000000,2768000000,2936000000,2890000000,3083000000,2908000000,2786000000,2738000000,2358000000,2153000000,1743000000,1487000000,1099000000
BQR,(NCO-CAPEX) / Total Debt (%),16.96423344845753,13.129219471751748,11.92549588776004,11.614409185540344,13.115937274457057,18.25473655096114,19.265463917525775,19.216818417351394,21.300940438871475,18.862886759855506,19.892648015614835,21.17969351939046,18.300594701748064,20.07673860911271,18.98129320862139,12.776459420977693,8.846564613741545
BQR,Score: Operating Leverage,48,48,48,48,48,48,48,45,45,45,45,45,45,45,48,55,65
BQR,Score: ICR,48,48,48,48,48,48,48,48,45,45,45,42,42,45,45,48,52
BQR,Score: Net Income,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
BQR,Score: FCF/Debt,52,55,58,58,55,48,48,48,45,48,48,45,48,45,48,55,58
BQR,BQR,43.25,44.0,44.75,44.75,44.0,42.25,42.25,41.199999999999996,40.0,40.75,40.75,39.55,40.3,40.0,41.8,46.45,51.3
