Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-01-28,2025-11-05,2025-08-06,2025-05-07,2025-01-30,2024-11-07,2024-08-08,2024-05-02,2024-02-23,2023-11-02,2023-08-03,2023-05-03,2023-02-27,2022-11-03,2022-08-04,2022-05-04,2022-02-25
Revenue & Margin,Segment-1,-,-,-,-,"Oil and Gas, Exploration and Production",-,-,-,"Oil and Gas, Exploration and Production",-,-,-,"Oil and Gas, Exploration and Production",-,-,-,Oil And Gas Exploration And Production Segment
Revenue & Margin,Segment-1 %,-,-,-,-,5063.3%,-,-,-,4947.1%,-,-,-,10000.0%,-,-,-,10000.0%
Revenue & Margin,Segment-2,-,-,-,-,Oil,-,-,-,Oil,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2 %,-,-,-,-,4426.5%,-,-,-,4272.6%,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,Natural Gas,-,-,-,Natural Gas,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,503.9%,-,-,-,543.3%,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,"Oil and Gas, Purchased",-,-,-,"Natural Gas Liquids, Oil and Gas, Purchased",-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,6.3%,-,-,-,237.0%,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,2718823000,2746335000,2778538000,2896480000,3018598000,3191294000,3391891000,3403734000,3448854000,3592703000,3805346000,4188734000,4220140000,3996331000,3517471000,3080062000,2801215000
Revenue & Margin,Rev-CoGS / Sale (%),71.85399711566365,37.70545108298878,29.459809439352636,32.239614980942385,33.191269589392164,37.356257367701,40.9453310852265,42.682771332894994,44.02024556562847,45.30009856088856,47.98039389847861,53.65738192016968,56.37914855905254,57.454274933682925,55.86056004441827,50.817158875373295,45.67789334271022
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),66.80284078809102,31.738516968978658,25.001889482886323,28.447460365685245,29.544377886687794,33.53858967553601,37.18026316293773,38.8587651091419,40.61894182821308,42.084914895553574,44.98158643129955,50.89043610790277,53.272118934442936,54.298104936753234,52.33549899913888,46.72711133736918,41.3244252940242
Revenue & Margin,Op. Income / Rev (%),11.079684113309325,11.909909024208627,18.00655596576329,20.453446942495717,19.96267803795007,22.569277540709194,27.08621827765102,26.42068974837634,30.213775358423405,32.38007706175545,40.44044877916489,45.971646803067465,37.59851568905297,39.35114483760229,29.6487163646836,16.267886815265406,10.046890367215655
Revenue & Margin,Net Profit / Rev (%),3.8325407722385756,5.195251125591015,10.248051313316571,13.47169668010827,13.488745437451428,14.825365510040756,17.375823692447664,16.450051619779924,19.181965951588555,20.72729084480404,26.745426040102526,30.320068068299395,22.867653679735746,23.372663575664777,14.614960578210878,3.260908384311744,-2.6297160339352743
EBITDA,Net Income,104200000,142679000,284746000,390205000,407171000,473121000,589369000,559916000,661558000,744670000,1017756000,1270027000,965047000,934049000,514077000,100438000,-73664000
EBITDA,D & A,977753000,952393000,668928000,625147000,642121000,639449000,876942000,877066000,861602000,851146000,828174000,808363000,776817000,754234000,746707000,778139000,812293000
EBITDA,Net Int Inc,-96072000,-116963000,-113495000,-109428000,-105926000,-85943000,-94669000,-103539000,-112373000,-123352000,-130808000,-142337000,-150759000,-164788000,-174273000,-176262000,-227085000
EBITDA,Tax Provision,71876000,51328000,49293000,80937000,78272000,93963000,169952000,172146000,195922000,228704000,310044000,380258000,309464000,304210000,181597000,65336000,-5862000
EBITDA,EBITDA,1249901000,1263363000,1116462000,1205717000,1233490000,1292476000,1730932000,1712667000,1831455000,1947872000,2286782000,2600985000,2202087000,2157281000,1616654000,1120175000,959852000
EBITDA,Stock-Based Comp,16614000,0,0,0,0,0,0,0,0,0,0,0,0,0,3827000,3827000,3827000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,31.25,28.41,22.5,28.4,30.26,33.74,41.07,46.43,42.66,45.35,38.3,36.98,43.01,35.17,30.19,40.39,26.11
Capital Structure,O/S Shares,143124000,142731000,142721000,144284000,145843000,149384000,152153401,152664422,153754000,155453897,156126580,155856509,155460000,155446000,155389000,154500000,154457000
Capital Structure,Market Capitalization,4472625000,4054987710,3211222500,4097665600,4413209180,5040216160,6248940179,7088209113,6559145639,7049834228,5979648014,5763573702,6686334600,5467035820,4691193910,6240255000,4032872270
Capital Structure,Cash,377000000,425960000,379631000,392914000,423569000,271223000,333619000,323430000,317074000,327769000,369355000,312383000,491963000,465998000,432019000,480587000,521184000
Capital Structure,Debt,2201687000,2219004000,2161089000,2202322000,2065962000,2153466000,2179872000,2025390000,2088760000,2384131000,2707240000,2742959000,2786206000,2838848000,3142573000,3393032000,3366657000
Capital Structure,Enterprise Value,6297312000,5848031710,4992680500,5907073600,6055602180,6922459160,8095193179,8790169113,8330831639,9106196228,8317533014,8194149702,8980577600,7839885820,7401747910,9152700000,6878345270
Capital Structure,netCommonStockIssuance,0,-15000,-2548000,-100072000,-1218000,-194245000,-55887000,-50000000,-74999000,-75023000,0,0,0,0,0,0,0
Capital Structure,netDebtIssuance,0,-50057000,-370000,199884000,-25138000,-171000,-50167000,-164000,-249665000,-248836000,-159999,-139000,-196417000,-248168000,-203600000,-158000,-113404000
Liquidity & Cash Flow,DSO,37.716325226026115,36.96589636734047,35.85982358348168,36.38223895901232,37.16591444107496,37.19803393231711,40.31189755213242,42.12932106327933,42.585497602971884,42.07821068148411,37.916982450478876,36.88712150258288,36.11317337813437,35.09874807667333,34.72831119289967,35.05390029486419,35.513233543301745
Liquidity & Cash Flow,DIO,30.747806243792795,13.36456792281115,11.148827721218417,10.635944297195753,9.383376671739343,9.447268358589119,9.856386696420994,10.617440769152699,11.38476868014047,11.187383122880311,10.775932596995442,11.056365391163778,11.45063301900578,12.380565887260126,13.801824626173522,13.737779414890598,14.110753647779855
Liquidity & Cash Flow,DPO,244.37266086456538,103.97201600171147,90.76236769038147,90.56999509850377,85.7730190654276,85.37199384137027,86.12168321626304,91.99480785022087,94.42389454901432,97.26318882762868,100.6905516775228,118.00009298520634,145.4019179068925,161.6831986192765,181.5203181196348,176.04559771781192,151.17347926205198
Liquidity & Cash Flow,CCC,-175.90852939474647,-53.64155171155985,-43.75371638568137,-43.55181184229569,-39.2237279526133,-38.72669155046404,-35.95339896770962,-39.24804601778884,-40.45362826590197,-43.99759502326426,-51.99763663004849,-70.05660609145968,-97.83811150975234,-114.20388465534305,-132.9901823005616,-127.25391800805713,-101.54949207097039
Liquidity & Cash Flow,OCF,1247808000,1431722000,1521278000,1630880000,1728990000,1838451000,1865531000,1867770000,1748755000,1707252000,1956170000,2107190000,2165744000,1995106000,1695122000,1522727000,1422163000
Liquidity & Cash Flow,CapEx,-1045016000,-1026287000,-337425000,-295575000,-174875000,-176525000,-923716000,-1005359000,-1101593000,-1110468000,-1209436000,-1214410000,-1113999000,-1034848000,-824481000,-674842000,-688213000
Liquidity & Cash Flow,FCF,396396000,405435000,1183853000,1335305000,1554115000,1661926000,941815000,862411000,647162000,596784000,746734000,892780000,1051745000,960258000,870641000,847885000,733950000
BQR,Total Debt / Adj Ebitda,1.761489109937507,1.7564263002794922,1.9356583564868308,1.8265662672086402,1.6748915678278704,1.6661555030809083,1.259363163890898,1.1825941645398668,1.1404921223835693,1.2239669752427265,1.1838644873013693,1.0545847054096813,1.2652570039240048,1.3159379793360253,1.9438748179882646,3.029019572834602,3.50747511074624
BQR,Adj Ebitda / Interest Expense,13.010044549920893,10.801390183220335,9.837102956077361,11.018359103702892,11.644827521099636,15.038758246744935,18.28404229473217,16.54127430243676,16.29799862956404,15.79116674233089,17.48197357959758,18.273428553362795,14.606670248542375,13.091250576498288,9.276560339237863,6.355170144444066,4.226840169980404
BQR,Net Income before extraordinary,104200000,142679000,284746000,390205000,407171000,473121000,589369000,559916000,661558000,744670000,1017756000,1270027000,965047000,934049000,514077000,100438000,-73664000
BQR,(NCO-CAPEX) / Total Debt (%),18.00419405664838,18.27103511305072,54.78039081222476,60.63168782766553,75.22476212050367,77.17447129418342,43.20505974662733,42.57999693886116,30.983071295888468,25.031510432941815,27.582851908216487,32.5480621474838,37.74828566157707,33.825622224226166,27.7047183947676,24.989006882340043,21.800557645165515
BQR,Score: Operating Leverage,42,42,42,42,35,35,35,35,35,35,35,35,35,35,42,45,48
BQR,Score: ICR,35,42,42,42,42,25,25,25,25,25,25,25,35,35,45,48,55
BQR,Score: Net Income,42,42,35,35,35,35,35,35,35,35,25,25,35,35,35,42,75
BQR,Score: FCF/Debt,48,48,15,15,15,15,25,25,35,42,42,35,35,35,42,42,45
BQR,BQR,42.45,43.5,33.5,33.5,31.05,28.5,31.0,31.0,33.5,35.25,32.75,31.0,35.0,35.0,40.7,43.949999999999996,55.05
