Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-02-18,2025-11-10,2025-08-06,2025-05-07,2025-02-18,2024-11-12,2024-08-07,2024-05-07,2024-02-14,2023-11-07,2023-08-02,2023-05-09,2023-05-09,2022-11-08,2022-08-02,2022-05-10,2022-02-24
Revenue & Margin,Segment-1,Oil And Gas Segment,-,-,-,Oil And Gas Segment,-,-,-,Oil And Gas Segment,-,-,-,Oil And Gas Segment,-,-,-,Oil And Gas Segment
Revenue & Margin,Segment-1 %,9433.6%,-,-,-,7675.6%,-,-,-,7283.1%,-,-,-,7213.6%,-,-,-,7128.6%
Revenue & Margin,Segment-2,Midstream Segment,-,-,-,Chemical Segment,-,-,-,Chemical Segment,-,-,-,Chemical Segment,-,-,-,Chemical Segment
Revenue & Margin,Segment-2 %,566.4%,-,-,-,1739.9%,-,-,-,1818.7%,-,-,-,1789.3%,-,-,-,1938.0%
Revenue & Margin,Segment-3,-,-,-,-,Midstream Segment,-,-,-,Midstream Segment,-,-,-,Midstream Segment,-,-,-,Midstream Segment
Revenue & Margin,Segment-3 %,-,-,-,-,584.6%,-,-,-,898.2%,-,-,-,997.1%,-,-,-,933.4%
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,24864000000,26775000000,27238000000,27796000000,27099000000,27514000000,27699000000,27426000000,28331000000,29303000000,31407000000,35157000000,36253000000,35736000000,33241000000,28991000000,25962000000
Revenue & Margin,Rev-CoGS / Sale (%),32.050353925353924,33.568627450980394,34.6134077391879,36.13469563966038,35.60647994390937,35.27295195173366,35.32618506083252,33.789105228615185,34.38636122974833,36.559396648807294,40.02610882924189,45.308188980857295,47.02507378699694,46.65883143049026,43.80433801630517,36.576868683384504,29.288960788845237
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),27.71476833976834,29.445378151260503,30.593288787723033,32.28522089509282,31.68751614450718,31.30042887257396,31.416296617206395,29.774666374972654,30.563693480639582,33.030747705013134,36.76887318113796,42.4922490542424,44.41839296058257,43.952876650996195,40.91633825697181,33.496602393846366,25.96487173561359
Revenue & Margin,Op. Income / Rev (%),16.417310167310166,18.584500466853406,20.35758866289742,22.819830191394445,22.019262703420793,22.188703932543433,22.264341672984582,21.745788667687595,22.900709470191664,25.420605398764636,29.260992772311905,34.53081889808573,36.64248475988194,36.503805686142826,33.512830540597456,25.78386395778,17.991680147908482
Revenue & Margin,Net Profit / Rev (%),9.226190476190476,7.719887955182073,8.682722666862471,11.113109799971218,11.225506476253736,15.84284364323617,16.603487490523122,15.678553197695615,16.494299530549576,18.431559908541786,21.527048110293883,27.397104417327984,36.45767246848537,35.88817998656816,32.85099726241689,25.166430961332825,8.889916031122409
EBITDA,Net Income,2294000000,2067000000,2365000000,3089000000,3042000000,4359000000,4599000000,4300000000,4673000000,5401000000,6761000000,9632000000,13217000000,12825000000,10920000000,7296000000,2308000000
EBITDA,D & A,7883000000,5914000000,3853000000,1775000000,3468000000,5191000000,5191000000,3416000000,3444000000,3540000000,5276000000,7004000000,6926000000,5107000000,5287000000,5930000000,6481000000
EBITDA,Net Int Inc,-681000000,-988000000,-1029000000,-1015000000,-1004000000,-933000000,-861000000,-845000000,-806000000,-820000000,-888000000,-764000000,-877000000,-1009000000,-1192000000,-1450000000,-1448000000
EBITDA,Tax Provision,1154000000,932000000,1062000000,1257000000,1174000000,1584000000,1564000000,1566000000,1733000000,1845000000,2313000000,3077000000,813000000,809000000,294000000,-894000000,915000000
EBITDA,EBITDA,12012000000,9901000000,8309000000,7136000000,8688000000,12067000000,12215000000,10127000000,10656000000,11606000000,15238000000,20477000000,21833000000,19750000000,17693000000,13782000000,11152000000
EBITDA,Stock-Based Comp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,41.12,47.25,42.01,49.36,49.41,51.54,62.88,66.38,59.71,64.88,58.8,62.43,62.99,61.45,58.88,56.74,28.99
Capital Structure,O/S Shares,988000000,986400000,985100000,941300000,940800000,927500000,893800000,884100000,881000000,884000000,889300000,901200000,905700000,922000000,939200000,936700000,936500000
Capital Structure,Market Capitalization,40626560000,46607400000,41384051000,46462568000,46484928000,47803350000,56202144000,58686557999,52604510000,57353919999,52290840000,56261916000,57050043000,56656900000,55300096000,53148358000,27149135000
Capital Structure,Cash,1968000000,2159000000,2326000000,2612000000,2132000000,1759000000,1845000000,1272000000,1426000000,611000000,486000000,1165000000,984000000,1233000000,1362000000,1909000000,2764000000
Capital Structure,Debt,1773000000,22876000000,24174000000,25987000000,27104000000,27649000000,20815000000,20836000000,20911000000,20710000000,20687000000,20666000000,20765000000,21888000000,22969000000,27103000000,30388000000
Capital Structure,Enterprise Value,40431560000,67324400000,63232051000,69837568000,71456928000,73693350000,75172144000,78250557999,72089510000,77452919999,72491840000,75762916000,76831043000,77311900000,76907096000,78342358000,54773135000
Capital Structure,netCommonStockIssuance,18000000,-931000000,906000000,25000000,-5000000,67000000,407000000,88000000,-144000000,-1058000000,-1420000000,-702000000,-630000000,-1725000000,-442000000,-9000000,-1000000
Capital Structure,netDebtIssuance,-170000000,-1304000000,-1762000000,-518000000,-507000000,5605000000,0,0,0,0,0,-22000000,-1159000000,-1217000000,-3849000000,-3259000000,-2279000000
Liquidity & Cash Flow,DSO,56.76701254826254,56.07913165266107,55.42068984506939,53.61544826593754,51.64401822945496,50.370902086210656,49.21089208996715,46.220557135564796,44.747317426140974,43.83599802068048,41.980171617792216,46.58663281849987,50.620052133616525,51.16598108350124,53.444428567130956,51.64150081059639,49.273312918881444
Liquidity & Cash Flow,DIO,33.108168097070134,42.19549390003935,42.950519371139805,47.917558584948175,48.705014326647564,47.34916334437644,45.54349949759964,40.94918497714632,40.88553714562376,41.064954276492735,40.344552983648335,37.35327387143749,33.09802134860713,32.32668397859616,32.18663008565311,34.05435905803013,37.92059320187384
Liquidity & Cash Flow,DPO,77.87710861201539,76.37256142126272,78.33871420550253,80.95404743127534,82.6060888252149,80.39263855354035,79.78389806854975,75.06429318795088,71.79144924417666,73.66756320602475,71.77047940114674,78.09021999167881,83.64781306951315,83.6530138495436,85.35392130620986,78.51063251210094,72.43136507244797
Liquidity & Cash Flow,CCC,11.998072033317285,21.90206413143771,20.03249501070667,20.57895941961037,17.742943730887617,17.327426877046747,14.970493519017054,12.105448924760225,13.841405327588078,11.233389091148453,10.554245200293806,5.849686698258552,0.07026041271051042,-0.1603487874462104,0.2771373465742073,7.185227356525573,14.762541048307313
Liquidity & Cash Flow,OCF,10532000000,11254000000,12146000000,11580000000,11439000000,11322000000,10769000000,11445000000,12308000000,13044000000,14182000000,16441000000,16810000000,15927000000,14778000000,12763000000,10434000000
Liquidity & Cash Flow,CapEx,-6427000000,-7455000000,-7421000000,-7194000000,-7018000000,-6781000000,-6666000000,-6516000000,-6245000000,-6076000000,-5536000000,-4916000000,-4313000000,-3695000000,-3272000000,-2988000000,-2709000000
Liquidity & Cash Flow,FCF,4105000000,3799000000,4800000000,4461000000,4496000000,4641000000,4128000000,4949000000,6063000000,6945000000,8623000000,11507000000,12460000000,12193000000,11478000000,9747000000,7736000000
BQR,Total Debt / Adj Ebitda,0.1476023976023976,2.3104736895263103,2.9093753760982066,3.6416760089686098,3.1197053406998156,2.291290295848181,1.7040523945968071,2.057470129357164,1.9623686186186187,1.7844218507668448,1.3575928599553748,1.0092298676563949,0.9510832226446205,1.108253164556962,1.2981970270728538,1.9665505732114352,2.7248923959827835
BQR,Adj Ebitda / Interest Expense,17.63876651982379,10.021255060728745,8.07482993197279,7.030541871921182,8.653386454183266,12.933547695605574,14.1869918699187,11.984615384615385,13.220843672456576,14.153658536585366,17.15990990990991,26.80235602094241,24.89509692132269,19.573835480673935,14.843120805369127,9.504827586206897,7.701657458563536
BQR,Net Income before extraordinary,2294000000,2067000000,2365000000,3089000000,3042000000,4359000000,4599000000,4300000000,4673000000,5401000000,6761000000,9632000000,13217000000,12825000000,10920000000,7296000000,2308000000
BQR,(NCO-CAPEX) / Total Debt (%),231.52848279751834,16.606924287462842,19.856043683296104,17.166275445415014,16.587957497048407,16.785417194111904,19.831852029786212,23.752159723555383,28.994309215245565,33.534524384355386,41.683182675109975,55.6808284138198,60.00481579581026,55.70632309941521,49.97170098828856,35.9628085451795,25.4574174016059
BQR,Score: Operating Leverage,15,42,45,48,45,42,35,42,42,42,35,35,25,35,35,42,45
BQR,Score: ICR,25,42,45,48,45,35,35,42,35,35,25,25,25,25,35,45,48
BQR,Score: Net Income,25,25,25,25,25,15,15,15,15,15,15,15,15,15,15,15,25
BQR,Score: FCF/Debt,15,52,48,48,52,52,48,42,42,35,25,15,15,15,25,35,42
BQR,BQR,19.0,40.25,40.75,42.25,41.75,36.7,33.25,35.25,34.2,32.45,26.0,23.5,20.0,23.5,27.5,33.95,39.699999999999996
