Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-02-18,2025-10-22,2025-07-23,2025-04-23,2025-02-19,2024-10-23,2024-07-24,2024-04-24,2024-02-21,2023-10-25,2023-07-26,2023-04-26,2023-02-22,2022-10-27,2022-07-28,2022-04-28,2022-02-23
Revenue & Margin,Segment-1,Vacation Ownership,-,-,-,Vacation Ownership,-,-,-,Vacation Ownership,-,-,-,Vacation Ownership,-,-,-,Vacation Ownership
Revenue & Margin,Segment-1 %,8354.5%,-,-,-,8202.3%,-,-,-,8105.0%,-,-,-,7941.2%,-,-,-,7616.5%
Revenue & Margin,Segment-2,Travel and Membership,-,-,-,Travel and Membership,-,-,-,Travel and Membership,-,-,-,Travel and Membership,-,-,-,Travel and Membership
Revenue & Margin,Segment-2 %,1645.5%,-,-,-,1797.7%,-,-,-,1895.0%,-,-,-,2058.8%,-,-,-,2383.5%
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,4022000000,3967000000,3916000000,3883000000,3865000000,3830000000,3823000000,3787000000,3750000000,3713000000,3664000000,3637000000,3567000000,3538000000,3440000000,3315000000,3134000000
Revenue & Margin,Rev-CoGS / Sale (%),41.322725012431626,50.668011091504916,49.31052093973442,49.29178470254957,48.97800776196636,48.7467362924282,48.54826052838085,48.29680485872723,48.586666666666666,48.3167250201993,48.28056768558952,48.47401704701677,48.50014017381553,49.09553420011306,49.68023255813954,49.7737556561086,50.15954052329291
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),14.370959721531577,24.04839929417696,22.880490296220636,22.53412310069534,22.43208279430789,22.558746736292427,22.678524718807218,22.999735938737786,22.96,22.46162133046054,22.270742358078603,22.298597745394556,22.4278104850014,23.431317128321087,24.302325581395348,24.524886877828052,24.69687300574346
Revenue & Margin,Op. Income / Rev (%),15.290900049726504,19.712629190824302,19.33094994892748,19.057429822302343,18.990944372574386,18.772845953002612,19.27805388438399,19.30287826775812,19.173333333333336,18.58335577699973,18.340611353711793,18.531756942535058,18.306700308382396,19.38948558507631,19.8546511627907,19.57767722473605,19.75111678366305
Revenue & Margin,Net Profit / Rev (%),5.743411238189955,10.360473909755482,10.137895812053117,10.764872521246458,10.633893919793014,10.992167101827677,11.352341093382162,10.536044362292053,10.586666666666666,9.668731483975222,9.9617903930131,10.200714874896894,10.036445192038128,10.570944036178632,10.436046511627907,9.984917043740573,9.859604339502233
EBITDA,Net Income,231000000,411000000,397000000,418000000,411000000,421000000,434000000,399000000,397000000,359000000,365000000,371000000,358000000,374000000,359000000,331000000,309000000
EBITDA,D & A,185000000,182000000,120000000,117000000,115000000,115000000,113000000,112000000,112000000,111000000,113000000,117000000,119000000,122000000,122000000,123000000,124000000
EBITDA,Net Int Inc,96000000,-226000000,-229000000,-234000000,-238000000,-244000000,-245000000,-243000000,-238000000,-223000000,-208000000,-196000000,-187000000,-187000000,-187000000,-187000000,-193000000
EBITDA,Tax Provision,107000000,158000000,144000000,136000000,134000000,93000000,98000000,98000000,94000000,125000000,133000000,129000000,130000000,141000000,134000000,133000000,116000000
EBITDA,EBITDA,427000000,977000000,890000000,905000000,898000000,873000000,890000000,852000000,841000000,818000000,819000000,813000000,794000000,824000000,802000000,774000000,742000000
EBITDA,Stock-Based Comp,64000000,76000000,47000000,46000000,41000000,36000000,36000000,37000000,38000000,42000000,43000000,43000000,45000000,42000000,40000000,37000000,32000000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,70.53,59.49,51.61,46.29,50.45,46.08,43.18,47.86,39.09,36.73,40.34,39.2,36.4,34.12,38.82,57.94,55.27
Capital Structure,O/S Shares,64099999,66100000,66100000,67100000,68100000,69800000,70800000,71500000,72200000,73300000,75200000,77500000,79800000,83000000,85000000,85900000,86500000
Capital Structure,Market Capitalization,4520972929,3932289000,3411421000,3106059000,3435645000,3216384000,3057144000,3421990000,2822298000,2692309000,3033568000,3038000000,2904720000,2831960000,3299700000,4977046000,4780855000
Capital Structure,Cash,253000000,240000000,212000000,188000000,167000000,194000000,166000000,479000000,282000000,238000000,214000000,196000000,550000000,169000000,241000000,381000000,369000000
Capital Structure,Debt,5853000000,5578000000,5587000000,5658000000,5670000000,5577000000,5577000000,5924000000,5733000000,5622000000,5572000000,5454000000,5753000000,5273000000,5221000000,5328000000,5449000000
Capital Structure,Enterprise Value,10120972929,9270289000,8786421000,8576059000,8938645000,8599384000,8468144000,8866990000,8273298000,8076309000,8391568000,8296000000,8107720000,7935960000,8279700000,9924046000,9860855000
Capital Structure,netCommonStockIssuance,0,-198000000,-65000000,-68000000,-66000000,-66000000,-62000000,-25000000,-37000000,-67000000,-95000000,-101000000,-107000000,-113000000,-76000000,-45000000,-21000000
Capital Structure,netDebtIssuance,0,-226000000,-91000000,66000000,24000000,-7000000,-358000000,275000000,24000000,48000000,105000000,-194000000,364000000,60000000,-105000000,11000000,-31000000
Liquidity & Cash Flow,DSO,191.12133267031325,257.9244391227628,261.2602145045965,263.3630569147566,263.9049159120311,264.8632506527415,262.48397855087626,261.31667546870875,259.369,255.73592782116887,256.1923444323144,254.5817294473467,256.27768432856743,255.74759751271907,260.1686046511628,269.5109351432881,286.7358008934269
Liquidity & Cash Flow,DIO,188.29978813559322,231.69200306591722,225.61964735516372,225.32122905027936,223.40517241379308,220.15282730514517,216.96809862735128,215.26238508682331,217.239367219917,221.01615424700367,223.67084432717675,228.3197705442903,231.47795318454,237.27026651860078,253.40193529751588,271.503003003003,302.842509603073
Liquidity & Cash Flow,DPO,10.207627118644067,12.542795094532448,11.860201511335012,11.076053834433722,10.966658215010142,11.295848191543556,12.015124555160142,13.002425944841674,13.01543049792531,12.696065659197497,12.616094986807386,12.757470651013874,13.312465977136636,13.426568573014993,13.653235124205661,13.427177177177176,14.020486555697822
Liquidity & Cash Flow,CCC,369.2134936872624,477.0736470941476,475.01966034842525,477.6082321306023,476.343430110814,473.7202297663431,467.43695262306744,463.5766346106904,463.5929367219917,464.05601640897504,467.2470937726838,470.14402934062315,474.4431715359708,479.59129545830484,499.9173048244731,527.5867609691139,575.557823940802
Liquidity & Cash Flow,OCF,869000000,967000000,596000000,538000000,464000000,518000000,461000000,390000000,350000000,373000000,322000000,308000000,442000000,400000000,508000000,631000000,568000000
Liquidity & Cash Flow,CapEx,-85000000,-108000000,-101000000,-85000000,-81000000,-90000000,-84000000,-79000000,-74000000,-58000000,-56000000,-54000000,-52000000,-53000000,-56000000,-55000000,-57000000
Liquidity & Cash Flow,FCF,726000000,801000000,495000000,453000000,383000000,428000000,377000000,311000000,276000000,315000000,266000000,254000000,390000000,347000000,452000000,576000000,511000000
BQR,Total Debt / Adj Ebitda,13.707259953161593,5.709314227226202,6.277528089887641,6.2519337016574585,6.314031180400891,6.3883161512027495,6.266292134831461,6.953051643192488,6.816884661117717,6.872860635696822,6.803418803418803,6.708487084870849,7.2455919395466,6.399271844660194,6.5099750623441395,6.883720930232558,7.34366576819407
BQR,Adj Ebitda / Interest Expense,-999.0,4.323008849557522,3.88646288209607,3.8675213675213675,3.773109243697479,3.5778688524590163,3.63265306122449,3.506172839506173,3.533613445378151,3.6681614349775784,3.9375,4.1479591836734695,4.245989304812834,4.406417112299465,4.288770053475936,4.13903743315508,3.844559585492228
BQR,Net Income before extraordinary,231000000,411000000,397000000,418000000,411000000,421000000,434000000,399000000,397000000,359000000,365000000,371000000,358000000,374000000,359000000,331000000,309000000
BQR,(NCO-CAPEX) / Total Debt (%),12.403895438236802,14.359985657941914,8.859853230714158,8.006362672322375,6.754850088183422,7.674376905146136,6.75990675990676,5.24983119513842,4.814233385661957,5.602988260405549,4.773869346733668,4.657132379904657,6.779071788632018,6.580694102029206,8.657345336142502,10.81081081081081,9.377867498623601
BQR,Score: Operating Leverage,75,65,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
BQR,Score: ICR,75,55,58,58,58,58,58,58,58,58,58,55,55,55,55,55,58
BQR,Score: Net Income,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
BQR,Score: FCF/Debt,55,55,58,58,65,58,65,75,75,65,75,75,65,65,58,58,58
BQR,BQR,60.0,53.5,58.2,58.2,59.95,58.2,59.95,62.45,62.45,59.95,62.45,62.0,59.5,59.5,57.75,57.75,58.2
