Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q)
Header,Fiscal Period,2022-Q1,2021-Q4,2021-Q3,2021-Q2,2021-Q1,2020-Q4,2020-Q3,2020-Q2,2020-Q1,2019-Q4
Header,Statement Date,2021-04-30,2021-01-31,2020-10-31,2020-07-31,2020-04-30,2020-01-31,2019-10-31,2019-07-31,2019-04-30,2019-01-31
Header,Filing Date,2021-06-03,2021-03-19,2020-12-03,2020-09-08,2020-06-04,2020-03-12,2019-12-04,2019-09-05,2019-04-30,2019-01-31
Revenue & Margin,Segment-1,-,UNITED STATES,-,-,-,UNITED STATES,-,-,-,-
Revenue & Margin,Segment-1 %,-,6143.2%,-,-,-,6261.1%,-,-,-,-
Revenue & Margin,Segment-2,-,Non-US,-,-,-,Non-US,-,-,-,-
Revenue & Margin,Segment-2 %,-,3856.8%,-,-,-,3738.9%,-,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,974317000,902610000,833915000,768142000,697251000,630422000,570486000,507409000,454454000,400552000
Revenue & Margin,Rev-CoGS / Sale (%),86.11057797410903,86.51776514773822,86.70272150039273,86.78629732523414,85.05287192130237,84.58318396248862,84.37840718264778,84.32842145093997,86.8470736312146,87.19242445425313
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),13.579974484690302,10.974950421555267,8.80773220292236,5.590502797659807,-18.43023530980952,-20.766090015894115,-22.936408605995588,-27.682599244396535,1.5211660586109925,0.8313527332281452
Revenue & Margin,Op. Income / Rev (%),-26.91218566441928,-31.36282558358538,-36.17155225652495,-43.087736382075185,-89.77986406616843,-93.31495411010403,-94.7490385390702,-97.80709447408303,-36.59732338146435,-38.49887155725099
Revenue & Margin,Net Profit / Rev (%),-25.982919316813728,-33.28369949369052,-36.86994477854458,-42.729469290834245,-87.90765448884261,-90.58345045065052,-90.85656790876551,-93.97448606548168,-32.81586255154537,-35.122281251872415
EBITDA,Net Income,-253156000,-300422000,-307464000,-328223000,-612937000,-571058000,-518324000,-476835000,-149133000,-140683000
EBITDA,D & A,29598000,28818000,27906000,28111000,27951000,27127000,26008000,22810000,19877000,16816000
EBITDA,Net Int Inc,-47292000,-38105000,-26136000,-14394000,-2842000,0,0,0,0,0
EBITDA,Tax Provision,608000,-315000,-8000,1053000,211000,589000,-417000,2000,1010000,840000
EBITDA,EBITDA,-175658000,-233814000,-253430000,-284665000,-581933000,-543342000,-492733000,-454023000,-128246000,-123027000
EBITDA,Stock-Based Comp,232669000,227363000,232836000,248097000,476596000,426524000,368148000,304802000,20653000,23132000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,42.4,42.51,25.58,29.55,26.69,20.73,22.0,33.42,38.62,38.62
Capital Structure,O/S Shares,581550000,576258000,570374000,564351000,557414000,557414000,544057000,368533000,525337000,525337000
Capital Structure,Market Capitalization,24657720000,24496727580,14590166919,16676572050,14877379660,11555192220,11969254000,12316372860,20288514940,20288514940
Capital Structure,Cash,1332649000.0,1081357000.0,1099807000.0,1316395000.0,1228225000.0,498999000.0,476474000.0,498275000.0,256489000.0,180770000.0
Capital Structure,Debt,698247000.0,686328000.0,673776000.0,661033000.0,650588000.0,226843000.0,0.0,0.0,0.0,0.0
Capital Structure,Enterprise Value,24023318000,24101698580,14164135919,16021210050,14299742660,11283036220,11492780000,11818097860,20032025940,20107744940
Capital Structure,netCommonStockIssuance,0,0,0,0,0,0,0,0,0,0
Capital Structure,netDebtIssuance,0,0,0,0,0,0,0,0,0,0
Liquidity & Cash Flow,DSO,57.47741238221236,58.432714572185105,53.223540468752816,53.290127346245875,53.55035704502396,54.27593342237422,50.636115522554455,41.64893360188724,31.937118498241848,19.91930510894965
Liquidity & Cash Flow,DIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liquidity & Cash Flow,DPO,41.32469869279597,44.317272293988104,51.71941508549166,48.362500000000004,43.33409694969247,44.05567387926866,47.75934424757908,40.7199065632113,41.23149278950714,29.549838209781484
Liquidity & Cash Flow,CCC,16.152713689416387,14.115442278197001,1.5041253832611545,4.92762734624587,10.216260095331485,10.220259543105563,2.8767712749753755,0.9290270386759332,-9.294374291265296,-9.630533100831833
Liquidity & Cash Flow,OCF,126465000,72439000,67257000,24616000,10466000,-12389000,-40509000,-59785000,-58618000,-41059000
Liquidity & Cash Flow,CapEx,-7611000,-12607000,-25906000,-32600000,-37095000,-52126000,-52177000,-58875000,-61077000,-59402000
Liquidity & Cash Flow,FCF,118854000,59832000,41351000,-7984000,-26629000,-64515000,-92686000,-118660000,-119695000,-100461000
BQR,Total Debt / Adj Ebitda,999,999,999,999,999,999,999,999,999,999
BQR,Adj Ebitda / Interest Expense,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
BQR,Net Income before extraordinary,-253156000,-300422000,-307464000,-328223000,-612937000,-571058000,-518324000,-476835000,-149133000,-140683000
BQR,(NCO-CAPEX) / Total Debt (%),17.021770233169637,8.71769766059377,6.137202868609152,-1.20780656941484,-4.093066579770915,-28.440375061165653,999.0,999.0,999.0,999.0
BQR,Score: Operating Leverage,75,75,75,75,75,75,75,75,75,75
BQR,Score: ICR,75,75,75,75,75,75,75,75,75,75
BQR,Score: Net Income,75,75,75,75,75,75,75,75,75,75
BQR,Score: FCF/Debt,48,58,65,75,75,75,15,15,15,15
BQR,BQR,68.25,70.75,72.5,75.0,75.0,75.0,60.0,60.0,60.0,60.0
