Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2020-Q4,2020-Q3,2020-Q2,2020-Q1,2019-Q4,2019-Q3,2019-Q2,2019-Q1,2018-Q4,2018-Q3,2018-Q2,2018-Q1,2017-Q4,2017-Q3,2017-Q2,2017-Q1,2016-Q4
Header,Statement Date,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
Header,Filing Date,2021-02-24,2020-10-28,2020-07-30,2020-05-06,2020-02-26,2019-10-30,2019-07-30,2019-05-01,2019-02-26,2018-11-01,2018-08-09,2018-05-02,2018-02-20,2017-10-25,2017-08-03,2017-04-26,2017-02-17
Revenue & Margin,Segment-1,Service and Membership Fees,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-1 %,5273.1%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2,Vacation Ownership Interest Sales,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2 %,2338.0%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3,Consumer Financing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,2162.0%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,Other Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,226.9%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,1515000000,2496000000,2987000000,3683000000,4043000000,4017000000,3974000000,3942000000,4214000000,3908000000,4475000000,4947000000,5076000000,5747000000,5691000000,5615000000,5599000000
Revenue & Margin,Rev-CoGS / Sale (%),39.867986798679866,45.392628205128204,46.83629059256779,49.03611186532718,52.06529804600544,51.356733881005724,51.5601409159537,51.47133434804668,51.993355481727576,53.01944728761515,53.072625698324025,52.98160501313928,52.36406619385343,51.55733426135375,51.53751537515375,51.55832591273375,51.1877120914449
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),4.026402640264026,12.700320512820513,15.098761298962168,18.51751289709476,23.398466485283205,22.952452078665672,23.402113739305484,23.211567732115675,23.540579022306595,24.053224155578302,24.916201117318433,24.802910855063676,24.36958234830575,23.9603271271968,23.809523809523807,23.91807658058771,23.647079835684945
Revenue & Margin,Op. Income / Rev (%),-3.6963696369636962,7.6923076923076925,10.947438901908269,15.232147705674723,20.40563937670047,19.890465521533482,20.281831907398086,19.863013698630137,19.814902705268153,20.470829068577277,20.9608938547486,20.618556701030926,20.153664302600475,19.384026448581867,19.29362150764365,19.39447907390917,19.12841578853367
Revenue & Margin,Net Profit / Rev (%),-18.546336633663365,-3.6057692307692304,0.16739203213927017,7.95547108335596,12.540192926045016,11.227284042818024,11.675893306492199,18.21410451547438,15.946843853820598,25.818833162743093,23.77653631284916,15.443703254497676,17.1591804570528,10.196624325735167,10.173958882445968,11.70080142475512,10.930523307733523
EBITDA,Net Income,-280977000,-90000000,5000000,293000000,507000000,451000000,464000000,718000000,672000000,1009000000,1064000000,764000000,871000000,586000000,579000000,657000000,612000000
EBITDA,D & A,126000000,125000000,124000000,121000000,121000000,123000000,124000000,113000000,138000000,121000000,158000000,206000000,213000000,262000000,255000000,253000000,252000000
EBITDA,Net Int Inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EBITDA,Tax Provision,-54023000,17000000,84000000,117000000,192000000,139000000,144000000,138000000,147000000,-273000000,-214000000,-219000000,-228000000,235000000,235000000,291000000,327000000
EBITDA,EBITDA,-209000000,52000000,213000000,531000000,820000000,713000000,732000000,969000000,957000000,857000000,1008000000,751000000,856000000,1083000000,1069000000,1201000000,1191000000
EBITDA,Stock-Based Comp,20000000,21000000,20000000,20000000,24000000,25000000,32000000,113000000,129000000,143000000,147000000,76000000,70000000,64000000,64000000,69000000,68000000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,44.86,30.76,28.18,21.7,51.69,46.02,45.17,41.21,35.84,41.48,44.27,48.71,48.71,48.71,48.71,48.71,48.71
Capital Structure,O/S Shares,85900000,85900000,85400000,86900000,89500000,91700000,93000000,94400000,96300000,99100000,100000000,100100000,101000000,102000000,104000000,105000000,107000000
Capital Structure,Market Capitalization,3853474000,2642284000,2406572000,1885730000,4626255000,4220034000,4200810000,3890224000,3451392000,4110667999,4427000000,4875871000,4919710000,4968420000,5065840000,5114550000,5211970000
Capital Structure,Cash,1196000000,1276000000,1052000000,1018000000,355000000,250000000,257000000,217000000,218000000,164000000,155000000,291000000,100000000,289000000,415000000,222000000,185000000
Capital Structure,Debt,6418000000,13274000000,6411000000,6394000000,5755000000,5541000000,5432000000,5291000000,5238000000,5159000000,5074000000,6261000000,6007000000,5901000000,5760000000,5713000000,5512000000
