Category,Metric,AGL,AR,BA,CPE,CRWV,DAL,DKL,EHAB,FUN,HBI,HE,HGV,IFF,KNTK,LUV,LYV,MAR,MGI,MUR,NE,NWL,OI,OII,OMP,OSCR,OXY,PDS,QUAD,RES,RRC,SM,SMG,SNAP,TDS,THC,TNL,VLO,WFRD,WH,WORK,WYND
Header,Fiscal Period,2025-Q3,2025-Q4,2025-Q4,2023-Q4,2025-Q3,2025-Q4,2025-Q3,2025-Q3,2025.0-Q4,2025.0-Q3,2025-Q3,2025-Q3,2025-Q4,2025-Q3,2025-Q4,0.0-0,2025-Q4,2023-Q1,2025-Q4,2025-Q4,2025-Q4,2025-Q4,2025-Q4,2021-Q3,2025-Q4,2025-Q4,2025-Q4,2025-Q4,2025-Q4,2025-Q3,2025-Q3,2026-Q1,2025-Q4,2025.0-Q4,2025-Q4,2025-Q4,2025.0-Q4,2025-Q4,2025.0-Q4,2022-Q1,2020-Q4
Header,Statement Date,2025-09-30,2025-12-31,2025-12-31,2023-12-31,2025-09-30,2025-12-31,2025-09-30,2025-09-30,2025-12-31,2025-09-30,2025-09-30,2025-09-30,2025-12-31,2025-09-30,2025-12-31,2025-12-31,2025-12-31,2023-03-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2021-09-30,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-09-30,2025-09-30,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2021-04-30,2020-12-31
Header,Filing Date,2025-11-04,2026-02-11,2026-01-30,2024-02-26,2025-11-13,2026-02-11,2025-11-07,2025-11-05,2026-01-14,2025-11-06,2025-11-07,2025-10-30,2026-02-11,2025-11-06,2026-02-05,0,2026-02-10,2023-04-28,2026-01-28,2026-02-12,2026-02-13,2026-02-12,2026-02-18,2021-11-04,2026-02-13,2026-02-18,2026-02-12,2026-02-18,2026-02-03,2025-10-28,2025-11-03,2026-02-04,2026-02-05,2025-12-12,2026-02-17,2026-02-18,2026-01-29,2026-02-04,2026-02-19,2021-06-03,2021-02-24
Revenue & Margin,Segment-1,Medical Services,"Natural Gas, Production",Commercial Airplanes Segment,"Oil and Gas, Exploration and Production",-,Airline,Wholesale Marketing and Terminalling,Home Health Segment,Admission,Shipping and Handling,"Electric Energy Sales, Large Light And Power",Sales Of Vacation Ownership Intervals Net,Nourish,"Natural Gas, NGLs and Condensate Sales",Passenger,Concerts,Reimbursements,Timing of revenue recognition,"Oil and Gas, Exploration and Production",Oil and Gas Service,Home And Commercial,Alcoholic Beverages,Subsea Robotics Member,Service,-,Oil And Gas Segment,Other Services,Total Products,Technical Services,Natural Gas Natural Gas Liquids And Oil Sales,Oil Revenue,Other Segments,Advertising Revenue,Service,Ambulatory Care,Vacation Ownership,Refining,Service,"Marketing, Reservation and Loyalty",UNITED STATES,Service and Membership Fees
Revenue & Margin,Segment-1 %,9978.9%,5594.2%,10000.0%,7243.0%,-,9198.8%,4955.9%,10000.0%,5182.6%,10000.0%,3490.5%,4275.5%,5157.2%,7168.2%,9099.2%,6330.8%,6083.7%,10000.0%,5063.3%,5000.0%,5236.0%,6176.9%,3118.3%,8040.7%,-,9433.6%,10000.0%,6874.5%,9371.1%,10000.0%,8188.9%,6046.7%,8743.4%,8279.6%,5022.3%,8354.5%,9284.0%,6059.4%,2835.5%,6143.2%,5273.1%
Revenue & Margin,Segment-2,Other Operating,Natural Gas Liquids Sales,Commercial Airplanes Segment,"Oil and Gas, Purchased",-,Refinery,Gathering And Processing,-,"Food, Merchandise and Gaming",-,"Electric Energy Sales, Commercial",Rental,Scent,Gathering and Processing Services,"Product and Service, Other",Sponsorship and Advertising,Fee Service,-,Oil,Floaters,Learning And Development,Food And Other,Offshore Projects Group,Product,-,Midstream Segment,-,Direct Mail And Other Printed Products,Support Services,Brokered Natural Gas Marketing And Other,Natural Gas Revenue,Hawthorne,Other Revenue,Product,Hospital Operations,Travel and Membership,Renewable Diesel,Product,Royalties and Franchise Fees,Non-US,Vacation Ownership Interest Sales
Revenue & Margin,Segment-2 %,21.1%,3868.4%,3425.7%,1660.6%,-,1098.6%,3636.9%,-,3315.6%,-,3146.7%,1527.4%,2143.4%,2751.3%,839.9%,3274.0%,1696.3%,-,4426.5%,4131.8%,3735.4%,2186.4%,2221.0%,1959.3%,-,566.4%,-,2270.3%,628.9%,856.2%,932.4%,3953.3%,1256.6%,1720.4%,4977.7%,1645.5%,379.7%,3940.6%,2729.6%,3856.8%,2338.0%
Revenue & Margin,Segment-3,-,Oil and Condensate,Global Services,Natural Gas Liquids,-,Intersegment Eliminations,Storage And Transportation,-,"Accommodations, Extra-Charge Products And Other",-,"Electric Energy Sales, Residential",Sales Marketing Brand And Other Fees,Health & Biosciences,"Product and Service, Other",Cargo and Freight,Ticketing,Franchise,-,Natural Gas,Jackups,Outdoor And Recreation,Nonalcoholic Beverage,Manufactured Products Member,Freshwater Services,-,Midstream Segment,-,Logistic Services,-,-,Oil and Condensate Revenue,Other Segments,-,Other Segment,Ambulatory Care,-,Ethanol,-,Marketing and reservation fees,-,Consumer Financing
Revenue & Margin,Segment-3 %,-,292.4%,2990.1%,744.4%,-,-297.3%,1407.3%,-,1501.8%,-,3144.9%,1426.7%,1855.2%,80.5%,60.9%,395.2%,1037.2%,-,503.9%,868.2%,1028.6%,1636.7%,2087.4%,712.7%,-,584.6%,-,822.2%,-,-,878.7%,687.6%,-,413.8%,1351.2%,-,336.2%,-,2376.4%,-,2162.0%
Revenue & Margin,Others,-,Marketings,Boeing Capital Corporation,Natural Gas,-,-,-,-,-,-,"Product and Service, Other, Electric Energy Sales, Other, Other Sales, Regulatory Revenue","Interest Income Revenue, Resort Management, Club Management, Ancillary Services, Other Financing Revenue",Pharma Solutions,"Natural Gas, Transmission, Product, Natural Gas Liquids, Service, Other",-,"Corporate Segment, Other Segments","Management Service, Base, Owned, Leased and Other",-,"Oil and Gas, Purchased",-,"Appliances and Cookware, Outdoor And Recreation",Other Segments,"Aerospace and Defense Technologies Member, Integrity Managements & Digital Solutions Member",Natural Gas and NGL Services,-,-,-,Other Revenues,-,-,-,-,-,-,-,-,-,-,"Other Products and Services, License and Other Fee From Former Parent, Loyalty Program",-,Other Revenue
Revenue & Margin,Others %,-,245.1%,29.8%,352.0%,-,-,-,-,-,-,217.9%,2770.4%,844.2%,894.7%,-,-29.9%,1182.9%,-,6.3%,-,2859.7%,359.5%,2573.3%,53.2%,-,-,-,33.1%,-,-,-,-,-,-,-,-,-,-,2058.5%,-,226.9%
Revenue & Margin,Revenue Total,5885571000,5203882951,89463000000,1832785000,4306526000,63364000000,967420000,1047800000,3100289000.0,3439885000.0,2768021000,4998000000,10890000000,1719686000,28063000000,18887901000.0,26186000000,1340000000,2718823000,3285568000,7204000000,6426000000,2784156000,391618000,11701427000,24864000000,1843314046,2419900000,1626566000,2868546000,3271563000,3350800000,5931447000,2648521000.0,21310000000,4022000000,124045000000.0,4918000000,1429000000.0,974317000,1515000000
