Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-02-05,2025-10-23,2025-07-24,2025-04-25,2025-02-07,2024-10-28,2024-07-29,2024-04-26,2024-02-06,2023-10-30,2023-07-28,2023-04-28,2023-02-07,2022-10-31,2022-08-02,2022-05-02,2022-02-07
Revenue & Margin,Segment-1,Passenger,-,-,-,Passenger,-,-,-,Passenger,-,-,-,Passenger,-,-,-,Passenger
Revenue & Margin,Segment-1 %,9099.2%,-,-,-,9089.3%,-,-,-,9059.4%,-,-,-,8989.7%,-,-,-,8908.2%
Revenue & Margin,Segment-2,"Product and Service, Other",-,-,-,"Product and Service, Other",-,-,-,"Product and Service, Other",-,-,-,"Product and Service, Other",-,-,-,"Product and Service, Other"
Revenue & Margin,Segment-2 %,839.9%,-,-,-,847.1%,-,-,-,873.5%,-,-,-,936.0%,-,-,-,973.4%
Revenue & Margin,Segment-3,Cargo and Freight,-,-,-,Cargo and Freight,-,-,-,Cargo and Freight,-,-,-,Cargo and Freight,-,-,-,Cargo and Freight
Revenue & Margin,Segment-3 %,60.9%,-,-,-,63.7%,-,-,-,67.1%,-,-,-,74.3%,-,-,-,118.4%
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,28063000000,27551000000,27472000000,27582000000,27483000000,27376000000,27031000000,26714000000,26091000000,25440000000,25135000000,24826000000,23814000000,22693000000,21152000000,18432000000,15790000000
Revenue & Margin,Rev-CoGS / Sale (%),17.4393329294801,16.736234619433052,16.63511939429237,17.050975273729243,16.23185241785831,14.465225014611338,14.494469313010988,15.639739462454145,16.177992411176266,17.69261006289308,18.46031430276507,19.48763393216789,19.946250104980265,20.367514211430837,22.707072617246595,21.885850694444446,26.067131095630145
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),9.446602287709796,11.40430474392944,15.37565521258008,15.796533971430643,14.972892333442491,14.465225014611338,14.494469313010988,15.639739462454145,16.177992411176266,17.69261006289308,18.46031430276507,19.48763393216789,19.946250104980265,20.367514211430837,22.707072617246595,21.885850694444446,26.067131095630145
Revenue & Margin,Op. Income / Rev (%),1.5251398638777038,1.143334180247541,1.1575422248107163,1.7801464723370315,1.1679947603973366,-1.3186732904734073,-1.0432466427435167,0.43048588754959943,0.8585335939596029,0.955188679245283,2.0728068430475433,3.560783050028196,4.270597127739985,7.037412417926232,9.148071104387293,7.438151041666667,10.899303356554782
Revenue & Margin,Net Profit / Rev (%),1.5714642055375407,1.3756306486152952,1.4269073966220152,1.9795518816619535,1.688316413783066,-0.17898889538281706,0.28485812585549924,1.4711387287564572,1.7822237553179257,1.9536163522012577,2.3115178038591604,2.6504471118988158,2.263374485596708,3.6442955977614244,4.708774583963692,3.1684027777777777,6.193793540215326
EBITDA,Net Income,441000000,379000000,392000000,546000000,464000000,-49000000,77000000,393000000,465000000,497000000,581000000,658000000,539000000,827000000,996000000,584000000,978000000
EBITDA,D & A,1561000000,1597000000,1641000000,1645000000,1657000000,1665000000,1602000000,1565000000,1522000000,1474000000,1434000000,1392000000,1351000000,1307000000,1294000000,1284000000,1272000000
EBITDA,Net Int Inc,91000000,147000000,202000000,249000000,283000000,325000000,355000000,364000000,346000000,302000000,200000000,62000000,-84000000,-248000000,-347000000,-399000000,-419000000
EBITDA,Tax Provision,122000000,106000000,114000000,158000000,134000000,32000000,54000000,146000000,167000000,136000000,168000000,241000000,189000000,263000000,341000000,219000000,347000000
EBITDA,EBITDA,2033000000,1935000000,1945000000,2100000000,1972000000,1323000000,1378000000,1740000000,1808000000,1805000000,1983000000,2229000000,2163000000,2645000000,2978000000,2486000000,3016000000
EBITDA,Stock-Based Comp,0,0,0,0,0,0,0,0,0,84000000,84000000,84000000,84000000,0,0,0,0
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,41.33,31.91,32.44,33.58,33.62,29.63,28.11,29.18,28.88,27.07,36.21,32.54,33.67,30.84,36.12,45.8,42.84
Capital Structure,O/S Shares,516000000,523000000,538000000,584000000,595000000,599000000,599000000,597000000,596000000,596000000,595000000,594000000,594000000,627671000,631675710,591489361,592000000
Capital Structure,Market Capitalization,21326280000,16688930000,17452720000,19610720000,20003900000,17748370000,16837890000,17420460000,17212480000,16133720000,21544950000,19328760000,19999980000,19357373640,22816126645,27090212733,25361280000
Capital Structure,Cash,3231000000,2902000000,3475000000,8134000000,7509000000,8503000000,8142000000,8367000000,9288000000,9497000000,9158000000,8359000000,9492000000,10443000000,13234000000,13098000000,12480000000
Capital Structure,Debt,5981000000,5258000000,5341000000,7995000000,8058000000,9095000000,9109000000,9161000000,9200000000,9273000000,9328000000,9376000000,9473000000,10112000000,12001000000,12241000000,12281000000
Capital Structure,Enterprise Value,24076280000,19044930000,19318720000,19471720000,20552900000,18340370000,17804890000,18214460000,17124480000,15909720000,21714950000,20345760000,19980980000,19026373640,21583126645,26233212733,25162280000
Capital Structure,netCommonStockIssuance,-37000000,-236000000,-1485000000,-733000000,-236000000,16000000,15000000,15000000,12000000,14000000,13000000,9000000,13000000,13000000,13000000,6000000,12000000
Capital Structure,netDebtIssuance,828000000,-5000000,-2593000000,-5000000,-1310000000,-11000000,-8000000,-8000000,-7000000,-11000000,-8000000,-59000000,-612000000,-1918000000,-231000000,-323000000,-607000000
Liquidity & Cash Flow,DSO,14.170527028471653,14.30469855903597,14.541806202679092,15.585481473424696,16.558008587126587,16.76938741963764,17.962385779290443,17.789548551321403,17.850599823693994,17.898486635220127,17.567485577879452,18.359532345122048,20.83338582346519,23.137200898955626,25.52601408850227,28.990885416666664,29.478546548448385
Liquidity & Cash Flow,DIO,12.311601709180371,12.53394725370532,12.467088027246529,12.523493159666069,12.548757710016504,12.364889391868807,12.641478821442478,12.68170926517572,12.75080018289895,13.243648216247195,13.428153208099538,13.937675105063038,14.07233529164918,13.568078689613193,13.518105082879687,13.530959160994584,15.320370053109475
Liquidity & Cash Flow,DPO,6.167616211316846,6.030296425457715,5.586084184787355,5.799095240176581,5.307260446529407,4.929588742740007,4.757333535239908,4.777910898118566,4.885859625057155,5.155391852523999,5.044462063918029,5.58328747248349,6.08365243390684,5.806955896187261,6.167426142271699,5.887710098624809,6.081248929244475
Liquidity & Cash Flow,CCC,20.31451252633518,20.808349387283577,21.42281004513827,22.309879392914187,23.799505850613684,24.204688068766437,25.84653106549301,25.693346918378555,25.71554038153579,25.986742998943324,25.95117672206096,26.713919977701593,28.822068681207526,30.89832369238156,32.87669302911026,36.63413447903644,38.71766767231339
Liquidity & Cash Flow,OCF,1843000000,2024000000,1850000000,1426000000,462000000,411000000,914000000,2353000000,3163000000,3317000000,2935000000,3425000000,3790000000,3458000000,2649000000,2748000000,2322000000
Liquidity & Cash Flow,CapEx,-2673000000,-2275000000,-2097000000,-1962000000,-2053000000,-2310000000,-2660000000,-3093000000,-3553000000,-4199000000,-4428000000,-4485000000,-3947000000,-2766000000,-1825000000,-930000000,-511000000
Liquidity & Cash Flow,FCF,-830000000,-250000000,-273000000,-562000000,-1617000000,-1926000000,-1746000000,-740000000,-390000000,-882000000,-1493000000,-1060000000,-157000000,692000000,824000000,1818000000,1811000000
BQR,Total Debt / Adj Ebitda,2.941957697983276,2.717312661498708,2.7460154241645243,3.807142857142857,4.086206896551724,6.8745275888133035,6.610304789550073,5.264942528735633,5.088495575221239,5.137396121883657,4.7039838628340895,4.206370569762226,4.37956541840037,3.823062381852552,4.029885829415715,4.923974255832663,4.071949602122016
BQR,Adj Ebitda / Interest Expense,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,25.75,10.665322580645162,8.5821325648415,6.230576441102757,7.198090692124105
BQR,Net Income before extraordinary,441000000,379000000,392000000,546000000,464000000,-49000000,77000000,393000000,465000000,497000000,581000000,658000000,539000000,827000000,996000000,584000000,978000000
BQR,(NCO-CAPEX) / Total Debt (%),-13.877278047149305,-4.7546595663750475,-5.111402359108781,-7.029393370856785,-20.067014147431124,-21.176470588235293,-19.167855966626412,-8.077720772841392,-4.239130434782608,-9.511484956324814,-16.00557461406518,-11.305460750853243,-1.6573419191386045,6.843354430379747,6.866094492125656,14.851727800016338,14.746356159921831
BQR,Score: Operating Leverage,45,45,45,52,52,75,75,65,58,58,55,52,55,52,52,58,52
BQR,Score: ICR,75,75,75,75,75,75,75,75,75,75,75,75,25,42,45,48,48
BQR,Score: Net Income,35,35,35,35,35,75,42,35,35,35,35,35,35,35,35,35,35
BQR,Score: FCF/Debt,75,75,75,75,75,75,75,75,75,75,75,75,75,65,65,55,55
BQR,BQR,54.5,54.5,54.5,56.95,56.95,75.0,66.75,61.5,59.05,59.05,58.0,56.95,50.5,49.5,49.95,50.0,47.9
