Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-02-05,2025-11-25,2025-08-08,2025-05-09,2025-02-06,2024-12-11,2024-08-09,2024-05-09,2024-02-09,2023-11-29,2023-08-08,2023-05-12,2023-02-14,2022-12-22,2022-08-15,2022-05-13,2022-03-16
Revenue & Margin,Segment-1,-,Safety,-,-,-,Safety,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-1 %,-,8025.6%,-,-,-,8485.2%,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2,-,Manufacturing Facility,-,-,-,Manufacturing Facility,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2 %,-,1159.0%,-,-,-,839.3%,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3,-,"Product and Service, Other",-,-,-,"Product and Service, Other",-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,815.4%,-,-,-,675.4%,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,1079700000,1080400000,1102500000,1079500000,1107700000,1123100000,1118900000,1132500000,1122400000,1120800000,1113500000,1118500000,1115900000,1129500000,1155400000,1159300000,1169000000
Revenue & Margin,Rev-CoGS / Sale (%),63.73066592572011,62.88411699370603,63.01133786848072,63.69615562760538,64.12386025097048,64.93633692458374,66.1185092501564,65.46578366445917,66.55381325730578,66.90756602426838,66.90615177368657,67.80509611086276,68.08853839949816,68.60557768924302,69.91518088973515,69.65410161304236,69.51240376390076
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),33.3425951653237,32.22880414661237,32.07256235827665,31.977767484946735,32.03033312268665,32.42810079244947,33.58655822682992,33.15673289183223,34.586600142551674,36.45610278372591,37.49438706780422,38.864550737594996,40.720494667981,42.50553342186809,45.386879002942706,47.2181488829466,48.212147134302825
Revenue & Margin,Op. Income / Rev (%),32.05520051866259,30.164753794890782,26.766439909297052,22.68642890226957,18.560982215401282,15.679814798326062,15.550987577084637,14.958057395143488,16.553813257305773,20.271234832262667,23.233048944768747,27.223960661600355,31.167667353705532,33.253652058432934,37.19923835900987,39.4203398602605,41.44568006843456
Revenue & Margin,Net Profit / Rev (%),12.920255626562934,8.765272121436505,7.519274376417233,4.826308476146364,5.190936174054347,6.971774552577687,6.229332380016087,6.198675496688741,4.926942266571633,6.281227694503926,4.238886394252357,8.439874832364774,14.338202347880635,19.796370075254536,29.245283018867923,32.795652548951956,34.944396920444824
EBITDA,Net Income,139500000,94700000,82900000,52100000,57500000,78300000,69700000,70200000,55300000,70400000,47200000,94400000,160000000,223600000,337900000,380200000,408500000
EBITDA,D & A,44300000,45900000,35900000,35200000,38900000,36200000,39800000,36800000,34600000,32600000,30800000,31800000,30500000,31700000,32800000,33600000,37100000
EBITDA,Net Int Inc,-103500000,-107300000,-110200000,-111400000,-112500000,-112300000,-110900000,-110100000,-109100000,-107000000,-101200000,-93700000,-71800000,-46200000,-24400000,-4900000,0
EBITDA,Tax Provision,56400000,40900000,16700000,2300000,-29000000,-34100000,-13500000,-20900000,8600000,35300000,26000000,32300000,36100000,33000000,62700000,71700000,78000000
EBITDA,EBITDA,343700000,288800000,245700000,201000000,179900000,192700000,206900000,196200000,207600000,245300000,205200000,252200000,298400000,334500000,457800000,490400000,523600000
EBITDA,Stock-Based Comp,19100000,22100000,28300000,28700000,27900000,26300000,25000000,24400000,23700000,21900000,21400000,21500000,19600000,18700000,17700000,14800000,13800000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,11.88,14.11,9.69,12.75,20.65,14.1,12.15,13.11,18.93,15.05,21.6,28.12,25.29,28.79,25.32,33.33,47.0
Capital Structure,O/S Shares,58309000,58496113,58490000,57952000,57952000,58616418,58800000,57687000,57486000,57333353,57296000,57260000,57213757,57333333,57802000,57797841,56804716
Capital Structure,Market Capitalization,692710920,825380154,566768100,738888000,1196708800,826491493,714420000,756276570,1088209980,862866962,1237593600,1610151200,1446935914,1650626657,1463546640,1926402040,2669821652
Capital Structure,Cash,204400000.0,225500000.0,230600000.0,209300000.0,210000000.0,267500000.0,275100000.0,299800000.0,298700000.0,326300000.0,317400000.0,346400000.0,385200000.0,330900000.0,292300000.0,264300000.0,0.0
Capital Structure,Debt,1419800000.0,1430300000.0,1500800000.0,1551500000.0,1577400000.0,1608400000.0,1652700000.0,1655700000.0,1637200000.0,1638500000.0,1639900000.0,1641100000.0,1642500000.0,1643800000.0,1645200000.0,1610200000.0,0.0
Capital Structure,Enterprise Value,1908110920,2030180154,1836968100,2081088000,2564108800,2167391493,2092020000,2112176570,2426709980,2175066962,2560093600,2904851200,2704235914,2963526657,2816446640,3272302040,2669821652
Capital Structure,netCommonStockIssuance,-4800000,5700000,-1100000,-900000,-3700000,-200000,-100000,-500000,-2200000,-200000,-400000,0,0,0,0,0,0
Capital Structure,netDebtIssuance,-37900000,-72800000,-52800000,-27700000,-32700000,-27700000,-2800000,-2700000,-2700000,-900000,-3200000,-3300000,-3300000,-3300000,-3300000,1411100000,0
