Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4,2021-Q3
Header,Statement Date,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Header,Filing Date,2025-11-07,2025-08-06,2025-05-08,2025-03-03,2024-11-06,2024-08-08,2024-05-09,2024-02-16,2023-11-02,2023-08-03,2023-05-04,2023-02-17,2022-11-02,2022-08-03,2022-05-04,2022-02-18,2021-11-03
Revenue & Margin,Segment-1,-,-,-,Admission,-,-,-,Admission,-,-,-,Admission,-,-,-,Admission,-
Revenue & Margin,Segment-1 %,-,-,-,5182.6%,-,-,-,4974.4%,-,-,-,5094.7%,-,-,-,5042.5%,-
Revenue & Margin,Segment-2,-,-,-,"Food, Merchandise and Gaming",-,-,-,"Food, Merchandise and Gaming",-,-,-,"Food, Merchandise and Gaming",-,-,-,"Food, Merchandise and Gaming",-
Revenue & Margin,Segment-2 %,-,-,-,3315.6%,-,-,-,3413.5%,-,-,-,3315.8%,-,-,-,3232.0%,-
Revenue & Margin,Segment-3,-,-,-,"Accommodations, Extra-Charge Products And Other",-,-,-,"Accommodations, Extra-Charge Products and Other",-,-,-,"Accommodations, Extra-Charge Products and Other",-,-,-,"Accommodations, Extra-Charge Products and Other",-
Revenue & Margin,Segment-3 %,-,-,-,1501.8%,-,-,-,1612.1%,-,-,-,1589.5%,-,-,-,1725.5%,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,3137510000,3168142000,2809368000,2708926000,2392739000,1886363000,1815729000,1798668000,1793539000,1794593000,1803102000,1817383000,1802325000,1712666000,1427312000,1338219000,1021160000
Revenue & Margin,Rev-CoGS / Sale (%),73.84056146434594,91.4741826597419,82.78577245843192,82.51628136021434,81.33649344955718,78.43728911137464,91.12973356706866,91.11397990068207,91.06386869758617,90.90194824118895,90.91548897400146,90.96249937410002,91.11780616703425,91.44515042629445,91.52364724741332,91.59584492523271,90.85344118453523
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),60.759997577696964,75.1077129749866,66.03748601108862,66.77565204808104,63.582112382503894,61.92715824048711,74.79144740211783,74.6318942684253,75.706354865994,75.98391390136928,76.14810476611972,76.62363959605652,77.46732692494417,76.92223702695097,75.39584898046118,75.17416805470555,71.2956833405147
Revenue & Margin,Op. Income / Rev (%),-41.40327839592543,2.116161459934561,4.1206064851596516,11.462328612889388,12.046445517041349,17.61882522080851,16.678094583497867,17.021707174420182,18.220289606192004,25.76444909792917,26.663217055940265,28.6093795308969,27.718308296228482,17.932568288271035,10.97314392368312,11.084508589401286,1.0205060911120687
Revenue & Margin,Net Profit / Rev (%),-55.65285847694509,-13.361175098843422,-10.42640195232522,-7.629038224004643,1.9892683656679646,6.765770957127552,6.919424649823845,6.925068995501116,8.188670555811722,14.734427248963971,14.510049902889577,16.929177834281493,14.874897701579904,4.84805560453702,-1.8644136670889055,-3.625565023363141,-12.412550432841082
EBITDA,Net Income,-1746114000,-423301000,-292916000,-206665000,47598000,127627000,125638000,124559000,146867000,264423000,261631000,307668000,268094000,83031000,-26611000,-48518000,-126752000
EBITDA,D & A,471237000,487744000,410131000,318113000,242171000,163547000,154626000,157995000,154544000,156413000,157356000,153274000,162338000,171994000,156949000,148803000,143008000
EBITDA,Net Int Inc,-349367000,-340053000,-247644000,-195305000,-152588000,-106971000,-144337000,-141770000,-142174000,-143098000,-145946000,-151940000,-163047000,-172268000,-178059000,-184032000,-182699000
EBITDA,Tax Provision,137273999,142572000,86499000,240843000,38932000,46264000,39717000,48043000,42861000,53339000,59049000,63989000,64550000,47163000,17182000,20035000,-4900000
EBITDA,EBITDA,-788236001,547068000,451358000,547596000,481289000,444409000,464318000,472367000,486446000,617273000,623982000,676871000,658029000,474456000,325579000,304352000,194055000
EBITDA,Stock-Based Comp,51208000,75200000,75400000,63608000,60132000,29410000,22842000,22611000,21343000,16326000,21984000,20589000,18608000,18307000,13720000,15431000,11910000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,22.4,30.43,35.67,48.19,40.31,52.11,42.28,39.8,40.0,40.4,44.67,41.34,40.08,43.46,54.02,50.06,46.57
Capital Structure,O/S Shares,100652000,100652000,100094000,100350000,99741000,51437962,50667000,51013467,50668000,50916000,51645000,52562832,56384000,56760000,56678000,56637000,56628000
Capital Structure,Market Capitalization,2254604800,3062840360,3570352980,4835866500,4020559710,2680432199,2142200760,2030335986,2026720000,2057006400,2306982150,2172947474,2259870720,2466789600,3061745560,2835248220,2637165960
Capital Structure,Cash,70683000,107386000,61512000,83174000,89705000,52858000,35128000,65488000,134394000,49179000,33562000,101189000,288380000,124929000,49963000,61119000,562661000
Capital Structure,Debt,5241156000,5517403000,5476748000,5163515000,5021317000,2425661000,2504567000,2360696000,2347918000,2505265000,2517548000,2361955000,2350239000,2560582000,2666249000,2534243000,2975189000
Capital Structure,Enterprise Value,7425077800,8472857360,8985588980,9916207500,8952171710,5053235199,4611639760,4325543986,4240244000,4513092400,4790968150,4433713474,4321729720,4902442600,5678031560,5308372220,5049693960
Capital Structure,netCommonStockIssuance,0,-4932000,0,0,0,0,0,-2735000,-12038000,-7648000,-54851000,-120713000,-63933000,-12000,-5114000,0,0
Capital Structure,netDebtIssuance,-263893000,246466000,310668000,154000000,11133000,-84983000,158000000,0,-157000000,-13000000,170000000,0,-285250000,-35000000,125000000,-460755000,0
Liquidity & Cash Flow,DSO,23.62193945198581,21.111676812466108,20.370542413809794,18.27737911629923,17.437782599773733,16.633376635355972,16.548265187150726,16.413370199503188,16.023426309659282,15.484950487380704,15.485964604331867,15.64931552677669,19.589087706157326,23.122773208553216,30.457412254643693,36.94761096651594,44.61175648282345
Liquidity & Cash Flow,DIO,37.77843723157337,116.45582355336715,57.93752623492849,53.61875054104443,50.72532184276114,47.85930151370248,123.3438702967838,124.81547581805668,126.88961178738776,121.61674006112462,116.07366775944274,106.02647096428528,101.26671757680246,102.66901737694177,117.07641093037095,133.0307937510003,175.19714724681748
Liquidity & Cash Flow,DPO,57.193361599990254,174.73305782829217,83.10127354423285,70.20389720894977,60.26330477485003,51.75875720035107,128.0004190984726,136.60666802227365,146.12878494818216,147.4269321933204,147.8462467109882,142.80403327934928,145.90446697400148,150.58218044445658,160.11364105997487,143.6603729127025,134.25720816693612
Liquidity & Cash Flow,CCC,4.207015083568926,-37.16555746245891,-4.7932048954945685,1.692232448393895,7.899799667684846,12.733920948707393,11.891716385461933,4.622177995286222,-3.2157468511351226,-10.325241644815065,-16.2866143472136,-21.128246788287314,-25.048661691041687,-24.790389858961603,-12.579817874960213,26.318031804813728,85.5516955627048
Liquidity & Cash Flow,OCF,332569000,313729000,305986000,373412000,401640000,381167000,322208000,325675000,325257000,274559000,395895000,407672000,383531000,400455000,196239000,201226000,89043000
Liquidity & Cash Flow,CapEx,-501274000,-510930000,-403665000,-320819000,-278463000,-213896000,-222811000,-220422000,-214885000,-212056000,-204068000,-183352000,-157681000,-129482000,-84803000,-59183000,-47752000
Liquidity & Cash Flow,FCF,-168705000,-197201000,-97679000,52593000,123177000,167271000,99397000,105253000,110372000,62503000,191827000,224320000,225850000,270973000,111436000,142043000,41291000
BQR,Total Debt / Adj Ebitda,999.0,10.085406201788443,12.133933595948227,9.42942424707266,10.433059970205012,5.458172539260006,5.394076904190662,4.997588739264174,4.826677575722691,4.058601299587055,4.034648435371533,3.4895201596759207,3.571634380855555,5.396879794965181,8.189253606651535,8.32668423404479,15.331679163123857
BQR,Adj Ebitda / Interest Expense,-999.0,1.6087727501301268,1.8226082602445446,2.8037991858887383,3.1541733294885574,4.1544811210515,3.216902111031821,3.331924948860831,3.4214835342608354,4.313638205984709,4.275430638729393,4.454857180465973,4.035824026201034,2.7541737293055006,1.8284894332777337,1.6537993392453487,1.0621568809900437
BQR,Net Income before extraordinary,-1746114000,-423301000,-292916000,-206665000,47598000,127627000,125638000,124559000,146867000,264423000,261631000,307668000,268094000,83031000,-26611000,-48518000,-126752000
BQR,(NCO-CAPEX) / Total Debt (%),-3.2188509557815106,-3.574163424350188,-1.7835219002225409,1.0185503479703264,2.453081532195637,6.8958935317012555,3.968630106521407,4.458557984594374,4.70084560022965,2.4948658125986674,7.619596528050309,9.497217347493919,9.609660974905106,10.58247695250533,4.17950461491031,5.604947907521102,1.3878446041579207
BQR,Score: Operating Leverage,75,75,75,75,75,65,65,58,58,52,52,48,48,65,75,75,75
BQR,Score: ICR,75,65,65,58,58,55,58,58,58,55,55,55,55,58,65,65,75
BQR,Score: Net Income,75,75,75,75,48,42,42,42,42,35,35,35,35,42,75,75,75
BQR,Score: FCF/Debt,75,75,75,75,75,65,75,75,75,75,58,58,58,58,75,65,75
BQR,BQR,75.0,73.5,73.5,72.45,65.7,57.75,60.7,58.25,58.25,53.95,49.7,48.3,48.3,56.45,73.5,71.0,75.0
