Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4,2021-Q3
Header,Statement Date,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Header,Filing Date,2025-11-10,2025-08-11,2025-05-12,2025-03-04,2024-11-08,2024-08-09,2024-05-10,2024-02-29,2023-11-09,2023-08-08,2023-05-09,2023-03-01,2022-11-09,2022-08-08,2022-05-09,2022-02-28,2021-11-08
Revenue & Margin,Segment-1,-,-,-,Card Revenues And Other Fees,-,-,-,Card Revenues And Other Fees,-,-,-,Card Revenues And Other Fees,-,-,-,Card Revenues And Other Fees,-
Revenue & Margin,Segment-1 %,-,-,-,7411.7%,-,-,-,6882.3%,-,-,-,6226.5%,-,-,-,5577.1%,-
Revenue & Margin,Segment-2,-,-,-,Processing And Settlement Service,-,-,-,Interchange Revenues,-,-,-,Interchange Revenues,-,-,-,Interchange Revenues,-
Revenue & Margin,Segment-2 %,-,-,-,1394.8%,-,-,-,1577.9%,-,-,-,2100.6%,-,-,-,2686.9%,-
Revenue & Margin,Segment-3,-,-,-,Interchange Revenues,-,-,-,Processing And Settlement Service,-,-,-,Processing And Settlement Service,-,-,-,Processing And Settlement Service,-
Revenue & Margin,Segment-3 %,-,-,-,1193.5%,-,-,-,1539.7%,-,-,-,1672.9%,-,-,-,1736.0%,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,2012900000,1927817000,1830762000,1723876000,1634895000,1578181000,1536936000,1501328000,1477717000,1468436000,1465329000,1449566000,1437973000,1433724000,1440328000,1433197000,1386639000
Revenue & Margin,Rev-CoGS / Sale (%),29.324854687267127,30.494336340015675,31.625902219949943,33.649578043896426,35.70015199752889,37.81334333641072,39.55421696153906,41.4584288043652,42.90144865356493,44.900424669512326,48.066952882253744,49.94977807150554,51.19922279486472,52.892676693701155,54.19598869146473,54.36461282014964,54.92280254630081
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),2.5248149436136917,3.1536707062962925,1.3158455331714336,-0.41615522230137203,-2.9071591753598853,-3.174414088117903,-1.3255594247255578,1.4337306704464314,3.8349697540192067,5.074310354690296,6.39214811144801,6.502842919880846,5.434872560194107,5.316016192795824,5.834990363306136,4.632929039064413,3.1002301247837396
Revenue & Margin,Op. Income / Rev (%),2.766655074767748,4.439684887102873,2.6504264344573465,-0.09675869958164045,-2.5883619437333896,-2.9289416106264112,-1.1562615489519408,1.5099964831136168,3.8587226106216552,5.081937517195166,6.399791446153048,6.510569370418456,5.434872560194107,5.316016192795824,5.837628651251659,4.638162094952753,3.108379325837511
Revenue & Margin,Net Profit / Rev (%),-2.3319588653186942,-1.2443608496034633,-0.3101987041461424,-1.5489513166840307,-3.389086149263408,-3.4110789573566023,-1.596683271131654,0.4477369368985325,2.450333859595579,3.2122612085238993,4.2038340877714155,4.429739660008582,3.324471321784206,3.5183898714117925,4.191336973244983,3.3128732477112357,2.451034479774476
EBITDA,Net Income,-46940000,-23989000,-5679000,-26702000,-55408000,-53833000,-24540000,6722000,36209000,47170000,61600000,64212000,47805000,50444000,60369000,47480000,33987000
EBITDA,D & A,83801000,83052000,82987000,84699000,86099000,85747000,85702000,82971000,80783000,80562000,79654000,80610000,82248000,84311000,84976000,84799000,85212000
EBITDA,Net Int Inc,-4217000,-5794000,-5435000,-4049000,-2849000,-1272000,-238000,-1882000,-1994000,-2021000,-1812000,-255000,-180000,-191000,-200000,-150000,-151000
EBITDA,Tax Provision,-10195000,-5636000,9508000,4163000,-1126000,-2367000,133000,7911000,11387000,14795000,17913000,19709000,17090000,17603000,21204000,16220000,8447000
EBITDA,EBITDA,30883000,59221000,92251000,66209000,32414000,30819000,61533000,99486000,130373000,144548000,160979000,164786000,147323000,152549000,166749000,148649000,127797000
EBITDA,Stock-Based Comp,14017000,16944000,18455000,24059000,24059000,23806000,27175000,27732000,31245000,34117000,29136000,34812000,31299000,32001000,26366000,28745000,28745000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,13.43,10.78,8.44,10.64,11.71,9.35,9.11,9.9,13.93,18.74,17.18,15.82,18.98,25.11,27.48,36.24,50.33
Capital Structure,O/S Shares,55400000,55127000,54361000,53989000,53722000,53452000,52942000,52622000,52367000,52193000,51813000,51901000,53053000,53928000,54556000,54376331,54221000
Capital Structure,Market Capitalization,744022000,594269060,458806840,574442960,629084620,499776200,482301619,520957800,729472310,978096819,890147340,821073820,1006945940,1354132080,1499198880,1970598235,2728942930
Capital Structure,Cash,1637321000,2312562000,1772845000,1592391000,1453549000,1316999000,1118804000,682263000,711399000,661452000,722003000,813945000,813210000,776305000,1320743000,1322319000,1804826000
Capital Structure,Debt,66549000,73388000,73390000,59583000,47861000,66327000,50209000,67056000,34024000,6683000,8005000,43414000,9089000,11123000,13668000,15127000,16725000
Capital Structure,Enterprise Value,-826750000,-1644904940,-1240648160,-958365040,-776603380,-750895800,-586293381,-94249200,52097310,323327819,176149340,50542820,202824940,588950080,192123880,663406235,940841930
Capital Structure,netCommonStockIssuance,1000,2633000,-2429000,2277000,0,0,0,2150000,0,0,0,-21475000,-30004000,-19046000,-25000000,2758000,0
Capital Structure,netDebtIssuance,-200000,-423000,14860000,3875000,-17449000,17000000,-16000000,34000000,27000000,0,-35000000,35000000,0,0,0,0,0
Liquidity & Cash Flow,DSO,21.69414464205872,19.218705017125586,18.40788152692704,17.53878106661964,17.530446144859457,17.006517313286626,16.709004148513667,15.071923823441645,15.69992004558383,15.544619411400973,16.00819508792906,17.183112911036822,16.476074307375733,17.157093171349576,16.368105910598143,16.587135264726342,16.17138004195757
Liquidity & Cash Flow,DIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6380702929167826,0.6653981821822218,0.7074665895741075,0.7420631802963704,0.0,0.0,0.0,0.0,0.0
Liquidity & Cash Flow,DPO,28.150030401653286,29.066017409708778,30.231751396226297,32.39752788732985,36.64817214989988,40.590349881498,43.53546317435816,46.46362900941062,47.7524236893411,50.493346327162705,51.40799977660679,48.19725510709004,41.69772687112928,33.37880465924083,27.517132060485533,26.301770138140345,25.108355944568345
Liquidity & Cash Flow,CCC,-6.455885759594565,-9.847312392583191,-11.823869869299259,-14.85874682071021,-19.11772600504042,-23.583832568211374,-26.826459025844496,-31.391705185968974,-31.414433350840486,-34.28332873357951,-34.69233809910362,-30.272079015756844,-25.221652563753544,-16.221711487891252,-11.14902614988739,-9.714634873414003,-8.936975902610776
Liquidity & Cash Flow,OCF,178015000,138410000,100927000,81383000,69466000,90427000,86164000,97519000,158053000,217998000,262576000,277686000,267380000,230531000,197503000,162533000,157561000
Liquidity & Cash Flow,CapEx,-80815000,-81705000,-79210000,-74287000,-72609000,-69316000,-70904000,-75942000,-79222000,-85909000,-84849000,-84326000,-78393000,-70143000,-65968000,-57432000,-54781000
Liquidity & Cash Flow,FCF,97200000,56705000,21717000,7096000,-3143000,21111000,15260000,21577000,78831000,132089000,177727000,193360000,188987000,160388000,131535000,105101000,102780000
BQR,Total Debt / Adj Ebitda,2.154874850241233,1.2392225730737407,0.7955469317405773,0.8999229711972693,1.4765533411488863,2.1521464031928357,0.8159686672192157,0.6740244858573066,0.26097428148466323,0.04623377701524753,0.04972698302263028,0.2634568470622504,0.06169437222972652,0.07291427672420009,0.08196750805102279,0.10176321401422142,0.13087161670461747
BQR,Adj Ebitda / Interest Expense,7.323452691486839,10.22109078356921,16.97350505979761,16.35193875030872,11.377325377325377,24.22877358490566,258.5420168067227,52.86184909670563,65.3826479438315,71.52300841167738,88.84050772626932,646.2196078431373,818.4611111111111,798.6858638743455,833.745,990.9933333333333,846.3377483443709
BQR,Net Income before extraordinary,-46940000,-23989000,-5679000,-26702000,-55408000,-53833000,-24540000,6722000,36209000,47170000,61600000,64212000,47805000,50444000,60369000,47480000,33987000
BQR,(NCO-CAPEX) / Total Debt (%),146.0577920028851,77.26740066495884,29.591224962528955,11.909437255593039,-6.566933411336997,31.828667058663893,30.392957437909537,32.17758291577189,231.69233482247824,1976.4925931467903,2220.1998750780763,445.3862809232045,2079.29365166685,1441.9491144475412,962.3573309920984,694.7907714682356,614.5291479820628
BQR,Score: Operating Leverage,42,35,25,25,35,42,25,25,15,15,15,15,15,15,15,15,15
BQR,Score: ICR,48,42,25,25,42,25,15,15,15,15,15,15,15,15,15,15,15
BQR,Score: Net Income,75,75,65,75,75,75,75,55,48,48,45,45,48,45,45,48,48
BQR,Score: FCF/Debt,15,15,42,58,75,35,35,35,15,15,15,15,15,15,15,15,15
BQR,BQR,44.4,41.05,39.25,45.75,56.05,45.95,38.5,33.5,23.25,23.25,22.5,22.5,23.25,22.5,22.5,23.25,23.25
