Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years),LTM (-17Q),LTM (-18Q)
Header,Fiscal Period,2025.0-Q3,2025.0-Q2,2025.0-Q1,2024.0-Q4,2024.0-Q3,2024.0-Q2,2024.0-Q1,2023.0-Q4,2023.0-Q3,2023.0-Q2,2023.0-Q1,2022.0-Q4,2022.0-Q3,2022.0-Q2,2022.0-Q1,2021.0-Q4,0.0-0,2021.0-Q3,2021.0-Q2
Header,Statement Date,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-07-31,2023-04-30,2022-12-31,2022-10-31,2022-07-31,2022-04-30,2022-01-31,2021-12-31,2021-10-31,2021-07-31
Header,Filing Date,2025-11-06,2025-08-07,2025-05-08,2025-02-14,2024-11-07,2024-08-08,2024-05-09,2024-02-16,2023-11-09,2023-08-10,2023-05-03,2023-02-08,2022-11-09,2022-08-11,2022-05-06,2022-02-16,0,2021-11-05,2021-08-06
Revenue & Margin,Segment-1,-,-,-,Shipping and Handling,-,-,-,Shipping and Handling,-,-,-,Shipping and Handling,-,-,-,Shipping and Handling,-,-,-
Revenue & Margin,Segment-1 %,-,-,-,10000.0%,-,-,-,10000.0%,-,-,-,10000.0%,-,-,-,10000.0%,-,-,-
Revenue & Margin,Segment-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,3439885000.0,3485305000.0,3489373000.0,3473900000.0,3973998000.0,3998189000.0,4037800000.0,4682535000.0,4858994000.0,5568441000.0,6046904000.0,6233650000.0,6512713000.0,4841972000.0,5118056000.0,5293211000.0,5048891000.0,6849734000.0,5060183000.0
Revenue & Margin,Rev-CoGS / Sale (%),42.00056106526817,42.22760992223063,39.17348474926584,38.79334465586229,37.45887642620857,36.21529647547928,37.09138639853386,35.235956591888794,34.127311126541834,33.60572555226858,34.507294972766225,35.63093853520811,36.649227441774265,37.67074654706801,38.13102084072546,38.71030268772584,39.29518383343986,30.78627578822769,27.847154934910456
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),13.054651536315895,12.754550892963456,6.49824481360978,5.246380149111949,4.312533624828196,3.7369919230931803,6.995740254594087,6.500303788439382,5.528243089001551,5.908853124240698,6.720000846714286,8.334523112462202,9.439629843968252,9.77560382422699,10.955800405466452,11.478968059274418,12.718872322654617,2.896842417530374,-0.7157843896159487
Revenue & Margin,Op. Income / Rev (%),13.054651536315895,12.754550892963456,6.49824481360978,5.246380149111949,4.312533624828196,3.7369919230931803,6.995740254594087,6.500303788439382,5.528243089001551,5.908853124240698,6.720000846714286,8.334523112462202,9.439629843968252,9.77560382422699,10.955800405466452,11.478968059274418,12.718872322654617,2.896842417530374,-0.7157843896159487
Revenue & Margin,Net Profit / Rev (%),9.593663741665782,2.5600628926306306,-8.332872410028964,-9.223955784564899,-5.777808645097457,-7.462378591907486,-0.555847243548467,-0.3785556327929209,-10.573690768089032,-7.091302574634445,-4.635595339367055,-2.0406022153954746,5.38849170844777,5.593506116929218,6.45776443243294,6.432503824238256,0.34049061467161795,-4.598324548077342,-9.223974706053122
EBITDA,Net Income,330011000.0,89226000.0,-290765000.0,-320431000.0,-229610000.0,-298360000.0,-22444000.0,-17726000.0,-513775000.0,-394875000.0,-280310000.0,-127204000.0,350937000.0,270836000.0,330512000.0,340486000.0,17191000.0,-314973000.0,-466750000.0
EBITDA,D & A,41697000.0,58813000.0,77973000.0,92055000.0,103285000.0,108970000.0,105762000.0,107010000.0,108514000.0,107448000.0,106305000.0,106267000.0,78306000.0,77947000.0,80127000.0,80857000.0,114198000.0,87489000.0,98533000.0
EBITDA,Net Int Inc,-184361000.0,-185851000.0,-188614000.0,-195878000.0,-219176000.0,-227218000.0,-235637000.0,-243506000.0,-223483000.0,-208556000.0,-183562000.0,-157073000.0,-142715000.0,-100994000.0,-108130000.0,-118607000.0,-127760000.0,-171875000.0,-131015000.0
EBITDA,Tax Provision,-195893000.0,36163000.0,35889000.0,39289000.0,-25496000.0,-16724000.0,-16230000.0,-6301000.0,477738000.0,472868000.0,479022000.0,483907000.0,63721000.0,47311000.0,43559000.0,45410000.0,55161000.0,-106809000.0,-122037000.0
EBITDA,EBITDA,360176000.0,370053000.0,11711000.0,6791000.0,67355000.0,21104000.0,302725000.0,326489000.0,295960000.0,393997000.0,488579000.0,620043000.0,635679000.0,497088000.0,562328000.0,585360000.0,314310000.0,-162418000.0,-359239000.0
EBITDA,Stock-Based Comp,0.0,0.0,0.0,0.0,17439000.0,17439000.0,17439000.0,17439000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,6.59,4.61,5.77,8.23,7.28,4.93,5.8,4.46,3.96,4.54,5.26,6.36,6.96,10.25,14.84,16.72,0.0,17.47,18.55
Capital Structure,O/S Shares,354183000.0,354091000.0,353468000.0,352881000.0,352107000.0,351990000.0,351576000.0,350765000.0,350667000.0,350501000.0,350237500.0,349974000.0,349884000.0,349772000.0,350251000.0,351052000.0,0.0,351071000.0,350987000.0
