Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-01-27,2025-10-28,2025-07-29,2025-04-30,2025-02-18,2024-10-22,2024-07-23,2024-04-23,2024-02-16,2023-10-24,2023-07-25,2023-04-25,2023-02-17,2022-10-25,2022-07-26,2022-04-26,2022-02-15
Revenue & Margin,Segment-1,-,-,-,-,Wholegoods,-,-,-,Wholegoods,-,-,-,Wholegoods,-,-,-,Wholegoods
Revenue & Margin,Segment-1 %,-,-,-,-,7621.9%,-,-,-,7971.5%,-,-,-,8086.9%,-,-,-,7220.2%
Revenue & Margin,Segment-2,-,-,-,-,PG&A,-,-,-,PG&A,-,-,-,PG&A,-,-,-,PG&A
Revenue & Margin,Segment-2 %,-,-,-,-,2378.1%,-,-,-,2028.5%,-,-,-,1913.1%,-,-,-,2779.8%
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,7152000000,6985500000,6866300000,6974800000,7175400000,7709200000,8235700000,8491100000,8934400000,9049300000,9141000000,8987200000,8589000000,8177500000,7614600000,7462900000,7632500000
Revenue & Margin,Rev-CoGS / Sale (%),18.520693512304252,18.25781976952258,18.257285583210752,18.83064747376269,19.433062965130866,19.685570487210086,20.30549922896657,20.73465157635642,21.333273638968482,22.13430873106207,22.49644459030741,22.530932882321526,22.220281755734078,21.243656374197492,20.957108712210754,21.704699245601574,22.78414674091058
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),4.8042505592841165,5.696084746975879,5.835748510842812,6.793026323335437,7.529893803829752,8.393867067918851,9.439391915684157,10.137673564084748,11.208363180515759,12.425270462908733,13.054370418991358,13.269983977212036,13.051577599254859,12.298379700397433,11.777375042681165,12.22045049511584,12.961677038978053
Revenue & Margin,Op. Income / Rev (%),-0.3956935123042506,0.768735237277217,0.9495652680482938,2.033033205253197,2.834685174345681,3.8343797021740262,5.0778925895795135,5.83198878826065,7.018938037249284,8.202844418905329,8.801006454436058,9.01504361758946,8.782163232040983,8.070926322225619,7.417329866309458,7.7731176888341,8.630199803471996
Revenue & Margin,Net Profit / Rev (%),-6.508668903803132,-2.165915109870446,-1.5699867468651239,0.5763606124906807,1.5441647852384535,2.6410003632024077,3.977803951090982,4.630731000694845,5.627686246418338,6.5717790326323575,6.890930970353352,7.045575930211857,6.865758528350216,5.884439009477224,5.369947206681901,5.757815326481663,6.47101211922699
EBITDA,Net Income,-465500000,-151300000,-107800000,40200000,110800000,203600000,327600000,393200000,502800000,594700000,629900000,633200000,589700000,481200000,408900000,429700000,493900000
EBITDA,D & A,285900000,298400000,300200000,296800000,286300000,278800000,270800000,260000000,258900000,249800000,239600000,238000000,232800000,228800000,227200000,218100000,221100000
EBITDA,Net Int Inc,-132800000,-136900000,-141000000,-143500000,-142300000,-141400000,-138500000,-135699999,-133799999,-127499999,-113799999,-94300000,-72700000,-54000000,-41600000,-36400000,-36000000
EBITDA,Tax Provision,-67900000,-12900000,-9100000,21400000,29600000,45700000,68500000,89900000,117700000,150300000,171000000,172000000,158000000,121000000,100500000,108900000,132300000
EBITDA,EBITDA,-114700000,271100000,324300000,501900000,569000000,669500000,805400000,878799999,1013199999,1122299999,1154299999,1137500000,1053200000,885000000,778200000,793100000,883300000
EBITDA,Stock-Based Comp,49100000,59900000,53600000,43600000,43500000,45300000,50500000,55200000,57400000,60200000,63700000,64300000,62900000,62900000,64200000,65000000,60600000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,63.25,58.13,40.65,40.94,57.62,83.24,75.31,98.97,94.77,104.14,120.93,110.63,101.0,95.65,99.28,105.32,109.91
Capital Structure,O/S Shares,56900000,56900000,56900000,56900000,56500000,56200000,56600000,56900000,56800000,57000000,57200000,57400000,57800000,59200000,59900000,60300000,61000000
Capital Structure,Market Capitalization,3598925000,3307597000,2312985000,2329486000,3255530000,4678088000,4262546000,5631393000,5382936000,5935980000,6917196000,6350162000,5837800000,5662480000,5946872000,6350796000,6704510000
Capital Structure,Cash,138000000,335500000,324300000,291700000,287800000,291300000,322700000,318800000,367800000,295300000,340400000,322900000,324500000,318900000,314200000,375400000,502300000
Capital Structure,Debt,1539500000,1948200000,1952700000,2180600000,2200900000,2312800000,2281600000,2212800000,2053000000,2341700000,2182300000,2215200000,2168900000,2240200000,2130100000,2137000000,1891400000
Capital Structure,Enterprise Value,5000425000,4920297000,3941385000,4218386000,5168630000,6699588000,6221446000,7525393000,7068136000,7982380000,8759096000,8242462000,7682200000,7583780000,7762772000,8112396000,8093610000
Capital Structure,netCommonStockIssuance,600000,800000,900000,-2400000,-400000,0,-66300000,-16000000,-19200000,-58300000,-38300000,-62800000,-126500000,-206200000,0,-172300000,-50300000
Capital Structure,netDebtIssuance,-196900000,-93200000,-235200000,-18300000,-105200000,31800000,73900000,165300000,-315900000,156700000,-44000000,45000000,-78300000,118500000,69700000,147800000,277600000
Liquidity & Cash Flow,DSO,12.8773245246085,12.764941664877245,13.282899815038666,13.023939754544932,12.973945703375422,13.353947231878795,15.130589992350377,15.179496767203306,15.05853778653295,15.35034477804913,14.289943660431026,14.413666102901905,14.297851903597625,13.551085295016815,12.337072860032043,11.604788353053102,11.159220438912545
Liquidity & Cash Flow,DIO,102.65429265195456,110.0222412917462,116.8348566643505,120.7055012894337,121.44094879778585,114.40441485238064,108.65776503031964,106.28276131045241,101.70524230265778,102.55540141634617,100.42574739575983,100.66556669491405,103.98989596587082,102.40776827166437,107.21738552535389,104.30244647532987,95.05266395181133
Liquidity & Cash Flow,DPO,48.05367745478258,45.84952540235723,44.88771001478789,44.686936976719544,44.636892406158104,43.891845403449835,43.93163223329372,44.353967015823486,43.65677110010813,45.28765096575508,44.63581218417412,46.49198181635379,49.93378115410523,50.781660015837765,55.51137685252875,55.939056322842326,53.76681937728005
Liquidity & Cash Flow,CCC,67.47793972178047,76.93765755426621,85.23004646460126,89.04250406725907,89.77800209500319,83.8665166808096,79.8567227893763,77.10829106183223,73.1070089890826,72.61809522864023,70.07987887201674,68.58725098146215,68.3539667153632,65.17719355084341,64.04308153285717,59.96817850554064,52.445065013443816
Liquidity & Cash Flow,OCF,741000000,768600000,630800000,456800000,268200000,648700000,655800000,733200000,962800000,771000000,913500000,681900000,508600000,253900000,41100000,188600000,293700000
Liquidity & Cash Flow,CapEx,-182900000,-187200000,-198500000,-273000000,-309500000,-341400000,-393500000,-390300000,-412600000,-424700000,-393400000,-345200000,-306600000,-292600000,-298500000,-298600000,-288200000
Liquidity & Cash Flow,FCF,558100000,581400000,417400000,168900000,-56200000,292400000,262300000,342900000,550200000,346300000,520100000,336700000,202000000,-38700000,-257400000,-110000000,5500000
BQR,Total Debt / Adj Ebitda,999.0,7.186278126152711,6.0212765957446805,4.344690177326161,3.8680140597539543,3.454518297236744,2.832878073007201,2.5179790652230074,2.0262534564017503,2.0865187579849582,1.890583038976508,1.9474285714285715,2.0593429548044058,2.5312994350282487,2.737214083783089,2.694489976043374,2.1412883505037925
BQR,Adj Ebitda / Interest Expense,-999.0,1.9802775748721695,2.3,3.497560975609756,3.998594518622628,4.734794908062235,5.815162454873646,6.476050150892043,7.572496312201019,8.802353002371396,10.143233823754251,12.06256627783669,14.486932599724897,16.38888888888889,18.70673076923077,21.78846153846154,24.53611111111111
BQR,Net Income before extraordinary,-465500000,-151300000,-107800000,40200000,110800000,203600000,327600000,393200000,502800000,594700000,629900000,633200000,589700000,481200000,408900000,429700000,493900000
BQR,(NCO-CAPEX) / Total Debt (%),36.25202987983111,29.842931937172775,21.37553131561428,7.745574612491975,-2.5535008405652233,12.642684192320996,11.496318373071528,15.496203904555314,26.79980516317584,14.788401588589487,23.83265362232507,15.199530516431924,9.31347687767993,-1.7275243281849835,-12.083939721139853,-5.147402901263454,0.2907898910859681
BQR,Score: Operating Leverage,75,75,65,55,52,48,45,45,42,42,42,42,42,45,45,45,42
BQR,Score: ICR,75,65,65,58,58,52,48,48,48,45,42,35,35,25,25,25,25
BQR,Score: Net Income,75,75,75,48,42,35,35,35,35,35,35,35,35,35,35,35,35
BQR,Score: FCF/Debt,35,42,45,58,75,55,58,52,42,55,42,52,58,75,75,75,75
BQR,BQR,65.0,65.25,62.5,54.45,56.15,47.099999999999994,46.199999999999996,44.699999999999996,41.15,43.95,40.25,41.7,43.2,47.0,47.0,47.0,45.95
