Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years),LTM (-17Q),LTM (-18Q),LTM (-19Q)
Header,Fiscal Period,2026.0-Q3,2026.0-Q2,2026.0-Q1,2025.0-Q4,2025.0-Q3,2025.0-Q2,2025.0-Q1,2024.0-Q4,2024.0-Q3,2024.0-Q2,2024.0-Q1,2023.0-Q4,0.0-0,2023.0-Q3,2023.0-Q2,2023.0-Q1,2022.0-Q4,0.0-0,2022.0-Q3,2022.0-Q2
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-07-31,2023-04-30,2023-03-31,2022-12-31,2022-10-31,2022-07-31,2022-04-30,2022-03-31,2022-01-31,2021-10-31
Header,Filing Date,2026-01-28,2025-10-28,2025-07-30,2025-05-22,2025-01-29,2024-10-30,2024-08-07,2024-05-23,2024-02-07,2023-11-03,2023-08-03,2023-05-25,0,2023-02-08,2022-11-25,2022-08-05,2022-05-26,0,2022-01-28,2021-11-03
Revenue & Margin,Segment-1,-,-,-,Outdoor,-,-,-,Outdoor,-,-,-,Outdoor,-,-,-,-,Active,-,-,-
Revenue & Margin,Segment-1 %,-,-,-,5866.9%,-,-,-,5262.1%,-,-,-,4863.4%,-,-,-,-,4543.8%,-,-,-
Revenue & Margin,Segment-2,-,-,-,Active,-,-,-,Active,-,-,-,Active,-,-,-,-,Outdoor,-,-,-
Revenue & Margin,Segment-2 %,-,-,-,3256.6%,-,-,-,3885.1%,-,-,-,4223.6%,-,-,-,-,4499.2%,-,-,-
Revenue & Margin,Segment-3,-,-,-,Work,-,-,-,Work,-,-,-,Work,-,-,-,-,Work,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,876.5%,-,-,-,852.8%,-,-,-,913.0%,-,-,-,-,957.0%,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,9582944000.0,9541055000.0,9496297000.0,9504691000.0,9608218000.0,9554500000.0,9716675000.0,9915678000.0,10407993000.0,7627799000.0,8238343000.0,8827764000.0,8349746000.0,11174410000.0,7643743000.0,8710643000.0,9647283000.0,9017176000.0,11599848000.0,7975464000.0
Revenue & Margin,Rev-CoGS / Sale (%),53.81690637031793,54.027494862989464,54.05165824110176,53.507389140793734,52.215717836543675,51.75615678476111,51.400443052793264,51.60322874542719,51.879339273191285,50.81914193071947,52.48715670129297,51.85706142574722,53.156203793504616,52.85272332051536,51.91646291613938,54.16322308238324,54.08922906065884,55.33412012807557,54.99854825683923,54.516803034908065
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),5.600064030427393,5.698929520896798,5.430411454064673,4.990872401848729,4.230545143750901,3.423706107069967,4.050861019844752,4.753976490563732,6.606134352703734,6.171990124543135,7.717073700378826,10.595831515205889,10.138428162964479,10.946242351945203,9.251292200692776,12.349524598815496,15.995114894006946,14.45597823531447,13.677256805434002,11.921876896441386
Revenue & Margin,Op. Income / Rev (%),4.614218762000488,3.971269424607656,3.582280545774843,3.1960323591792723,0.034106220320979395,-3.2837092469516977,-2.4401968780472747,-1.4515900980245628,0.6587725414496339,2.095060449285567,3.9486217070592957,10.595831515205889,13.888087134626609,12.099180180430109,10.93677534684251,10.72476509483858,14.815777665069016,15.967438142496054,13.468323033198365,11.08227684307772
Revenue & Margin,Net Profit / Rev (%),2.3313712362297014,0.9469497869994461,-0.4974360005800155,-1.9960249102259087,-4.75880126783135,-6.985901931027265,-12.044686068022239,-9.771212820747104,-7.354597567465697,-9.47867137033894,2.85920360441414,1.9772164276253872,3.9938460403466167,3.7077393795287628,-1.223876836256792,6.23011412590322,11.01549524358309,14.48456811755698,12.031355928112161,11.006481879925731
EBITDA,Net Income,223414000.0,90349000.0,-47238000.0,-189716000.0,-457236000.0,-667468000.0,-1170343000.0,-968882000.0,-765466000.0,-723014000.0,235551000.0,174544000.0,333476000.0,414318000.0,-93550000.0,542683000.0,1062696000.0,1306099000.0,1395619000.0,877818000.0
EBITDA,D & A,383776000.0,349489000.0,250867000.0,254286000.0,-8823000.0,16915000.0,28161000.0,27455000.0,292896000.0,207086000.0,479621000.0,476415000.0,473019000.0,540302000.0,197906000.0,199136000.0,198885000.0,199652000.0,264153000.0,199054000.0
EBITDA,Net Int Inc,-151032000.0,-152937000.0,-149416000.0,-163973000.0,-189588000.0,-202168000.0,-200591000.0,-194633000.0,-189163000.0,-140067000.0,-149186000.0,-112398000.0,-94423000.0,-125353000.0,-75123000.0,-95580000.0,-98688000.0,-100533000.0,-136377000.0,-102989000.0
EBITDA,Tax Provision,164002000.0,129548000.0,79078000.0,75837000.0,42540000.0,-4618000.0,726223000.0,733556000.0,732089000.0,751687000.0,-59166000.0,-11290000.0,-16837000.0,73841000.0,125807000.0,207537000.0,281803000.0,216303000.0,243609000.0,120096000.0
EBITDA,EBITDA,922224000.0,722323000.0,432123000.0,304380000.0,-233931000.0,-453003000.0,-215368000.0,-13238000.0,448682000.0,375826000.0,805192000.0,752067000.0,884081000.0,1153814000.0,305286000.0,1044936000.0,1642072000.0,1822587000.0,2039758000.0,1299957000.0
EBITDA,Stock-Based Comp,78614000.0,79659000.0,77470000.0,71448000.0,66487000.0,58274000.0,58121000.0,59243000.0,56216000.0,42458000.0,38664000.0,38057000.0,47714000.0,73239000.0,62999000.0,69372000.0,69657000.0,65833000.0,90547000.0,68997000.0
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,18.5,14.73,11.84,15.52,21.77,19.57,13.5,15.3,18.8,17.67,19.09,0.0,22.91,27.61,29.91,44.13,0.0,56.86,73.22,68.2
Capital Structure,O/S Shares,390915000.0,390648000.0,390024000.0,389605000.0,389218000.0,389044000.0,388741000.0,388559000.0,388383000.0,388338000.0,388160000.0,0.0,388062000.0,387739000.0,387739000.0,387563000.0,0.0,387604000.0,390430000.0,391779000.0
Capital Structure,Market Capitalization,7231927500.0,5754245040.0,4617884160.0,6046669600.0,8473275860.0,7613591080.0,5248003500.0,5944952700.0,7301600400.0,6861932460.0,7409974400.0,0.0,8890500420.0,10705473790.0,11597273490.0,17103155190.0,0.0,22039163440.0,28587284600.0,26719327800.0
Capital Structure,Cash,1466469000.0,419115000.0,642386000.0,429382000.0,1369376000.0,492164000.0,637420000.0,676826000.0,988006000.0,500109000.0,806529000.0,0.0,814887000.0,571347000.0,552811000.0,528029000.0,0.0,1275943000.0,1333839000.0,1360138000.0
Capital Structure,Debt,5338701000.0,6951985000.0,5675004000.0,5366068000.0,5751469000.0,7378451000.0,7121393000.0,7349282000.0,7341883000.0,7802625000.0,7865556000.0,0.0,8150973000.0,7498469000.0,7073433000.0,6303111000.0,0.0,6798481000.0,6346317000.0,6840905000.0
Capital Structure,Enterprise Value,11104159500.0,12287115040.0,9650502160.0,10983355600.0,12855368860.0,14499878080.0,11731976500.0,12617408700.0,13655477400.0,14164448460.0,14469001400.0,0.0,16226586420.0,17632595790.0,18117895490.0,22878237190.0,0.0,27561701440.0,33599762600.0,32200094800.0
Capital Structure,netCommonStockIssuance,704000.0,-75000.0,-4519000.0,-102000.0,61000.0,-765000.0,-1924000.0,-243000.0,-211000.0,-667000.0,-1725000.0,-223000.0,0.0,-640000.0,-165000.0,-1766000.0,-46280000.0,0.0,-293041000.0,5061000.0
Capital Structure,netDebtIssuance,-284000.0,109182000.0,380164000.0,-751172000.0,-1450671000.0,199216000.0,-505000.0,-188621000.0,-574671000.0,63478000.0,46761000.0,167898000.0,0.0,208658000.0,865106000.0,-8344000.0,229189000.0,0.0,-407588000.0,1829000.0
Liquidity & Cash Flow,DSO,55.22917813669787,54.77733371728808,54.42286898777492,53.2243848064077,52.2206355018173,52.23586647652938,52.048395027105464,52.434480904886186,38.76403080305685,56.43567643169413,48.618950892187904,51.785345926782824,68.40748494026046,37.96582593622393,54.34300463136974,44.13842095239123,44.938214210156374,59.6027152791517,34.7855929879426,48.33007615607067
Liquidity & Cash Flow,DIO,150.04071502813116,154.2152506507819,159.77122895931169,157.24764532712194,154.11790700201993,160.51002444322089,164.36911312187107,174.60731390194522,135.12044352532098,183.91148131492716,178.8442847978589,163.92145280703633,232.7360745862413,133.07424887490203,161.62511338957418,115.35218154331504,85.92340824701489,122.0581727807695,69.37562642478113,94.16484642574382
Liquidity & Cash Flow,DPO,83.12706549246447,83.73823941661487,85.71624511761608,84.45210081333268,81.83160274680924,80.85510595822763,76.18505573918935,77.33732934517057,59.21432015645731,78.1180281344356,72.84975797536757,61.51546990608114,90.70138083182789,51.1204758818092,64.75358037613505,49.03312983165685,34.139323428781466,49.65950822834735,28.473719852110115,38.547061113230725
Liquidity & Cash Flow,CCC,122.14282767236456,125.25434495145512,128.47785282947052,126.01992932019697,124.506939757028,131.89078496152263,140.2324524097872,149.70446546166085,114.6701541719205,162.2291296121857,154.61347771467925,154.191328827738,210.44217869467386,119.91959892931675,151.21453764480884,110.45747266404942,96.72229902838981,132.00137983157384,75.68749956061362,103.94786146858375
Liquidity & Cash Flow,OCF,-534619000.0,361938000.0,299946000.0,465236000.0,545126000.0,752071000.0,870836000.0,1014581000.0,1283424000.0,158416000.0,421737000.0,-297475000.0,-833472000.0,-766564000.0,-847049000.0,677105000.0,783280000.0,797380000.0,968549000.0,32000.0
