Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-02-11,2025-10-28,2025-07-29,2025-04-24,2025-02-13,2024-10-24,2024-07-25,2024-04-25,2024-02-14,2023-10-26,2023-07-25,2023-04-25,2023-02-10,2022-10-21,2022-07-26,2022-04-26,2022-02-10
Revenue & Margin,Segment-1,Refrigeration,-,-,-,Refrigeration,-,-,-,Refrigeration,-,-,-,Refrigeration,-,-,-,Refrigeration
Revenue & Margin,Segment-1 %,3085.5%,-,-,-,3069.0%,-,-,-,2978.2%,-,-,-,3167.7%,-,-,-,3037.1%
Revenue & Margin,Segment-2,Laundry,-,-,-,Laundry,-,-,-,Laundry,-,-,-,Laundry,-,-,-,Laundry
Revenue & Margin,Segment-2 %,2818.9%,-,-,-,2760.7%,-,-,-,2741.2%,-,-,-,2602.4%,-,-,-,2784.6%
Revenue & Margin,Segment-3,Cooking,-,-,-,Cooking,-,-,-,Cooking,-,-,-,Cooking,-,-,-,Cooking
Revenue & Margin,Segment-3 %,2375.0%,-,-,-,2371.7%,-,-,-,2426.6%,-,-,-,2563.4%,-,-,-,2564.9%
Revenue & Margin,Others,"Dishwashing, Product and Service, Other, Spare Parts and Warranties",-,-,-,"Dishwashing, Product and Service, Other, Spare Parts and Warranties",-,-,-,"Dishwashing, Spare Parts and Warranties, Product and Service, Other",-,-,-,"Dishwashing, Spare Parts and Warranties, Product and Service, Other",-,-,-,"Dishwashing, Spare Parts and Warranties, Product and Service, Other"
Revenue & Margin,Others %,1720.6%,-,-,-,1798.5%,-,-,-,1854.0%,-,-,-,1666.5%,-,-,-,1613.4%
Revenue & Margin,Revenue Total,15526000000,15565000000,15525000000,15740000000,16608000000,17559000000,18493000000,19297000000,19457000000,19292000000,19150000000,19453000000,19724000000,20614000000,21319000000,21548000000,21984000000
Revenue & Margin,Rev-CoGS / Sale (%),15.219631585727168,15.708319948602634,16.019323671497585,15.902160101651845,15.378131021194605,15.5418873512159,15.622127291407558,15.950665906617608,16.4105463329393,15.560854240099523,15.044386422976503,15.19559965043952,15.336645710809165,17.211603764431942,18.59843332238848,19.161871171338408,20.0509461426492
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),4.701790544892439,5.261805332476711,5.610305958132045,5.65438373570521,5.238439306358381,5.159747138219716,5.342562050505597,5.674457169508214,6.1674461633345325,5.333817126269957,4.882506527415144,5.269110162956871,6.109308456702495,8.29533326865237,9.61114498803884,10.047336179691852,10.584970887918486
Revenue & Margin,Op. Income / Rev (%),4.663145691098802,5.261805332476711,5.610305958132045,5.65438373570521,5.238439306358381,5.159747138219716,5.342562050505597,5.674457169508214,6.1674461633345325,5.333817126269957,4.882506527415144,5.269110162956871,6.109308456702495,8.29533326865237,9.61114498803884,10.047336179691852,10.584970887918486
Revenue & Margin,Net Profit / Rev (%),2.0481772510627336,-1.1628654031480885,-0.9339774557165861,0.05717916137229987,-1.938824662813102,3.1892476792528046,2.8875790839777213,2.0728610664870186,2.466978465333813,-8.376529131246112,-8.125326370757179,-10.342877705238267,-7.706347596836341,1.8579606092946541,3.335053238894883,7.717653610543902,8.110443959243085
EBITDA,Net Income,318000000,-181000000,-145000000,9000000,-322000000,560000000,534000000,400000000,480000000,-1616000000,-1556000000,-2012000000,-1520000000,383000000,711000000,1663000000,1783000000
EBITDA,D & A,246000000,330000000,326000000,328000000,334000000,349000000,354000000,361000000,361000000,393000000,427000000,452000000,475000000,460000000,461000000,465000000,494000000
EBITDA,Net Int Inc,-308000000,-306000000,-300000000,-314000000,-330000000,-333000000,-332000000,-322000000,-336000000,-340000000,-276000000,-212000000,-171000000,-102000000,-47000000,-30000000,-15000000
EBITDA,Tax Provision,142000000,200000000,212000000,-23000000,10000000,-276000000,-235000000,85000000,77000000,337000000,304000000,227000000,265000000,361000000,408000000,465000000,518000000
EBITDA,EBITDA,1014000000,655000000,693000000,628000000,352000000,966000000,985000000,1168000000,1254000000,-546000000,-549000000,-1121000000,-609000000,1306000000,1627000000,2623000000,2810000000
EBITDA,Stock-Based Comp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,72.14,78.6,101.42,90.13,114.48,107.0,100.87,119.2,121.77,133.7,148.79,132.02,141.46,134.81,154.87,172.78,234.66
Capital Structure,O/S Shares,55900000,55900000,55900000,55600000,55352112,55200000,54900000,54900000,55100000,55000000,55000000,54800000,54700000,54700000,56000000,58300000,60200000
Capital Structure,Market Capitalization,4032626000,4393740000,5669378000,5011228000,6336709781,5906400000,5537763000,6544080000,6709527000,7353499999,8183450000,7234696000,7737862000,7374107000,8672720000,10073074000,14126532000
Capital Structure,Cash,669000000,934000000,1068000000,1024000000,1275000000,1084000000,1179000000,1231000000,1570000000,1123000000,1309000000,1359000000,1958000000,1794000000,1642000000,2114000000,3044000000
Capital Structure,Debt,7858000000,8276000000,8322000000,8022000000,7337000000,8078000000,8217000000,8433000000,7843000000,8249000000,8304000000,8285000000,8199000000,5677000000,5853000000,5987000000,6031000000
Capital Structure,Enterprise Value,11221626000,11735740000,12923378000,12009228000,12398709781,12900400000,12575763000,13746080000,12982527000,14479499999,15178450000,14160696000,13978862000,11257107000,12883720000,13946074000,17113532000
Capital Structure,netCommonStockIssuance,0,0,0,0,0,0,0,-50000000,0,0,3000000,1000000,0,-69000000,-300000000,-531000000,-400000000
Capital Structure,netDebtIssuance,-1074000000,-28000000,193000000,599000000,-602000000,-167000000,-222000000,501000000,-496000000,3000000,19000000,62000000,2496000000,-9000000,9000000,0,-2000000
Liquidity & Cash Flow,DSO,33.318063248744046,33.474943784131064,33.831561996779385,34.62166454891995,34.411051902697494,33.649054615866504,32.921646028226895,31.947193864331243,31.238949992290692,31.629107920381504,34.574934725848564,38.93358350897034,44.17232812816873,49.10431017754924,50.80620573197617,51.65949276034898,51.20360262008734
Liquidity & Cash Flow,DIO,68.56748081744283,66.90043826219512,65.10958352508052,62.124726146407795,58.448306531948205,56.69436952124072,54.53129005383234,53.448116406683525,53.131917117560256,52.162062615101284,55.011371319687754,58.3110565557374,61.895248218456196,63.92205261924294,62.81916272905382,59.61973993914691,55.6294805416477
Liquidity & Cash Flow,DPO,99.48558459317785,98.60146722560975,98.09479981592268,95.9307244843998,89.66575352212894,85.39227916385704,81.02209369392465,78.51246994265985,78.64870265617314,77.27961939840392,83.05550433339481,90.44242892647148,99.15698544823043,107.91625161139108,109.71137778033882,108.31190079797922,104.28645596267637
Liquidity & Cash Flow,CCC,2.3999594730090195,1.773914820716442,0.8463457059372246,0.8156662109279438,3.1936049125167614,4.951144973250194,6.430842388134593,6.882840328354916,5.722164453677806,6.511551137078868,6.5308017121415105,6.80221113823626,6.910590898394489,5.110111185401095,3.913990680691171,2.9673319015166726,2.546627199058662
Liquidity & Cash Flow,OCF,481000000,437000000,618000000,987000000,835000000,966000000,800000000,519000000,915000000,758000000,1200000000,1241000000,1390000000,1192000000,1350000000,1666000000,2176000000
Liquidity & Cash Flow,CapEx,-389000000,-375000000,-377000000,-408000000,-451000000,-526000000,-560000000,-568000000,-549000000,-574000000,-570000000,-579000000,-570000000,-553000000,-558000000,-539000000,-525000000
Liquidity & Cash Flow,FCF,92000000,62000000,241000000,579000000,384000000,440000000,240000000,-49000000,366000000,184000000,630000000,662000000,820000000,639000000,792000000,1127000000,1651000000
BQR,Total Debt / Adj Ebitda,7.7495069033530575,12.635114503816794,12.008658008658008,12.773885350318471,20.84375,8.36231884057971,8.34213197969543,7.220034246575342,6.254385964912281,999.0,999.0,999.0,999.0,4.346860643185298,3.597418561770129,2.2825009531071294,2.1462633451957296
BQR,Adj Ebitda / Interest Expense,3.292207792207792,2.1405228758169934,2.31,2.0,1.0666666666666667,2.900900900900901,2.966867469879518,3.627329192546584,3.732142857142857,-999.0,-999.0,-999.0,-999.0,12.803921568627452,34.61702127659574,87.43333333333334,187.33333333333334
BQR,Net Income before extraordinary,318000000,-181000000,-145000000,9000000,-322000000,560000000,534000000,400000000,480000000,-1616000000,-1556000000,-2012000000,-1520000000,383000000,711000000,1663000000,1783000000
BQR,(NCO-CAPEX) / Total Debt (%),1.1707813693051667,0.7491541807636539,2.8959384763278058,7.217651458489155,5.233746762982145,5.446892795246348,2.9207740051113547,-0.5810506344124273,4.666581665179141,2.2305734028367077,7.586705202312139,7.9903439951719974,10.001219660934261,11.255945041395103,13.531522296258329,18.824118924336062,27.37522798872492
BQR,Score: Operating Leverage,75,75,75,75,75,75,75,75,75,75,75,75,75,55,48,42,42
BQR,Score: ICR,58,65,65,65,75,58,58,58,58,75,75,75,75,35,15,15,15
BQR,Score: Net Income,35,75,75,55,75,35,35,35,35,75,75,75,75,35,35,25,25
BQR,Score: FCF/Debt,75,75,75,58,75,75,75,75,75,75,58,58,58,58,55,48,42
BQR,BQR,62.45,73.5,73.5,64.25,75.0,62.45,62.45,62.45,62.45,75.0,70.75,70.75,70.75,47.75,41.55,35.2,33.7
