Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2021-Q1,2020-Q4,2020-Q3,2020-Q2,2020-Q1,2019-Q4,2019-Q3,2019-Q2,2019-Q1,2018-Q4,2018-Q3,2018-Q2,2018-Q1,2017-Q4,2017-Q3,2017-Q2,2017-Q1
Header,Statement Date,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31
Header,Filing Date,2021-05-07,2021-03-01,2020-11-04,2020-07-27,2020-05-01,2020-02-27,2019-10-24,2019-07-25,2019-04-25,2019-02-27,2018-10-25,2018-07-26,2018-04-26,2018-02-27,2017-10-26,2017-07-26,2017-04-26
Revenue & Margin,Segment-1,-,Property Tax Solutions,-,-,-,Property Insights,-,-,-,Property Insights,-,-,-,PIRM Segment,-,-,-
Revenue & Margin,Segment-1 %,-,3611.9%,-,-,-,2725.8%,-,-,-,2767.5%,-,-,-,6559.1%,-,-,-
Revenue & Margin,Segment-2,-,Property Insights,-,-,-,Property Tax Solutions,-,-,-,Property Tax Solutions,-,-,-,UWS Segment,-,-,-
Revenue & Margin,Segment-2 %,-,2981.8%,-,-,-,2240.1%,-,-,-,2171.9%,-,-,-,3440.9%,-,-,-
Revenue & Margin,Segment-3,-,Valuations Solutions,-,-,-,Valuations Solutions,-,-,-,Credit Solutions,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,1474.7%,-,-,-,1638.6%,-,-,-,1662.4%,-,-,-,-,-,-,-
Revenue & Margin,Others,-,"Insurance And Spatial Solutions, Flood Data Services, Other Solutions",-,-,-,"Credit Solutions, Insurance And Spatial Solutions, Flood Data Services, Other Solutions",-,-,-,"Valuations Solutions, Insurance And Spatial Solutions, Other Solutions, Flood Data Services",-,-,-,-,-,-,-
Revenue & Margin,Others %,-,1931.6%,-,-,-,3395.5%,-,-,-,3398.2%,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,1804618000,1825718000,1784108000,1806338000,1788412000,1762235000,1739512000,1732323000,1761186000,1788378000,1839226000,1870589000,1856166000,1851117000,1871873000,1912638000,1938864000
Revenue & Margin,Rev-CoGS / Sale (%),61.80731877882189,59.345419172073676,55.72442923858869,52.1729598779409,50.98237989903892,50.05586655582258,49.024094113751445,48.683646179147885,48.835557402795615,48.47683207912421,48.96271583807537,49.082454777612824,48.15797724987959,47.337148327199195,46.38135172631904,45.88855810665688,45.81749931918897
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),20.63079277719717,19.386400309357743,16.17093808222372,16.00486730611879,14.499734960400623,12.112345969748644,10.703461660511683,9.939832236828813,11.322086366800553,12.44803950842607,14.09283035363789,13.991047739508785,13.493997842865346,12.890325138821588,12.297415476370459,13.213164226581299,12.885999224288035
Revenue & Margin,Op. Income / Rev (%),20.63079277719717,19.386400309357743,16.17093808222372,16.00486730611879,14.499734960400623,12.112345969748644,10.703461660511683,9.939832236828813,11.322086366800553,12.44803950842607,14.09283035363789,13.991047739508785,13.493997842865346,12.890325138821588,12.297415476370459,13.213164226581299,12.885999224288035
Revenue & Margin,Net Profit / Rev (%),17.793183931446986,16.506163602484065,13.230813381252704,8.087578293763405,4.557786460837883,2.802123439836344,1.8343075529228887,1.799664381296098,5.409082288866706,6.814219365257233,9.45848960377898,9.743775890909227,8.8898298966795,8.219955842877571,4.863310705373709,4.985104342797748,4.874349103392502
