Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q)
Header,Fiscal Period,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2025-11-05,2025-08-07,2025-05-08,2025-03-06,2024-11-08,2024-08-08,2024-05-09,2024-04-26,2023-11-14,2023-08-14,2023-05-12,2023-04-14,2022-11-14,2022-08-12,2022-03-31,2021-12-31
Revenue & Margin,Segment-1,-,-,-,Home Health Segment,-,-,-,Home Health Segment,-,-,-,Home Health Segment,-,-,-,-
Revenue & Margin,Segment-1 %,-,-,-,10000.0%,-,-,-,10000.0%,-,-,-,10000.0%,-,-,-,-
Revenue & Margin,Segment-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,1047800000,1037800000,1032300000,1034800000,1037200000,1041900000,1043600000,1046300000,1048800000,1056200000,1061900000,1071100000,1084100000,1092300000,1110400000,1106600000
Revenue & Margin,Rev-CoGS / Sale (%),48.43481580454285,48.33301214106764,48.23210307081275,47.216853498260534,46.558040879290395,46.57836644591612,47.039095438865466,48.07416610914652,48.95118230358505,49.46979738685855,50.23071852340145,50.928951545140514,51.96015127755742,52.42149592602765,53.26008645533141,53.560455449123445
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),7.797289559076159,7.46772017729813,6.9747166521360064,6.059141863161964,4.54107211723872,4.271043286303868,5.011498658489843,5.868297811335181,7.799389778794813,8.729407309221738,10.236368772954139,12.19307254224629,13.817913476616548,14.867710335988281,16.003242074927954,16.247966744984637
Revenue & Margin,Op. Income / Rev (%),0.7825920977285742,-10.271728656773945,-10.859246343117311,-11.122922303826826,-6.652526031623602,3.532008830022075,-4.685703334610962,-4.549364427028577,-13.77765064836003,-12.72486271539481,-3.06996892362746,-1.0643263934273177,10.709344156443132,11.654307424700173,12.73414985590778,12.91342851979035
