Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4,2021-Q3
Header,Statement Date,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Header,Filing Date,2025-11-21,2025-09-05,2025-06-30,2025-03-10,2024-11-12,2024-08-09,2024-05-09,2024-02-29,2023-11-09,2023-08-08,2023-05-04,2023-03-01,2022-11-08,2022-08-05,2022-05-06,2022-03-01,2021-11-03
Revenue & Margin,Segment-1,-,-,-,Cargo Sales,-,-,-,Interest Income and Other Revenue,-,-,-,Interest Income and Other Revenue,-,-,-,Cargo Sales,-
Revenue & Margin,Segment-1 %,-,-,-,9487.9%,-,-,-,10000.0%,-,-,-,10000.0%,-,-,-,7416.4%,-
Revenue & Margin,Segment-2,-,-,-,Incentive Fees,-,-,-,-,-,-,-,-,-,-,-,Development Services,-
Revenue & Margin,Segment-2 %,-,-,-,512.1%,-,-,-,-,-,-,-,-,-,-,-,2018.4%,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Interest Income and Other Revenue,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,565.2%,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,1778593000,2018761000,2145075000,2364860000,2444220000,2391147000,2524486000,2413296000,2201307000,2418775000,2442285000,2368272000,2470534000,2043260000,1682244000,1322810000,819875000
Revenue & Margin,Rev-CoGS / Sale (%),31.269829578773784,33.788051185851124,37.78031071174667,45.95409453413733,47.94813887456939,51.16552850995777,53.62081627705601,54.84702249537562,57.39912697320274,54.125332037911754,52.90410414836926,50.18536722133269,46.41081644697058,48.188923582901836,47.53965536509567,43.98258253263885,38.529897850282055
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),16.405439580612317,20.87344663385116,25.005139680430755,33.88065255448526,36.82900884535762,41.19144494253176,44.75881426951862,46.34810649004515,47.080393602527955,43.969736746907,43.07118129129074,40.21814217285852,36.660738123822625,37.41790080557541,34.80036189756064,28.872173630377755,19.28013416679372
Revenue & Margin,Op. Income / Rev (%),-15.693640984755927,-4.755392044922604,15.647751244128994,22.776781712236666,26.31731186227099,29.831290171620566,34.06424119602961,39.061391557438455,38.98942764457661,37.019483002759664,34.318189728062045,31.13578170075059,28.592077664181105,28.071659994322793,25.42086641414682,18.058148940513,4.56350053361793
Revenue & Margin,Net Profit / Rev (%),-71.82289596326984,-47.97388100919326,-23.435124645991397,-10.530813663388107,7.844342980582762,10.189879584985782,17.895009122649125,22.702644018802502,17.93489049914437,16.34831681326291,4.357231035689938,8.211852354797085,11.3825189210106,10.2559145678964,22.189171130941766,7.340736764917108,-6.5355084616557395
EBITDA,Net Income,-1277437000,-968478000,-502701000,-249039000,191733000,243655000,451757000,547882000,394802000,395429000,106416000,194479000,281209000,209555000,373276000,97104000,-53583000
EBITDA,D & A,119169000,231829000,208560000,195698000,192041000,205364000,209796000,193913000,164793000,151902000,145881000,146125000,142371000,153660000,137952000,113660000,89322000
EBITDA,Net Int Inc,-736459000,-592333000,-464727000,-328377000,-305801000,-299516000,-283513000,-277842000,-281408000,-280174000,-263618000,-236861000,-202911000,-196918000,-180560000,-154324000,-122579000
EBITDA,Tax Provision,77447000,72153000,76555000,69509000,74049000,96290000,108177000,115513000,72286000,57063000,-44798000,-123439000,-120846000,-127291000,-36343000,12461000,9926000
EBITDA,EBITDA,-344362000,-72163000,247141000,344545000,763624000,844825000,1053243000,1135150000,913289000,884568000,471117000,454026000,505645000,432842000,655445000,377549000,168244000
EBITDA,Stock-Based Comp,18356000,30334000,45148000,50625000,48022000,25479000,6822000,1574000,31789000,31789000,30382000,30382000,32098000,33660000,35273000,37043000,7187000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,2.21,3.32,8.31,15.12,9.09,20.4,30.12,37.73,32.78,26.78,29.43,42.42,43.71,39.57,42.61,24.14,27.75
Capital Structure,O/S Shares,281121646,274371636,273610000,217582000,205072000,205071000,205062000,205033000,205033000,205045000,208707000,208769000,209630000,209587000,209928000,207480000,207497000
Capital Structure,Market Capitalization,621278837,910913831,2273699100,3289839840,1864104480,4183448399,6176467440,7735895089,6720981740,5491105100,6142247010,8855980980,9162927300,8293357590,8945032080,5008567200,5758041750
Capital Structure,Cash,145237000,551109000,447862000,492881000,90842000,132960000,143457000,155414000,171329000,104342000,296860000,675492000,364313000,138329000,156173000,187509000,224383000
Capital Structure,Debt,9307086000,9407388000,9629846000,9498358000,8624159000,8271056000,7726790000,7374190000,6628453000,5913895000,5684867000,4892547000,4823917000,4535467000,4334227000,4136304000,3972741000
Capital Structure,Enterprise Value,9783127837,9767192831,11455683100,12295316840,10397421480,12321544399,13759800440,14954671089,13178105740,11300658100,11530254010,13073035980,13622531300,12690495590,13123086080,8957362200,9506399750
Capital Structure,netCommonStockIssuance,0,0,0,0,0,0,0,0,0,0,0,-5000,-59543000,0,-13054000,-407000,0
Capital Structure,netDebtIssuance,0,-310994000,237671000,0,0,613762000,220643000,654694000,849090000,219625000,698920000,97658000,121662000,214720000,77167000,-31128000,368127000
Liquidity & Cash Flow,DSO,101.44319765679951,84.55749590961982,84.04333123550458,77.01543061745727,72.71682939751742,67.64357649278777,57.01307761263085,57.98727238598166,58.814174942431926,57.87964930595032,56.55270576529766,52.14673768469162,47.267440460240586,43.20524003308439,42.05933488245463,43.539882900794524,51.5163637749657
Liquidity & Cash Flow,DIO,26.36495954778597,22.66564035308878,27.329828255756713,37.098428539014634,38.0191717586472,42.614080708809766,41.46260663320909,35.335336224103514,33.79858836225282,25.231629724091004,19.8775784287473,17.65804673209318,15.60474462947311,21.203933603177678,24.33330576049477,25.74861606684984,35.26531912107274
Liquidity & Cash Flow,DPO,174.7040045237764,172.5238523455087,172.36633758135972,170.67286168639632,176.89057167470222,198.4638893932024,200.27208229846022,197.24621102622342,183.5499175709338,90.25123805318108,48.086621338948504,29.159182357897375,25.135501900012006,40.59016799935766,47.2451972270034,49.721622622819844,64.64095406942367
Liquidity & Cash Flow,CCC,-46.89584731919092,-65.3007160828001,-60.993178090098425,-56.55900252992441,-66.15457051853761,-88.20623219160487,-101.79639805262028,-103.92360241613824,-90.93715426624904,-7.1399590231397525,28.343662855096454,40.64560205888742,37.736683189701694,23.819005636904407,19.147443415946,19.566876344824514,22.14072882661476
Liquidity & Cash Flow,OCF,-134645000,39618000,484987000,586742000,433772000,483847000,694666000,824756000,801189999,688054999,440868999,355110999,315562000,367055000,311138000,84770000,-149543000
Liquidity & Cash Flow,CapEx,-1598413000,-1927647000,-2278255000,-2621234000,-2619507000,-2910577000,-3150015000,-3029834000,-2578447000,-2197942000,-1548055000,-1174008000,-1025965000,-875732000,-777759000,-669348000,-471703000
Liquidity & Cash Flow,FCF,-1733058000,-1888028999,-1793267999,-2034491999,-2185734999,-2426730000,-2455349000,-2205078000,-1777257000,-1509887000,-1107185999,-818896999,-710402999,-508676999,-466621000,-584578000,-621246000
BQR,Total Debt / Adj Ebitda,999.0,999.0,38.964987598172705,27.567830036715087,11.293724398395021,9.790259521202616,7.3361892744599295,6.496225168479937,7.257782585797048,6.6856307259588865,12.066783835013384,10.775918119226652,9.540125977711636,10.4783431367566,6.612647895704445,10.955674627664223,23.612972825182474
BQR,Adj Ebitda / Interest Expense,-999.0,-999.0,0.5317982385357425,1.049236091443676,2.49712721671937,2.820633956115867,3.714972505669934,4.085595410341129,3.2454265692517628,3.1572094484142,1.787119999393061,1.91684574497279,2.491954600785566,2.1980824505631786,3.6300675675675675,2.446469764910189,1.3725352629732661
BQR,Net Income before extraordinary,-1277437000,-968478000,-502701000,-249039000,191733000,243655000,451757000,547882000,394802000,395429000,106416000,194479000,281209000,209555000,373276000,97104000,-53583000
BQR,(NCO-CAPEX) / Total Debt (%),-18.620844375994807,-20.069640999180645,-18.62198002958718,-21.419407428104943,-25.34432631633995,-29.340026231233352,-31.777089839377023,-29.90264693478199,-26.812545853459323,-25.531176999253454,-19.476022904317727,-16.737641948048736,-14.726683709524853,-11.215537429772944,-10.765956651555168,-14.132858706710145,-15.637717132830959
BQR,Score: Operating Leverage,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
BQR,Score: ICR,75,75,75,75,65,58,58,55,58,58,65,65,65,65,58,65,75
BQR,Score: Net Income,75,75,75,75,42,35,35,35,35,35,42,42,35,35,35,42,75
BQR,Score: FCF/Debt,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
BQR,BQR,75.0,75.0,75.0,75.0,65.25,62.45,62.45,62.0,62.45,62.45,65.25,65.25,63.5,63.5,62.45,65.25,75.0
