Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-02-13,2025-10-31,2025-08-01,2025-04-30,2025-02-14,2024-10-25,2024-07-26,2024-04-26,2024-02-21,2023-10-27,2023-07-28,2023-04-28,2023-02-15,2022-10-28,2022-07-29,2022-04-29,2022-02-14
Revenue & Margin,Segment-1,Home And Commercial,-,-,-,Home And Commercial,-,-,-,Home And Commercial,-,-,-,Learning And Development,-,-,-,Learning And Development
Revenue & Margin,Segment-1 %,5236.0%,-,-,-,5369.3%,-,-,-,5444.5%,-,-,-,3118.7%,-,-,-,2859.6%
Revenue & Margin,Segment-2,Learning And Development,-,-,-,Learning And Development,-,-,-,Learning And Development,-,-,-,Home Solutions,-,-,-,Home Solutions
Revenue & Margin,Segment-2 %,3735.4%,-,-,-,3583.5%,-,-,-,3327.2%,-,-,-,2233.9%,-,-,-,2253.3%
Revenue & Margin,Segment-3,Outdoor And Recreation,-,-,-,Outdoor And Recreation,-,-,-,Outdoor And Recreation,-,-,-,Commercial Solutions,-,-,-,Commercial Solutions
Revenue & Margin,Segment-3 %,1028.6%,-,-,-,1047.2%,-,-,-,1228.3%,-,-,-,1787.7%,-,-,-,1844.4%
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,"Appliances and Cookware, Outdoor And Recreation",-,-,-,"Appliances and Cookware, Outdoor And Recreation"
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,2859.7%,-,-,-,3042.8%
Revenue & Margin,Revenue Total,7204000000,7256000000,7397000000,7495000000,7582000000,7709000000,7810000000,7981000000,8133000000,8342000000,8546000000,8876000000,9459000000,9979000000,10514000000,10689000000,10589000000
Revenue & Margin,Rev-CoGS / Sale (%),33.75902276513048,34.040793825799334,34.24361227524672,33.98265510340227,33.60590873120549,32.46854326112336,31.306017925736235,29.758175667209624,28.931513586622405,28.14672740350036,27.90779311958811,29.202343397926995,30.13003488740882,30.754584627718206,30.996766216473276,30.91963701001029,31.12664085371612
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),6.246529705719045,7.883131201764057,7.94916858185751,7.871914609739826,7.913479293062517,5.720586327668959,5.352112676056338,4.911665204861547,4.328046231402927,4.159673939103333,4.891177158904751,6.726002703920685,8.63727666772386,9.750475999599157,10.167395853148184,9.79511647488072,9.651525167626783
Revenue & Margin,Op. Income / Rev (%),6.2048861743475845,4.410143329658213,1.0815195349466,0.9606404269513008,0.883671854391981,0.6226488519911791,0.12804097311139565,-0.41348201979701793,-1.0451248001967295,-3.979860944617598,-1.5562836414696934,0.8449752140603876,3.4675969975684535,7.545846277182082,9.454061251664447,9.08410515483207,8.933799225611484
Revenue & Margin,Net Profit / Rev (%),-3.9561354802887285,-0.33076074972436603,-3.2851155874002975,-3.255503669112742,-2.848852545502506,-3.2170190686210924,-3.4314980793854035,-3.6962786618218266,-4.770687323250953,-6.8808439223207865,-3.943365317107419,-1.757548445245606,1.8395179194418014,5.43140595250025,6.781434278105383,6.651698007297221,5.401832089904618
EBITDA,Net Income,-285000000,-24000000,-243000000,-244000000,-216000000,-248000000,-268000000,-295000000,-388000000,-574000000,-337000000,-156000000,174000000,542000000,713000000,711000000,572000000
EBITDA,D & A,231000000,309000000,313000000,313000000,323000000,339000000,339000000,338000000,334000000,314000000,308000000,301000000,296000000,303000000,306000000,315000000,325000000
EBITDA,Net Int Inc,-321000000,-309000000,-301000000,-297000000,-295000000,-293000000,-287000000,-285000000,-283000000,-277000000,-265000000,-244000000,-235000000,-230000000,-238000000,-248000000,-256000000
EBITDA,Tax Provision,-16000000,3000000,-25000000,-11000000,-44000000,-97000000,-170000000,-192000000,-155000000,-154000000,-134000000,-98000000,-36000000,54000000,139000000,132000000,121000000
EBITDA,EBITDA,251000000,597000000,346000000,355000000,358000000,287000000,188000000,136000000,74000000,-137000000,102000000,291000000,669000000,1129000000,1396000000,1406000000,1274000000
EBITDA,Stock-Based Comp,46000000,71000000,74000000,74000000,74000000,67000000,63000000,55000000,50000000,36000000,9000000,9000000,12000000,23000000,49000000,52000000,52000000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,3.72,5.24,5.4,6.2,9.96,7.68,6.33,7.84,8.68,9.03,8.7,12.44,13.08,13.89,19.04,21.41,21.84
Capital Structure,O/S Shares,419200000,420000000,417800000,416800000,416100000,416000000,415200000,414700000,414200000,414200000,414200000,413900000,413600000,413600000,413800000,421900000,425500000
Capital Structure,Market Capitalization,1559424000,2200800000,2256120000,2584160000,4144356000,3194880000,2628216000,3251248000,3595256000,3740225999,3603539999,5148916000,5409888000,5744904000,7878752000,9032879000,9292920000
Capital Structure,Cash,203000000,229000000,219000000,233000000,198000000,494000000,382000000,372000000,332000000,396000000,317000000,271000000,287000000,636000000,323000000,344000000,440000000
Capital Structure,Debt,5652000000,5327000000,5634000000,5464000000,5123000000,5499000000,5573000000,5531000000,5472000000,5690000000,5957000000,6254000000,6010000000,6481000000,5876000000,5539000000,5508000000
Capital Structure,Enterprise Value,6895424000,7298800000,7671120000,7815160000,9069356000,8199880000,7819216000,8410248000,8735256000,9034225999,9243539999,11131916000,11132888000,11589904000,13431752000,14227879000,14360920000
Capital Structure,netCommonStockIssuance,0,12000000,-4000000,0,0,0,-11000000,0,0,0,0,0,0,0,-50000000,-275000000,0
Capital Structure,netDebtIssuance,-107000000,-305000000,145000000,310000000,-344000000,-115000000,54000000,100000000,-244000000,-222000000,-256000000,232000000,-471000000,618000000,371000000,-1000000,-251000000
Liquidity & Cash Flow,DSO,49.43763881177124,47.712582690187425,46.65506286332297,45.93545697131421,46.20268398839357,49.19379945518225,51.8407490396927,53.165330159127926,55.08883560801672,54.31026732198513,56.11031476714252,56.87190175754844,55.324955069246215,54.72805391321776,53.540160738063534,53.98680886893068,55.435947681556335
Liquidity & Cash Flow,DIO,111.65313285834031,113.59538236523193,115.45076069078948,115.77758690379952,115.75735001986492,114.22901459854015,112.98671947809879,112.98006600071352,118.18295847750865,124.19377711044379,131.92075150137964,137.8333863781031,131.84237403540627,124.56747467438495,113.24810475534115,105.01658992416034,101.37220622514741
Liquidity & Cash Flow,DPO,72.05155071248953,71.07814458838278,72.6585629111842,75.00277890056589,73.50392332141439,73.03856127545141,71.50326188257222,67.35506600071352,66.17993079584775,64.71534034034033,68.18941730238598,76.83064131126672,80.77054017249206,85.41316931982634,84.77257064093729,81.77156690140845,80.91508981214864
Liquidity & Cash Flow,CCC,89.03922095762204,90.22982046703656,89.44726064292824,86.71026497454784,88.45611068684408,90.38425277827098,93.32420663521927,98.79033015912793,107.0918632896776,113.78870409208858,119.84164896613618,117.87464682438484,106.39678893216042,93.88235926777638,82.01569485246739,77.23183189168259,75.89306409455511
Liquidity & Cash Flow,OCF,264000000,253000000,161000000,251000000,496000000,597000000,717000000,1039000000,930000000,974000000,455000000,-77000000,-272000000,-173000000,358000000,637000000,884000000
Liquidity & Cash Flow,CapEx,-247000000,-273000000,-265000000,-259000000,-259000000,-238000000,-254000000,-260000000,-284000000,-300000000,-314000000,-325000000,-312000000,-329000000,-315000000,-305000000,-289000000
Liquidity & Cash Flow,FCF,17000000,-20000000,-104000000,-8000000,237000000,359000000,463000000,779000000,646000000,674000000,141000000,-402000000,-584000000,-502000000,43000000,332000000,595000000
BQR,Total Debt / Adj Ebitda,22.51792828685259,8.922948073701843,16.283236994219653,15.391549295774649,14.310055865921788,19.1602787456446,29.643617021276597,40.669117647058826,73.94594594594595,999.0,58.40196078431372,21.491408934707902,8.98355754857997,5.7404782993799826,4.2091690544412605,3.9395448079658606,4.323390894819466
BQR,Adj Ebitda / Interest Expense,0.7819314641744548,1.9320388349514563,1.149501661129568,1.1952861952861953,1.2135593220338983,0.9795221843003413,0.6550522648083623,0.47719298245614034,0.26148409893992935,-999.0,0.3849056603773585,1.1926229508196722,2.8468085106382977,4.908695652173913,5.8655462184873945,5.669354838709677,4.9765625
BQR,Net Income before extraordinary,-285000000,-24000000,-243000000,-244000000,-216000000,-248000000,-268000000,-295000000,-388000000,-574000000,-337000000,-156000000,174000000,542000000,713000000,711000000,572000000
BQR,(NCO-CAPEX) / Total Debt (%),0.3007784854918613,-0.3754458419373005,-1.845935392261271,-0.14641288433382138,4.62619558852235,6.5284597199490815,8.30791315270052,14.084252395588502,11.805555555555555,11.845342706502636,2.366963236528454,-6.427886152862168,-9.717138103161398,-7.745718253355964,0.731790333560245,5.9938617078895104,10.802469135802468
BQR,Score: Operating Leverage,75,75,75,75,75,75,75,75,75,75,75,75,75,65,52,52,55
BQR,Score: ICR,75,65,75,75,75,75,75,75,75,75,75,75,58,52,48,48,52
BQR,Score: Net Income,75,75,75,75,75,75,75,75,75,75,75,75,42,35,35,35,35
BQR,Score: FCF/Debt,75,75,75,75,75,65,58,55,58,58,75,75,75,75,75,65,58
BQR,BQR,75.0,73.5,75.0,75.0,75.0,72.5,70.75,70.0,70.75,70.75,75.0,75.0,64.2,58.05,52.9,50.4,50.3
