Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2021-Q4,2021-Q3,2021-Q2,2021-Q1,2020-Q4,2020-Q3,2020-Q2,2020-Q1,2019-Q4,2019-Q3,2019-Q2,2019-Q1,2018-Q4,2018-Q3,2018-Q2,2018-Q1,2017-Q4
Header,Statement Date,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31
Header,Filing Date,2022-02-18,2021-10-29,2021-08-03,2021-04-30,2021-02-24,2020-10-30,2020-07-31,2020-05-01,2020-02-21,2019-10-25,2019-07-26,2019-04-30,2019-02-22,2018-10-26,2018-07-27,2018-04-27,2018-02-23
Revenue & Margin,Segment-1,Pipeline Services,-,-,-,"Storage, Processing And Other Revenues",-,-,-,"Storage, Processing And Other Revenues",-,-,-,Oil and Gas Service,-,-,-,-
Revenue & Margin,Segment-1 %,4275.7%,-,-,-,4325.6%,-,-,-,4316.2%,-,-,-,5000.0%,-,-,-,-
Revenue & Margin,Segment-2,"Storage, Processing And Other Revenues",-,-,-,Pipeline Services,-,-,-,Pipeline Services,-,-,-,Pipeline Services,-,-,-,-
Revenue & Margin,Segment-2 %,4197.2%,-,-,-,4200.4%,-,-,-,4200.7%,-,-,-,2172.2%,-,-,-,-
Revenue & Margin,Segment-3,Terminals,-,-,-,Terminals,-,-,-,Terminals,-,-,-,"Storage, Processing And Other Revenues",-,-,-,-
Revenue & Margin,Segment-3 %,1527.1%,-,-,-,1474.0%,-,-,-,1483.1%,-,-,-,2076.6%,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,Terminals,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,751.2%,-,-,-,-
Revenue & Margin,Revenue Total,1146000000,1080000000,1062000000,1023000000,1038000000,1064000000,1069000000,1091000000,1126000000,1105000000,1100000000,1091000000,1045000000,1114000000,1053000000,996000000,934000000
Revenue & Margin,Rev-CoGS / Sale (%),87.69633507853402,86.57407407407408,86.62900188323917,86.41251221896383,86.9942196531792,87.96992481203007,88.49391955098223,88.90925756186985,89.34280639431617,89.3212669683258,89.27272727272727,89.18423464711273,88.80382775119617,89.13824057450628,88.50902184235517,88.15261044176707,87.58029978586723
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),81.50087260034904,80.27777777777779,80.3201506591337,79.96089931573802,71.19460500963392,63.06390977443609,54.44340505144996,47.02108157653529,44.22735346358792,43.710407239819006,44.18181818181818,43.72135655362053,45.55023923444976,44.165170556552965,42.35517568850902,42.369477911646584,43.25481798715203
Revenue & Margin,Op. Income / Rev (%),58.37696335078534,42.96296296296296,42.84369114877589,42.03323558162268,43.834296724470136,45.48872180451128,45.55659494855004,46.83776351970669,43.96092362344582,43.34841628959276,43.90909090909091,43.538038496791934,45.45454545454545,44.43447037701975,42.73504273504273,42.77108433734939,43.0406852248394
Revenue & Margin,Net Profit / Rev (%),65.27050610820244,51.20370370370371,48.68173258003766,53.47018572825024,76.20423892100193,88.53383458646617,91.01964452759589,87.16773602199817,81.97158081705152,80.4524886877828,79.0,75.34372135655362,76.17224880382774,66.15798922800718,58.78442545109211,53.81526104417671,49.3576017130621
EBITDA,Net Income,748000000,553000000,517000000,547000000,791000000,942000000,973000000,951000000,923000000,889000000,869000000,822000000,796000000,737000000,619000000,536000000,461000000
