Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-07-31,2023-04-30,2022-12-31,2022-10-31,2022-07-31,2022-04-30,2021-12-31
Header,Filing Date,2026-02-10,2025-11-04,2025-08-05,2025-05-13,2025-02-04,2024-11-04,2024-07-24,2024-04-24,2024-02-20,2023-11-01,2023-07-26,2023-04-26,2023-02-01,2022-10-26,2022-07-27,2022-04-27,2022-02-02
Revenue & Margin,Segment-1,Industrial & Commercial,-,-,-,Industrial & Commercial,-,-,-,Industrial & Commercial,-,-,-,Industrial & Commercial,-,-,-,-
Revenue & Margin,Segment-1 %,10000.0%,-,-,-,10000.0%,-,-,-,10000.0%,-,-,-,10000.0%,-,-,-,-
Revenue & Margin,Segment-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,784764000,742807000,703203000,655725000,584386000,504982000,542347000,641846000,782258000,952738000,1018795000,1037079000,1024106000,975461000,890475000,796817000,818508000
Revenue & Margin,Rev-CoGS / Sale (%),58.23190156531135,55.8863877157862,54.95169958034878,54.12268862709215,53.42153987261844,53.88370278544582,55.46541236514629,57.33571604403549,59.6731513132496,60.242899936813686,60.906953803267584,61.77398250277945,62.74321212843201,62.85141076885699,62.552570257446874,61.420627320953244,59.15898195252826
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),36.02420600333349,33.68937018633373,32.48336540088708,30.707689961493006,28.53165544691351,25.63041850996669,30.82307083841157,36.20011653885823,40.88190852634297,43.45591337807456,42.953587326203994,43.33613929122082,44.09563072572566,42.56510511440232,40.84786209607232,37.92527016868365,35.39403402288065
Revenue & Margin,Op. Income / Rev (%),-8.988817020148733,-12.912640834025527,-16.109430704931576,-21.11189904304396,-28.318611328813493,-41.580491977931885,-30.9855129649468,-16.02580681347239,-3.0877280897095334,7.665486209220164,8.93585068635005,10.148696483103024,11.645278906675676,10.028489093874589,6.549987366293271,1.940219648928173,0.49309230942153287
Revenue & Margin,Net Profit / Rev (%),-8.270894179651462,-11.583897297682979,-14.876785224181353,-25.155972396965193,-32.685587950430026,-46.92721720774205,-36.53048693917363,-16.360466529354394,-4.412355003080825,6.363974146092629,6.996795233584773,7.951371110590418,8.925052680093662,6.452641366492356,239.0858811308571,266.9115995266165,258.6900799992181
EBITDA,Net Income,-64907000,-86046000,-104614000,-164954000,-191010000,-236974000,-198122000,-105009000,-34516000,60632000,71283000,82462000,91402000,62943000,2129000000,2126797000,2117399000
EBITDA,D & A,29843000,41530000,44754000,47557000,48585000,49825000,51048000,51049000,51081000,50907000,52185000,53833000,56595000,59502000,61225000,62504000,62556000
