Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-02-12,2025-10-16,2025-07-17,2025-04-16,2025-02-27,2024-10-16,2024-07-18,2024-04-17,2024-02-29,2023-10-18,2023-07-20,2023-04-20,2023-02-16,2022-10-19,2022-07-21,2022-04-21,2022-02-18
Revenue & Margin,Segment-1,Passenger,-,-,-,Passenger,-,-,-,Passenger,-,-,-,Passenger,-,-,-,Passenger
Revenue & Margin,Segment-1 %,9677.8%,-,-,-,9674.6%,-,-,-,9704.2%,-,-,-,9485.6%,-,-,-,8958.1%
Revenue & Margin,Segment-2,Cargo and Freight,-,-,-,Cargo and Freight,-,-,-,Cargo and Freight,-,-,-,Cargo and Freight,-,-,-,Cargo and Freight
Revenue & Margin,Segment-2 %,322.2%,-,-,-,325.4%,-,-,-,295.8%,-,-,-,514.4%,-,-,-,1041.9%
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,59070000000,58368000000,57986000000,57736000000,57063000000,55994000000,55635000000,54827000000,53717000000,52491000000,50884000000,48818000000,44955000000,40747000000,35620000000,28979000000,24634000000
Revenue & Margin,Rev-CoGS / Sale (%),64.12392077196547,55.70689418859649,46.76301176145966,38.1512401274768,28.901389692094703,27.983355359502802,28.171115305113688,28.72854615426706,28.294580858945956,28.73254462669791,28.28000943322066,25.677004383628987,23.668112557001447,20.50703119248043,16.732172936552498,9.7070292280617,4.538442802630511
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),60.55358049771458,52.127878289473685,43.127651502086714,34.259387557156714,24.991675867024167,23.963281780190734,24.22935202660196,24.982216790997136,24.614181730178526,25.22718180259473,24.730760160364753,22.17010119218321,20.253586920253586,17.228262203352394,13.72262773722628,6.884295524345216,1.7902086547048792
Revenue & Margin,Op. Income / Rev (%),7.97866937531742,8.273368969298247,8.621046459490222,9.704517112373562,8.928727897236389,8.197306854305818,8.562954974386628,7.937694931329455,7.837369920137014,8.740545998361624,8.464350286927129,7.513622024663034,5.17628739850962,1.3350676123395588,0.34531162268388543,-3.5370440663929053,-4.148737517252578
Revenue & Margin,Net Profit / Rev (%),5.676316234975453,5.6417900219298245,5.706549856862001,6.337467091589303,5.516709601668332,4.934457263278209,5.275456097780174,4.900870009301986,4.8718282852728185,5.450458173782172,5.239367974215864,3.932975541808349,1.6394171949727503,-1.845534640587037,-3.427849522740033,-6.846337002657096,-7.972720630023544
EBITDA,Net Income,3353000000,3293000000,3309000000,3659000000,3148000000,2763000000,2935000000,2687000000,2617000000,2861000000,2666000000,1920000000,737000000,-752000000,-1221000000,-1984000000,-1964000000
EBITDA,D & A,0,0,0,719000000,1427000000,2111000000,2774000000,2724000000,2671000000,2445000000,2392000000,2334000000,2290000000,2451000000,2464000000,2473000000,2485000000
EBITDA,Net Int Inc,-610000000,-567000000,-570000000,-604000000,-676000000,-755000000,-827000000,-885000000,-947000000,-1015000000,-1128000000,-1258000000,-1375000000,-1484000000,-1580000000,-1607000000,-1541000000
EBITDA,Tax Provision,953000000,994000000,1009000000,1150000000,1019000000,869000000,896000000,792000000,770000000,885000000,748000000,566000000,253000000,-233000000,-314000000,-574000000,-593000000
EBITDA,EBITDA,4916000000,4854000000,4888000000,6132000000,6270000000,6498000000,7432000000,7088000000,7005000000,7206000000,6934000000,6078000000,4655000000,2950000000,2509000000,1522000000,1469000000
EBITDA,Stock-Based Comp,0,0,0,0,0,0,0,0,0,0,0,0,0,238000000,238000000,238000000,238000000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,111.82,96.5,79.63,69.05,97.1,57.06,48.33,47.35,41.26,42.3,54.87,44.25,37.7,32.53,35.42,46.36,43.78
Capital Structure,O/S Shares,327000000,326900000,327200000,333000000,327899771,329000000,328800000,328300000,328018739,328000000,331500000,327400000,326930321,329370629,329000000,325000000,323800000
Capital Structure,Market Capitalization,36565140000,31545850000,26054936000,22993650000,31839067764,18772740000,15890904000,15545005000,13534053171,13874400000,18189405000,14487450000,12325273101,10714426561,11653180000,15067000000,14175964000
Capital Structure,Cash,5942000000,6730000000,9354000000,9370000000,8769000000,8812000000,10864000000,8441000000,6058000000,7478000000,9605000000,7634000000,7166000000,11258000000,16885000000,18468000000,18283000000
Capital Structure,Debt,36453000000,36653000000,32786000000,32925000000,33633000000,30585000000,34254000000,34844000000,36739000000,35014000000,35841000000,36025000000,36433000000,36978000000,38010000000,38614000000,39366000000
Capital Structure,Enterprise Value,67076140000,61468850000,49486936000,46548650000,56703067764,40545740000,39280904000,41948005000,44215053171,41410400000,44425405000,42878450000,41592273101,36434426561,32778180000,35213000000,35258964000
Capital Structure,netCommonStockIssuance,-27000000,-21000000,-240000000,-349000000,-80000000,-82000000,0,0,0,0,0,0,0,0,0,0,0
Capital Structure,netDebtIssuance,-482000000,-2100000000,-597000000,-1014000000,-509000000,-991000000,-579000000,-1920000000,-122000000,-715000000,-491000000,-532000000,-880000000,-812000000,-800000000,-783000000,-575000000
Liquidity & Cash Flow,DSO,14.517817843236838,14.335980331688596,13.815123478080917,14.017185984481086,14.136130242013213,13.974153480730077,14.311988855936011,13.903779159902967,14.216565519295568,14.379988950486752,14.54899870293216,15.562855913802286,16.469858747636525,17.861683068692173,19.600049129702416,22.756608233548434,24.277522935779817
Liquidity & Cash Flow,DIO,27.0925349188373,22.264534096623215,18.796849692257855,16.589515248256742,14.767876069113406,14.83307501549907,14.68010234722987,14.102230269218959,13.17176385066722,12.45970221069796,11.779436345700663,11.503390017363504,11.82274515517995,12.170047235343151,12.795305124747134,13.663437285026369,14.621109032148324
Liquidity & Cash Flow,DPO,81.02355841827105,65.09587862143658,52.66014739229025,44.394585398639,38.28716940671908,37.71063236205828,38.50529878384465,38.66378979424711,38.07255698634405,38.12795717608062,37.403648544966295,36.57243061488852,36.29790179221914,36.10729060541509,35.3247639919083,34.68169571199266,34.212929494812045
Liquidity & Cash Flow,CCC,-39.413205656196915,-28.49536419312477,-20.048174221951477,-13.787884165901175,-9.383163095592462,-8.90340386582913,-9.51320758067877,-10.657780365125184,-10.684227616381257,-11.28826601489591,-11.075213496333472,-9.50618468372273,-8.00529788940267,-6.075560301379763,-2.929409737458748,1.7383498065821428,4.685702473116095
Liquidity & Cash Flow,OCF,8431000000,9369000000,9649000000,10308000000,9445000000,6311000000,5693000000,6616000000,6911000000,8979000000,8840000000,7732000000,6066000000,4639000000,3112000000,3096000000,2067000000
Liquidity & Cash Flow,CapEx,-5874000000,-5659000000,-5605000000,-5482000000,-5615000000,-6006000000,-6438000000,-6694000000,-7171000000,-7644000000,-7130000000,-6260000000,-4819000000,-2816000000,-1754000000,-2065000000,-2107000000
Liquidity & Cash Flow,FCF,2557000000,3710000000,4044000000,4826000000,3830000000,305000000,-745000000,-78000000,-260000000,1335000000,1710000000,1472000000,1247000000,1823000000,1358000000,1031000000,-40000000
BQR,Total Debt / Adj Ebitda,7.4151749389747765,7.551091882983107,6.707446808510638,5.369373776908024,5.364114832535885,4.706832871652816,4.608988159311087,4.915914221218961,5.244682369735903,4.859006383569247,5.168877992500721,5.927114182296808,7.826638023630505,12.534915254237289,15.149461937026704,25.370565045992116,26.79782164737917
BQR,Adj Ebitda / Interest Expense,8.059016393442622,8.56084656084656,8.575438596491228,10.152317880794701,9.275147928994082,8.60662251655629,8.98669891172914,8.0090395480226,7.397043294614573,7.099507389162562,6.147163120567376,4.831478537360891,3.3854545454545453,1.9878706199460916,1.5879746835443038,0.9471064094586186,0.9532770927968851
BQR,Net Income before extraordinary,3353000000,3293000000,3309000000,3659000000,3148000000,2763000000,2935000000,2687000000,2617000000,2861000000,2666000000,1920000000,737000000,-752000000,-1221000000,-1984000000,-1964000000
BQR,(NCO-CAPEX) / Total Debt (%),7.014511837160179,10.121954546694678,12.334533032391874,14.657555049354594,11.387625249011387,0.9972208598986432,-2.17492847550651,-0.22385489610836873,-0.7076948202182967,3.8127606100416975,4.771072235707709,4.086051353226925,3.4227211593884665,4.929958353615663,3.572744014732965,2.670016056352618,-0.10161052685058172
BQR,Score: Operating Leverage,75,75,75,65,65,55,55,58,58,58,58,65,75,75,75,75,75
BQR,Score: ICR,45,45,45,42,45,45,45,45,48,48,48,52,58,65,65,75,75
BQR,Score: Net Income,25,25,25,25,25,25,25,25,25,25,25,25,35,75,75,75,75
BQR,Score: FCF/Debt,58,58,55,55,58,75,75,75,75,75,75,75,75,75,75,75,75
BQR,BQR,53.75,53.75,53.0,49.05,50.25,51.0,51.0,52.05,52.5,52.5,52.5,55.55,62.45,73.5,73.5,75.0,75.0
