Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years),LTM (-17Q)
Header,Fiscal Period,2026.0-Q1,2025.0-Q4,2025.0-Q3,2025.0-Q2,2025.0-Q1,2024.0-Q4,2024.0-Q3,0.0-0,2024.0-Q1,2023.0-Q4,2023.0-Q3,2023.0-Q2,2023.0-Q1,2022.0-Q4,2022.0-Q3,2022.0-Q2,2022.0-Q1,2021.0-Q4
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Header,Filing Date,2026-02-04,2025-11-25,2025-08-06,2025-05-07,2025-02-05,2024-11-26,2024-07-31,0,2024-01-31,2023-11-21,2023-08-02,2023-05-02,2023-02-01,2022-11-22,2022-08-03,2022-05-04,2022-02-02,2021-11-23
Revenue & Margin,Segment-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Pharmaceutical Distribution
Revenue & Margin,Segment-1 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10000.0%
Revenue & Margin,Segment-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,325777775000.0,321332819000.0,323440657000.0,317018478000.0,241564805000.0,232330578000.0,215416517000.0,208122207000.0,271579412000.0,262173411000.0,254425229000.0,247542787000.0,241805028000.0,238587006000.0,236325278000.0,229666372000.0,221101097000.0,213988843000.0
Revenue & Margin,Rev-CoGS / Sale (%),3.681212446122207,3.572165157521616,3.5394687563969423,3.4546071475366804,3.267004893365985,3.3584507330756956,3.311278586868991,3.357118925804972,3.4179144625292874,3.4173919337686,3.4161706502777682,3.4104500083858227,3.4664130309151386,3.4772920533652196,3.5460527417638326,3.593497789045059,3.415341263548774,3.2446682278664407
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),1.588658403723213,1.5512567360883234,1.58876594169174,1.5557616802387146,1.4374126230847246,1.487692679006721,1.3728102381304401,1.3887004379114622,1.4229904143101981,1.3920210238253337,1.380359178137951,1.3551976370048706,1.4111290522875315,1.4449257140181389,1.5144511963718075,1.633067117026606,1.5929654116551037,1.5650241167012617
Revenue & Margin,Op. Income / Rev (%),0.8235049183450283,0.8180306662046867,0.8704542669785635,0.8265212225263411,0.6557391504114186,0.7319983510737016,0.9155713904704902,0.946532341933122,1.0010158649286716,0.9645604374426818,0.9851220375633425,0.9386530822245288,0.9739731301203546,0.9918302088924323,1.046758104310788,1.1352049397985005,1.1087118215428844,1.1001494129299068
Revenue & Margin,Net Profit / Rev (%),0.49887258269843604,0.48366332602957685,0.6094926402527064,0.5575094584865177,0.43447430183382885,0.5003374975462765,0.6663964397864627,0.6878871892800944,0.6874777385555279,0.6657017556978728,0.664032024905832,0.6531590031746715,0.7152291308020279,0.7120337475545504,0.779341514198917,0.7519337659063121,0.7300696477322318,0.7196319109029437
EBITDA,Net Income,1625216000.0,1554169000.0,1971347000.0,1767408000.0,1049537000.0,1162437000.0,1435528000.0,1431646000.0,1867048000.0,1745293000.0,1689465000.0,1616848000.0,1729460000.0,1698820000.0,1841781000.0,1726939000.0,1614192000.0,1539932000.0
EBITDA,D & A,1090034000.0,1068416000.0,366619000.0,343078000.0,451720000.0,448200000.0,619063000.0,515622000.0,693933000.0,759236000.0,763605000.0,769981000.0,704845000.0,709835000.0,709863000.0,665457000.0,590905000.0,410503000.0
EBITDA,Net Int Inc,-263615000.0,-291548000.0,-71956000.0,-21490000.0,82498000.0,69867000.0,-166389000.0,-182323000.0,-238269000.0,-228931000.0,-175159000.0,-175964000.0,-172934000.0,-195080000.0,-203776000.0,-205374000.0,-186984000.0,-166262000.0
EBITDA,Tax Provision,706308000.0,690522000.0,621749000.0,555961000.0,344722000.0,398384000.0,418573000.0,407448000.0,491365000.0,428260000.0,414481000.0,397986000.0,487013000.0,516517000.0,550341000.0,715303000.0,674865000.0,677251000.0
EBITDA,EBITDA,3685173000.0,3604655000.0,3031671000.0,2687937000.0,1763481000.0,1939154000.0,2639553000.0,2537039000.0,3290615000.0,3161720000.0,3042710000.0,2960779000.0,3094252000.0,3120252000.0,3305761000.0,3313073000.0,3066946000.0,2793948000.0
EBITDA,Stock-Based Comp,143633000.0,147963000.0,249451000.0,226267000.0,218382000.0,147998000.0,20567000.0,41134000.0,44066000.0,99699000.0,116139000.0,109967000.0,106113000.0,93400000.0,95089000.0,95049000.0,94197000.0,51277000.0
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,187.22,187.22,187.22,187.22,187.22,187.22,187.22,187.22,187.22,187.22,192.43,160.11,165.71,135.33,141.48,154.71,132.89,119.45
Capital Structure,O/S Shares,194219000.0,193899000.0,193822000.0,193796000.0,193758000.0,198503000.0,198260000.0,201837000.0,201837000.0,203395000.0,202349000.0,202316000.0,204032000.0,207203000.0,208885000.0,209244000.0,208555000.0,207900000.0
Capital Structure,Market Capitalization,36361681180.0,36301770780.0,36287354840.0,36282487120.0,36275372760.0,37163731660.0,37118237200.0,37787923140.0,37787923140.0,38079611900.0,38938018070.0,32392814760.0,33810142720.0,28040781990.0,29553049799.0,32372139240.0,27714873949.0,24833655000.0
Capital Structure,Cash,1753122000.0,4356138000.0,2231852000.0,1978061000.0,3224260000.0,3132648000.0,3306200000.0,0.0,2872351000.0,2592051000.0,1389345000.0,1539406000.0,1692205000.0,3388189000.0,3034233000.0,2960759000.0,3168881000.0,2547142000.0
Capital Structure,Debt,7921735000.0,7660773000.0,8240486000.0,7856207000.0,8148547000.0,4388076000.0,4731018000.0,0.0,4778723000.0,4787457000.0,5020714000.0,4932811000.0,5644304000.0,5702833000.0,6061697000.0,6456372000.0,6681100000.0,6683924000.0
Capital Structure,Enterprise Value,42530294180.0,39606405780.0,42295988840.0,42160633120.0,41199659760.0,38419159660.0,38543055200.0,37787923140.0,39694295140.0,40275017900.0,42569387070.0,35786219760.0,37762241720.0,30355425990.0,32580513799.0,35867752240.0,31227092949.0,28970437000.0
Capital Structure,netCommonStockIssuance,0.0,0.0,-385471000.0,385471000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capital Structure,netDebtIssuance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liquidity & Cash Flow,DSO,27.864788658465116,27.84296510030617,27.279665864641128,27.685428106969844,27.374839647066967,27.29672840890535,28.185850350788094,27.746652108825657,27.812333119713802,27.78368264335547,27.74808665397723,27.718717820083363,27.906726845440122,27.786655604790145,28.02801817184364,28.572521666341295,28.119056030735116,28.147321038134685
Liquidity & Cash Flow,DIO,24.332830494400337,23.590044984209996,22.991512192264473,22.889186132070183,22.574363836827256,22.739611272979165,23.836651124931294,24.02631749413928,24.32244803372939,24.520188983055824,24.561662640810145,24.850357755892936,24.891696404194704,25.037726750586682,25.220091566011966,25.62326411750231,25.472828514096996,24.900186548263775
Liquidity & Cash Flow,DPO,61.632428672871484,60.60231249266591,59.082110963435234,59.879930152324455,58.86291284536834,60.37955335455683,62.85164263342715,62.303871402292955,62.642944553972505,62.73304862333831,62.5471732493317,62.58544429779944,62.33906442716735,61.942730523883775,61.70626441940117,62.371487353317086,61.76672974408679,61.42938628523961
Liquidity & Cash Flow,CCC,-9.434809520006027,-9.16930240814974,-8.810932906529636,-9.305315913284424,-8.913709361474119,-10.34321367267232,-10.82914115770776,-10.53090179932802,-10.508163400529313,-10.42917699692702,-10.237423954544326,-10.016368721823142,-9.540641177532528,-9.118348168506948,-8.458154681545565,-8.175701569473482,-8.174845199254676,-8.381878698841149
Liquidity & Cash Flow,OCF,4288733000.0,3875120000.0,2426396000.0,2317149000.0,-119254000.0,3484685000.0,1969892000.0,2714827000.0,2429500000.0,2254423000.0,3248993000.0,2912680000.0,2549757000.0,2703088000.0,2548435000.0,3347432000.0,2626944000.0,1763533000.0
Liquidity & Cash Flow,CapEx,-681464000.0,-667981000.0,-551347000.0,-368131000.0,-518849000.0,-487173000.0,-529492000.0,-633773000.0,-456849000.0,-458359000.0,-456448000.0,-465556000.0,-492354000.0,-496318000.0,-487542000.0,-495948000.0,-452498000.0,-372807000.0
Liquidity & Cash Flow,FCF,3607269000.0,3207139000.0,1875049000.0,1949018000.0,-638103000.0,2997512000.0,1440400000.0,2081054000.0,1972651000.0,1796064000.0,2792545000.0,2447124000.0,2057403000.0,2206770000.0,2060893000.0,2851484000.0,2174446000.0,1390726000.0
BQR,Total Debt / Adj Ebitda,2.149623640464098,2.125244440868821,2.7181333330694524,2.922764558841967,4.620717206479684,2.2628816483889365,1.7923557511442278,0.0,1.4522279269984486,1.5141938565084827,1.6500796986896549,1.6660517384107358,1.8241255075540066,1.8276834691556965,1.8336767237558915,1.9487563358851434,2.1784211394657746,2.392286470614342
BQR,Adj Ebitda / Interest Expense,13.979375225233769,12.363847462510462,42.132289176719105,125.0785016286645,-999.0,-999.0,15.863747002506175,13.915079282372492,13.810504094112117,13.810798887000887,17.371131372067666,16.826049646518605,17.89267581852036,15.994730367028911,16.222523751570353,16.131900824836638,16.40218414409789,16.80448930002045
BQR,Net Income before extraordinary,1625216000.0,1554169000.0,1971347000.0,1767408000.0,1049537000.0,1162437000.0,1435528000.0,1431646000.0,1867048000.0,1745293000.0,1689465000.0,1616848000.0,1729460000.0,1698820000.0,1841781000.0,1726939000.0,1614192000.0,1539932000.0
BQR,(NCO-CAPEX) / Total Debt (%),45.53635030709813,41.8644306521026,22.754106978641794,24.808638570750492,-7.830880769295434,68.31039389472744,30.4458786671283,999.0,41.27987749028349,37.516034086572475,55.62047549412295,49.609117397767726,36.45096011837775,38.69603055183275,33.99861457938264,44.16542293411842,32.54622741764081,20.80702892492494
BQR,Score: Operating Leverage,42,42,45,45,55,42,42,15,35,35,35,35,42,42,42,42,42,42
BQR,Score: ICR,35,35,15,15,75,75,25,35,35,35,25,25,25,25,25,25,25,25
BQR,Score: Net Income,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
BQR,Score: FCF/Debt,25,25,45,42,75,15,35,15,25,35,15,25,35,35,35,25,35,45
BQR,BQR,32.45,32.45,35.5,34.75,55.5,35.95,33.45,20.5,30.0,32.5,26.0,28.5,33.45,33.45,33.45,30.95,33.45,35.95
