Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4,2021-Q3,2021-Q2,2021-Q1,2020-Q4,2020-Q3
Header,Statement Date,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Header,Filing Date,2024-10-23,2024-07-24,2024-04-24,2024-04-26,2023-10-26,2023-07-27,2023-04-26,2023-02-22,2022-10-26,2022-07-27,2022-04-29,2022-02-23,2021-10-29,2021-07-30,2021-05-04,2021-03-01,2020-10-30
Revenue & Margin,Segment-1,-,-,-,"Electricity, US Regulated",-,-,-,Networks Segment,-,-,-,Networks Segment,-,-,-,Networks Segment,-
Revenue & Margin,Segment-1 %,-,-,-,6491.4%,-,-,-,10000.0%,-,-,-,8250.6%,-,-,-,8208.9%,-
Revenue & Margin,Segment-2,-,-,-,"Natural Gas, US Regulated",-,-,-,-,-,-,-,Renewables Segment,-,-,-,Renewables Segment,-
Revenue & Margin,Segment-2 %,-,-,-,2115.4%,-,-,-,-,-,-,-,1749.4%,-,-,-,1791.1%,-
Revenue & Margin,Segment-3,-,-,-,Wind Energy,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,1068.8%,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,"Thermal Energy, Solar Energy, Other Services",-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,324.4%,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,8722000000,8613000000,8281000000,8309000000,8185000000,8049000000,8256000000,7923000000,7698000000,7458000000,7141000000,6974000000,6710000000,6582000000,6497000000,6320000000,6260000000
Revenue & Margin,Rev-CoGS / Sale (%),30.853015363448748,29.01428073841867,32.6530612244898,33.34938019015525,30.69028711056811,30.923096036774755,31.274224806201552,32.75274517228323,33.58015068849052,34.75462590506838,34.546982215376,36.550043016919986,37.585692995529065,38.69644484958979,39.310450977374174,39.16139240506329,39.584664536741215
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),30.715432240311856,28.8052943225357,32.41154449945658,33.084607052593576,29.725106902871108,30.003727171077156,30.123546511627907,31.60419033194497,32.74876591322421,33.9098954143202,34.0008402184568,36.01950100372813,36.95976154992549,37.9519902765117,38.46390641834693,38.18037974683544,37.95527156549521
Revenue & Margin,Op. Income / Rev (%),15.684476037606053,13.967258794845003,13.645694964376284,11.192682633289204,8.51557727550397,8.94521058516586,9.871608527131782,14.08557364634608,14.536243180046766,15.35264145883615,14.773841198711665,12.833381129911098,13.368107302533533,14.038286235186872,14.591349853778668,13.750000000000002,13.78594249201278
Revenue & Margin,Net Profit / Rev (%),12.864022013299703,11.33170788343202,10.771645936481102,9.459622096521844,6.548564447159438,7.230711889675737,8.248546511627906,11.11952543228575,11.665367627955312,12.121212121212121,11.454978294356533,10.137654143963292,10.566318926974665,10.407171072622305,10.389410497152532,9.193037974683545,10.191693290734824
EBITDA,Net Income,1122000000,976000000,892000000,786000000,536000000,582000000,681000000,881000000,898000000,904000000,818000000,707000000,709000000,685000000,675000000,581000000,638000000
EBITDA,D & A,1302000000,1201000000,1176000000,1158000000,1029000000,1053000000,1039000000,1020000000,997000000,977000000,956000000,942000000,982000000,939000000,952000000,974000000,1014000000
EBITDA,Net Int Inc,-487000000,-462000000,-439000000,-409000000,-378000000,-347000000,-327000000,-303000000,-306000000,-300000000,-296000000,-298000000,-283000000,-299000000,-313000000,-316000000,-331000000
EBITDA,Tax Provision,60000000,33000000,29000000,-9000000,-11000000,-53000000,-66000000,20000000,35000000,61000000,75000000,21000000,8000000,47000000,31000000,29000000,61000000
EBITDA,EBITDA,2971000000,2672000000,2536000000,2344000000,1932000000,1929000000,1981000000,2224000000,2236000000,2242000000,2145000000,1968000000,1982000000,1970000000,1971000000,1900000000,2044000000
EBITDA,Stock-Based Comp,9000000,13000000,13000000,14000000,16000000,14000000,14000000,15000000,14000000,17000000,19000000,18000000,16000000,12000000,11000000,14000000,13000000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,35.79,35.44,36.02,32.41,30.17,37.68,39.88,42.98,41.7,46.12,46.74,49.88,48.6,51.43,49.81,45.45,50.46
Capital Structure,O/S Shares,387010149,387010149,386916234,386900000,386869341,386749135,386744996,386700000,386700000,386700000,386700000,387200000,387321484,347121197,309495250,309500000,309491082
Capital Structure,Market Capitalization,13851093232,13715639680,13936722748,12539428999,11671848017,14572707406,15423390440,16620365999,16125390000,17834604000,18074358000,19313536000,18823824122,17852443161,15415958402,14066775000,15616919997
Capital Structure,Cash,148000000,136000000,152000000,91000000,75000000,58000000,72000000,69000000,60000000,411000000,648000000,1474000000,1410000000,1729000000,813000000,1463000000,101000000
