Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-02-25,2025-11-10,2025-08-07,2025-05-07,2025-02-24,2024-11-06,2024-08-08,2024-05-07,2024-02-27,2023-11-07,2023-08-07,2023-05-09,2023-03-01,2022-11-08,2022-08-09,2022-05-10,2021-12-31
Revenue & Margin,Segment-1,Retirement Services Segment,-,-,-,Retirement Services Segment,-,-,-,Retirement Services Segment,-,-,-,Retirement Services Segment,-,-,-,-
Revenue & Margin,Segment-1 %,8439.9%,-,-,-,8400.9%,-,-,-,8925.7%,-,-,-,7475.4%,-,-,-,-
Revenue & Margin,Segment-2,Asset Management Segment,-,-,-,Asset Management Segment,-,-,-,Asset Management Segment,-,-,-,Asset Management Segment,-,-,-,-
Revenue & Margin,Segment-2 %,1560.1%,-,-,-,1599.1%,-,-,-,1074.3%,-,-,-,2524.6%,-,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,30299000000,27468000000,25418000000,24622000000,26114000000,31877000000,26699000000,34383000000,32644000000,26440000000,26824000000,15408000000,10969000000,7322275000,5421275000,4518275000,5951275000
Revenue & Margin,Rev-CoGS / Sale (%),88.46826627941516,95.19076743847386,95.13730427256274,95.13849402972951,95.63452554185494,96.51159142955737,95.97363197123488,96.97234098246227,96.85393946820243,99.00151285930409,99.09782284521324,98.57866043613707,93.63661227094539,80.32997941213625,68.47064574292948,54.157438402930325,62.624933312609485
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),76.7616092940361,84.66579292267366,84.36934455897396,84.06303305986516,85.53266447116489,87.54901653229601,85.71107532117308,89.43082337201524,88.99031981374831,88.2375189107413,89.24097822845212,83.06074766355141,76.06892150606254,51.37681936283464,33.22008199178237,14.429223542170408,33.26937504988427
Revenue & Margin,Op. Income / Rev (%),34.393874385293245,29.397844764817243,28.16507986466284,30.155958086264317,31.779888182584052,26.60538946575901,27.40177534739129,19.36131227641567,18.827349589511087,20.177760968229954,12.47017596182523,-4.789719626168224,-40.350077491111314,-84.44162504139766,-88.89141392015716,-24.7892835208127,33.26937504988427
Revenue & Margin,Net Profit / Rev (%),14.789266972507342,15.399737876802098,12.888504209615235,14.08496466574608,16.95259247912997,18.019261536531044,21.04947750852092,15.632725474798592,15.22178654576645,10.537065052950076,5.793319415448852,-4.361370716510903,-18.807548545902087,-32.726099470451466,-28.854743579692972,16.437799824047893,30.82877198583497
EBITDA,Net Income,4481000000,4230000000,3276000000,3468000000,4427000000,5744000000,5620000000,5375000000,4969000000,2786000000,1554000000,-672000000,-2063000000,-2396295000,-1564295000,742705000,1834705000
EBITDA,D & A,1431000000,1336000000,1217000000,1145000000,1075000000,996000000,956000000,876000000,803000000,747000000,668000000,626000000,594000000,440435000,285300000,154278000,27330000
EBITDA,Net Int Inc,-243000000,-240000000,-217000000,-170000000,-167000000,-144000000,-113000000,-99000000,-82000000,-51000000,-70000000,-61000000,133000000,126222000,157222000,222222000,-161778000
EBITDA,Tax Provision,801000000,746000000,625000000,883000000,1062000000,-620000000,-694000000,-754000000,-923000000,908000000,569000000,-13000000,-751000000,-866352000,-669352000,-94352000,593648000
EBITDA,EBITDA,6956000000,6552000000,5335000000,5666000000,6731000000,6264000000,5995000000,5596000000,4931000000,4492000000,2861000000,2000000,-2353000000,-2948434000,-2105569000,580409000,2617461000
EBITDA,Stock-Based Comp,771000000,766000000,694000000,670000000,710000000,1071000000,1077000000,1075000000,1026000000,552000000,527000000,512000000,540000000,1424999000,1364217000,1292215000,1180663000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,144.76,133.27,141.87,136.94,165.16,124.91,118.74,112.47,93.19,89.76,76.81,63.16,63.79,46.5,48.48,61.99,72.43
Capital Structure,O/S Shares,607913669,589000000,587000000,587258883,584000000,585382685,587104242,588120328,584000000,578797225,578975612,584115927,583000000,584317603,584773771,586495913,245553950
Capital Structure,Market Capitalization,88001582724,78496030000,83277690000,80419231438,96453440000,73120151183,69712757695,66145893290,54422960000,51952838916,44471116757,36892761949,37189570000,27170768539,28349832418,36356881646,17785472598
Capital Structure,Cash,20591000000,18415000000,13248000000,13300000000,16166000000,16660000000,16888000000,18139000000,15928000000,12935000000,12311000000,15876000000,9452000000,11515000000,13064000000,10562000000,1380000000
Capital Structure,Debt,13364000000,12631000000,12144000000,10581000000,10588000000,9807000000,9815000000,9596000000,8092000000,7037000000,7423172000,6507000000,7186366000,7840000000,7908000000,13905000000,14193206000
Capital Structure,Enterprise Value,80774582724,72712030000,82173690000,77700231438,90875440000,66267151183,62639757695,57602893290,46586960000,46054838916,39583288757,27523761949,34923936000,23495768539,23193832418,39699881646,30598678598
Capital Structure,netCommonStockIssuance,-240000000,-340000000,0,-193000000,-102000000,-453000000,-75000000,-260000000,-25000000,1397000000,-77000000,-458000000,-172000000,-26000000,-211000000,-226000000,-98747000
Capital Structure,netDebtIssuance,71000000,1156000000,1871000000,-524000000,1056000000,-800000000,127000000,2303000000,80000000,897000000,810000000,-655000000,-1248000000,-56000000,55000000,2961000000,63000000
Liquidity & Cash Flow,DSO,121.8694511370012,127.28424894422601,127.44772405382014,121.91002964828202,101.66649115417019,71.33513191329172,73.34450728491704,51.83651804670914,51.995504533758115,64.95522881996973,64.77375671040859,113.39328595534788,161.9606390737533,188.62443707727448,183.30361907484863,131.529717370014,30.110587227106794
Liquidity & Cash Flow,DIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liquidity & Cash Flow,DPO,318.0430738408701,1090.9935654806964,1135.1618122977345,1138.5286131996659,1167.5997807017545,1174.187275179856,1193.2953488372093,1201.4145052833815,1196.8232716650436,4530.355113636364,4706.539256198347,5055.416666666667,1588.6389684813753,761.7824984221961,491.2087746220221,282.2138152352178,136.55712343202987
Liquidity & Cash Flow,CCC,-196.1736227038689,-963.7093165364704,-1007.7140882439144,-1016.6185835513838,-1065.9332895475843,-1102.8521432665643,-1119.9508415522923,-1149.5779872366722,-1144.8277671312856,-4465.399884816395,-4641.7654994879385,-4942.023380711319,-1426.678329407622,-573.1580613449216,-307.9051555471734,-150.6840978652038,-106.44653620492308
Liquidity & Cash Flow,OCF,5396000000,2573000000,4124000000,4195000000,3253000000,5321000000,3103000000,5321000000,6322000000,5723000000,8431000000,8853000000,3789000000,1251051000,-49118000,-2700203000,1064046000
Liquidity & Cash Flow,CapEx,0,0,0,0,0,-5556000000,-14880000000,-23861000000,-23861000000,-18305000000,-8981000000,0,0,-37009000,-51492000,-59234000,-64738000
Liquidity & Cash Flow,FCF,5396000000,2573000000,4124000000,4195000000,3253000000,5321000000,-6221000000,-12984000000,-11983000000,-12582000000,-550000000,8853000000,3789000000,1214042000,-100610000,-2759437000,999308000
BQR,Total Debt / Adj Ebitda,1.9212190914318574,1.9278083028083028,2.2762886597938143,1.8674549947052594,1.573020353587877,1.5656130268199233,1.6371976647206006,1.7147962830593282,1.641046440884202,1.5665627782724845,2.594607479902132,3253.5,999.0,999.0,999.0,23.95724394349502,5.4225090650825365
BQR,Adj Ebitda / Interest Expense,28.625514403292183,27.3,24.5852534562212,33.32941176470588,40.30538922155689,43.5,53.05309734513274,56.525252525252526,60.13414634146341,88.07843137254902,40.871428571428574,0.03278688524590164,-999.0,-999.0,-999.0,-999.0,16.17933835255721
BQR,Net Income before extraordinary,4481000000,4230000000,3276000000,3468000000,4427000000,5744000000,5620000000,5375000000,4969000000,2786000000,1554000000,-672000000,-2063000000,-2396295000,-1564295000,742705000,1834705000
BQR,(NCO-CAPEX) / Total Debt (%),40.377132595031426,20.37051698202834,33.95915678524374,39.64653624421132,30.72346052134492,54.25716325073927,-63.38257768721345,-135.30637765735725,-148.08452792881857,-178.7977831462271,-7.4092315252832615,136.0534808667589,52.724840343506024,15.485229591836735,-1.272255943348508,-19.84492628550881,7.040748932975397
BQR,Score: Operating Leverage,42,42,42,42,35,35,35,35,35,35,45,75,75,75,75,75,65
BQR,Score: ICR,25,25,25,15,15,15,15,15,15,15,15,75,75,75,75,75,25
BQR,Score: Net Income,15,15,25,25,15,15,15,15,15,25,25,75,75,75,75,35,25
BQR,Score: FCF/Debt,25,45,35,35,35,15,75,75,75,75,75,15,15,52,75,75,58
BQR,BQR,28.45,33.45,33.45,31.95,27.0,22.0,37.0,37.0,37.0,39.5,43.0,60.0,60.0,69.25,75.0,65.0,47.25
