Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2021-Q3,2021-Q2,2021-Q1,2020-Q4,2020-Q3,2020-Q2,2020-Q1,2019-Q4,2019-Q3,2019-Q2,2019-Q1,2018-Q4,2018-Q3,2018-Q2,2018-Q1,2017-Q4,2017-Q3
Header,Statement Date,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30
Header,Filing Date,2021-10-28,2021-07-28,2021-04-30,2021-02-19,2020-10-30,2020-07-31,2020-05-08,2020-02-25,2019-11-04,2019-07-26,2019-04-26,2019-02-19,2018-10-26,2018-07-27,2018-04-27,2018-02-26,2017-10-27
Revenue & Margin,Segment-1,-,-,-,Waste And Service,-,-,-,Waste And Service,-,-,-,Waste And Service,-,-,-,All Other,-
Revenue & Margin,Segment-1 %,-,-,-,7416.0%,-,-,-,7449.2%,-,-,-,7103.9%,-,-,-,10000.0%,-
Revenue & Margin,Segment-2,-,-,-,Electricity,-,-,-,Electricity,-,-,-,Electricity,-,-,-,-,-
Revenue & Margin,Segment-2 %,-,-,-,1875.0%,-,-,-,1759.4%,-,-,-,1836.2%,-,-,-,-,-
Revenue & Margin,Segment-3,-,-,-,Recycled Metals,-,-,-,Recycled Metals,-,-,-,Other Revenue,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,425.4%,-,-,-,459.9%,-,-,-,551.4%,-,-,-,-,-
Revenue & Margin,Others,-,-,-,Other Revenue,-,-,-,Other Revenue,-,-,-,Recycled Metals,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,283.6%,-,-,-,331.6%,-,-,-,508.6%,-,-,-,-,-
Revenue & Margin,Revenue Total,2034000000,1986000000,1934000000,1904000000,1898000000,1872000000,1885000000,1870000000,1885000000,1876000000,1863000000,1868000000,1863000000,1836000000,1806000000,1752000000,1714000000
Revenue & Margin,Rev-CoGS / Sale (%),25.073746312684364,24.118831822759315,24.66390899689762,25.42016806722689,27.13382507903056,27.403846153846157,27.16180371352785,26.684491978609625,27.214854111405835,27.77185501066098,28.34138486312399,29.282655246252677,29.898013955984972,29.248366013071898,28.903654485049834,27.45433789954338,28.354725787631274
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),18.23992133726647,17.573011077542798,18.304033092037226,15.441176470588236,13.32982086406744,9.82905982905983,5.676392572944297,4.919786096256685,5.729442970822282,6.023454157782516,6.494900697799248,7.9764453961456105,7.997852925389156,7.8431372549019605,8.084163898117387,5.878995433789954,6.0093348891481915
