Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-02-13,2025-11-03,2025-08-06,2025-05-01,2025-02-19,2024-11-05,2024-07-31,2024-05-08,2024-02-21,2023-11-01,2023-08-01,2023-05-09,2023-02-21,2022-11-03,2022-08-02,2022-04-26,2022-02-22
Revenue & Margin,Segment-1,Screening,-,-,-,Screening,-,-,-,Screening,-,-,-,Service,-,-,-,Service
Revenue & Margin,Segment-1 %,7791.4%,-,-,-,7625.8%,-,-,-,7459.5%,-,-,-,4643.7%,-,-,-,4333.1%
Revenue & Margin,Segment-2,Precision Oncology,-,-,-,Precision Oncology,-,-,-,Precision Oncology,-,-,-,Product,-,-,-,Product
Revenue & Margin,Segment-2 %,2208.6%,-,-,-,2374.2%,-,-,-,2516.7%,-,-,-,3408.0%,-,-,-,3334.9%
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,COVID-19 Testing,-,-,-,"Product and Service, Other",-,-,-,COVID-19 Testing
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,23.8%,-,-,-,849.8%,-,-,-,1088.0%
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,"International Sales, COVID-19 Testing",-,-,-,"International Sales, Product and Service, Other"
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,1098.5%,-,-,-,1244.0%
Revenue & Margin,Revenue Total,3246990000,3082033000,2939949000,2828128000,2758867000,2692328000,2612011000,2534840000,2499766000,2405876000,2300611000,2200158000,2084279000,2005096000,1938402000,1851581000,1767087000
Revenue & Margin,Rev-CoGS / Sale (%),69.68774156988472,67.36310091423421,67.47426571005143,67.52070627637788,67.25036038344726,70.61517021700179,71.57492828322698,72.83781224850485,73.82887038226778,73.83073774375737,73.52716300148091,72.88208392306372,72.43953424661478,72.752576435243,73.47815365440192,73.8871807390549,74.03636606460236
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),9.975300231907088,6.8206927051073105,6.65351677869242,6.650936591271682,6.5765040503946,9.279961431148061,9.242036116999506,7.60426693598018,9.005442909456326,6.765768476845856,3.8689287324106507,0.8115780775744288,-3.527502795930871,-9.187091291389539,-11.457994781268281,-13.13056247606775,-20.075864968731025
Revenue & Margin,Op. Income / Rev (%),-6.171315587667348,-32.4478680143918,-34.48740097192162,-36.70346603831227,-38.01208974553685,-8.921386992966681,-7.4249687309892645,-9.650037083208407,-8.601285080283514,-11.058466853653306,-17.863080720730277,-22.43543418245417,-28.47560235457921,-34.715494918946526,-37.146267905212646,-39.5404791904864,-48.423082734466384
Revenue & Margin,Net Profit / Rev (%),-6.4043621939088204,-32.01065660231412,-34.19178359896719,-36.060744068160986,-37.292736474792,-7.949922892010186,-6.70012492290423,-9.476968960565559,-8.166724405404347,-11.726622652206514,-18.763841431689237,-23.485586035184745,-29.914709115238413,-35.7275661614207,-37.89456469813795,-40.257380044405295,-33.70660301388669
EBITDA,Net Income,-207949000,-986579000,-1005221000,-1019844000,-1028857000,-214038000,-175008000,-240226000,-204149000,-282128000,-431683000,-516720000,-623506000,-716372000,-734549000,-745398000,-595625000
EBITDA,D & A,221579000,218373000,217262000,214977000,214859000,215884000,213367000,210808000,206608000,201917000,198232000,199654000,197558000,200680000,198311000,191773000,187824000
EBITDA,Net Int Inc,-28721000,-36689000,-35173000,-25338000,-24462000,-24081000,-23679000,-31497000,-9123000,-6668000,-4032000,-725000,-19634000,-18882000,-17920000,-17132000,-16606000
EBITDA,Tax Provision,4061000,-8192000,-9221000,-8886000,-7304000,3467000,2908000,2552000,2403000,831000,-2534000,-5392000,-9064000,-11125000,-11867000,-6091000,-246881000
EBITDA,EBITDA,46412000,-739709000,-762007000,-788415000,-796840000,29394000,64946000,4631000,13985000,-72712000,-231953000,-321733000,-415378000,-507935000,-530185000,-542584000,-638076000
EBITDA,Stock-Based Comp,162024000,211227000,208361000,209133000,214885000,224259000,237373000,242543000,231312000,218652000,206314000,203521000,206823000,160906000,174976000,172329000,197180000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,101.56,54.71,53.14,43.29,56.19,68.12,42.43,70.41,73.98,68.22,93.9,67.81,49.51,32.49,39.39,69.92,77.83
Capital Structure,O/S Shares,189738000,189262808,188902000,186813000,185312000,184795000,184313000,182350000,181247000,180649000,180204000,178574000,177584000,176997000,176364000,174417000,172446000
Capital Structure,Market Capitalization,19269791280,10354568225,10038252280,8087134770,10412681280,12588235400,7820400590,12839263500,13408653060,12323874780,16921155600,12109102940,8792183840,5750632530,6946977960,12195236640,13421472180
Capital Structure,Cash,955996000,789037000,657099000,347127000,600889000,588830000,530180000,347487000,605378000,594612000,604363000,421365000,242493000,235306000,213421000,189776000,315471000
Capital Structure,Debt,2522699000,2535074000,2521457000,2521284000,2754758000,2758393000,2761632000,2555245000,2554725000,2561708000,2559940000,2564900000,2446871000,2446312000,2446184000,2382023000,2382108000
Capital Structure,Enterprise Value,20836494280,12100605225,11902610280,10261291770,12566550280,14757798400,10051852590,15047021500,15358000060,14290970780,18876732600,14252637940,10996561840,7961638530,9179740960,14387483640,15488109180
Capital Structure,netCommonStockIssuance,12413000,209000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12097000
Capital Structure,netDebtIssuance,0,0,0,-249172000,0,0,216750000,0,0,0,0,137976000,0,0,50000000,0,-23749000
Liquidity & Cash Flow,DSO,34.786928432178726,35.17777145799542,35.598111565880906,34.118857067289746,33.67833063355356,32.97380696185606,31.7024291819598,29.587997171419104,27.914673813468944,27.275294944544104,28.118835061642322,29.743787718882007,32.371726625849995,36.31703544368948,40.40830539795151,44.27419931939245,48.999457157457435
Liquidity & Cash Flow,DIO,62.95648865003565,61.2554678490476,61.782788578181204,59.93393570996216,56.07964663720409,60.0196063003074,63.444452338558264,68.86577402478947,71.8568800566173,73.3307377700127,73.08845767991107,72.22189958048193,73.24437666793747,74.7960485011998,76.01936150554367,76.04380558428127,75.37930198343506
Liquidity & Cash Flow,DPO,56.06477898193602,47.02992777468485,46.44604388019744,37.98589851897979,30.369199485566988,33.442623960987746,32.67354330029927,38.162575270363305,43.819923282335985,44.96801739199492,44.991757479430646,47.316599121408835,45.92975600457492,47.10840104184779,46.1812682357518,40.12527662874871,35.967376852659115
Liquidity & Cash Flow,CCC,41.678638100278356,49.40331153235816,50.93485626386467,56.06689425827212,59.38877778519066,59.550789301175726,62.47333822021879,60.29119592584527,55.951630587750266,55.638015322561884,56.215535262122756,54.6490881779551,59.68634728921254,64.0046829030415,70.24639866774338,80.19272827492502,88.41138228823338
Liquidity & Cash Flow,OCF,491438000,386812000,305608000,323656000,210536000,233022000,118664000,112023000,156119000,138607000,73320000,-88020000,-223559000,-300168000,-300016000,-198763000,-102236000
Liquidity & Cash Flow,CapEx,-134656000,-139729000,-135990000,-129514000,-135989000,-134595000,-133624000,-132479000,-124190000,-162144000,-181594000,-210199000,-214462000,-142905000,-137138000,-98396000,-77693000
Liquidity & Cash Flow,FCF,356782000,247083000,169618000,194142000,74547000,98427000,-14960000,-20456000,31929000,-23537000,-108274000,-298219000,-438021000,-443073000,-437154000,-297159000,-179929000
BQR,Total Debt / Adj Ebitda,54.35445574420409,999.0,999.0,999.0,999.0,93.84204259372662,42.52197209989838,551.7695961995249,182.6760815159099,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
BQR,Adj Ebitda / Interest Expense,1.6159604470596427,-999.0,-999.0,-999.0,-999.0,1.2206303724928367,2.7427678533721864,0.14702987586119312,1.5329387262961744,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
BQR,Net Income before extraordinary,-207949000,-986579000,-1005221000,-1019844000,-1028857000,-214038000,-175008000,-240226000,-204149000,-282128000,-431683000,-516720000,-623506000,-716372000,-734549000,-745398000,-595625000
BQR,(NCO-CAPEX) / Total Debt (%),14.142868411966708,9.746579389792961,6.726983644773637,7.700124222420005,2.706117923970091,3.568273266354722,-0.5417086708149385,-0.8005494580754487,1.2498018377711886,-0.9188010499245035,-4.229552255130979,-11.626925026316815,-17.90127064320105,-18.111876162975122,-17.87085517687958,-12.475068460715955,-7.553351905119332
BQR,Score: Operating Leverage,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
BQR,Score: ICR,65,75,75,75,75,75,58,75,65,75,75,75,75,75,75,75,75
BQR,Score: Net Income,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
BQR,Score: FCF/Debt,55,58,65,58,75,75,75,75,75,75,75,75,75,75,75,75,75
BQR,BQR,68.5,70.75,72.5,70.75,75.0,75.0,72.45,75.0,73.5,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
