Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-02-17,2025-11-07,2025-08-01,2025-05-02,2025-02-18,2024-11-08,2024-08-02,2024-05-03,2024-02-20,2023-11-03,2023-08-04,2023-05-05,2023-02-21,2022-11-04,2022-08-05,2022-05-06,2022-02-22
Revenue & Margin,Segment-1,Urban Solutions Segment,-,-,-,Urban Solutions Segment,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-1 %,7197.1%,-,-,-,5275.9%,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2,Energy Solutions Segment,-,-,-,Energy Solutions Segment,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2 %,2780.3%,-,-,-,4355.4%,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3,Other Operating Segment,-,-,-,Other Operating Segment,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,22.7%,-,-,-,368.8%,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,15504000000,15588000000,16314000000,16563000000,16315000000,15875000000,15744000000,15456000000,15474000000,15364000000,15013000000,14373000000,13743000000,13189862000,13080862000,13465862000,13690862000
Revenue & Margin,Rev-CoGS / Sale (%),-0.7739938080495357,-0.28868360277136257,3.015814637734461,3.7070579001388637,3.512105424456022,2.71496062992126,3.7728658536585367,3.9725672877846794,3.082590151221404,3.5407445977609995,1.8517285019649639,1.3567104988520142,2.590409663101215,2.849681065654819,3.8519556280006624,3.5413180381619833,3.263994626488822
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),-1.8188854489164086,-1.3664357197844497,1.936986637244085,2.6323733623135905,2.280110327919093,1.4803149606299213,2.4072662601626016,2.536231884057971,1.6285381930980998,1.9200728976828951,0.3663491640578166,-0.07653238711472901,1.0259768609473914,-0.3564404237133034,0.5503154149932933,0.3860577213697868,0.18980543372652503
Revenue & Margin,Op. Income / Rev (%),-2.3413312693498454,-1.5717218373107518,1.8389113644722324,3.030851898810602,2.8378792522218816,1.5874015748031496,2.6740345528455287,2.1933229813664594,0.9435181594933437,1.2366571205415255,-0.25977486178645176,-0.18785222291797118,0.13097576948264572,-1.132854915388804,-0.28608206401076625,-1.629468651914003,-1.1352243562165771
Revenue & Margin,Net Profit / Rev (%),-0.3289473684210526,21.715422119579163,25.352458011523844,11.139286361166455,13.147410358565736,1.6377952755905514,2.616869918699187,1.9668737060041408,0.8918185343156262,1.0999739651132519,-0.09991340837940452,-0.06957489737702637,1.0550825874990903,-1.0854472927768313,-0.9492417242839194,-2.266241849203564,-3.215056875162426
EBITDA,Net Income,-51000000,3385000000,4136000000,1845000000,2145000000,260000000,412000000,304000000,138000000,169000000,-15000000,-10000000,145000000,-143169000,-124169000,-305169000,-440169000
EBITDA,D & A,68000000,72000000,74000000,73000000,73000000,70000000,71000000,74000000,74000000,75000000,75000000,76000000,73000000,68863000,65863000,64863000,73863000
EBITDA,Net Int Inc,67000000,83000000,107000000,128000000,150000000,163000000,168000000,167000000,169000000,151000000,123000000,85000000,35000000,-6000000,-53000000,-64000000,-73000000
EBITDA,Tax Provision,313999999,1350999999,1235000000,531000000,635000000,237000000,255000000,257000000,236000000,254000000,202000000,171000000,172000000,77690000,21690000,-8310000,-36310000
EBITDA,EBITDA,263999999,4724999999,5338000000,2321000000,2703000000,404000000,570000000,468000000,279000000,347000000,139000000,152000000,355000000,9384000,16384000,-184616000,-329616000
EBITDA,Stock-Based Comp,24000000,29000000,28000000,30000000,31000000,37000000,44000000,45000000,48000000,18000000,4000000,3000000,0,25982000,30982000,34982000,31982000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,39.63,42.07,51.27,35.82,49.32,47.71,43.24,41.79,39.17,36.7,29.6,30.91,34.66,24.89,24.34,28.69,24.77
Capital Structure,O/S Shares,169229000,169229000,169229000,169229000,169229000,171000000,171000000,171000000,170000000,144000000,143000000,142000000,142322000,142000000,142000000,142000000,141000000
Capital Structure,Market Capitalization,6706545270,7119464030,8676370830,6061782780,8346374280,8158410000,7394040000,7146090000,6658900000,5284800000,4232800000,4389220000,4932880519,3534380000,3456280000,4073980000,3492570000
Capital Structure,Cash,2135000000,2776000000,2172000000,2433000000,2829000000,2912000000,2629000000,2335000000,2519000000,2421000000,2262000000,2137000000,2439000000,2436000000,2074000000,1913000000,2209000000
Capital Structure,Debt,1070000000,1070000000,1070000000,1087000000,1104000000,1116000000,1136000000,1149000000,1158000000,1443000000,996000000,994000000,1130000000,1147000000,1161000000,1196000000,1192000000
Capital Structure,Enterprise Value,5641545270,5413464030,7574370830,4715782780,6621374280,6362410000,5901040000,5960090000,5297900000,4306800000,2966800000,3246220000,3623880519,2245380000,2543280000,3356980000,2475570000
Capital Structure,netCommonStockIssuance,-389000000,-70000000,-153000000,-142000000,0,0,45000000,0,0,0,0,0,0,0,0,0,0
Capital Structure,netDebtIssuance,0,-1000000,-18000000,-18000000,-13000000,-20000000,-14000000,-10000000,0,448000000,-1000000,-137000000,-28000000,-8000000,-22000000,7000000,1213000
Liquidity & Cash Flow,DSO,56.11309984520124,54.874101873235816,50.166804585019,46.25581114532391,46.248620901011336,47.92708661417323,49.05035251524391,51.133297748447205,51.36866679591573,51.118767898984636,50.98889295943515,52.27527308147221,53.72880739285455,57.45558596443238,56.75915910587544,54.10060315856497,52.28231146073929
Liquidity & Cash Flow,DIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liquidity & Cash Flow,DPO,33.55878776241679,32.01017079255421,29.85723991909999,27.748604928208664,27.6787415830263,28.177366614866614,28.736221122112212,29.596920900148227,28.195805827832235,27.319585020242915,26.696895147607737,26.876851460008464,28.015051916037947,30.713396675025496,31.62947902173437,31.09974354824889,31.19113916399684
Liquidity & Cash Flow,CCC,22.55431208278445,22.863931080681603,20.309564665919012,18.507206217115247,18.569879317985034,19.749719999306613,20.314131393131696,21.53637684829898,23.172860968083494,23.79918287874172,24.29199781182741,25.398421621463743,25.7137554768166,26.742189289406884,25.12968008414107,23.00085961031608,21.091172296742446
Liquidity & Cash Flow,OCF,-387000000,306000000,350000000,653000000,828000000,809000000,482000000,262000000,212000000,-50000000,65000000,58000000,31000000,229881000,45881000,66881000,24881000
Liquidity & Cash Flow,CapEx,-50000000,-69000000,-107000000,-141000000,-164000000,-168000000,-146000000,-120000000,-106000000,-108000000,-94000000,-85000000,-75000000,-58523000,-52523000,-55523000,-75523000
Liquidity & Cash Flow,FCF,-437000000,237000000,243000000,512000000,664000000,641000000,336000000,142000000,106000000,-158000000,-29000000,-27000000,-44000000,171358000,-6642000,11358000,-50642000
BQR,Total Debt / Adj Ebitda,4.053030318382691,0.22645502650295343,0.20044960659423006,0.46833261525204656,0.40843507214206437,2.762376237623762,1.9929824561403509,2.4551282051282053,4.150537634408602,4.1585014409221905,7.16546762589928,6.5394736842105265,3.183098591549296,122.22932651321398,70.86181640625,999.0,999.0
BQR,Adj Ebitda / Interest Expense,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.564,0.30913207547169813,-999.0,-999.0
BQR,Net Income before extraordinary,-51000000,3385000000,4136000000,1845000000,2145000000,260000000,412000000,304000000,138000000,169000000,-15000000,-10000000,145000000,-143169000,-124169000,-305169000,-440169000
BQR,(NCO-CAPEX) / Total Debt (%),-40.8411214953271,22.149532710280372,22.710280373831775,47.102115915363385,60.14492753623188,57.437275985663085,29.577464788732396,12.358572671888599,9.153713298791018,-10.94941094941095,-2.9116465863453813,-2.7162977867203217,-3.893805309734513,14.939668700959023,-0.5720930232558139,0.9496655518394649,-4.2484899328859065
BQR,Score: Operating Leverage,52,15,15,15,15,45,42,42,52,52,75,75,45,75,75,75,75
BQR,Score: ICR,75,75,75,75,75,75,75,75,75,75,75,75,75,65,75,75,75
BQR,Score: Net Income,75,25,15,25,25,35,35,35,42,42,65,65,42,75,75,75,75
BQR,Score: FCF/Debt,75,45,45,25,15,15,42,55,58,75,75,75,75,55,75,75,75
BQR,BQR,66.95,34.0,31.5,29.0,26.5,39.5,45.2,48.45,54.45,58.7,72.5,72.5,56.25,68.5,75.0,75.0,75.0
